V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T,IDN_HFCE,IDN_NPISH,IDN_GGFC,IDN_GFCF,IDN_INVNT,IDN_DPABR
IDN_A01_02,4186.9379,7.3508,1.1033,0.8496,0.0835,44983.5737,1236.2327,3201.9642,878.0326,12.1033,1078.0789,138.2539,3029.1574,54.0232,0.0037,71.3504,2.5945,0.0385,227.7579,0.0015,66.623,505.3289,0.8745,4.4782,3538.039,187.5829,0.2871,60.4753,124.0285,0.7251,0.0032,6199.3409,0.1099,0.0112,0.0838,8.7342,2.7363,0.2044,5.5995,340.8426,24.4099,308.4185,98.033,189.9062,0.0,30436.9709,493.9809,0.0,14877.119,3059.4785,0.0
IDN_A03,1.0292,603.5266,0.0,0.0,0.0,3633.226,0.3622,0.4045,0.0,0.0,227.1128,2.9685,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0,289.6197,0.0,17.7245,0.0,0.0,0.0,47.1027,0.0,0.0,0.0,3724.637,0.0,0.0,10.189,0.0,0.0,10.1551,0.8414,19.2014,50.3702,188.9749,74.4481,15.6785,0.0,19598.5665,0.0,0.0,0.0,758.6704,0.0
IDN_B05_06,0.115,0.0,2165.6327,37.1414,0.5638,24.0132,165.9104,2.4344,411.9425,10476.8831,6140.2124,0.2715,53.4369,3552.6719,413.0981,374.4855,0.4863,0.8217,43.2082,3.1641,0.276,71.1408,10541.1642,0.0,0.9414,0.0,0.2524,0.0,0.0,0.1138,0.0,0.9503,0.0256,0.0,0.0,0.0,0.0062,11.6815,0.4838,0.0,0.0,0.0,0.0,0.0,0.0,0.1717,0.0,0.0,310.0596,2118.7862,0.0
IDN_B07_08,0.0677,0.5692,1.7625,106.5644,118.0671,52.5203,1.1586,13.3938,0.152,791.9364,1037.4097,10.9411,21.1999,1864.0114,4662.6637,1290.1918,13.9038,1.9531,24.629,1.8119,9.1331,329.0729,0.0886,4.0264,9409.3868,0.2679,0.0,0.0,0.0,0.0098,0.0,0.0258,0.0,0.0,0.681,0.0,0.0,2.2287,0.0472,3.8033,92.7255,0.0031,0.0005,0.0052,0.0,18.9691,0.0,0.0,0.0,809.2191,0.0
IDN_B09,0.0,0.0,1506.0638,409.9174,16.3059,0.0855,0.0044,0.0,0.0,4.3806,26.1731,0.0,2.9067,24.872,19.1851,2.8856,1.2981,9.4102,0.0,0.032,0.0193,13.6191,8.5725,0.0,122.8392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439,0.0,0.0,85.994,0.4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4092.8073,0.0,0.0
IDN_C10T12,3356.8545,636.2425,63.8535,64.0795,2.7292,17574.7094,648.5035,48.4617,28.5727,10.0569,3335.9359,13.4337,4.3313,58.6972,2.3335,43.257,7.2321,4.8029,556.4932,0.0232,0.4058,92.0396,16.9834,61.784,9.2663,400.0857,266.8844,271.4564,235.9442,128.9475,29.9363,15950.1456,75.2555,18.2863,19.893,191.0363,149.4296,9.7941,465.1865,350.9585,298.9076,1255.7284,144.7067,8.246,0.0,96043.6466,1260.3483,2088.5264,0.0,4100.6207,0.0
IDN_C13T15,69.6538,22.5907,5.7938,8.6911,1.069,47.6234,8644.7517,95.952,41.3741,4.7931,38.6985,9.3735,32.4491,24.8875,13.7664,33.7555,5.1223,53.377,61.8971,15.2322,44.0273,579.0897,0.6611,9.4711,233.1296,1455.2841,130.4271,32.8005,118.1501,40.8495,53.8883,49.2193,56.9714,6.3266,0.7324,30.4825,50.1773,0.2528,333.6218,204.0665,269.1947,97.8549,16.3784,161.1645,0.0,13273.2525,124.8077,0.0,427.147,978.8107,0.0
IDN_C16,16.0576,3.4981,0.0037,28.5555,8.0288,23.8033,3.8313,933.0841,50.5669,24.2447,16.3551,0.0728,6.1296,5.547,0.7385,50.088,0.3809,1.3143,3.6433,2.0605,67.6027,1468.4841,0.0001,2.3083,5502.005,636.3007,1.0402,0.0,0.0891,10.4996,0.3222,6.9918,0.2246,0.1486,0.0598,0.0,0.8057,0.0945,5.8667,128.3788,0.8265,0.3979,0.6782,9.4474,0.0,398.8456,3.9804,0.0,8.8026,234.7668,0.0
IDN_C17_18,17.8477,0.4067,6.1433,7.3552,4.0882,467.0049,49.295,7.9157,3122.6076,16.6115,110.0093,13.6203,28.8352,81.5305,12.0982,14.2289,118.8631,35.5125,48.3536,1.3559,10.2369,121.9975,4.3935,34.9528,132.6842,3562.142,210.4819,76.5391,149.0853,170.2288,35.0251,24.7613,265.7577,15.3671,1.9261,591.1585,264.2413,43.7995,739.1601,605.4692,952.7027,49.2038,1.8024,1.8068,0.0,1136.6536,16.4629,0.0,0.1068,346.1933,0.0
IDN_C19,243.2764,181.3099,471.9667,214.6864,59.823,212.984,114.5895,67.318,39.4809,877.2071,565.4929,13.8509,79.6377,464.5204,100.651,229.609,16.1427,78.9842,156.5782,19.4217,156.5081,159.4697,852.367,129.2437,5199.0355,8368.5683,4846.9189,1235.046,4019.5142,104.7138,124.1475,133.7447,87.4919,58.7721,57.6353,52.6293,339.4979,6.391,728.7266,483.4287,121.0515,109.2053,10.9052,89.6592,0.0,10227.4498,178.4382,0.0,0.0,1095.2755,0.0
