V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T,GRC_HFCE,GRC_NPISH,GRC_GGFC,GRC_GFCF,GRC_INVNT,GRC_DPABR
GRC_A01_02,2053.0466,1.2382,6.9888,2.5406,0.0235,3684.5344,22.4482,82.2445,5.52,6.4374,37.1514,9.1189,5.0024,13.1047,33.3874,16.9714,1.7415,3.1852,4.9609,1.0921,2.3142,12.1971,69.8784,40.8429,0.4312,3.8777,1.3717,3.0592,0.5042,5.8819,0.125,1005.1708,0.8366,1.2227,0.1328,0.5723,0.2319,1.1237,1.5291,42.1709,2.2664,5.0434,2.7005,29.6602,0.0,4657.6461,0.0,0.5983,118.4098,405.9949,0.0
GRC_A03,0.0,82.4533,0.0,0.0,0.0001,30.0299,1.006,0.0,0.0,0.0,0.0,0.0144,2.2478,1.4606,0.0,1.1387,0.0,0.0,0.0,0.0,0.0,0.1836,0.0,0.0131,0.0,0.0,0.0,0.048,0.0,0.0001,0.0,68.8964,0.0002,0.0,0.0001,0.0,0.0,0.1456,0.0004,0.2648,0.0303,0.1169,0.0081,5.743,0.0,395.6399,0.0,0.2678,3.1798,28.7438,0.0
GRC_B05_06,0.0043,0.0,0.0003,0.0004,0.0114,0.0095,0.0009,0.019,0.0613,110.3731,0.0097,0.004,0.004,0.1372,0.0358,0.0912,0.056,0.0012,0.283,0.0001,0.441,0.0642,50.0522,0.0434,0.0795,0.0789,0.0437,0.0008,0.0003,0.0044,0.0001,0.0502,0.0008,0.023,0.0054,0.0151,0.1913,0.0179,0.0061,0.0119,0.0132,0.0099,0.0049,0.0121,0.0,0.1995,0.0,0.2887,1.144,2.6806,0.0
GRC_B07_08,1.3127,0.028,0.0112,264.2968,0.1461,3.0146,0.1339,1.3675,0.4446,168.4264,5.7258,1.2269,0.2546,42.2293,9.1038,0.6187,0.4022,0.0549,0.1246,0.0059,0.0252,0.1082,0.6566,1.8462,13.1403,3.0764,1.4912,0.3684,0.4104,0.2076,0.1016,5.427,0.083,1.094,0.2318,0.4809,3.5277,1.1896,0.7901,0.8472,0.4701,0.9521,0.3477,0.4168,0.0,12.6324,0.0,12.0334,15.755,10.4028,0.0
GRC_B09,0.1367,0.0541,0.2529,6.6448,0.2423,0.1073,0.0022,0.0003,0.0685,16.9339,0.1893,0.01,0.0194,0.7113,1.4375,0.0487,0.0004,0.0014,0.0054,0.0,0.0009,0.006,1.9392,0.1083,1.6662,0.0664,0.1729,0.0929,0.0187,0.067,0.0009,0.0177,0.0001,0.0,0.0001,0.0,0.4277,0.0543,0.0137,0.1177,0.0079,0.017,0.0129,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC_C10T12,633.6171,3.9068,0.0041,0.0192,0.0194,1053.8071,3.7439,5.1241,1.4064,0.8218,3.2291,4.9239,0.182,0.0997,13.0472,16.6893,5.8012,11.6003,8.9439,0.0883,0.5375,0.8392,0.2462,0.3418,0.3831,10.877,0.7589,35.5863,0.1,0.0567,0.0246,3494.1667,9.5297,0.0599,0.0125,0.9688,0.0867,7.5345,12.0439,48.2125,21.5927,118.4834,0.3047,58.2773,0.0,9330.9808,0.0,0.4478,0.883,370.6817,0.0
GRC_C13T15,12.4489,6.6665,0.0201,0.13,0.033,22.5768,155.8018,0.2015,2.8721,4.4635,1.857,3.1203,2.4674,1.6244,2.9456,2.9781,0.4366,0.6048,0.6748,0.1979,0.4768,5.3079,3.9396,5.3541,2.3574,99.3436,1.5589,1.5259,1.4706,0.3194,0.1804,28.3163,1.3375,7.5409,3.7452,22.0133,0.8624,10.331,1.9926,8.6884,4.2241,7.9919,11.3014,7.6988,0.0,1154.343,0.0001,2.4539,5.0791,50.1067,0.0
GRC_C16,5.5232,1.8356,0.0034,0.6755,0.0193,54.6659,2.4619,52.8663,1.8602,1.0637,4.9106,6.4929,1.5309,2.8886,4.4681,6.1715,1.0001,1.4612,1.8613,0.7462,0.956,88.4471,14.4634,0.5561,19.6647,0.9418,0.8975,0.2928,0.4073,0.423,0.1037,4.7288,4.7819,0.1921,0.1669,0.1792,3.3473,3.1422,0.4085,1.033,0.2107,2.0737,0.178,5.7914,0.0,32.8801,0.0003,0.9113,10.7111,8.5136,0.0
GRC_C17_18,4.2332,1.1809,0.169,0.1754,0.0383,68.2901,5.4244,1.956,454.9,3.276,6.7788,13.9978,12.9461,5.0015,3.468,3.1105,0.4888,4.1158,0.6279,0.7132,1.3343,1.8704,17.5371,2.1783,11.2282,119.4771,15.4025,1.443,4.039,2.4891,1.019,279.6715,13.2324,10.8213,8.7029,33.7059,3.9,106.2913,100.1987,67.3966,14.4563,10.2775,27.733,40.8219,0.0,439.1192,0.0043,2.7575,23.8966,41.1943,0.0
GRC_C19,497.8722,40.5413,4.2062,10.7484,1.5801,181.0426,10.5386,3.2584,9.7898,913.0791,158.1178,15.5534,13.2442,46.0208,79.8057,47.2193,3.0355,4.5116,8.485,1.9697,2.0563,14.1704,1090.0603,59.8748,43.2986,463.0892,254.8546,2265.603,258.4225,307.1598,63.0059,177.4953,1.9213,19.5651,9.293,10.0577,2.8648,70.7638,61.7519,183.6471,43.7754,61.3618,40.844,41.1182,0.0,3080.2508,0.0054,7.6606,71.5321,378.6023,0.0
GRC_C20,108.4538,0.4403,0.4895,0.6906,0.2221,109.1441,38.7517,1.5762,24.4807,56.1136,164.2656,17.2274,204.4064,14.3375,30.6665,43.8158,2.4263,12.4617,3.1088,0.3985,0.5961,10.1054,8.4324,8.7901,11.3109,54.7468,7.5711,9.6077,3.1397,3.7603,0.8029,101.7224,4.2173,7.7671,1.5212,3.1458,87.9087,11.7866,26.9127,15.522,12.3343,77.9136,5.5908,6.3935,0.0,462.0007,0.0081,20.6352,33.1843,36.4432,0.0
