V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T,ITA_HFCE,ITA_NPISH,ITA_GGFC,ITA_GFCF,ITA_INVNT,ITA_DPABR
ITA_A01_02,4488.0692,6.5186,8.2508,3.7438,0.7636,18542.653,987.5855,622.2493,169.977,28.4903,129.9689,108.9603,465.6158,109.431,198.3509,76.8276,83.0091,21.0789,112.4201,63.3733,16.354,163.1417,1643.2229,112.5715,104.9295,2057.2209,144.5812,10.5126,9.1978,61.8999,23.2181,2612.1257,39.405,32.1066,19.2257,52.5646,46.3709,308.3569,768.3526,246.6697,72.3029,180.8768,221.4478,152.5462,0.0,27424.0726,25.7462,683.602,397.04,486.5387,0.0
ITA_A03,0.8695,10.0098,0.0024,0.0004,0.0,151.5358,0.9231,0.0004,0.0044,0.0029,0.7086,1.3053,0.0042,0.004,0.0041,0.0842,0.0072,0.0107,0.084,0.0281,0.0041,4.0788,0.0272,2.0807,0.0348,18.298,0.0354,32.8196,0.0004,0.3947,0.0051,154.632,3.3261,0.0023,0.3341,0.0316,0.6325,0.5973,1.6429,0.7156,0.1494,0.5447,0.3743,0.8456,0.0,1537.0265,0.0005,0.0881,0.2649,15.065,0.0
ITA_B05_06,2.5962,0.0381,24.2252,14.9173,0.8583,118.9691,8.3246,0.7203,12.285,2933.1377,150.0393,22.9541,3.7032,12.6492,305.9267,7.0209,2.3549,4.0953,45.7211,32.711,5.9916,10.0083,786.1273,27.3535,77.8258,59.8399,3.5112,2.0214,3.3641,164.6854,5.5577,127.5902,3.7747,3.5191,6.5172,25.7858,31.0564,44.5816,31.0058,92.6032,38.314,191.1167,30.4172,7.0318,0.0,68.5442,0.6526,124.3006,647.527,49.276,0.0
ITA_B07_08,14.9831,0.107,0.0588,0.2256,0.6277,30.792,3.7699,7.098,77.8949,2.1497,11.489,2.5281,12.6056,145.2339,13.8729,14.4833,8.957,17.2266,31.6944,29.5047,6.8493,12.7036,8.1936,36.9271,246.2918,327.7755,171.3799,0.9222,0.2673,2.1961,0.0306,5.9653,0.4994,0.5541,4.9402,3.6392,14.6797,16.1174,6.5134,0.3545,0.9054,3.0158,2.4293,15.3936,0.0,1608.2127,0.005,0.4672,31.6443,10.284,0.0
ITA_B09,1.2644,0.2439,44.1582,7.9898,5.6548,2.1638,0.2869,0.0419,2.2667,112.3798,7.5488,0.2313,0.7841,20.3325,41.1203,2.8479,0.0222,0.1025,1.5337,0.0431,0.0968,0.3468,25.3057,2.5409,71.3278,1.4698,5.1743,0.1331,0.1425,2.0356,0.0131,0.2103,0.0024,0.0,0.0038,0.0006,3.4242,2.017,0.9543,1.4806,0.095,0.4031,0.2278,0.0705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA_C10T12,3166.4344,112.3202,0.015,45.5846,0.2131,30337.1111,993.5607,3.8777,58.947,84.2405,935.6925,605.0412,77.352,85.7627,299.0459,2.6231,1.4893,1.2008,20.9088,1.0525,0.3453,18.0483,132.3082,28.0444,18.7435,2174.8299,397.7977,339.579,7.5036,75.4135,0.9405,13806.4336,4.9533,0.186,1.8752,0.765,90.8578,228.2259,97.719,41.8307,31.5933,461.9563,143.7211,139.9705,0.0,83598.083,0.0073,6.9696,4.5694,1273.2526,0.0
ITA_C13T15,121.6828,28.781,0.7319,0.1199,0.6633,75.8915,19613.6939,161.7969,513.6777,21.8172,218.3389,87.2289,454.4754,33.5203,53.7698,191.032,29.9749,40.5855,148.3223,534.9086,95.5543,783.4085,34.2122,47.4216,127.9379,506.0567,50.0068,4.5111,1.2716,35.937,2.0213,40.0814,12.7975,8.4984,13.448,12.0792,118.9463,156.4665,211.4282,64.3727,29.0157,102.9424,145.4953,175.343,0.0,40112.4526,0.3515,51.6368,787.043,744.2085,0.0
ITA_C16,71.8858,3.795,4.6551,3.5267,0.3985,391.9988,92.3816,2472.951,911.3413,13.3999,34.2833,63.085,64.9683,63.1594,78.8126,228.3527,31.8184,55.159,160.4854,139.7583,67.0014,3316.5049,79.1814,29.9336,1568.5164,332.9746,71.3199,10.1883,5.1618,51.865,2.8042,65.2063,16.7943,9.2934,15.0099,18.8253,88.517,140.3196,148.6012,141.9765,8.6781,127.986,34.517,115.3363,0.0,2216.2447,14.2741,42.9247,1222.0856,115.3008,0.0
ITA_C17_18,86.5442,6.0869,4.5978,2.3818,0.6317,1229.2117,168.1886,199.839,6435.9812,59.3304,293.9768,182.3326,510.2193,140.2316,366.1007,378.7182,41.7966,262.9667,493.2144,318.0576,59.0826,409.2765,278.7095,248.6285,392.0468,941.7141,490.1498,34.5069,12.089,607.8212,19.4985,515.3122,606.5964,540.3348,351.4681,1115.598,372.898,2824.9011,4756.7066,634.7767,247.2115,432.9661,1231.1741,392.4859,0.0,5577.7748,1.9604,64.5756,252.2166,307.6802,0.0
ITA_C19,1674.7586,72.5027,43.7893,193.1328,18.4421,256.5453,94.35,79.2086,93.257,3723.5822,4981.2606,68.8072,69.8669,320.5212,442.0768,265.2406,21.8419,36.2494,545.6742,124.0079,9.803,208.0749,747.1124,330.2515,1933.3456,2094.7602,4513.7148,2217.5661,2036.6057,279.0182,4.4204,173.2395,17.5621,13.0954,47.2348,77.7728,76.0322,209.1772,294.2901,162.4584,105.0807,103.9603,85.7699,89.4126,0.0,20513.3278,0.0219,4.4118,46.4126,425.3907,0.0
