V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T,ISL_HFCE,ISL_NPISH,ISL_GGFC,ISL_GFCF,ISL_INVNT,ISL_DPABR
ISL_A01_02,38.4375,0.0,0.0008,0.0,0.0,283.9619,1.0149,2.0695,0.0,0.0001,0.0,0.0,0.3101,0.0,0.3687,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9508,1.1897,0.0,0.0,0.0,0.0,110.6137,1.5647,24.8895,0.0,3.2612,0.0
ISL_A03,0.0,27.8141,0.0,0.0,0.0,634.3081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608,0.2076,0.0,0.0,6.6089,0.0
ISL_B05_06,0.0,0.0,0.0083,0.0,0.0001,0.0022,0.0,0.0,0.0,0.0802,0.0,0.0,0.0,0.0185,0.2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,4.2105,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0
ISL_B07_08,0.0,0.0,0.0344,6.2007,0.0056,2.8096,0.0,0.0,0.0,0.0202,0.0879,0.0357,0.0,4.9011,13.7296,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.0,1.4167,26.6103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312,0.0
ISL_B09,0.0005,0.0083,0.0021,0.0054,0.0001,0.0019,0.0,0.0,0.0,0.0006,0.0004,0.0,0.0,0.0068,0.1013,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0234,0.0009,0.0672,0.0005,0.0009,0.0002,0.0012,0.0004,0.0,0.0001,0.0,0.0,0.0,0.0,0.0017,0.0012,0.0001,0.0007,0.0001,0.0004,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C10T12,58.5011,14.8306,0.003,0.1766,0.0001,321.9994,0.504,0.1277,0.4056,0.002,0.285,0.1148,0.2249,1.2949,6.8133,0.969,0.1024,0.589,1.248,0.0372,0.0341,1.3386,3.2679,0.6266,15.1354,10.3173,1.6711,2.509,11.1726,1.891,0.3699,192.7934,1.6686,2.2487,2.8468,5.597,9.1678,7.15,5.6555,7.9998,6.2489,19.3775,1.9958,2.4051,0.0,808.5227,3.2657,0.0,0.0,19.0426,0.0
ISL_C13T15,0.4261,19.5094,0.001,0.0056,0.0,0.8551,6.1991,0.0007,0.0021,0.0001,0.0015,0.0006,0.0205,0.0788,0.7868,0.0465,0.0005,0.0031,0.0167,0.0193,0.0148,2.2606,0.0157,0.024,0.6378,0.0408,0.0076,0.0125,0.054,0.009,0.0017,4.2374,0.0062,0.0107,0.0002,0.1652,0.0001,0.0212,0.2358,0.1858,0.0,1.4294,0.4166,0.0727,0.0,21.702,0.1652,0.0,0.0,0.424,0.0
ISL_C16,0.0,0.0,0.0005,0.0,0.0,0.0086,0.0,1.0618,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0436,0.0,0.0,0.0175,0.0048,5.1673,0.0,0.0399,18.8327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0959,0.0,0.0,0.0363,0.0,3.5438,0.0309,0.0,7.9762,0.1174,0.0
ISL_C17_18,0.1237,0.0448,0.0008,0.0007,0.0,0.9801,0.0131,0.0068,8.3416,0.0003,0.0271,0.0113,0.0039,0.0071,0.0087,0.0928,0.0063,0.0279,0.0225,0.0017,0.0008,0.1318,0.2507,0.0917,0.069,2.7594,0.0996,0.1386,0.363,0.098,0.1793,0.5163,8.9466,0.1536,1.3268,3.4527,5.941,1.1516,2.0312,8.4394,51.7293,0.3229,4.6641,0.5663,0.0,16.9364,0.1218,0.0,0.0,0.4496,0.0
ISL_C19,0.0638,0.6058,0.0011,0.0285,0.0001,0.0019,0.0,0.0,0.0,0.0041,0.0037,0.0,0.0,0.0174,0.1778,0.0092,0.0004,0.0037,0.0155,0.0006,0.0003,0.0188,0.0765,0.1073,0.0962,0.1388,0.3576,0.6502,1.8738,0.1111,0.0185,0.0367,0.0114,0.048,0.0057,0.0127,0.0101,0.0184,0.1584,0.0498,0.0048,0.0335,0.0016,0.0169,0.0,0.7883,0.0,0.0,0.0,0.035,0.0
ISL_C20,3.3595,0.9588,0.0183,0.0326,0.001,2.2004,0.5339,0.0996,1.476,0.0309,5.51,1.7073,2.8128,0.6203,2.3411,0.5363,0.0178,0.1314,0.6501,0.0315,0.0332,2.0068,0.7281,1.9733,18.8897,1.1895,0.1093,0.2086,0.9315,0.157,0.0276,0.992,1.0645,0.1019,3.1725,0.4074,0.5897,3.0993,4.321,0.4519,0.3749,2.2563,0.1923,3.0028,0.0,20.1964,0.2001,0.0,0.0,0.6115,0.0
