V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T,AUT_HFCE,AUT_NPISH,AUT_GGFC,AUT_GFCF,AUT_INVNT,AUT_DPABR
AUT_K,217.1385,1.5317,12.0689,24.5868,3.651,331.2273,28.4106,148.0239,128.2523,58.679,196.0791,55.9075,86.9078,112.6117,328.4141,270.9734,71.9908,85.4295,319.4828,120.0785,56.5211,191.5488,291.9035,150.9874,638.0901,1809.9309,273.6147,4.6877,56.6554,141.954,23.6184,445.7838,74.2865,68.9531,286.9229,6830.278,2159.824,1009.4682,428.2534,860.2042,227.5569,410.5925,133.5951,192.5832,0.0,6899.7126,0.9811,60.72,162.121,8.8371,0.0
AUT_L,29.7153,1.1773,20.0958,33.5474,7.0038,257.0435,29.8219,65.5343,80.9828,14.1637,53.5093,14.5355,116.2895,95.4571,108.8409,287.3603,21.1493,71.5643,229.6006,41.6943,65.6044,192.6887,84.3631,137.0941,1070.8182,4133.2915,445.2161,6.2174,36.0381,326.6269,69.34,1196.5431,131.2724,179.5754,282.5731,462.6824,3735.3625,1080.6614,442.0685,1613.9896,597.1837,1061.7323,218.1133,398.1794,0.0,38068.1982,0.1149,65.4059,1094.2821,1.3748,0.0
AUT_M,119.9577,1.8319,38.826,64.277,15.344,815.4295,45.1898,179.8945,169.922,46.8511,246.8067,148.181,192.8922,190.3449,541.8433,454.2104,330.9393,116.6226,540.6791,275.4377,84.9209,334.44,210.0274,192.8838,2219.1989,3672.789,311.449,5.9797,102.0502,207.8651,57.4148,516.7698,311.2459,204.9671,471.0311,1846.0509,411.0584,6014.22,627.7537,659.0732,226.6448,718.9395,242.3228,345.2327,0.0,959.8223,279.8049,221.3296,5839.0333,24.11,0.0
AUT_N,136.7059,1.9982,13.907,30.6255,8.0184,310.6927,22.46,82.0654,126.7892,53.1187,226.2494,78.6036,64.5161,109.4568,261.8959,350.297,176.5409,141.1721,454.5309,174.7079,70.7856,365.6829,496.6401,171.1145,1631.0646,1839.0344,724.133,21.9038,279.4089,314.355,90.0746,553.1485,180.6839,163.0936,428.2442,663.9396,1972.6263,1372.6043,2488.5013,714.2381,299.5727,813.1642,241.5556,236.5118,0.0,4117.4951,2.6992,661.1129,659.5032,9.1149,0.0
AUT_O,6.2268,0.1293,1.0484,2.903,0.6357,26.8062,2.1217,10.3101,10.9052,2.4331,10.0454,3.8879,5.441,11.9708,28.1292,29.775,8.3448,14.3974,38.0097,9.0482,6.9702,27.6844,45.5573,20.0045,177.0037,114.2605,45.0976,1.6278,20.2339,42.3414,6.3902,39.2173,14.8978,9.2783,82.1191,109.9857,67.0845,153.093,56.3507,1236.5295,17.082,47.6565,21.4183,15.9886,0.0,235.4916,3.242,26902.7442,378.5177,1.3929,0.0
AUT_P,4.4406,0.1939,2.2572,3.2299,0.665,20.5895,1.7249,9.4355,9.2962,1.6109,11.7794,4.6176,4.3548,5.3134,26.0717,15.5848,4.8903,5.6579,29.4905,4.2214,3.4384,15.7791,32.272,16.8471,44.2887,102.349,28.7524,0.1264,15.2775,21.2276,1.4739,10.0529,5.1116,4.479,47.2549,88.9012,13.7665,131.045,16.4217,57.0851,199.6522,97.8939,13.8721,9.3814,0.0,2510.7194,1624.5,17868.2259,2345.3828,1.1706,0.0
AUT_Q,76.8829,0.064,0.5048,1.2434,0.3034,29.7459,4.8915,3.7841,4.7153,0.8271,6.0461,10.3809,3.1508,2.6537,3.8043,6.1829,3.3685,4.9886,5.4547,2.6423,1.3619,6.6801,9.2713,3.7553,10.2803,41.7219,14.014,0.2834,4.0337,7.8183,1.4183,23.9309,2.8203,4.8967,40.1757,14.7485,16.6457,36.3656,6.2827,73.6601,7.106,872.8532,2.3925,7.0277,0.0,7801.0505,5268.2374,26964.4848,289.573,4.7999,0.0
AUT_R,2.4368,0.0414,0.5623,0.9924,0.2317,79.9172,2.0088,3.7681,5.0992,1.1531,7.6412,3.3764,4.3764,4.1977,10.2987,10.5099,4.0592,4.1822,12.889,3.173,2.4356,10.6143,9.4189,4.2762,24.8211,119.2426,12.6473,0.2841,4.8645,7.5622,4.1163,76.5572,164.8473,14.7154,23.6623,35.6083,32.8605,83.1903,31.5661,21.7136,14.5517,20.8484,280.7329,8.2033,0.0,3739.3462,150.2401,1110.246,267.3103,1.7244,0.0
AUT_S,19.5154,0.0937,0.9657,2.8036,0.4747,28.6977,4.1058,6.8794,6.4045,1.3568,7.1964,3.6013,5.4951,6.5465,13.0042,15.0172,3.77,7.2053,19.2009,5.2317,2.6088,28.0471,7.7237,11.0106,49.7795,241.9388,16.2416,0.3598,4.2845,8.4268,2.6851,204.8343,11.2504,6.098,52.1119,54.138,29.2862,114.5911,24.7036,46.8302,16.1493,206.2885,15.4619,179.9776,0.0,3134.0931,2099.2327,2102.2207,87.4481,2.0738,0.0
AUT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.8946,0.0,0.0,0.0,0.0,0.0
