V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_A01_02,3664.873,0.7456,18.5928,1.3145,2.0345,11703.7992,127.129,71.9279,25.0328,17.3888,65.8321,15.9977,68.8109,10.6338,18.7477,24.5823,48.2121,10.7307,29.5584,9.3667,12.4735,93.8556,65.8479,12.5482,210.9676,339.1833,50.532,9.3747,20.8126,49.6957,2.2717,380.16,13.2986,11.5692,23.0617,25.3075,67.9551,81.6203,219.5815,113.903,17.0357,257.5331,23.3296,35.3177,0.0
NLD_A03,11.1414,7.5681,0.004,0.0007,0.0012,183.8174,0.1725,0.0034,0.2224,0.7013,3.0437,0.9172,0.0536,0.0114,0.0145,0.0213,0.0169,0.008,0.028,0.011,0.0115,0.5533,0.3665,1.5261,0.1337,2.5556,0.0552,0.2678,0.0118,0.0747,0.0042,25.6212,0.0245,0.0135,0.0608,0.1149,0.1493,0.22,0.14,1.9518,0.1646,13.9467,0.7631,0.5783,0.0
NLD_B05_06,52.2451,0.0231,176.6401,35.6482,70.217,42.0523,4.3426,0.5902,12.5152,2360.5077,170.5187,2.7926,5.9217,5.9572,152.8532,10.6504,0.6255,0.6732,1.0467,1.4315,8.8184,3.6772,177.8507,4.1343,99.6903,42.9265,3.1028,0.1931,0.1882,7.4381,0.6357,29.3621,0.8583,1.4301,2.1609,6.1085,8.2458,45.9855,7.0834,7.6429,15.5563,29.1179,12.8964,13.9911,0.0
NLD_B07_08,34.0703,0.3824,4.0396,47.6321,37.6251,4.8755,3.1822,0.0,1.7742,0.0,196.4606,1.2859,6.2866,199.6355,109.2737,7.5593,0.0,0.0,2.4111,0.0,7.3389,1.3535,0.0,3.0979,395.3788,12.7007,0.0,0.0,0.0727,0.0,0.0,0.0,0.0,0.0,0.8039,0.0,5.0994,21.0932,2.8466,42.2045,0.9519,0.0,0.0,0.0,0.0
NLD_B09,0.0,0.0,390.7266,80.5508,146.1077,0.0,2.6197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7027,0.0,0.0,0.0,0.0,0.0,2.1097,1.0999,0.0,0.0,239.6352,0.0,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.6533,0.0,4.1441,17.1418,2.3134,0.0,0.0,0.0,0.0,0.0,0.0
NLD_C10T12,2855.0538,14.5364,3.5015,13.4549,11.1481,12140.3303,85.5675,3.1938,75.3921,179.248,608.1654,239.517,50.2642,63.774,35.9451,46.5045,82.1645,21.8074,50.7274,14.1969,14.5428,334.8653,97.3333,385.3887,228.9759,1533.7508,41.6554,14.0944,13.9144,31.0831,14.9346,3701.1311,58.952,13.5391,108.3821,159.398,78.202,390.8256,139.9421,184.6865,78.587,935.7725,537.2433,79.4006,0.0
NLD_C13T15,6.0508,4.2642,0.5691,0.0582,0.1154,3.4209,388.0063,2.6834,21.4634,1.2267,4.2388,0.4659,19.3217,2.6056,1.471,4.5535,17.8428,15.0522,13.5841,12.5684,0.8474,37.5187,0.8779,3.9445,27.7792,22.0669,2.8543,1.2649,1.7083,2.4671,3.2366,7.2681,0.4453,6.0398,1.5281,2.1813,2.4355,26.1351,55.1301,53.4925,1.8986,119.5154,4.1383,22.035,0.0
NLD_C16,34.4349,0.0307,1.38,0.5883,0.7382,76.7046,15.6557,483.7001,19.3754,3.6103,35.8215,19.9652,36.7321,20.2946,30.1331,76.6934,12.1336,5.2703,39.4455,15.1634,21.1747,191.4476,4.5963,12.4946,1088.5507,109.9771,11.0556,1.5468,3.2524,40.8211,1.0995,22.4845,9.7034,7.0308,13.1702,9.963,270.033,29.137,169.2692,15.1663,10.6215,17.0751,4.0614,43.8586,0.0
NLD_C17_18,25.288,5.0985,4.1629,4.838,8.3042,791.5396,12.6392,7.1214,2118.5598,5.8258,102.1419,61.8428,93.1598,32.8599,46.5718,59.5847,34.244,17.6478,112.3916,44.627,13.761,82.3127,21.9204,46.5117,117.9169,497.0159,40.2318,18.4257,11.3486,41.8597,5.5726,77.1234,751.0523,49.0311,124.5529,120.7449,58.7544,286.7242,308.5202,152.2002,135.1327,351.8528,44.2985,40.5442,0.0
NLD_C19,342.1554,27.5404,7.9026,8.3884,10.0355,54.5914,7.53,5.7677,15.6979,1756.9762,1817.4155,11.1091,30.7375,40.6447,23.1521,51.8807,6.9454,106.2222,25.3124,7.8477,11.9277,89.2763,276.2813,50.8695,516.6983,519.6885,1266.6217,532.3832,1856.953,172.494,20.7375,29.9792,7.7135,2.0065,51.7595,127.6926,77.3833,170.5818,301.482,98.8757,73.2072,49.4086,81.5534,58.0825,0.0
NLD_C20,467.7132,3.2987,8.294,17.772,21.2904,363.2297,392.3983,50.6569,463.9557,566.9297,14159.7148,190.8085,1721.9514,140.4483,87.3925,135.7758,190.2112,135.1647,64.0016,110.1081,51.2329,301.2411,49.2636,71.1574,734.936,299.5963,59.6465,24.0246,67.8108,13.4278,4.1097,24.2417,66.3209,6.7839,48.3743,30.6902,89.8997,392.9862,199.6551,76.0821,54.5617,434.8417,27.4123,172.6643,0.0
