V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_G,407.5599,15.438,7.88,52.0945,5.1519,905.9382,72.5321,26.0233,57.3131,122.2805,107.6898,42.3536,56.2466,129.3617,22.4483,74.3502,20.2351,2.9682,55.7143,1.1063,2.9768,48.9372,49.6844,25.3899,497.2312,480.6863,535.4423,66.7971,145.9378,237.1651,108.1076,786.8734,79.4845,101.1915,67.5381,66.5776,8.2296,11.1018,26.8799,92.5363,28.0323,22.2375,26.884,83.8518,0.0
CIV_H49,99.8302,6.9641,2.0714,14.2558,0.6991,136.2667,5.0919,5.7176,7.0632,29.6575,14.7156,3.2841,10.8249,8.7383,8.8949,18.4363,1.8891,0.8412,3.4752,0.2047,0.4683,7.2338,2.4148,1.6773,74.3583,614.6684,22.0507,4.4408,7.8366,14.7202,3.6953,51.9354,1.239,1.6054,0.7146,3.1119,2.2001,1.8221,3.0741,5.0616,3.5712,1.9589,0.2199,9.112,0.0
CIV_H50,11.2344,4.7488,0.5402,3.4513,0.2372,19.4698,0.7568,0.9431,1.0544,8.9734,3.0021,0.8446,1.9817,1.5094,1.3483,2.9548,0.5041,0.1601,0.7298,0.0336,0.0972,0.9646,0.322,0.2571,10.061,134.2529,3.7733,7.5482,1.805,7.9517,2.004,6.0876,0.1656,0.3635,0.0907,0.3423,0.3449,0.2643,0.5427,0.6671,0.3589,0.2268,0.0401,1.2606,0.0
CIV_H51,15.8819,2.7305,0.9903,4.0677,0.4986,21.7476,0.9177,0.7853,1.0684,10.2219,3.8037,1.4805,2.574,1.5123,1.2883,3.1025,0.9256,0.2034,1.3365,0.0483,0.1688,1.0973,0.5132,0.4004,11.2163,192.0982,3.7161,1.5114,9.707,7.5506,2.8785,5.5138,0.4234,0.697,0.4952,3.8778,1.5338,1.4991,2.3017,3.2901,1.5912,0.5925,0.1705,3.1345,0.0
CIV_H52,87.5348,11.6903,1.3891,11.1578,0.4964,72.4226,1.8685,2.8501,2.9008,6.3606,8.5203,2.0101,6.8996,2.9615,1.7177,4.198,1.4821,0.3687,3.0724,0.1409,0.3132,2.0738,0.9993,0.8496,19.938,1051.3807,26.1944,16.6094,23.9401,64.3022,3.0912,9.1564,0.7047,0.7767,0.438,2.5358,2.262,1.5054,3.3615,3.1399,1.2202,0.6818,0.2053,4.5785,0.0
CIV_H53,19.1722,2.9046,0.546,4.8127,0.3785,23.3682,0.6037,0.8082,0.8623,0.5001,2.3515,0.8924,2.1767,0.5279,0.0986,0.7027,0.6333,0.1064,1.2696,0.0382,0.1038,0.3597,0.6973,0.568,4.7001,345.0833,3.384,1.0857,1.679,8.4302,14.5096,0.8634,0.8376,1.038,0.4869,8.7731,3.3672,1.9931,2.5044,4.9427,2.1333,0.9482,0.2437,5.1432,0.0
CIV_I,9.1728,0.0435,0.7928,4.2502,0.5736,12.6487,0.0694,0.7568,0.5658,0.4576,2.2029,0.8383,0.5911,0.426,0.3071,1.9765,0.0,0.2496,4.2896,0.0061,0.0197,1.1882,4.846,2.6965,21.7815,29.3501,3.1336,0.6254,4.6473,3.6815,1.0234,31.3231,6.0837,5.625,6.1293,7.6832,1.2408,11.5537,5.0795,17.1953,5.5556,2.3602,1.1498,62.2761,0.0
CIV_J58T60,21.5056,1.201,0.0879,0.5773,0.0343,6.4388,0.1527,0.175,0.6846,0.3405,0.5605,0.2199,0.0868,0.0787,0.0435,0.2983,0.1505,0.0119,0.5862,0.0037,0.0135,0.265,0.3642,0.1272,9.672,10.1978,3.004,0.9205,2.8348,6.4268,1.9207,1.0664,88.2882,26.4928,20.0302,3.5215,1.5812,1.3891,2.5165,2.4316,3.806,0.1713,0.2452,5.9804,0.0
CIV_J61,72.6601,3.126,0.253,1.5217,0.1172,9.1185,0.4165,0.4433,0.8021,0.537,0.7413,0.264,0.2241,0.1983,0.1177,0.9105,0.3098,0.0207,1.5021,0.0077,0.022,0.4804,0.9149,0.3747,37.0302,18.5174,11.9114,2.4835,4.9299,17.9533,5.8841,2.2051,9.9924,73.8278,10.6454,9.6017,4.0573,1.3383,5.2855,4.8298,2.5181,0.4416,0.204,10.6693,0.0
CIV_J62_63,87.3029,3.1924,0.4316,2.7479,0.2617,12.151,0.7667,0.5637,1.4933,1.0934,1.7457,0.6369,0.3386,0.3221,0.2541,1.5672,0.7608,0.0431,2.6623,0.0187,0.0627,0.9503,2.3079,0.7399,48.1149,37.4596,15.4078,4.5855,15.965,33.8777,9.8623,1.7634,43.9056,53.4281,141.2634,24.6679,6.091,3.6339,10.2964,9.1688,5.4059,0.7475,0.459,14.9449,0.0
CIV_K,48.744,0.2849,6.1277,35.2249,2.2989,97.398,4.1914,2.3463,5.7073,10.492,30.7962,7.7123,4.6294,5.8203,1.41,5.5386,1.5255,1.1403,2.2004,0.4252,1.1798,1.5286,42.4857,8.1737,62.7159,209.2315,43.4252,14.6054,21.3997,54.5444,6.9719,9.0104,5.4725,9.5413,7.6798,164.4819,74.5444,3.9707,5.3227,11.7832,3.0139,3.5078,0.6639,9.5053,0.0
CIV_L,40.4519,7.8002,1.2644,8.0029,0.6178,44.9798,9.1007,12.5228,19.992,0.9885,7.2295,2.286,2.1922,6.8774,1.3731,11.5803,4.9597,0.2402,37.1059,0.4778,1.1385,11.1176,2.6883,0.1953,47.2979,294.2216,13.7468,2.4686,4.8745,36.2253,4.5176,21.7483,8.8189,16.9442,12.6288,48.4255,25.5288,12.5599,23.4543,12.9747,6.8653,4.2332,0.9547,17.356,0.0
CIV_M,23.9029,0.2263,1.7043,11.2227,0.8856,111.1437,1.6982,3.058,3.0473,4.5815,18.6581,9.5097,2.7552,3.8439,1.1691,6.3278,3.7223,0.4111,14.2319,0.1473,0.4257,2.558,30.464,10.115,184.3335,152.8111,11.4491,4.0727,7.1948,23.4082,2.8822,13.2171,17.278,18.3767,19.4722,69.7139,14.9584,37.0833,22.5326,32.9206,25.1058,74.5998,3.7674,2.7438,0.0
CIV_N,57.5991,4.2634,5.4385,44.5872,3.8787,126.821,3.6354,5.8248,10.1421,4.9717,19.9425,6.975,3.9516,18.7245,6.5051,43.0221,1.1965,0.7371,16.4065,1.3786,3.8929,9.9957,39.2162,18.4491,86.2829,535.334,48.0205,19.8029,45.8187,69.1414,10.9976,18.1862,32.833,40.5346,40.3898,32.2769,34.6106,51.6649,39.5034,20.279,52.9063,39.1798,2.2343,22.6236,0.0
CIV_O,0.2384,0.0459,0.0075,0.0472,0.0036,0.2651,0.0536,0.0738,0.1178,0.0058,0.0426,0.0135,0.0129,0.0405,0.0081,0.0682,0.0292,0.0014,0.2185,0.0028,0.0067,0.0655,0.016,0.0012,0.2787,1.7334,0.081,0.0145,0.0287,0.2134,0.0266,0.1281,0.052,0.0998,0.0744,0.2853,0.1504,0.074,0.1382,0.0765,0.0414,0.0251,0.0056,0.1024,0.0
CIV_P,0.6717,0.0037,0.0688,0.5042,0.0408,0.8834,0.0163,0.0175,0.0638,0.0543,0.202,0.1066,0.0368,0.262,0.0323,0.1641,0.0015,0.0125,0.0112,0.029,0.0908,0.1017,0.7284,0.1238,0.7821,3.6343,0.1695,0.0612,0.211,0.2969,0.0737,0.1932,0.1445,0.1829,0.2513,0.779,0.086,0.4452,0.5789,0.5975,5.9036,0.7903,0.046,0.9906,0.0
CIV_Q,0.0,0.0,0.0326,0.2482,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2356,0.0,3.3502,0.0,0.0,0.0
CIV_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.464,0.0,0.0
CIV_S,1.4879,0.0209,0.4593,3.7496,0.3697,4.7137,0.0518,0.1218,0.1754,0.4507,0.7067,0.2322,0.1563,0.2605,0.0282,0.1547,0.3707,0.0108,4.3351,0.0021,0.0053,0.0977,3.0644,0.063,3.0293,12.1338,0.6795,0.1895,0.355,1.0301,0.2085,0.5625,2.7686,2.5998,2.7736,29.0675,0.2302,0.4567,0.4492,2.7369,0.4269,0.5417,0.391,8.3615,0.0
CIV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
