V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_D,90.526,21.9096,19.0875,26.2697,74.2651,1343.2804,160.6439,167.7868,235.024,65.3268,787.8045,17.7941,322.6772,404.8771,952.5129,313.907,1389.4958,156.5054,120.1613,155.5232,50.9711,132.2047,225.4742,194.9872,129.3684,1687.4231,23.6087,8.285,4.2627,119.255,16.3417,356.9983,24.7561,231.6959,69.0313,21.1682,144.8686,134.6185,56.1443,808.475,759.8068,393.4955,262.1377,21.9826,0.0
MYS_E,47.1366,2.9439,7.2803,16.1157,13.9772,116.6894,13.4724,11.0104,17.4229,5.0469,75.9007,1.7151,47.5595,29.4859,36.9475,30.4167,85.9248,11.0227,10.1144,11.4469,4.9038,20.9674,39.6273,611.0658,31.1056,567.3315,8.5481,5.3597,7.3745,12.4585,5.395,98.4459,2.694,15.3852,13.9827,125.9138,33.7098,26.8186,21.5401,233.3703,73.5056,204.3858,90.2005,3.8188,0.0
MYS_F,102.9812,3.1027,46.0597,224.9073,39.5642,0.8036,0.0538,0.0529,0.0894,0.0364,0.5746,0.0225,0.2972,12.0935,1.0514,8.5661,226.3302,0.2713,0.1725,0.3348,0.052,0.1433,1163.3056,34.2357,1549.737,2054.9324,7.0308,0.011,15.3527,35.2119,1.1889,53.6278,47.7604,398.2761,442.8976,459.5509,980.7101,127.4404,304.2417,680.1368,167.1694,69.514,65.3308,0.0084,0.0
MYS_G,1743.1599,231.7884,786.752,104.3111,107.096,8183.9507,448.2037,828.3373,811.1969,4011.6671,2725.1392,85.1392,1955.2688,1158.5606,1073.7752,979.1958,5982.79,790.0609,555.6365,1525.781,671.9946,592.5543,666.2351,125.5317,3712.9526,3490.8243,650.3678,331.1271,274.5372,536.7977,51.2804,1900.2281,108.4242,133.5003,141.7575,207.2518,365.8469,185.5129,206.2451,715.7475,349.6743,353.3514,183.3476,30.1898,0.0
MYS_H49,100.481,13.0025,42.1895,6.4804,57.0716,497.979,28.4349,47.7942,53.6616,178.147,162.3751,5.439,116.8449,69.69,72.45,65.634,479.873,51.7669,38.6912,118.5195,47.6649,38.969,33.9609,8.1544,329.3444,215.0528,55.3574,30.481,112.5881,76.657,3.3474,110.1921,5.3528,10.4826,10.2479,14.5002,22.1199,14.3151,19.2581,108.8325,31.6678,25.3905,10.9636,1.7965,0.0
MYS_H50,90.1979,11.4256,36.5755,7.2197,40.0325,378.1985,23.1123,45.2387,52.7887,172.2537,161.5798,5.1841,106.5608,69.447,74.8217,69.211,462.9967,53.3681,39.0323,94.3489,34.8275,37.8081,36.3316,10.2115,232.0012,208.2844,38.6781,13.293,14.1837,31.3735,3.028,84.8807,4.7556,10.0319,10.6002,8.8627,23.7908,14.195,13.1669,42.4722,24.0075,23.4699,10.5494,1.4236,0.0
MYS_H51,52.9954,11.4809,127.4077,3.0383,25.0603,237.5674,14.2392,21.5892,26.1411,65.8933,96.4454,3.9456,55.1962,37.4953,54.5684,46.0389,238.6646,36.865,27.6571,53.9387,25.0016,30.0662,16.7422,4.93,455.7599,77.0386,14.0133,5.4584,121.9983,12.6862,1.2464,90.0034,15.1715,191.0122,109.3712,441.369,8.9493,270.5431,254.3517,712.037,76.6409,88.2166,4.124,0.5598,0.0
MYS_H52,54.7043,8.5286,131.8503,4.705,195.4406,309.3616,25.9211,29.8022,35.8269,101.7561,107.8427,3.5142,77.0953,49.0629,50.8987,46.3582,307.6621,35.9714,27.2552,62.9095,23.6035,39.3424,19.9151,6.5295,177.0063,134.8771,421.6774,336.7976,2249.2517,1029.5104,9.1053,52.8541,3.0214,7.4594,6.9262,7.5854,22.9765,9.5447,14.7558,699.0923,22.4156,17.9032,6.9319,0.8621,0.0
MYS_H53,3.3091,0.1856,0.4586,0.3339,2.6078,18.7041,3.1146,1.5351,7.4305,0.3045,6.8542,0.5874,4.475,2.4926,3.6485,6.1836,20.9903,3.365,2.5871,2.0846,1.284,3.5592,1.0691,0.5005,5.29,93.2369,3.2512,1.7901,0.8646,4.4723,138.117,3.7556,5.4411,4.1855,23.2216,69.1991,6.5871,26.5172,13.5384,48.9084,117.9745,3.7573,2.2307,0.7108,0.0
MYS_I,81.8603,13.2364,30.7762,9.4045,11.251,134.6084,3.8309,3.4455,12.902,2.4642,26.3221,1.5736,12.7047,11.1189,22.9499,23.732,31.1679,6.7488,10.3058,9.5618,3.5209,11.7469,1.6007,1.6084,15.9349,579.9997,5.019,68.4857,326.0866,130.8033,0.7717,389.9916,31.3623,122.9227,145.0885,689.7866,48.1387,143.2194,215.8215,669.0986,217.8169,171.4757,216.7793,2.7031,0.0
MYS_J58T60,0.0142,0.0358,0.125,0.0223,2.517,0.1477,0.0013,0.0013,0.0057,0.0012,0.0815,0.0027,0.0178,0.0247,0.0143,0.0133,0.4823,0.0699,0.0278,0.0621,0.0088,0.0163,23.7414,0.0168,0.0089,0.3242,0.0013,117.284,0.0099,0.0033,0.0142,159.9195,713.8134,84.9705,0.0123,238.4885,0.1186,88.1377,234.31,248.4579,77.7224,2.2744,12.5169,0.0004,0.0
