V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_H53,2.2115,0.0115,0.0009,0.0503,0.0001,3.4549,0.1995,0.0598,1.91,0.2082,0.7658,0.2141,0.5102,0.4323,0.1318,0.2341,0.041,0.2556,0.0183,0.0416,0.0149,2.3606,0.4323,0.1921,2.5609,9.3981,1.7807,2.4974,0.6048,4.4612,3.3454,2.5343,0.2916,7.2765,0.8274,8.5586,1.6694,8.332,5.3419,1.1568,1.456,3.2063,0.3644,2.1757,0.0
CRI_I,4.1553,0.0314,0.0085,0.3707,0.0012,15.0991,0.6428,0.2092,0.7816,1.1027,5.0718,1.6107,1.3367,1.6188,0.7122,0.3579,0.1959,1.3101,0.0939,0.1043,0.055,13.1134,4.3912,2.1719,16.4233,27.1135,5.7782,3.4303,3.2648,4.7963,0.7353,12.1517,1.1228,8.853,5.1413,6.4409,7.3655,32.442,36.5305,9.5611,15.9963,12.9912,7.5954,17.0946,0.0
CRI_J58T60,2.164,0.0114,0.0005,0.0325,0.0001,10.8363,0.1703,0.0217,0.6863,0.4009,1.5273,0.5645,0.3193,0.228,0.0798,0.079,0.0163,0.6296,0.0447,0.009,0.0042,3.7244,0.5453,0.2079,5.505,18.6069,0.284,0.1883,0.0894,0.3276,0.2741,4.8319,5.1882,4.0842,2.3292,2.6374,4.1173,22.5564,2.1814,2.6613,8.6409,4.0626,1.3705,5.3112,0.0
CRI_J61,11.3214,0.1691,0.0065,0.2841,0.0006,11.4971,0.8843,0.23,1.1691,0.6162,2.0534,0.2822,1.1247,1.1991,0.4412,0.8378,0.2317,0.7822,0.0561,0.1093,0.0509,7.4287,8.2943,1.5716,16.7293,33.7596,7.3571,3.8461,1.3459,2.7388,1.4513,18.179,8.5872,116.6778,9.878,23.5102,7.6993,31.5186,29.8005,17.7872,20.108,24.0467,5.6672,14.1153,0.0
CRI_J62_63,1.3365,0.132,0.004,0.2325,0.0004,56.6128,0.6667,0.1372,1.7821,1.291,3.7363,2.807,2.5494,1.6505,0.8603,2.9351,1.2765,2.846,0.204,0.068,0.0313,58.2489,21.1917,5.9129,22.5191,77.7102,2.6145,1.8345,0.9607,8.7353,1.3477,23.4198,7.0674,124.4282,129.3267,36.4466,13.4343,157.492,53.3058,22.6498,23.1045,36.8264,25.6598,8.953,0.0
CRI_K,42.3543,0.4419,0.0521,3.2573,0.0038,94.3763,3.9419,4.1749,17.9711,4.9811,36.396,9.6607,13.6611,27.3551,11.8572,5.2107,1.5222,7.6847,0.575,0.5262,0.2571,36.7845,100.6328,11.2771,46.8286,264.9318,23.5118,14.9491,4.824,28.0096,5.5281,112.1089,12.5124,108.6153,26.5592,1230.7162,232.3165,100.0318,84.0939,169.0053,52.9458,84.1384,32.3661,41.2362,0.0
CRI_L,2.0598,0.0009,0.002,0.1634,0.0003,33.9098,2.8811,1.1237,5.2551,1.659,10.5574,1.2728,3.302,1.2656,1.2912,2.9023,1.1972,1.4079,0.1009,0.0463,0.0269,28.2993,66.1864,2.5748,10.9781,191.6494,4.0689,1.9468,0.6171,9.5955,2.4431,57.5846,4.1257,12.0328,22.8918,47.1657,53.0625,84.3218,42.0255,32.747,34.7367,42.8172,5.77,26.056,0.0
CRI_M,84.641,1.3349,0.1139,3.9157,0.0131,374.1329,5.9557,1.5602,11.0448,10.8235,45.8513,15.5949,15.9931,17.7361,3.4533,5.1596,3.0276,17.7816,1.2746,0.7383,0.3382,170.5517,28.187,15.4242,556.9733,472.1903,32.2067,24.8957,6.3042,81.098,27.48,128.5313,21.0549,76.4241,72.1309,117.9928,144.2391,565.5227,160.4462,111.4049,53.3681,85.9949,43.7611,64.5995,0.0
CRI_N,71.8828,0.9078,0.0925,7.0577,0.0119,143.7534,2.4023,2.3278,13.5663,9.4316,20.7349,11.4329,11.3147,25.9802,4.3555,4.1265,2.4322,8.8563,0.6348,0.4368,0.231,237.7171,64.5436,18.2384,115.7756,269.5621,71.5495,57.4587,22.8161,54.2381,7.1935,179.2124,14.4526,226.8227,22.9177,374.927,140.9773,164.2362,169.7223,130.6843,90.7189,86.8932,43.6666,57.271,0.0
CRI_O,8.5872,0.223,0.0019,0.0811,0.0002,15.3158,0.4375,0.0753,0.9975,0.4932,1.7561,0.298,0.4669,0.5165,0.298,0.4237,0.1469,0.3077,0.0221,0.0372,0.0176,4.3591,1.9918,10.5566,6.2285,12.5109,1.2622,1.2876,0.3514,2.2912,0.3064,8.6294,0.5318,3.134,0.8142,7.1209,4.6184,5.2221,3.7013,15.875,3.2941,6.02,1.4903,3.6896,0.0
CRI_P,3.4165,0.0104,0.0017,0.0754,0.0002,10.0199,0.2713,0.0852,0.6547,0.2542,1.9116,0.5218,0.5859,1.3588,0.1503,0.3465,0.1384,0.7171,0.0514,0.021,0.0105,6.5904,2.5544,0.6653,8.1367,10.0653,0.7006,0.5393,0.3355,1.0129,0.2462,5.1432,1.1767,2.8923,4.2976,9.3213,3.1824,16.0538,9.5517,11.5302,43.2752,11.9355,4.3151,13.4517,0.0
CRI_Q,0.5292,0.0886,0.0003,0.0101,0.0,0.4466,0.2672,0.0,0.112,0.0,0.0116,0.0189,0.0217,0.0004,0.0523,0.0118,0.0037,0.1547,0.0114,0.0026,0.0017,0.0314,0.0642,0.0114,0.4816,1.8754,0.2156,0.1564,0.037,0.4381,0.0252,1.9611,0.0143,0.2397,0.2022,0.0503,0.1505,4.1115,1.8882,0.0021,1.0224,58.6995,0.9569,9.1354,0.0
CRI_R,0.3979,0.0036,0.0006,0.0402,0.0001,0.8475,0.0286,0.008,0.1166,0.0369,0.1548,0.0507,0.0632,0.0778,0.0314,0.0153,0.0075,0.0352,0.0025,0.0026,0.0012,1.0882,0.1323,0.1654,0.5838,1.095,0.2491,0.2246,0.0988,0.2052,0.0347,4.9591,0.8522,0.5176,0.3623,0.743,0.325,2.9618,1.97,0.4298,1.0429,0.2954,5.8291,2.8424,0.0
CRI_S,3.2363,0.069,0.0019,0.107,0.0002,16.8929,0.7835,0.3971,1.5941,0.5677,3.9141,0.8416,1.1664,1.6489,0.3577,0.5109,0.1539,1.0234,0.0734,0.0528,0.0267,7.9347,3.7213,3.343,15.3986,45.528,1.8634,1.4517,0.4169,5.6609,0.4044,25.5087,3.4891,9.9508,4.6942,72.0407,11.8406,32.394,13.7338,19.6881,26.0133,28.8289,6.9897,51.7853,0.0
CRI_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
