V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_H53,0.0,0.1639,0.0,7.5232,0.1039,3.3859,1.6524,0.039,0.6569,0.0,0.3144,0.6168,2.3123,0.2888,0.6313,3.977,0.1927,0.7892,2.1056,0.7884,0.2615,1.0318,0.6278,0.8563,0.3281,31.0179,0.0,0.0,0.0,29.4075,29.2804,1.4434,14.3374,70.6319,1.3545,119.9864,5.5667,38.7263,9.5301,30.3928,21.3781,2.8223,0.9487,17.398,0.0
PER_I,0.187,4.1709,53.9202,35.5509,2.9132,6.5407,1.758,0.2176,1.7352,6.6004,8.7101,2.6084,9.7006,2.6388,2.2578,8.5412,0.5336,2.0907,5.6649,4.4382,2.1546,4.1548,15.1214,6.2469,30.234,161.6746,93.477,1.4968,24.8181,3.644,11.1998,14.2161,5.1594,45.4976,7.3858,22.5575,0.5678,147.2251,49.7221,304.6722,42.3069,101.7303,65.8565,39.8172,0.0
PER_J58T60,0.7874,0.7714,8.0671,10.9611,0.5921,17.122,1.3347,1.6502,23.0153,1.5276,18.586,2.892,1.2293,1.1563,1.1949,1.0448,0.1148,0.6263,0.329,1.647,0.6064,4.2035,3.7246,0.9208,8.135,45.9478,0.6103,0.1205,2.2128,1.0711,0.0439,9.5594,150.3088,76.1648,0.2757,34.8665,9.0366,869.4922,13.9283,51.9042,170.7564,51.2607,3.4843,17.4982,0.0
PER_J61,1.7839,2.804,6.2323,22.2559,0.7727,10.1063,12.6041,0.5633,1.315,0.9699,1.0302,0.5549,1.9082,1.5377,0.9379,8.6149,1.0657,2.2844,8.3065,1.2975,0.4464,0.6081,4.6515,2.3342,15.3197,107.0437,9.3823,0.3488,3.1898,9.2147,3.7455,157.3031,22.8383,813.3263,3.7727,352.0285,7.0539,89.3281,57.8097,166.8944,41.9458,54.908,18.0636,35.4046,0.0
PER_J62_63,0.001,0.0024,6.8088,1.156,0.0004,11.4441,0.9048,0.3107,1.056,0.0049,12.0232,2.7214,2.1255,2.1563,0.9076,0.42,0.2867,0.3899,2.3453,2.8367,1.0224,0.49,0.5906,0.2662,6.364,23.3395,2.4296,0.0001,4.1809,5.7939,0.2462,9.2303,15.6918,106.5009,57.1431,92.8516,5.4407,99.2154,59.6069,9.0692,1.7922,5.4676,0.0386,4.2543,0.0
PER_K,182.2093,95.1631,227.7662,1245.285,6.7742,763.7763,120.3277,9.6011,38.3716,41.4539,123.409,20.6912,65.0744,86.6546,189.6305,66.8086,0.9511,18.3781,25.5053,16.0386,5.9152,41.9173,162.0869,51.1905,329.0285,949.6835,191.1468,3.5217,27.2111,93.258,5.7401,292.7067,48.6362,277.5649,10.3862,1522.1251,259.8094,334.7309,182.8549,725.5049,127.2741,98.444,59.1861,60.0753,0.0
PER_L,12.0757,6.4405,72.9148,29.5954,0.6659,101.3742,49.4293,0.8777,5.0413,0.7621,10.5233,9.7377,8.5565,5.0191,1.6179,18.246,3.2199,1.3808,11.9904,15.11,5.9005,29.3357,6.9896,0.3651,26.1876,437.3387,25.5577,0.7673,4.2534,76.4196,7.9637,358.9359,39.3253,187.2208,13.2531,369.2006,28.5059,402.2939,176.4524,56.9507,181.1102,77.804,113.8643,125.8111,0.0
PER_M,113.418,11.7939,214.2356,555.3401,26.7726,799.1189,171.9693,3.1137,39.773,40.6551,434.1519,100.074,114.8379,28.4876,125.6777,200.869,9.3336,33.2662,58.2566,88.2906,29.186,42.6271,73.7498,18.9475,791.7894,630.9048,144.3658,0.6723,101.0197,201.9457,9.9949,262.1292,272.662,1371.3304,50.7864,985.3277,384.5851,1688.2968,467.6371,469.0666,361.9063,367.3173,192.0104,428.9572,0.0
PER_N,135.1978,6.8608,99.1166,368.9962,10.0358,168.0908,36.4567,3.9927,23.7618,22.8572,67.4478,19.5456,42.6331,19.5857,64.2711,139.2409,2.1462,5.7236,31.3019,113.7933,39.8127,52.5362,62.6599,20.5862,315.6003,394.8655,79.2188,2.8229,85.8368,140.1755,22.356,139.2264,103.5161,696.862,30.722,531.3653,73.8429,848.8133,685.2724,534.6468,306.661,537.9663,110.3704,106.7479,0.0
PER_O,4.9419,0.6763,11.1369,28.7,0.7019,20.7518,4.1,1.1951,8.2089,2.5471,5.2193,1.3771,3.3375,1.8803,9.6714,10.4327,0.093,0.4172,1.8761,9.5664,3.4448,6.5161,4.9955,6.0953,40.738,48.8757,18.6487,0.3669,9.1092,16.6531,2.0557,8.1785,8.3984,45.6841,5.5589,55.6086,12.1171,78.1148,47.599,84.2766,45.3263,52.9132,7.546,9.7271,0.0
PER_P,0.5435,0.4821,1.6829,11.0723,0.0933,5.2172,2.1748,4.8609,3.6819,0.1926,0.6564,0.4437,0.4765,0.2141,0.1062,0.5034,0.0498,0.0864,0.2617,1.7042,0.8739,13.2172,5.8835,0.2863,4.2895,5.264,1.7947,0.0121,0.2954,0.8057,0.0941,2.9815,2.0409,2.574,0.2035,7.8807,0.7022,15.9716,28.7151,20.0149,398.0502,10.4135,3.6428,22.3056,0.0
PER_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.1266,0.0,0.0,0.0
PER_R,0.0,0.0064,0.0739,1.6809,0.0,0.3224,0.01,0.2623,0.7444,0.0136,1.7456,0.5226,0.0,0.1953,0.402,0.0,0.0,0.0002,0.0005,0.034,0.0111,0.6808,0.1042,0.0158,0.0,0.0896,0.304,0.0004,0.0217,0.0135,0.004,5.7144,4.0596,0.099,0.0237,22.0241,0.0,5.3203,0.3488,2.1637,17.2614,0.2038,106.6,3.2544,0.0
PER_S,0.0203,0.0943,4.4889,7.0615,0.262,1.3302,2.1377,0.0013,1.9503,0.3573,1.9399,1.0927,0.1716,1.4042,1.2385,0.8781,0.0121,0.0407,0.1274,0.2421,0.0891,0.1258,1.1011,0.915,0.3225,42.3451,1.849,0.0289,0.4865,0.0758,0.232,65.9748,7.6675,124.1555,38.0195,122.6252,3.751,55.2796,46.983,9.7927,27.3389,142.6898,4.9163,22.9049,0.0
PER_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
