V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_H53,8.5272,0.0699,6.1363,15.0618,0.0,55.0843,4.8757,2.9151,14.2624,13.9826,13.0648,1.5909,10.518,13.8831,48.4864,9.7861,2.6452,12.6334,6.3306,10.9115,4.4594,76.1463,29.605,12.9346,35.3655,243.5308,32.37,2.6125,8.4209,184.6362,97.1908,8.8843,8.8646,12.2211,43.925,26.007,11.1744,37.4041,45.5866,12.9878,9.5268,15.4999,4.5008,17.6106,0.0
POL_I,15.2511,0.0762,22.2405,10.1168,0.0197,90.5493,16.291,7.5482,22.397,10.3475,17.1962,5.4333,27.9728,24.6023,8.0921,38.2059,4.6946,42.6624,31.2826,30.6708,13.008,54.1771,12.0375,17.0277,322.1236,406.9226,235.3438,9.0607,77.2688,60.0806,5.4951,244.2132,27.4219,13.8593,86.2236,95.367,28.1158,210.2572,472.5354,71.5098,94.2262,263.3976,94.9604,19.0877,0.0
POL_J58T60,21.1571,0.1648,7.2827,5.2727,0.0228,133.0591,15.9319,7.5974,60.095,12.6441,60.6282,66.1359,22.8617,21.346,9.215,29.7452,4.5045,22.9162,19.7775,38.7276,16.3719,29.5186,11.4987,17.0179,45.6698,426.0953,59.8813,2.3695,8.9013,22.6665,4.9135,71.2503,1530.0065,107.3518,134.8319,154.2239,100.9653,446.8912,79.5029,69.0107,79.5589,64.499,71.1873,70.1669,0.0
POL_J61,29.2806,0.401,5.4456,5.7814,0.0331,101.3163,29.3122,24.2992,21.039,10.6933,88.1643,5.0848,34.5315,28.6371,12.2526,108.6979,7.0404,25.2603,29.1847,88.6017,11.4249,76.9146,28.0216,28.9408,120.9397,425.4167,236.4596,2.7846,11.6083,212.6159,25.9636,35.6396,86.4835,427.678,188.596,531.8211,100.619,185.8293,126.7928,124.1617,54.4687,178.4344,46.6119,110.5529,0.0
POL_J62_63,31.5774,0.2783,23.6031,8.6053,0.0633,219.466,19.7275,26.7048,141.1535,55.4448,90.1288,25.7152,107.8475,50.382,65.8065,94.8576,67.3293,90.6985,37.3588,108.5165,32.3714,73.5695,130.7152,16.347,171.0735,1375.5479,70.1392,9.2158,15.1068,65.9974,87.9147,45.2072,500.2021,500.6257,2888.5626,1296.7696,345.0706,906.5238,103.1343,104.0887,173.3725,93.4296,67.7799,78.6716,0.0
POL_K,644.5356,2.2271,65.7499,53.8887,0.1757,594.769,105.7147,130.714,203.5454,151.0712,160.2062,46.3424,229.7997,173.5562,216.4699,346.5373,81.8824,154.3045,169.7486,299.8266,85.9885,287.1483,216.4613,149.803,884.747,1889.0803,953.747,24.5069,107.8602,503.1746,33.2218,124.4336,135.6117,262.1133,252.6043,4958.8372,1046.7372,702.4855,489.6471,109.3775,257.6169,561.0738,256.9031,211.7584,0.0
POL_L,69.5117,1.5479,6.6347,16.485,0.5299,249.931,64.2313,86.5245,72.46,27.7618,67.5415,12.6096,79.1712,74.2205,35.3546,124.8221,16.7473,70.5729,59.3382,77.6368,44.0428,258.7798,154.6613,103.0935,456.0679,3221.0373,130.5398,2.9554,11.1533,287.3347,19.5007,407.7471,91.4516,220.3859,255.5653,810.7315,1327.8127,715.0179,535.986,147.9067,302.8272,1323.3649,348.6203,254.1976,0.0
POL_M,392.0147,1.5882,84.4178,97.5765,0.1286,1229.5688,217.5544,147.6014,446.8425,176.9449,409.7939,265.745,454.4891,333.4181,539.4318,885.4846,109.2638,553.0321,449.3701,673.7131,291.9865,563.2203,522.3699,180.9093,1330.3611,5126.7491,664.0183,14.8393,52.5994,394.3159,30.7545,281.7401,348.632,748.9937,691.2328,1037.993,658.0541,6774.9611,857.4471,238.532,381.7996,639.7694,232.3384,175.5339,0.0
POL_N,103.7194,2.0181,64.6119,64.1549,0.0511,847.504,102.5655,127.1478,285.5529,126.1163,227.5808,162.6034,323.5367,225.4167,200.5156,318.4505,177.6025,189.3136,170.2736,359.6423,67.0632,299.6403,436.7436,215.4788,909.7473,2627.5003,948.5207,27.9066,120.6563,584.4764,47.0556,224.5347,226.8671,871.2293,587.6682,584.3551,576.6352,1289.2905,2626.4815,152.7998,302.6299,483.2053,427.4524,401.7096,0.0
POL_O,31.9684,0.0317,13.3757,18.5591,0.0,80.1084,26.5953,20.0574,32.0394,7.8011,17.0167,3.2889,29.1631,25.6632,26.1102,23.2293,25.0167,35.6109,27.6043,27.0495,16.9053,45.8147,49.8647,35.8374,28.7814,352.5101,94.9958,2.5535,7.2127,44.9775,4.9421,47.0691,30.2531,22.97,53.8481,59.8277,33.5895,198.7139,88.5901,66.5223,27.1453,42.2967,17.8838,26.5771,0.0
POL_P,7.4449,0.0903,1.5822,3.7139,0.0022,34.5948,5.0,2.804,14.3435,5.1414,17.4842,3.807,12.4562,10.879,6.7277,16.6639,4.2068,24.6488,14.4046,26.0832,6.8946,12.5726,7.8099,9.0194,52.9765,155.8267,17.4438,0.2489,1.0947,14.831,1.414,24.0287,6.3271,20.4736,49.352,59.3133,14.7738,325.7356,60.9696,18.8876,1363.9992,31.0348,38.094,12.7264,0.0
POL_Q,35.9658,0.2071,2.939,4.0478,0.0105,65.9257,8.7387,5.3782,10.6154,4.3619,9.9899,4.9098,13.3779,9.4523,21.8568,21.0123,3.0643,19.2233,14.1703,18.352,6.0423,18.6416,16.2599,10.0112,44.1972,152.4795,28.0791,0.5345,2.2113,28.9733,2.2136,38.3767,6.4419,14.8969,48.3838,30.0373,23.0468,144.1525,51.9878,71.6406,37.5944,5159.7058,26.6853,11.1722,0.0
POL_R,7.0232,0.059,3.6403,0.9838,0.0111,27.941,3.7343,2.098,8.5894,1.5991,5.4701,1.7513,5.836,4.7157,2.6618,7.6317,1.5773,4.8273,3.7524,5.1161,6.6368,6.4101,3.2031,3.7951,21.1111,47.585,10.6258,0.3872,1.0912,5.1061,0.5446,22.4917,17.9847,3.0153,17.2175,12.881,13.2307,42.0767,31.1963,19.9941,21.0436,17.6126,1433.6269,68.4345,0.0
POL_S,56.1342,0.2936,16.1451,13.2191,0.019,176.9496,31.9105,37.8926,49.7883,65.0083,21.9997,4.6647,58.6365,64.7665,20.2643,57.9038,16.5819,40.8936,36.2475,31.3279,10.5695,83.1222,18.8432,30.8453,112.2096,653.8783,53.2583,0.8993,3.1679,28.7054,2.8723,79.3673,42.8283,70.7059,105.8072,53.1291,47.0775,141.9874,54.0738,12.9207,37.7094,232.8748,53.3963,108.8521,0.0
POL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
