V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_H51,0.9979,0.0969,0.0155,0.1,0.1306,0.6068,0.2298,0.1997,0.2293,3.2403,0.2885,0.105,0.5355,0.3351,0.1686,0.4835,0.143,0.3614,0.1687,0.1298,0.1593,0.2689,1.0941,0.3446,2.2924,0.5807,0.6258,0.1008,0.0263,0.0281,0.024,1.1464,0.0753,0.0088,0.0278,0.0281,0.4388,0.2449,0.22,0.2282,0.028,0.8502,0.139,0.2205,0.0
HRV_H52,5.1283,0.5989,0.2535,0.4812,0.8026,12.7146,2.5309,3.8468,2.9006,6.829,2.0424,1.2559,2.0943,4.9475,0.6477,4.2518,1.4603,2.0891,2.1454,1.2712,2.0312,3.7158,11.0734,3.6945,59.6367,51.3514,264.4926,1.2549,36.7273,28.3402,0.6692,6.2114,1.2901,26.4111,6.7473,10.9566,8.5117,21.3607,13.7554,10.1272,2.052,3.7432,3.9433,3.4495,0.0
HRV_H53,2.8589,0.2947,0.0459,0.0971,0.1524,6.0838,1.5247,0.7974,1.0677,1.3946,0.7278,0.6798,1.0278,1.2646,0.2359,2.0586,0.6493,1.0176,1.1216,0.1361,1.2365,1.303,3.9203,1.4526,11.4926,15.194,2.6176,0.578,0.3594,6.1295,0.1297,5.2835,0.904,11.4147,3.4116,43.8839,1.3568,6.7721,4.4414,9.3095,1.0695,3.2429,2.8758,3.5444,0.0
HRV_I,0.2243,0.2328,0.084,0.0214,0.1479,8.667,1.1079,0.456,0.3449,0.2835,0.7161,0.9075,0.2749,0.8671,0.1151,1.7293,0.1419,0.4648,1.408,0.0367,1.0582,1.0306,2.7565,0.8229,10.5329,28.9263,2.3451,0.0012,2.1544,1.7696,0.1732,5.8069,0.5085,0.8676,6.4589,0.399,1.6818,8.2896,115.5048,36.9194,4.4752,1.8374,5.4655,12.0486,0.0
HRV_J58T60,0.4238,0.0006,0.0849,0.0217,0.1477,16.1408,3.4348,0.865,26.878,1.7435,1.9513,3.3067,0.5869,1.5695,0.0955,1.7754,0.2782,1.0616,1.369,0.085,2.362,1.9552,3.181,0.3287,2.0342,26.5647,0.828,0.0021,0.0002,0.2497,0.0004,1.4321,83.1144,3.8589,10.6279,0.1891,0.0038,8.2155,0.3757,4.832,1.2997,0.1828,25.7463,0.2068,0.0
HRV_J61,1.2162,0.2609,0.0896,0.009,0.2331,4.5027,1.3829,0.4563,1.0502,0.419,0.4797,0.6281,0.4128,0.9483,0.1201,1.6093,0.1018,0.3329,1.1692,0.0427,0.8833,0.8952,2.5284,1.7387,15.8957,66.7788,12.4848,0.1047,1.1185,11.0826,1.6328,7.4614,4.6394,248.4276,22.4265,25.8101,5.1492,24.0072,29.5191,32.2603,10.8358,6.3421,16.0009,11.0795,0.0
HRV_J62_63,12.9067,1.5361,0.1299,0.4207,0.4257,24.0875,6.1954,3.0204,3.9776,5.5477,3.1964,2.8002,4.2291,4.7679,0.9169,7.3835,16.5545,5.1954,3.6454,0.8086,4.9089,5.0507,16.9164,3.3433,33.6085,38.5525,12.721,2.0059,20.2799,3.9473,0.2559,25.0828,2.6813,1.3714,41.2504,52.4419,7.7609,16.1659,16.9491,17.453,3.085,10.6314,4.2739,4.2047,0.0
HRV_K,46.5376,33.3525,3.5825,7.6633,5.9489,276.6029,65.9509,40.9869,44.6618,119.0099,39.2044,54.2426,24.1707,65.8996,11.1467,97.7523,7.3206,37.84,64.6645,4.5163,71.9891,54.5519,173.4456,33.3251,172.2048,200.4028,38.0782,22.9889,14.3505,56.0931,4.3373,48.9148,3.5382,20.1692,19.8103,245.3344,61.0283,44.4695,71.5744,433.1067,18.0334,13.4092,20.9138,23.84,0.0
HRV_L,2.009,0.2931,0.4484,0.148,1.1696,20.9173,7.8413,2.6768,2.8002,3.2765,2.2526,3.9387,2.6754,6.0687,0.5911,10.9748,0.3646,3.4007,4.5523,0.2923,3.5673,5.7635,6.6667,2.3459,59.7312,410.8372,60.0999,0.287,6.8189,12.0662,4.3754,20.1809,2.7141,36.9619,10.8221,8.1225,124.3473,79.2592,32.8823,60.1769,2.777,9.3535,24.0417,10.7323,0.0
HRV_M,58.0269,18.2621,1.5233,0.871,4.7309,126.9959,23.5806,12.2758,15.0058,18.7613,14.5715,17.4311,11.8762,20.2163,3.0622,29.1919,6.9049,22.2624,27.4119,2.3591,18.9833,22.785,40.941,36.3538,182.8641,539.2641,47.3122,5.5001,8.0324,27.627,5.6446,121.2866,85.304,52.0892,55.0564,170.4843,54.0493,424.2452,70.8479,59.7328,35.7842,23.9106,66.9287,60.8469,0.0
HRV_N,21.5288,6.2566,0.4862,0.6507,1.2254,47.3268,8.9825,9.3702,7.9463,10.3471,5.0992,5.655,4.3681,8.4565,1.4438,14.823,2.2389,6.8029,32.6563,0.9809,9.4083,15.0605,23.2646,7.067,66.2005,122.9401,44.1651,2.6219,6.7193,21.3042,1.5182,40.8376,13.2768,10.2937,26.0576,60.9174,23.8211,54.3152,392.2495,49.3916,41.234,15.4603,52.584,74.3013,0.0
HRV_O,6.8235,0.0543,0.1105,0.1766,0.2082,13.9074,2.901,0.8842,21.6356,1.1348,1.6821,2.7026,0.5222,1.982,0.1402,2.1907,0.2873,1.1873,1.3503,0.102,3.5293,1.7987,3.4816,3.831,49.7946,57.7099,3.0395,0.0986,0.5645,5.8255,0.5119,12.6685,41.7613,15.9153,9.8614,27.6855,20.0619,26.5349,5.3131,16.1817,5.1666,7.1593,32.1808,12.1388,0.0
HRV_P,17.7623,0.12,0.1946,0.0545,0.3392,2.806,0.4766,1.6292,0.9237,0.6785,0.6106,0.7878,0.2496,0.5805,0.1441,0.9306,0.1342,0.6192,1.004,0.0465,0.948,2.3329,3.6835,1.5783,4.5112,104.0046,3.2489,0.0368,3.4305,1.6514,0.1079,19.9872,0.9642,3.9492,15.7923,3.1042,1.9273,27.4078,3.5223,102.443,123.0424,5.4123,4.1737,3.9056,0.0
HRV_Q,29.3154,0.0374,0.0194,0.0158,0.0391,1.613,0.2498,0.7846,0.4785,0.2048,0.1081,0.1162,0.1452,0.1827,0.0284,0.2846,0.0754,0.1375,0.1156,0.0183,0.2446,1.0003,0.4576,0.3065,2.3341,7.496,1.4946,0.6498,0.0318,0.3246,0.0249,9.6523,5.8816,1.4919,0.6082,3.4112,1.5517,1.8156,2.0572,7.1738,6.2131,34.4584,13.4172,42.4615,0.0
HRV_R,24.8771,7.2514,0.0899,0.2885,0.3016,16.9732,3.66,53.1226,21.8569,3.9005,2.4618,1.8475,2.83,3.1587,0.6229,4.9615,1.6674,2.8576,43.0433,0.4506,3.0841,68.8835,11.3538,1.938,21.7155,23.447,5.4142,1.1924,0.5014,3.3743,0.2764,57.6096,3.6176,6.1617,3.5933,3.0353,4.6815,6.4494,4.2006,10.1651,7.592,10.5046,101.6947,25.7538,0.0
HRV_S,6.7598,1.189,0.217,0.0682,0.4501,21.0048,6.9776,3.8156,21.4608,2.0987,2.4624,3.1387,1.4372,3.0514,0.3759,3.5326,3.6765,3.9941,31.578,0.5701,4.1667,9.8535,6.7253,5.7905,11.4004,120.6753,14.5025,0.6161,0.8912,6.2837,0.4827,38.3795,29.2335,79.7763,52.5525,12.7959,25.3579,23.3503,36.8178,57.1092,18.3737,7.203,22.9136,36.6292,0.0
HRV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
