V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_A01_02,3.3454,0.0,1.2012,0.4526,0.1423,1.3202,0.0574,0.0052,0.0024,0.2272,0.0009,0.0,0.0147,0.0002,0.0,0.2521,0.8391,0.0001,0.5082,0,0.51,0.392,0.0004,0.1129,5.9451,0.552,0.057,0.0033,0.0256,0.0001,0.0,4.9068,0.0026,0.1146,0.0379,0.1208,0.0135,0.1486,0.1528,59.731,9.1759,5.1586,0.0062,0.0057,0.0
BRN_A03,0.0397,0.0,0.0193,0.0104,0.0025,0.0299,0.002,0.0,0.0001,0.0061,0.0,0.0,0.0004,0.0,0.0,0.0068,0.0,0.0014,0.0138,0,0.0146,0.0102,0.0008,0.0027,0.0,0.0058,0.0015,0.0001,0.0007,0.0,0.0,0.2106,0.0002,0.0031,0.0011,0.0033,0.0004,0.0036,0.0028,2.7257,0.2492,0.1401,0.0002,0.0002,0.0
BRN_B05_06,0.0001,0.1515,491.4039,59.1293,17.7776,0.1319,0.5817,0.0277,0.0,883.0906,20.8814,0.0094,0.2291,0.003,0.0001,0.0,0.38,0.0404,0.4833,0,0.6029,0.3036,5.2631,0.2208,10.2144,4.6829,0.1088,0.0,0.5473,0.5184,0.5522,0.1959,0.037,0.4202,0.1856,0.0601,0.6506,0.7287,0.2274,0.0,0.0,0.6495,0.0404,0.0397,0.0
BRN_B07_08,0.5213,0.0,284.606,225.0276,25.0579,0.2967,1.6782,1.5259,10.8954,0.0229,23.0443,0.0796,0.5875,42.7463,24.0934,12.3792,0.0,10.1933,1.2393,0,1.0858,0.9646,6.7612,1.0287,469.4682,63.5578,6.1928,138.6542,3.2359,0.2114,0.0,19.5798,0.923,97.1054,5.9482,188.4881,35.8423,27.3799,7.9296,254.1267,46.7682,6.6626,0.3018,0.3102,0.0
BRN_B09,0.0039,0.0022,14.1273,1.6737,0.7202,0.0138,0.0205,0.015,0.0077,13.7797,0.3218,0.0002,0.0053,0.0001,0.0,0.1145,0.0056,0.0015,0.0119,0,0.015,0.0082,0.0797,0.0142,1.0735,0.893,0.0658,0.0015,0.0535,0.0081,0.0082,0.0212,0.0084,0.0606,0.0618,1.3807,0.3429,0.1865,0.066,2.6077,0.496,0.0479,0.0141,0.0049,0.0
BRN_C10T12,2.6987,0.0796,1.3159,0.605,0.0936,3.0326,0.1607,0.0075,0.0071,0.8763,0.0039,0.0,0.0356,0.0005,0.0,0.0566,0.0,0.0199,0.0954,0,0.1085,0.0596,0.8908,0.0764,2.7696,3.1621,0.0162,0.0367,0.1724,0.4728,0.0,6.186,0.0622,0.1781,0.2293,0.7111,0.2609,0.7734,0.2457,10.3139,3.25,1.1248,0.0502,0.0516,0.0
BRN_C13T15,0.0276,0.0,1.7332,0.632,0.1375,0.1479,3.7114,0.0005,0.0004,0.8046,0.0033,0.0,0.0062,0.0001,0.0,0.1805,0.0,0.0608,0.2885,0,0.3797,0.2151,0.0239,0.046,14.4073,2.1801,0.0009,0.0597,0.3343,0.0,1.276,0.1012,0.0082,0.1733,0.1407,0.5488,0.0022,0.3902,0.2263,1.4906,2.112,0.5598,0.004,0.0057,0.0
BRN_C16,0.0009,0.0,0.1324,0.0975,0.0181,0.0021,0.0069,0.0024,0.0023,0.0056,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0003,0.0016,0,0.0021,0.0013,0.0072,0.0049,0.1626,0.1406,0.0007,0.0001,0.0032,0.0162,0.0473,0.002,0.003,0.0,0.0136,0.0609,0.0023,0.0642,0.0287,0.0948,0.0917,0.0108,0.0024,0.0034,0.0
BRN_C17_18,0.0045,0.0002,0.9103,0.3736,0.0638,0.0068,0.0313,0.0089,0.0135,0.0254,0.0001,0.0,0.0026,0.0,0.0,0.0034,0.0034,0.0008,0.0055,0,0.0073,0.0033,0.0165,0.0157,0.6089,0.475,0.0032,0.0008,0.0148,0.0019,0.0001,0.0165,0.0173,0.1498,0.0574,0.2316,0.0099,0.2163,0.1152,0.3232,0.3042,0.046,0.0082,0.0087,0.0
BRN_C19,17.2132,1.2103,845.4779,471.8125,51.5127,3.5458,6.0317,0.6072,0.5269,311.588,4.0107,0.0096,1.5623,0.0215,0.0001,1.1787,3.9117,0.0,2.5534,0,6.0541,1.7453,99.2162,4.2193,163.2329,133.7505,26.4418,14.9061,102.2304,18.3912,0.003,6.4838,1.5011,5.7929,10.3842,18.7203,2.8338,35.8604,32.8841,317.4597,23.1531,17.8308,0.9039,0.9581,0.0
