V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_A01_02,3025.8456,0.7552,34.6196,40.2908,0.1173,24649.6865,78.7992,3335.669,186.4854,23.6013,89.3073,26.8974,227.4181,28.386,40.2376,63.9694,15.6677,16.8687,53.9537,147.004,6.7375,181.2081,307.3734,48.0692,204.038,655.779,67.3147,33.6424,3.839,52.1043,9.9727,444.3076,13.8282,20.2291,14.4096,36.8004,791.0227,71.9176,905.5564,494.3475,55.7408,345.2798,27.6196,96.5861,0.0
DEU_A03,0.0,38.2949,0.0,0.0,0.0,201.3114,0.0,0.0,0.5627,0.0,0.7789,0.1946,0.0,0.0,0.0,0.0,0.0,0.529,0.6997,0.6014,0.0,2.8807,0.0,0.0,0.6257,3.7083,0.0,1.0903,0.0,0.0,0.0,69.0329,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.6889,0.0,20.0154,1.6234,0.0065,0.0
DEU_B05_06,13.7021,0.1338,92.9653,16.7335,0.2711,117.3032,12.648,6.3051,61.3931,1275.1636,162.9325,14.4618,25.3678,95.1834,446.6409,36.6338,9.7074,13.7132,84.3803,36.2584,8.9205,16.8352,1832.0152,15.5182,30.1019,126.6825,20.2942,13.2359,6.3292,12.1246,4.1212,24.0866,5.4326,6.0647,3.6315,12.9647,7.7404,21.4498,20.4824,50.4839,13.3964,66.6833,5.2739,10.4605,0.0
DEU_B07_08,46.3978,1.1189,0.9594,90.9769,0.9302,39.4798,3.6738,11.8884,12.2736,11.2179,59.7888,15.1242,10.4544,607.264,151.5851,14.0047,12.418,13.2529,39.8488,37.2033,6.0694,28.152,53.2154,7.4064,1171.5441,26.8114,4.835,0.7541,0.7553,2.9439,0.707,11.0994,1.6599,2.6339,0.4243,0.6086,2.9665,6.7631,11.2168,106.8579,1.445,26.1911,2.2658,3.327,0.0
DEU_B09,0.2622,0.0159,10.7005,5.4398,0.6613,0.5771,0.0126,0.0151,0.8519,34.2367,4.3722,0.1718,0.3327,6.4482,13.4839,0.9676,0.0209,0.0636,0.7736,0.0593,0.0584,0.1606,10.9889,0.5596,28.667,0.4755,1.2974,0.0934,0.0979,0.9434,0.018,0.0359,0.0013,0.0,0.0018,0.0003,1.7182,1.0531,0.4433,0.6538,0.0495,0.2028,0.0779,0.052,0.0
DEU_C10T12,3608.5482,0.2635,13.3666,13.8178,0.1531,28153.6625,59.587,13.3952,49.2473,49.4468,1577.2228,812.8672,48.8993,25.3404,51.9939,33.8134,30.2984,27.8665,71.6458,58.582,13.4916,65.6029,32.5596,6.2369,282.5804,145.3912,8.49,515.4536,144.8173,5.4725,2.8556,13546.5533,37.7494,5.1132,5.4165,10.5803,3.2944,38.1496,33.1793,3566.2873,845.8194,8044.1798,108.8044,264.3342,0.0
DEU_C13T15,43.3416,24.9943,1.597,1.7537,0.1545,60.9254,1431.7165,9.3324,26.6785,12.9211,29.0584,54.3163,498.4057,11.6674,14.5925,78.7813,60.8378,63.5142,171.2331,735.2148,54.3397,466.3181,16.4717,9.3563,265.8186,110.9711,10.1453,6.0691,3.1768,10.4084,25.0637,106.6912,15.856,5.2948,44.8257,24.7586,5.9776,27.7935,122.6797,62.2202,23.6573,260.1993,67.6634,41.9251,0.0
DEU_C16,64.8338,0.7045,15.868,24.0682,0.1674,221.7242,30.4879,4156.2993,276.3882,15.3423,227.8112,60.0851,77.3279,97.3332,87.3009,290.6221,117.8718,99.5454,390.7722,393.7488,526.9769,2021.4642,134.6656,56.4483,4839.4559,261.9966,16.7452,3.1657,2.5502,49.0018,8.6985,83.1423,11.2954,29.6846,11.2524,21.208,107.0733,141.6467,347.4364,140.3505,100.6606,93.5577,51.3723,583.791,0.0
DEU_C17_18,59.7578,4.5654,11.4478,79.5763,0.2423,2988.3795,347.0961,126.0917,10838.9992,48.6664,1299.8995,1444.6964,499.3994,283.1521,106.7731,437.5186,598.4166,612.7408,660.4843,669.09,82.8183,724.2555,120.5145,89.9189,557.9915,5317.6504,100.9295,13.7173,18.3056,106.3052,285.5613,117.5312,3819.2601,405.4596,156.8581,409.7572,96.165,2081.6912,1658.9336,675.6561,187.9609,790.3418,129.7338,293.1095,0.0
DEU_C19,1185.8484,10.3808,31.2019,135.8809,6.5605,332.9116,71.238,89.3049,140.9795,3160.0852,2860.4843,327.4651,317.6395,644.5881,884.9539,188.2768,127.3231,199.7182,323.6945,582.0172,71.9346,165.9312,1114.6026,407.184,2590.6826,3167.4964,2040.8137,1670.1272,3225.4807,2418.9703,438.1231,211.1858,145.2123,93.9963,135.4827,73.8468,85.9458,743.0897,711.4645,720.6755,113.618,346.1153,125.3936,322.9063,0.0
