V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,2357.1655,75.644,0.6127,3.7096,0.0016,23393.8562,499.8793,677.1415,12.717,6.3337,135.2047,254.0194,435.619,10.7178,28.2525,26.7431,74.7076,23.9133,40.3656,33.7652,22.6201,26.9312,4.8579,4.3883,447.4173,68.9235,4.1452,1.0763,9.5291,12.4335,0.5329,5160.1333,11.3296,8.2852,6.1982,32.9123,5.4007,122.4326,13.3153,197.3839,322.5469,912.735,112.7537,54.5615,0.0
KOR_A03,5.1297,160.6548,0.0165,0.1858,0.0,2061.0207,6.931,0.3961,1.1582,0.3986,7.5846,2.7308,3.5858,1.2638,3.7911,3.8378,12.1871,3.9513,5.8524,3.9435,3.9091,8.2277,0.4434,0.5527,3.0802,6.7773,0.5825,0.1267,0.3222,0.4089,0.0799,2352.5546,1.0911,1.1579,0.7621,1.781,1.4599,19.8171,1.2368,66.2292,155.3716,172.8326,17.2941,5.5749,0.0
KOR_B05_06,0.0586,0.035,0.0097,0.0615,0.001,1.2987,4.3327,0.1521,0.3857,84.777,7.8647,0.244,0.9909,4.6512,97.4887,1.5554,3.5734,1.0792,2.2001,1.0965,1.262,0.3934,208.5271,0.6347,0.2605,0.3032,0.0251,0.0008,0.0012,0.0218,0.0099,0.0173,0.0169,0.0543,0.0217,0.0491,0.0487,0.3622,0.1739,0.0881,0.1233,0.8422,0.0267,0.0209,0.0
KOR_B07_08,1.1913,0.3813,0.0109,4.3889,0.1425,27.9454,9.209,0.4277,20.8063,12.4194,460.1546,5.2391,26.1098,2325.2504,258.5899,20.3423,36.0802,8.8289,16.7611,11.5046,2.7245,5.9207,1.1815,9.8306,239.7754,5.8562,0.3207,0.2295,0.1979,0.288,0.034,6.7219,0.3625,1.007,0.1559,0.3743,0.3448,6.277,3.1477,5.4506,0.875,6.6602,1.1236,2.1737,0.0
KOR_B09,0.0214,0.0243,0.0134,0.2949,0.0053,0.0288,0.0041,0.0004,0.0455,6.2022,0.4418,0.0034,0.0268,0.4554,1.8737,0.0567,0.006,0.0047,0.0316,0.0022,0.001,0.0036,0.5531,0.0143,1.7505,0.0139,0.0506,0.0042,0.0052,0.0157,0.0006,0.0055,0.0001,0.0,0.0001,0.0,0.0362,0.0493,0.0129,0.0259,0.0027,0.0072,0.0033,0.0015,0.0
KOR_C10T12,5552.6312,275.8384,1.2234,10.2143,0.034,15912.8592,1012.3637,26.5651,98.7827,68.7556,903.0304,224.2328,190.1657,81.8349,221.5918,253.817,599.7705,191.142,370.0591,214.1153,174.5236,77.431,43.8972,19.7688,159.371,664.5024,30.0656,27.8634,42.4036,101.8512,4.4012,29694.7024,70.5787,53.7964,55.0807,206.1005,26.4647,905.3253,196.7228,628.6758,1508.2957,2051.5277,1184.0556,296.1384,0.0
KOR_C13T15,121.1145,344.2689,2.7323,15.4164,0.072,496.3165,13805.1043,63.254,342.3651,102.8353,379.863,109.7415,1213.047,216.3435,543.2549,690.873,1384.5842,485.4859,783.3539,977.8597,500.8369,997.6759,99.8518,108.009,377.237,1277.1062,286.3693,32.7406,4.5238,583.2465,67.26,797.5046,120.147,80.7657,24.2207,361.1956,87.5211,486.5979,523.9797,808.0234,253.3524,1046.8842,444.7302,818.7294,0.0
KOR_C16,34.0001,145.7449,0.9195,2.5071,0.0143,85.3152,74.2739,1153.914,39.1326,12.2275,49.8698,5.7521,41.3886,87.8843,113.7215,170.5417,83.049,67.7985,137.2335,80.8894,31.184,1042.8023,175.2582,5.9004,3130.1269,105.4792,5.3619,1.4634,0.1716,346.9944,0.2756,184.3037,2.7867,2.5862,2.2154,2.1124,1.373,7.9724,22.5238,3.3386,30.6797,47.8905,22.0582,23.1824,0.0
KOR_C17_18,265.3612,17.6611,0.5207,7.3058,0.0255,1990.6976,768.5455,99.672,9354.7931,111.1124,759.4503,312.4659,469.9358,279.6451,200.8616,488.3031,638.9312,596.0148,345.3523,230.2392,81.6972,321.4647,27.0304,34.077,431.1933,1736.8615,125.5565,16.2859,5.4217,261.9924,300.2115,704.0102,2255.6614,154.7845,211.5833,1204.0405,98.2416,2935.493,303.2671,611.491,575.7779,552.7543,348.1764,440.9148,0.0
KOR_C19,596.8013,592.6496,0.9366,103.8812,0.8566,383.7624,635.0605,58.6693,269.3007,8045.0879,16501.7285,214.9671,1656.7455,1424.4556,657.5162,746.8074,1382.0125,591.5659,522.1885,578.7664,311.9281,164.802,2408.1312,254.985,1727.6051,3585.8685,7459.6821,1490.1595,3623.2408,397.7539,199.0519,1358.2252,166.0778,143.7601,94.8902,285.9838,492.2775,2396.4585,476.2744,1398.8089,1367.606,1734.5099,364.5422,720.2519,0.0
