V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,14220.2831,47.3675,0.118,1.2481,0.9494,25733.9878,1251.0459,2315.5902,41.3678,0.3235,1259.0006,57.0811,918.7569,6.1371,2.4363,0.0543,0.0973,3.7889,0.0667,0.0284,0.273,896.1861,0.0515,1.6667,36.9263,211.2822,0.1393,0.0887,0.0007,5.0944,0.0001,1272.1453,1.6231,0.1102,2.7299,7.6408,26.6922,153.0718,51.4865,7.1875,98.254,6.7003,8.9126,3.3881,0.0
VNM_A03,14.3378,4034.9819,0.0009,0.0007,0.0003,10041.3159,0.3686,0.6531,0.013,0.0005,1.6118,13.2342,0.253,0.0034,0.0011,0.0005,0.0009,0.0017,0.0001,0.0005,0.0004,0.2558,0.0,0.0006,0.0143,6.5701,0.0001,0.0089,0.0,43.7265,0.0,459.126,0.0005,0.0,0.0007,0.0492,0.4985,10.5641,0.2746,0.0024,17.0619,2.3134,0.296,0.994,0.0
VNM_B05_06,63.4396,0.1964,3529.0382,4.9193,11.3284,59.9499,90.8366,2.4635,60.5292,6471.386,843.9109,6.6388,58.7735,1629.8905,183.3177,35.6072,21.1075,35.7509,2.1771,11.0115,11.0429,49.6457,862.3408,5.2935,59.5746,43.0525,2.1158,0.2555,0.0,0.4839,0.0,84.3997,0.0112,0.0016,0.2756,0.0395,14.9211,6.8589,6.5104,0.4457,5.4131,1.2704,1.6056,9.6605,0.0
VNM_B07_08,1.359,0.3243,6.0149,25.9357,0.0622,20.4325,0.9444,0.0013,3.2513,6.4848,527.427,0.2696,14.8701,432.6053,79.19,3.3623,2.1898,0.0322,0.0009,0.0389,0.4348,9.7948,5.0124,0.5942,123.8944,15.7196,0.0029,2.4454,0.0,0.6237,0.0,0.2238,0.0001,0.0025,0.0,0.3712,9.441,9.6687,0.7162,0.4436,0.0149,0.2114,0.0161,11.0087,0.0
VNM_B09,0.0015,0.7522,690.2976,14.8037,0.3371,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052,0.0019,0.0,0.0,0.0,0.0,0.0,0.1239,0.0,0.0,0.0,0.3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0438,0.0004,0.0,0.0,0.0,0.0,1.1637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,7776.2496,5589.5157,18.7935,1.7893,0.634,23952.9263,24.0067,0.9748,107.1845,43.3169,27.6436,93.6456,14.9602,36.3402,1.9439,1.5418,0.4602,0.0325,0.0249,0.1129,0.038,126.6864,1.8202,1.3223,2.5725,350.782,6.6559,4.8895,24.5471,4.5942,0.0002,3846.0714,1.1715,1.1907,2.7094,2.8189,18.107,41.0906,7.3779,6.3198,102.3635,22.1086,2.0196,16.9107,0.0
VNM_C13T15,68.0015,30.3661,67.6507,5.8556,0.9481,20.0708,10396.1382,20.3969,53.5487,19.8006,9.9372,1.7469,34.1838,77.5579,4.9086,3.7921,9.7957,3.2628,2.0547,16.892,9.8348,174.3155,14.1003,17.7144,50.4568,159.8891,15.0143,2.9405,5.7332,15.6199,7.7115,47.1629,3.3029,9.278,1.3294,28.2376,39.114,20.0442,30.0095,50.4812,48.8234,14.7114,24.4011,126.6876,0.0
VNM_C16,105.651,32.2951,0.2017,0.8583,0.0007,77.5651,92.5855,2101.7879,367.777,0.1968,58.6434,0.8029,19.292,32.5755,3.6042,4.0078,7.8173,7.26,5.3904,0.5738,2.7342,2843.5352,0.8554,1.1665,342.2405,69.8869,0.5637,3.819,0.1341,3.032,0.12,12.8364,0.2039,4.0989,0.0097,2.5789,23.4415,12.0217,1.3557,10.5697,4.2648,0.5619,1.6106,13.982,0.0
VNM_C17_18,130.2581,7.3854,9.4504,0.9313,1.0688,539.9875,898.5878,68.0583,3116.8049,0.5128,96.9534,39.499,191.1367,201.4442,5.0359,12.939,185.4997,280.9264,7.7742,10.543,6.8147,604.942,9.191,2.8553,44.5314,648.3536,13.1045,1.7728,0.7697,13.3353,17.9481,101.8322,313.7245,25.539,10.6717,138.5945,48.1006,184.0956,16.7783,207.5362,116.5201,17.7933,534.4161,29.1775,0.0
VNM_C19,645.0009,1624.4857,2461.9141,239.2498,5.3206,203.1221,209.4339,89.005,58.4919,3497.7271,87.5036,10.7719,212.0427,534.5699,125.275,26.5156,24.306,55.702,17.2016,21.3287,73.1204,231.6992,129.0055,94.2049,1354.2307,1176.4143,2412.733,791.6574,748.4993,269.8808,32.1361,939.6664,23.1283,72.7865,5.1544,177.3409,70.4258,62.7021,87.4785,188.7927,148.0699,12.6596,19.3468,32.8132,0.0
VNM_C20,3315.419,68.6046,255.284,92.485,10.132,240.1265,1412.6547,178.9183,454.6185,149.1122,2782.8589,75.1966,1183.4109,503.326,123.0385,103.1087,252.0185,180.8339,17.7894,137.5417,77.971,1092.4795,5.6583,44.0566,344.4302,136.1475,17.6761,5.442,1.1877,2.8324,0.2638,68.1061,11.7999,5.0661,2.5814,23.5456,56.1571,88.8473,39.709,45.7746,25.6415,34.6687,24.4326,113.1593,0.0
VNM_C21,224.763,24.0136,5.3115,0.6883,0.0496,148.2418,4.5907,0.9128,0.283,0.0585,3.099,883.2891,4.5288,9.8257,0.2142,0.2662,0.051,0.4037,0.0485,0.0218,0.0144,0.7902,0.1255,0.5935,3.1611,20.7699,1.1354,0.0666,0.0335,0.1346,0.0,0.5816,0.2267,3.4584,0.0103,3.3105,0.9178,7.6733,0.4592,5.7698,101.66,1417.2033,14.6612,3.0518,0.0
VNM_C22,115.5287,17.585,174.7714,33.6839,0.1149,159.3356,1151.2828,32.6496,140.1935,13.7324,121.8236,17.9241,3378.8608,30.8175,8.1904,11.5702,260.4317,958.9052,48.5837,146.787,105.3954,253.453,3.4039,7.6865,121.2941,132.7295,150.5625,11.1014,0.092,7.8594,0.1147,8.9209,1.3022,0.5433,4.0973,7.2767,3.1927,20.1196,3.8985,16.2002,8.344,4.3703,2.3392,8.5226,0.0
VNM_C23,57.6279,2.0721,4.4496,4.0273,0.0238,36.7639,5.5368,1.8977,4.9501,0.1415,58.6735,18.3647,68.2126,2093.8146,43.2431,17.2291,278.2434,97.2954,1.1606,125.4304,6.9277,221.1253,1.9316,5.6367,6558.1651,60.651,8.0733,5.4097,5.9207,9.5361,0.1337,18.9895,1.1614,93.1127,1.0216,18.8283,352.1515,65.6643,5.9356,27.3918,11.3716,3.0818,14.6191,38.8756,0.0
VNM_C24,51.6055,3.4837,382.3574,38.4517,0.0035,129.0593,7.9409,23.3698,13.6919,0.3006,34.6271,0.6628,110.5026,84.2563,2843.103,812.8096,154.8774,1829.5825,196.0578,417.7555,399.5259,393.9655,15.1815,2.3073,2095.6684,60.0464,4.2809,1.3613,9.3304,8.4693,0.0029,0.5836,1.9202,35.9268,0.1016,10.2707,67.5841,30.5178,1.6963,3.8161,1.4732,0.3403,0.7793,8.5317,0.0
VNM_C25,56.4959,15.5921,245.0525,4.2362,0.0289,36.9433,181.0867,27.733,17.8098,0.1026,15.9181,1.1497,57.5926,45.1748,201.021,92.0981,272.4584,188.168,100.1615,99.6048,20.7127,282.7056,15.7062,3.5001,357.7044,77.5537,14.909,9.416,5.0365,6.788,0.0206,3.1011,0.5383,2.9683,0.4825,6.9646,12.8953,25.2184,2.8285,13.3268,7.8301,1.529,1.3922,6.4295,0.0
VNM_C26,30.4265,4.2934,3.8304,1.6836,19.3749,8.7189,94.4045,5.5108,7.4496,0.4808,19.8755,2.9652,13.2479,9.8732,3.1133,2.7228,40497.2164,1615.6087,204.0329,26.4005,24.1031,134.1124,14.857,8.3654,123.0322,383.5767,13.14,3.5892,13.8685,29.4551,1.3212,35.8445,42.466,2168.2628,99.8813,69.4373,32.0208,61.9718,65.7894,142.4893,111.3603,9.7655,12.9889,248.1079,0.0
VNM_C27,108.3514,31.3901,134.7983,8.8745,12.3075,35.2517,141.2613,10.0418,26.0071,26.9166,15.3634,1.8605,73.7861,46.2823,119.5707,47.4264,2941.3069,1669.7318,245.3927,468.9346,87.4369,645.7624,400.3918,28.62,2238.8135,496.567,92.3346,17.3217,5.4396,23.16,4.9409,49.2788,21.3591,62.292,18.5266,46.1063,47.3161,384.0385,46.6688,117.9432,115.8496,39.4717,15.4279,86.6761,0.0
VNM_C28,214.3009,0.9538,1121.7133,4.3857,0.1988,4.7876,72.2442,10.033,7.8282,0.1253,0.8348,0.5282,24.2028,8.2802,27.6982,3.1753,12.1096,3.4544,931.5912,50.6592,17.5669,41.2464,0.4144,11.2227,240.4166,89.9784,6.2223,14.1609,0.6915,4.7809,0.001,1.5922,1.011,2.7374,0.3963,24.5578,1.8411,35.4456,8.981,4.6073,14.3738,17.1157,1.1374,3.9065,0.0
VNM_C29,5.0582,0.1562,23.0476,0.6241,0.0359,0.5133,1.5675,0.3443,0.1019,0.0794,0.0691,0.0364,0.5723,0.9371,0.5059,0.2317,8.5776,4.8674,0.6954,2658.6196,0.418,2.5722,1.2691,3.4217,12.2822,6.0358,20.3766,0.9674,0.0233,3.0193,0.0144,0.2585,0.2729,0.182,0.1433,0.6013,0.5349,1.7422,1.8092,10.5868,0.8666,0.4394,2.6271,0.3622,0.0
VNM_C30,8.3595,0.3035,0.0273,0.2302,0.0034,0.6553,22.1017,0.9247,2.177,0.0135,1.0601,0.004,0.5284,0.6517,0.3122,0.0405,0.0249,0.9851,0.5494,0.0168,965.2753,0.668,0.0648,2.8617,10.2114,82.3628,2.7248,22.3041,0.0002,17.0424,0.0005,1.1652,0.1591,0.0104,0.0067,0.1928,1.2274,0.206,21.6881,0.872,0.1106,0.0551,0.0355,0.0247,0.0
VNM_C31T33,318.379,61.8512,357.8738,28.8934,23.4422,173.9125,463.9318,71.6345,61.924,43.4318,66.007,41.4889,99.148,84.8809,79.025,25.6511,466.7017,79.9479,11.4842,27.9834,185.146,411.8659,411.1226,65.0513,342.6018,499.8008,26.1992,155.0108,498.642,268.8697,3.3103,113.8299,13.8422,21.0341,14.5385,161.8268,132.1351,92.9271,52.8282,336.1015,194.2022,99.4436,38.8361,37.3,0.0
VNM_D,509.1751,130.0139,252.9779,165.9393,31.9891,387.119,691.7806,97.6545,171.8027,53.436,175.4695,17.0553,386.226,781.6362,307.19,63.2665,128.5878,99.9746,21.265,32.8397,65.7157,245.5654,482.3207,81.8573,109.5271,1078.0129,15.1791,2.5226,1.9449,51.2531,4.7719,302.6792,38.2014,95.0878,19.1657,187.7677,225.5194,59.7502,15.4463,119.1319,111.934,31.498,31.4803,65.6275,0.0
VNM_E,38.7696,6.9339,19.0894,1.4773,0.19,87.1036,80.031,7.0276,17.3835,55.4853,8.7888,4.12,28.0236,44.8466,16.7333,5.2649,13.2557,12.2526,3.0917,4.126,4.9611,27.2631,15.1239,176.4044,48.5383,99.0076,3.7649,1.4972,0.1943,5.6827,0.1214,56.2139,3.6736,2.97,1.6466,7.4748,54.2666,6.9226,9.2695,26.8476,31.4557,15.6357,5.5959,22.4928,0.0
VNM_F,211.6279,15.8846,140.5049,6.3411,0.0525,16.3725,111.3946,5.4239,7.7071,2.4454,15.4324,1.3786,13.4309,8.1792,5.4465,3.2747,9.2884,5.154,3.7706,1.285,1.1786,66.5526,31.2277,7.6409,2452.621,416.0156,67.9631,2.4391,1.3542,20.6749,0.0488,51.5927,5.2171,32.0892,1.3138,15.0612,1471.8956,39.751,18.0248,159.4718,185.5189,27.6357,29.7333,15.2139,0.0
VNM_G,1610.524,863.23,263.0626,32.1874,7.3945,4226.609,1299.8631,203.6361,316.9691,171.9157,389.7851,100.784,622.5738,429.0837,182.174,66.2121,2871.2272,528.7359,94.2642,263.8815,162.3904,566.1086,95.4149,26.2161,1251.373,417.9038,198.0196,13.2708,8.4379,120.8289,5.8818,393.0025,50.0745,158.1217,12.7575,50.0921,98.2382,121.8382,32.2466,130.6305,94.8693,139.8169,89.7194,61.0231,0.0
