V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_A01_02,251.616,0.0,0.0003,0.002,0.0002,872.2349,8.4227,8.5137,0.0003,0.0001,0.0002,0.0085,0.0001,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.102,1.8965,0.0003,0.0056,1.1983,23.8407,4.7314,0.0,0.0,0.0072,0.0,91.2592,0.0001,0.0022,0.0002,0.0024,0.0124,0.0042,0.0016,3.0672,1.1437,3.1388,0.1022,0.1701,0.0
SEN_A03,0.3987,11.6152,0.0023,0.0548,0.0014,162.9661,0.1016,0.0266,0.0236,0.0082,0.0591,0.0053,0.0094,0.0933,0.0104,0.0231,0.0007,0.0154,0.0034,0.0001,0.0121,0.0292,0.1025,0.0234,0.5416,0.1226,0.075,0.0027,0.0107,0.0449,0.0002,5.3003,0.0057,0.0908,0.007,0.0313,0.0075,0.0956,0.0314,1.1141,0.1596,0.0496,0.0037,0.0057,0.0
SEN_B05_06,0.0,0.0,2.2507,7.8737,0.0511,2.2785,0.0,0.0002,0.0,2.5751,26.7177,0.0,0.0,9.296,0.0252,0.0217,0.0,0.0,0.0,0.0,0.0,0.0043,0.5213,0.1765,18.7238,0.0475,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_B07_08,1.6358,0.2636,0.8611,16.3155,0.1382,8.5827,0.776,0.2236,0.1996,0.0692,58.0166,0.029,0.0792,24.6825,61.1363,0.241,0.0057,0.1306,0.0286,0.0009,0.1029,1.2965,0.868,0.3378,75.2879,0.6527,0.599,0.0227,0.0906,0.3179,0.0019,1.1603,0.0483,0.7645,0.0589,0.2601,0.0346,0.8007,0.2622,0.7083,0.3971,0.2216,0.0261,0.0551,0.0
SEN_B09,0.0013,0.0002,1.5061,25.2423,0.2822,0.0049,0.0006,0.0002,0.0002,0.0001,0.0004,0.0,0.0001,0.0006,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0002,0.0007,0.0002,2.721,0.0005,0.0005,0.0,0.0001,0.0002,0.0,0.0009,0.0,0.0006,0.0,0.0002,0.0,0.0006,0.0002,0.0006,0.0003,0.0002,0.0,0.0,0.0
SEN_C10T12,93.4612,4.7599,0.0592,1.1661,0.0293,331.4292,6.2714,0.5432,0.4668,0.1793,1.5414,0.9408,0.3193,3.5917,0.2453,0.5044,0.0126,0.295,0.0718,0.0031,0.2717,0.6181,1.8379,1.0024,9.3249,25.9834,3.1638,0.0478,0.1908,3.1843,0.0069,125.9715,0.1237,2.1041,0.1553,1.2947,0.1782,2.0219,0.6673,11.7374,2.1826,3.7479,0.274,0.3884,0.0
SEN_C13T15,1.6062,0.0391,0.0022,0.0499,0.0016,1.1917,59.2196,1.92,0.0261,0.0015,0.0681,0.0057,0.0287,0.0957,0.0035,0.0094,0.0006,0.0135,0.615,0.0001,0.0581,0.7973,0.1281,0.1008,0.3622,0.1171,0.0903,0.0028,0.0115,0.0359,0.0003,1.5,0.0086,0.0855,0.0079,0.0404,0.0058,0.1259,0.4508,7.1514,5.2943,1.3369,0.1516,0.3641,0.0
SEN_C16,0.0114,0.0362,0.0019,0.0272,0.0011,8.6176,0.5096,12.0984,0.0749,0.0004,0.0451,0.002,2.7683,0.009,1.9127,5.5744,0.0,0.001,0.0003,0.0058,11.0786,17.9875,0.0076,0.0625,22.2373,0.0368,0.068,0.0013,0.0138,11.9114,0.0007,0.0201,0.0007,0.0323,0.0279,0.1843,0.0031,1.1703,0.037,0.8405,0.7963,0.1724,0.0292,0.0475,0.0
SEN_C17_18,0.3643,0.2835,0.0386,1.514,0.1621,17.1351,0.2946,0.1885,16.1292,0.1282,2.6074,0.3856,0.3139,11.366,0.0162,0.0418,0.0067,0.0271,0.1011,0.0171,0.027,0.3186,0.3023,2.7311,4.0004,9.9863,2.0067,0.0848,1.1806,3.3798,0.07,1.8013,6.5047,5.5374,2.9049,14.22,0.4923,11.6616,4.8443,13.5778,14.5273,2.9533,0.6642,0.7655,0.0
SEN_C19,5.3115,13.0228,0.5807,15.6824,0.6122,21.7037,0.7468,0.4591,0.3045,0.1562,23.403,0.271,0.5914,16.9799,0.1938,0.2536,0.0041,0.1639,0.0588,0.0098,0.0685,0.5643,65.9806,4.5803,56.4664,17.8255,40.2672,0.9859,3.4932,7.6651,0.027,1.7759,0.2048,4.3536,0.3994,3.3923,1.0855,15.283,3.7007,16.4866,1.9032,3.1693,0.2591,0.4361,0.0
