V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_A01_02,26559.8969,188.5619,52.4888,6.4574,4.4575,14998.0624,1861.8561,621.9734,248.3714,15.0203,254.9055,85.0642,101.4465,27.6558,15.579,13.1295,15.0934,8.6689,13.3367,16.7202,4.6611,122.5906,104.7683,27.6071,172.7648,667.5162,64.9281,27.3603,23.4822,28.0758,4.165,1905.1037,27.77,46.3561,13.1855,49.0823,58.6077,83.1872,104.7081,344.8285,139.0234,240.2355,68.8882,116.1139,0.0
PAK_A03,38.3996,486.5579,2.6042,0.2636,0.235,322.786,8.5246,0.7237,0.9833,0.8256,2.5224,0.9724,0.6158,0.9014,0.6668,0.489,0.7696,0.408,0.6774,0.692,0.1939,2.1219,2.0142,0.7526,3.2736,14.9082,2.8365,2.0826,1.3446,1.0131,0.1515,162.815,1.428,2.0495,0.5836,1.4337,1.0971,2.6008,1.5943,8.9999,3.2949,6.8693,2.1122,2.6566,0.0
PAK_B05_06,63.0623,4.17,488.2149,17.6545,11.9043,50.1818,52.8893,2.2615,25.6678,3632.7332,169.7622,6.2706,8.4794,104.1677,134.0439,9.3162,4.0393,2.6355,5.4745,4.5976,1.9919,7.3194,2801.2026,13.1141,45.8097,55.5485,45.7325,7.938,7.078,9.8501,2.5177,22.3893,2.6763,5.2753,0.835,5.2873,14.4877,14.6973,9.3836,34.6011,22.0003,19.5109,6.5906,14.9982,0.0
PAK_B07_08,16.15,0.807,13.0371,20.8766,3.2707,4.8831,3.5913,0.1865,2.5968,6.257,40.0741,1.5693,1.054,179.6424,195.7891,3.627,0.9687,1.9011,1.0919,0.8404,0.2549,3.6654,19.4705,2.8669,123.8108,3.4394,1.8831,0.1364,0.1042,0.9649,0.0327,1.0149,0.1316,0.3027,0.0647,0.2104,2.3932,1.1151,0.9803,5.2244,0.6742,0.7624,0.4508,1.0957,0.0
PAK_B09,3.8054,2.5911,185.2772,14.3606,15.6135,0.9935,0.6068,0.0366,1.2683,44.1807,3.8249,0.1416,0.2819,11.6725,12.4895,0.529,0.0669,0.0579,0.2226,0.0675,0.0479,0.2051,22.0687,1.1561,26.6966,1.115,2.9479,0.2525,0.2705,0.6135,0.0246,0.1903,0.0549,0.1094,0.0336,0.1024,1.1044,1.1468,0.4413,1.5767,0.1861,0.3186,0.1364,0.1616,0.0
PAK_C10T12,3128.415,195.0711,6.0055,1.1343,0.5514,1978.0321,152.3072,2.5276,16.9423,4.6489,106.7943,37.6115,12.0715,7.7835,5.088,3.929,5.1643,3.2067,4.445,4.4623,1.143,13.6548,13.9715,8.2404,16.8194,204.2804,15.9218,17.3609,9.6115,9.4469,0.9546,2089.5322,14.0249,12.7186,4.6297,15.0012,10.3501,25.5592,20.0947,150.4756,114.7423,193.2484,44.8252,55.4324,0.0
PAK_C13T15,109.5534,29.6173,18.7407,2.3014,1.6203,50.0874,8172.0866,7.9215,36.3731,5.9208,27.0195,11.9958,35.8081,17.7602,9.7331,14.3691,17.4166,10.3508,16.1956,43.6737,6.7069,129.2714,22.6006,17.8388,60.3001,201.7155,28.335,8.37,9.1558,10.8198,3.9157,49.3249,15.9884,21.0301,4.6128,15.9738,10.97,39.2765,35.2522,174.6296,38.4817,119.8626,30.4231,108.3644,0.0
PAK_C16,81.8411,6.7583,6.1937,1.9834,0.3827,31.3088,41.6808,416.3801,74.5768,0.7395,13.3678,2.6107,12.8588,32.014,6.6534,15.9617,6.6493,8.1335,8.7879,24.8203,10.3229,528.0729,39.3667,5.1014,500.7575,74.8965,8.8572,1.6874,0.8945,7.2747,0.5391,10.2509,5.2336,3.3929,1.0106,2.7537,45.1871,12.2185,10.008,14.725,11.6663,9.8478,6.1519,41.3552,0.0
PAK_C17_18,92.3071,14.003,5.967,1.5461,0.5065,280.3031,208.0845,20.1383,1247.957,2.0075,59.5712,46.6847,38.9767,52.6444,9.0401,13.6637,26.6912,20.0558,13.9139,14.2001,2.6625,73.4055,17.3547,14.7699,28.9038,347.1533,21.3456,4.9043,4.4514,19.0818,11.2474,58.9853,377.178,47.0652,21.3129,108.9188,22.7274,150.8336,67.8233,196.6703,137.8718,94.1909,36.5135,78.1013,0.0
PAK_C19,1055.945,225.2991,111.2647,31.5684,15.5708,90.9171,170.0921,15.8677,36.6585,295.5456,286.2598,20.4313,39.9428,139.0153,71.3198,23.5435,17.4459,17.5392,16.9392,21.759,6.3947,53.0684,309.2843,82.748,236.2219,526.339,1510.0992,394.2103,562.0493,103.7091,26.5027,63.6387,19.5704,46.0612,9.8377,56.5027,34.9946,80.538,80.3531,320.5932,76.6973,123.5319,29.8083,103.6803,0.0
