V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_A01_02,7016.8461,1.6148,8.5676,2.1048,0.9062,5343.6477,12.7937,201.9832,173.0461,0.3805,53.4729,10.1,0.8922,5.4505,1.53,0.5027,0.1555,0.1326,1.0226,0.0606,1.7496,30.6711,12.4795,0.9125,6.2323,1498.6236,56.0366,39.814,15.1011,43.1097,0.0589,118.1302,0.0592,0.0599,0.191,0.885,10.9801,2.0515,19.4361,101.1129,123.6815,46.324,2.2923,0.9618,0.0
UKR_A03,76.2338,16.3942,0.011,0.0027,0.0011,7.122,0.0181,0.2723,0.2158,0.0005,0.0685,0.0132,0.0011,0.007,0.002,0.0006,0.0002,0.0002,0.0013,0.0001,0.0022,0.0396,0.016,0.0037,0.0188,1.9599,0.0509,0.0652,0.0356,0.0407,0.0004,0.1532,0.0003,0.0001,0.0002,0.0,0.0143,0.0026,0.0249,0.1295,0.894,0.0593,0.0029,0.0012,0.0
UKR_B05_06,98.5536,0.0135,199.5455,50.7159,25.89,366.9181,3.67,16.972,30.4011,1451.826,304.9239,4.5586,3.2723,203.2265,1207.531,8.3904,0.9333,6.7631,28.1678,2.2677,15.9834,4.0837,2755.3637,5.8076,12.0298,188.7703,410.1924,100.4971,70.6665,138.2488,2.7704,9.5605,0.568,2.2865,2.0039,0.6446,0.4967,5.8361,36.6314,44.2553,80.5931,26.0248,10.8078,3.8779,0.0
UKR_B07_08,2.8752,0.0004,16.7969,47.5442,8.5694,21.1719,0.1927,0.0648,0.1587,10.5438,15.3895,0.056,0.5334,194.2191,1402.1798,1.1192,0.1614,0.3675,1.1125,0.1565,0.1733,1.3515,0.36,1.7923,240.3833,17.6358,24.4699,3.0771,4.9568,15.7997,2.3448,0.5341,0.3385,0.1045,0.3739,0.6244,1.1986,0.935,6.9845,0.0,0.4458,0.1895,0.1589,1.2649,0.0
UKR_B09,9.3483,0.0013,92.8966,175.6403,114.8186,41.2829,0.1206,0.3264,0.503,32.1031,4.0304,0.1232,1.303,133.3507,166.6224,2.2028,0.056,0.2356,2.6645,0.3459,0.1304,1.3235,1.3832,3.77,201.547,41.7577,89.2481,8.9015,11.9235,44.6101,0.0,1.3455,0.0325,0.0,0.8058,0.2246,3.6345,2.1866,13.2466,0.0,1.3611,0.8119,0.1513,3.0238,0.0
UKR_C10T12,157.3329,0.1098,0.8259,5.8415,1.5622,1670.58,0.2641,0.1391,0.272,0.1003,1.6377,1.6118,0.0626,0.2686,0.336,0.2554,0.0423,0.1034,0.2685,0.7195,0.5173,1.6589,0.6833,0.193,0.7215,133.0123,2.2342,1.6162,1.5033,1.4517,0.1667,101.9341,0.3319,0.1768,4.9366,0.2042,1.5992,20.7613,2.7986,23.1609,28.8936,13.4277,0.6067,1.0947,0.0
UKR_C13T15,2.0319,0.0014,6.6512,3.2506,1.4171,22.2708,107.5609,5.4747,13.9824,1.0536,7.5175,2.9158,6.5262,2.5973,6.7669,2.7824,0.4863,0.9962,1.8081,1.2549,4.7262,27.3251,6.097,1.0819,7.4077,66.8993,4.7291,1.8559,1.9419,3.2608,0.5463,3.5149,1.0948,0.4425,1.1553,0.1344,7.766,4.5557,4.9701,22.2019,4.0755,4.385,2.6624,3.767,0.0
UKR_C16,13.5404,0.0093,5.5652,0.8643,0.3021,134.5434,1.2672,337.7458,35.0052,0.7843,6.6712,5.4353,6.5298,17.1447,3.6059,7.4789,0.6387,3.2824,2.9422,1.4434,1.3006,38.8489,3.5479,3.8914,37.0654,62.4778,4.6419,1.3927,0.7715,5.9802,0.0763,1.3282,8.0696,0.7576,1.7462,0.4941,6.7614,6.767,2.6406,44.3361,6.9299,3.545,1.4953,4.3202,0.0
UKR_C17_18,15.9181,0.0109,5.9481,1.1832,0.4601,494.4216,4.2335,31.6499,359.9361,1.9635,19.196,40.1384,11.5725,23.3388,7.0763,7.0398,2.0296,7.5617,3.7832,1.6352,1.461,19.6244,4.944,10.7936,2.6854,235.5566,15.2804,2.7275,4.6837,16.2143,0.6962,5.5948,125.2552,6.4195,17.5217,6.4971,9.7243,55.4957,12.3469,218.2231,35.0035,23.8476,9.4757,9.8168,0.0
UKR_C19,618.9241,0.4309,42.0559,123.3349,35.93,136.3286,3.5304,17.3004,15.0273,53.9627,40.7789,3.625,4.9073,61.8731,712.4418,4.9433,1.0311,17.694,9.0684,2.4396,4.7216,16.7743,88.9527,26.9351,188.3106,426.7712,387.7493,96.9209,163.5663,53.5399,7.7398,5.0093,2.0736,2.8994,3.1838,1.1918,23.2117,31.5764,27.2471,27.3266,13.374,28.0783,2.3306,6.2153,0.0
