V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_H50,0.014,0.0011,0.0021,0.003,0.0013,0.4406,0.9961,0.0015,0.0843,0.01,0.2838,0.0401,0.0875,0.0733,0.4299,0.11,0.0102,0.0583,0.0393,1.4721,0.0501,0.0841,0.6773,0.0709,2.1451,0.0064,0.0184,0.001,0.078,0.001,0.0024,0.1441,0.0209,0.0355,0.0113,0.0028,0.004,0.0219,0.0486,0.0087,0.0013,0.0029,0.0022,0.0035,0.0
MAR_H51,24.3949,3.015,0.0306,8.1312,0.0206,40.0572,26.5564,1.7652,5.3474,0.5799,21.8348,2.7189,4.3931,15.3752,10.5665,7.0506,2.6182,12.94,1.7237,32.1955,2.1965,4.6126,16.2459,2.4757,56.6054,20.5742,16.1099,3.7905,9.6047,1.3647,0.3869,4.6627,1.1289,2.5295,0.6545,0.285,0.2249,1.0314,2.4244,7.2851,1.1499,2.6786,0.2908,1.2742,0.0
MAR_H52,23.0989,1.5779,0.1184,18.7084,0.0416,32.6944,3.9765,1.4543,3.2296,0.058,18.3157,1.8648,1.67,10.4062,3.2545,3.2467,1.2766,8.8671,0.4798,3.8711,0.4887,2.2599,1.497,0.289,24.4494,40.3541,19.4449,9.1706,20.1445,14.6232,0.2788,2.6194,2.3546,1.0978,0.3292,3.5037,0.0674,0.4089,1.0662,9.0759,2.2778,3.9091,1.3029,5.0886,0.0
MAR_H53,0.2958,0.0427,0.0004,0.0911,0.0013,0.5166,0.1381,0.0347,0.0861,0.002,0.4098,0.1154,0.0368,0.2202,0.031,0.1573,0.0265,0.3516,0.0283,0.347,0.079,0.1252,0.3949,0.108,0.9285,5.1543,0.4806,0.1058,0.2182,0.403,0.5572,0.2305,0.1454,1.4323,0.2753,2.8371,0.0396,0.3184,0.5513,6.4241,0.9736,1.4543,0.0835,0.3433,0.0
MAR_I,0.8423,4.0337,0.0131,4.0349,0.0588,4.8347,2.6521,0.5138,0.917,0.0115,10.5114,2.9478,0.9339,4.8302,1.1018,5.0155,0.7727,9.2051,0.9376,10.8818,11.207,2.3187,1.1815,0.3385,2.0524,12.3161,3.7209,0.5805,6.356,1.3671,4.4276,21.591,9.8639,49.6267,9.7479,103.6769,7.1635,12.2973,38.582,242.3293,25.4571,33.8151,5.9345,25.6019,0.0
MAR_J58T60,0.2398,0.2433,0.0141,6.5183,0.0063,22.3928,7.2408,0.5456,1.5546,0.0323,9.787,2.7244,3.6228,21.9817,2.6387,1.978,0.9908,10.1084,0.4453,3.7935,1.3464,1.2472,13.5015,2.9773,9.3604,19.2411,0.5445,0.1206,0.5844,0.3842,0.1525,5.9094,20.6603,2.9692,3.1271,6.7954,0.2584,10.4927,2.8647,11.1794,11.4432,6.794,4.4333,7.7517,0.0
MAR_J61,9.2822,1.195,0.0147,2.6756,0.0555,12.5739,3.1079,0.9759,1.9613,0.0395,9.3228,2.43,0.897,6.0474,0.7092,3.9851,0.6188,8.5798,0.692,8.0562,2.2747,3.4184,9.4572,2.0746,32.3234,99.3303,17.9563,2.9783,8.5755,9.403,0.4619,8.8238,5.2661,46.322,11.9385,62.3286,1.2352,8.2765,12.792,126.3358,23.7609,42.4756,2.188,6.9336,0.0
MAR_J62_63,0.003,0.0004,0.0001,0.0656,0.0003,0.1791,0.0591,0.0034,0.0306,0.0006,0.0885,0.024,0.0057,0.0838,0.0207,0.0283,0.0235,0.182,0.0038,0.1723,0.0422,0.0355,0.0987,0.0173,0.2127,0.6047,0.2986,0.0698,0.3377,0.2151,0.0187,0.1528,0.1213,0.4511,0.4687,1.0241,0.0048,0.0947,0.1308,0.6366,0.1708,0.2891,0.0387,0.0924,0.0
MAR_K,97.4123,60.7455,0.2957,49.0319,0.5341,195.603,66.9314,12.2017,31.0972,0.736,65.7393,11.7657,28.778,63.187,84.0556,60.187,10.331,93.1072,4.9977,234.5613,16.7604,41.6232,307.6767,55.6443,1247.0259,742.577,95.7022,23.6414,51.9413,38.6086,11.3195,174.9916,17.206,156.2586,314.5601,1529.6099,370.8606,317.6488,667.4217,324.0053,17.033,33.0868,6.7492,23.5794,0.0
MAR_L,0.6432,0.0846,0.0078,6.4021,0.0429,36.758,7.7905,0.8573,5.0667,0.0357,10.9808,2.5475,1.2507,13.1611,2.6446,5.8233,1.9633,20.2811,0.5677,21.5623,4.4822,8.1817,9.3125,1.6053,44.3187,173.1115,49.8,6.7827,20.179,42.8247,2.3557,41.9261,12.5051,42.2333,18.2809,87.8647,11.9891,25.1468,44.4162,65.067,32.4538,55.7168,8.9853,27.2308,0.0
MAR_M,1.6417,0.2158,0.0458,21.0652,0.7652,111.4722,13.8382,1.7061,11.7166,0.1882,53.2868,19.5138,2.6989,33.5385,7.3029,10.7237,5.9035,69.0016,1.5796,75.0366,11.3923,19.564,30.0169,4.6879,150.5751,232.6316,83.4391,21.1149,59.5334,55.3857,2.8327,43.3743,28.731,68.7814,40.6225,203.3507,7.1384,99.6555,76.9458,121.5365,39.9324,67.5598,15.1433,39.5809,0.0
MAR_N,2.3598,0.2614,0.0356,26.3882,0.8547,104.3327,16.1607,2.538,15.2875,0.1262,51.7688,15.0173,3.4069,49.7795,12.1626,15.8919,6.1855,68.7402,1.7768,82.0433,10.1202,31.5706,53.9321,10.3174,145.9206,285.5807,203.3421,53.4158,168.6796,145.0579,10.4741,85.4149,38.5516,122.2284,77.6416,286.3453,23.048,85.0509,363.6198,261.8274,104.3741,209.1696,35.8609,63.8776,0.0
MAR_O,6.4015,0.1817,0.0374,2.7346,0.0676,2.6397,1.1369,0.6163,0.1374,0.0115,1.2699,0.2469,0.0398,1.912,0.1531,0.2202,0.1509,0.7531,0.0984,7.1385,0.6858,3.8799,4.9163,0.844,3.0008,12.1812,1.1983,0.1722,0.43,0.8553,0.1788,1.1755,0.3773,1.6383,1.282,8.184,1.5231,1.3409,1.9067,12.5055,3.2783,3.8401,0.5492,1.1825,0.0
MAR_P,79.6085,0.0,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5192,0.0,0.0,47.2827,0.0,0.0,0.0,115.766,90.973,46.47,5.2346,22.1302,0.0
MAR_Q,58.2483,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6504,0.0,0.0,23.7246,0.0,0.0,0.0,74.5024,9.8866,107.9529,4.3087,14.5953,0.0
MAR_R,0.0,0.1098,0.0182,4.6252,0.0006,5.9519,2.7498,0.323,0.9132,0.009,1.54,0.4562,1.869,8.2638,1.5771,1.0916,0.5733,4.3326,0.1552,1.4385,1.106,0.3176,5.6455,1.1745,4.2037,5.7891,0.1507,0.1057,0.1131,0.1082,0.0402,3.2967,3.2955,0.3954,1.2375,0.1001,0.0828,2.7535,4.5636,3.6634,4.415,3.5645,10.2763,2.4495,0.0
MAR_S,0.0,1.0124,0.081,16.7546,0.0403,22.9987,9.8717,1.3762,3.3131,0.1085,8.4973,2.0195,7.8644,47.3061,4.9854,4.7676,1.7212,18.4529,0.6828,5.7577,1.9883,2.1247,34.754,10.3409,16.5342,25.5418,0.6524,0.1448,0.4944,0.3743,0.1537,9.1786,5.0012,1.3477,7.1383,0.445,1.119,9.0454,13.5342,11.7975,7.7063,18.835,5.0546,30.9447,0.0
MAR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
