V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,674.1948,0.8195,0.3054,1.4661,0.0263,645.0933,7.0541,215.1335,182.3081,5.5403,64.9341,5.3585,68.9718,4.6307,7.4551,12.7464,5.9042,3.8664,6.4505,18.277,0.6778,15.5221,43.4008,3.4861,28.7237,242.9555,11.4182,0.2625,0.4332,24.6077,0.4467,12.8276,1.453,1.3584,9.3184,3.962,5.4373,21.1145,28.2094,6.7942,2.9337,7.2982,1.7616,3.9098,0.0
SVK_A03,0.0812,0.2882,0.1884,0.7892,0.0001,2.0231,0.0207,0.0051,0.0128,0.0089,0.0235,0.0048,0.0391,0.0281,0.0167,0.0299,0.0205,0.0177,0.0216,0.0684,0.0016,0.0155,0.0394,0.2879,0.027,1.2758,0.0296,0.0004,0.0008,0.0163,0.0014,0.2515,0.0095,0.0144,0.0427,0.0368,0.0267,0.258,0.0461,0.0191,0.0165,0.0412,0.0202,0.8139,0.0
SVK_B05_06,0.461,0.0025,0.4728,0.7308,0.0041,0.3171,0.0981,0.2271,1.7157,7.3612,0.1628,0.0137,0.1931,1.5077,12.7562,0.2832,0.1115,0.1592,0.2145,0.6704,0.0117,0.1711,29.0067,0.1374,4.8298,0.99,0.7653,0.0056,0.0269,2.4981,0.0473,0.0384,0.0359,0.0558,0.0586,0.3532,1.01,0.5536,0.2621,0.2215,0.083,0.0596,0.037,0.072,0.0
SVK_B07_08,3.7083,0.0066,0.442,9.3325,0.1652,1.6456,0.657,0.5791,2.6674,27.835,1.9707,0.3268,1.3952,39.3595,86.0285,0.9657,0.212,0.4094,0.5928,0.844,0.0429,0.3344,45.1835,1.0278,51.6108,3.0896,2.3752,0.0105,0.0059,15.4595,0.0528,0.1688,0.0213,0.0294,0.0864,0.0945,13.1396,1.8371,2.7575,0.521,0.2243,0.1202,0.0915,0.2521,0.0
SVK_B09,3.6236,0.0072,3.946,10.2673,34.3027,0.5799,0.0423,0.1086,4.7053,61.3097,0.0665,0.0012,0.154,4.4754,6.8061,0.4005,0.0008,0.0039,0.6402,0.0566,0.0249,0.0362,30.3732,0.9801,11.66,1.0582,0.9579,0.0,0.0,15.9739,0.1314,0.0038,0.0109,0.0,0.0052,0.0052,24.0912,2.6702,0.5211,0.2193,0.3362,0.1669,0.0088,0.1614,0.0
SVK_C10T12,77.6711,0.6269,0.0057,0.0269,0.0054,240.8597,1.4055,1.5451,0.1945,0.0353,14.0304,3.4316,0.3488,0.0271,0.0475,0.0167,0.1707,0.0093,0.0486,0.0537,0.0035,1.6725,0.0856,0.1834,0.2824,68.7793,0.273,0.0873,1.5176,0.7059,0.0291,101.8027,0.8668,0.1888,0.2477,0.0417,3.0297,1.3442,2.815,7.4886,5.9791,19.5792,3.1549,11.4668,0.0
SVK_C13T15,0.8271,0.0039,0.0816,0.3247,0.0169,2.3792,144.4059,0.5676,6.6903,0.6365,0.2689,0.0825,3.2936,0.7267,0.93,13.4863,0.566,1.1224,8.0598,91.537,0.4858,10.304,1.4656,0.5511,3.0943,11.1549,0.8093,0.0159,0.1344,1.1098,0.0708,0.9917,0.3201,0.2212,0.6101,3.7873,0.4548,2.0141,1.0783,19.7315,1.4734,2.4775,0.5282,0.2604,0.0
SVK_C16,13.7344,0.0305,0.1903,0.872,0.02,7.9466,2.3062,211.7266,16.7995,1.8518,5.9062,0.3573,9.8234,8.7179,6.1832,17.1495,2.2224,5.135,9.6823,15.5207,0.5869,90.2347,16.5189,4.3119,84.4148,100.8569,6.8984,0.0788,0.3079,8.6882,0.3665,2.4889,0.9395,0.3738,1.7597,1.2306,15.5492,81.151,9.8936,3.5735,1.651,3.3198,0.7644,9.8723,0.0
SVK_C17_18,3.5849,0.0112,0.0223,0.1833,0.0172,48.3545,6.5462,3.79,170.6207,0.7927,9.0595,6.3548,9.2293,4.7784,2.1583,8.5482,2.3298,5.1428,8.3946,11.1761,0.1194,4.533,5.8767,1.0594,6.6685,60.6471,1.514,0.0599,0.2897,1.5779,1.1646,2.5559,32.053,1.7373,18.6963,9.7859,14.508,61.7221,45.0331,23.1906,18.9531,2.7127,4.4686,2.6299,0.0
SVK_C19,132.6227,0.0504,0.7733,6.649,0.5664,27.3995,7.6967,11.9394,11.1299,212.5457,59.1937,3.0503,72.7618,21.4027,54.8103,18.4175,3.678,9.767,17.2065,26.7257,0.8591,7.6727,7.5986,29.454,69.8905,223.2349,700.7149,8.9491,21.7558,85.4066,8.2876,9.6935,2.441,3.2378,9.5896,14.6607,16.809,56.7811,43.4982,26.2464,8.3661,18.0702,4.6576,8.8586,0.0
SVK_C20,50.0115,0.0067,0.0734,0.6441,0.0731,6.5998,12.7012,4.4799,21.5882,32.8597,118.8317,6.7943,189.6175,6.2298,8.3762,18.2733,9.0383,20.8051,23.9442,50.7269,1.611,5.5547,5.2819,5.6978,19.6944,18.7441,2.3517,0.0598,0.0808,4.2869,0.142,0.95,0.4435,0.2022,0.4684,0.8179,11.521,10.9985,3.4414,1.5939,1.7537,5.0685,0.693,0.7125,0.0
SVK_C21,1.1286,0.0005,0.0025,0.0437,0.0026,0.2304,0.3561,0.2148,0.6462,1.0545,2.4125,0.3806,6.0184,0.3258,0.321,0.735,0.2372,0.6219,0.8596,1.7693,0.0447,0.1535,0.2995,0.1697,0.7649,0.9519,0.4857,0.0132,0.0173,0.5456,0.0064,0.115,0.0486,0.0292,0.0886,0.2445,0.3007,1.2972,0.2008,0.1243,0.0873,4.6989,0.0522,0.0954,0.0
SVK_C22,5.5904,0.0158,0.1161,0.686,0.0463,54.0262,21.3856,2.324,24.0177,1.609,12.1782,3.5403,239.5852,14.1248,3.7178,31.2143,29.26,66.1018,30.6784,704.0556,0.7707,22.4371,3.9742,4.3023,37.0701,40.4307,7.5667,0.0806,0.1247,4.4261,0.1585,3.9183,0.8539,0.3225,0.862,1.0715,10.4798,10.0878,4.6194,2.0566,0.8412,3.5427,0.4533,0.4893,0.0
SVK_C23,9.7882,0.0294,0.723,7.2263,0.105,43.2148,18.0686,7.5988,4.5494,7.5042,6.3404,3.2935,58.9722,275.8309,66.3049,23.0283,2.5364,24.4266,26.2718,19.4615,0.9263,5.8819,10.5444,3.9711,369.2687,46.2697,15.8985,0.0801,0.1663,6.7081,0.2787,8.482,0.365,0.2575,1.316,1.9835,23.9385,17.9226,28.2664,2.9197,1.2172,1.347,3.1958,0.8529,0.0
SVK_C24,1.7604,0.0019,0.0851,0.5097,0.1746,10.8639,6.783,1.4741,7.0217,0.0377,3.1218,0.9308,48.7138,11.5582,823.5424,569.0892,43.1023,111.193,509.5598,349.82,51.2835,45.5028,29.8278,1.6845,73.9457,120.9517,4.5908,0.0351,0.034,0.8731,0.0026,0.0064,0.2942,0.0078,0.7329,0.1289,1.2842,29.0476,1.5464,0.1386,0.2611,0.1445,0.034,0.1213,0.0
SVK_C25,16.0532,0.0339,0.6958,3.9802,0.2592,26.4568,12.591,21.1828,19.4813,33.864,8.5226,1.6865,69.424,15.7875,39.7483,812.8765,15.1292,55.8736,406.6223,1636.2202,24.615,111.0298,23.1697,12.0286,126.4812,120.8972,20.1734,0.6763,2.5776,11.4118,1.9545,5.4219,0.9019,1.2603,4.7684,1.5944,17.9369,36.2829,26.6736,18.247,3.1702,6.9971,1.5979,4.5526,0.0
SVK_C26,2.0461,0.0039,0.0557,0.2957,0.0303,3.0132,1.0165,1.6625,2.2116,2.7163,5.4401,0.3457,8.282,1.2175,3.7339,24.6274,859.6335,36.7635,38.9796,68.0246,2.1278,20.047,9.5412,2.5609,17.0215,75.6117,2.871,0.1383,4.7183,1.535,0.2007,2.2096,2.4117,11.4893,19.9072,1.7165,19.7892,22.8581,8.2291,13.7855,6.8584,2.9062,1.7854,9.5934,0.0
