V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_C26,5.2972,0.1952,0.2121,1.8593,0.1238,7.2288,0.7379,5.4252,9.9581,2.3532,7.5342,14.2862,3.8923,5.0791,7.2283,13.638,165.3162,66.6518,66.4834,215.4239,27.5062,26.3732,10.0192,7.2477,148.3365,31.09,4.9004,1.3442,1.0715,6.935,1.2622,4.0975,18.636,20.5231,45.5024,5.1959,7.5291,71.091,21.8135,18.6098,7.7159,56.4565,14.8083,7.1231,0.0
SWE_C27,24.2591,0.3623,1.1325,7.841,0.4768,19.2718,2.2416,30.2767,18.0237,4.102,19.7436,10.0767,12.9479,23.8022,39.9428,49.1493,98.9349,293.5601,215.7371,188.1686,56.1495,68.5516,46.107,13.3495,404.6878,55.9051,25.97,13.2131,5.4879,30.098,1.532,10.8811,14.4549,21.9061,42.2695,4.6455,23.6679,85.836,41.5968,34.7573,12.0647,21.2985,15.6623,7.6315,0.0
SWE_C28,129.1094,1.1155,2.6206,22.1616,1.1971,121.4298,11.1231,65.2375,90.4286,46.8188,72.9986,58.142,41.5275,57.8282,106.8026,114.9242,51.3362,71.3592,740.0719,1070.8294,82.1523,148.4743,83.351,42.2433,411.2551,209.1085,72.5659,27.7715,15.4255,68.7011,4.3482,58.3416,31.8787,47.5094,78.1547,23.5755,49.0629,158.903,113.255,85.988,33.3031,90.6794,48.1256,26.6701,0.0
SWE_C29,100.1936,1.7941,3.1425,20.5489,1.0253,190.6658,17.025,52.2535,89.9678,96.0433,67.4316,78.7157,45.8526,46.3672,145.3537,149.8307,54.1603,58.5719,1359.219,4859.6451,38.514,75.2199,49.4118,61.5771,371.5314,1106.2037,261.121,18.4462,22.196,59.5423,12.8664,116.2674,51.0361,37.9212,155.8055,54.8572,104.2023,188.4079,185.0952,84.7677,52.4365,140.4656,71.3699,37.5174,0.0
SWE_C30,1.1215,1.5214,0.0,7.7422,0.2869,0.236,0.9781,4.7782,1.1878,0.0572,2.2758,0.6965,0.5364,3.3982,4.1621,2.7008,16.5254,0.4792,17.0882,21.6072,523.7564,233.0951,12.4732,2.632,5.7618,4.7854,288.8253,76.9164,220.8679,1.3081,4.6804,0.1001,1.014,0.0,11.041,7.4699,0.1179,11.2403,16.7727,422.296,0.5836,288.2078,2.4529,0.6797,0.0
SWE_C31T33,144.3508,1.3268,7.2268,41.5659,2.4289,93.5275,8.6882,88.0195,102.0054,8.9405,125.7539,68.3808,49.2232,174.6106,126.9578,94.2201,34.1937,29.0196,217.2751,218.1208,47.3718,300.3652,83.7161,39.2408,449.9893,226.2402,176.1135,97.1587,36.111,114.5854,2.1862,38.7194,14.9646,37.6779,42.8637,9.4821,44.238,124.4663,226.3387,123.9503,43.7671,281.1232,103.3822,39.9822,0.0
SWE_D,280.5134,0.7771,5.0636,126.1572,4.2293,255.0455,25.5523,264.5478,716.4657,2.2656,247.3334,85.8434,67.8525,95.643,406.6708,179.2481,42.6657,44.3231,132.1041,184.5302,24.3539,83.0171,1071.9014,245.5866,383.418,912.6809,167.0373,14.7611,11.0443,293.5077,8.744,277.8414,64.7298,149.0663,94.9943,71.7911,984.5448,301.5713,143.8961,302.3035,167.1477,341.8238,179.3389,104.8058,0.0
SWE_E,43.6693,0.3152,8.4703,50.5696,2.9321,50.4137,5.918,99.8665,359.7186,4.6776,35.768,12.3422,41.9291,60.1412,1630.107,23.2183,3.212,5.6214,53.614,45.5233,3.3146,10.5172,185.3582,710.6463,274.4554,663.6409,52.6215,4.1664,3.9442,104.513,21.0986,81.5061,27.1528,23.1951,56.5023,44.2391,2948.8595,128.871,48.7635,169.9111,124.9768,245.1087,85.5499,47.7573,0.0
SWE_F,343.4377,1.7049,10.636,154.8694,8.904,148.5159,10.2296,128.5421,228.2005,10.33,285.569,112.2825,59.1527,186.0336,175.6839,130.8041,25.5856,120.386,267.0992,370.7359,82.6718,126.2026,1445.8468,207.6016,7826.8329,1707.8505,311.585,69.0904,30.3916,661.3778,33.5601,230.2946,74.1027,98.7366,163.2223,265.3166,12608.9329,522.9619,254.6081,714.5197,378.7171,265.1421,291.5774,338.1317,0.0
SWE_G,1319.1237,22.4787,20.1526,187.4617,9.1308,2598.9323,220.346,404.8096,844.1093,708.2007,672.6944,593.1269,360.8344,374.2809,877.8261,754.4196,259.3828,381.229,1314.2639,3306.0803,193.5672,585.4563,395.8721,391.3308,2558.5002,2276.7733,1807.5922,197.7901,187.0048,2002.8859,111.7612,1790.5517,510.452,242.9597,846.7825,140.122,414.814,1285.2025,704.599,591.9287,516.3048,1377.4716,428.1214,257.6551,0.0
