V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,3636.3508,12.4189,0.7049,3.099,2.4413,23807.2287,427.942,808.3331,15.5446,0.0678,123.5555,45.6403,342.0541,53.3895,1.414,1.069,14.3618,0.4807,0.2414,2.8008,0.1944,29.263,2.3808,3.3785,192.8847,921.9844,5.0603,0.2995,0.1675,1.8915,0.3984,340.0286,0.5366,0.0327,0.0947,3.2451,19.8487,2.2776,1.5552,10.871,25.1991,10.484,0.9892,1.4971,0.0
MEX_A03,0.1517,26.006,0.0288,0.038,0.1369,473.9246,0.9037,0.0503,0.1737,0.002,0.1664,0.549,0.0405,0.0247,0.0397,0.0283,0.0208,0.0169,0.0243,0.1369,0.0046,1.3326,0.0077,0.0112,0.5909,16.6121,0.0611,0.0109,0.1296,0.0247,0.0261,21.6084,0.0272,0.0257,0.0172,0.0637,0.0704,0.0686,0.032,0.2715,0.0296,1.4522,0.5244,0.027,0.0
MEX_B05_06,0.0017,0.0001,1479.7966,0.0917,63.4012,0.0145,0.0038,0.0001,0.0017,13261.8237,4314.0825,1014.3316,0.0062,0.783,425.9002,0.0124,0.002,3.3661,0.0092,0.022,0.006,58.4593,404.109,0.0004,0.0698,0.058,0.0052,0.0011,0.0133,0.0021,0.0026,0.0052,0.0027,0.0026,0.0018,0.0058,0.0028,0.0071,0.003,0.0124,0.0019,0.0015,0.0024,0.0025,0.0
MEX_B07_08,53.0643,21.4375,6.3071,223.9037,2.5337,299.6998,6.7283,0.0172,16.2157,5.1305,627.0163,13.5788,23.356,2396.9968,8395.7026,10.1394,28.2212,21.7561,17.6416,35.3003,2.3214,4.4969,164.2776,1.7089,1401.5705,6.1514,1.1597,0.0247,0.2594,1.6227,0.0572,0.7823,0.0581,0.1025,0.0874,0.1603,0.432,0.6197,0.9153,2.0631,0.1806,1.3652,0.301,0.0836,0.0
MEX_B09,1.8679,0.0904,1109.6272,32.4996,118.7069,17.4115,2.1045,0.1773,2.1261,0.2614,5.3805,1.9204,2.6143,3.0285,1.6803,3.6874,2.787,2.2556,2.4363,18.6538,0.5997,2.3592,0.3565,0.5485,105.9498,56.4234,7.1107,1.4548,18.3222,2.922,3.5794,7.1747,3.6927,3.6267,2.414,8.0406,3.6687,9.0233,4.0837,17.1086,2.6031,2.0352,3.2943,3.4927,0.0
MEX_C10T12,3658.2314,48.9108,21.4954,11.2826,3.2693,11468.7456,238.5685,1.1489,88.8019,13.0986,173.579,114.5652,11.8048,17.1927,10.6056,15.1084,6.7145,3.7559,5.4452,22.9378,1.8493,7.424,3.1198,1.4021,32.0591,238.106,52.7761,0.5402,9.084,14.6759,0.9997,2611.6498,6.7575,8.117,2.2966,66.9463,16.5331,71.2053,57.5652,579.4781,57.6186,129.748,36.6562,11.2865,0.0
MEX_C13T15,47.8749,7.4642,19.0845,2.926,1.3997,37.5984,2195.6428,2.4837,280.2682,12.6994,31.7015,0.7185,72.4735,11.2534,7.5949,24.0695,40.6553,10.8066,14.0504,1669.875,12.6074,296.0799,1.0064,2.4522,33.5365,129.9092,79.0904,15.1316,7.1426,5.1493,2.3446,118.9748,5.2384,2.7023,0.0961,2.2097,27.9293,2.4965,19.0854,97.3174,28.7405,80.5065,3.4697,34.4563,0.0
MEX_C16,34.1818,4.5693,4.8217,35.0259,48.4122,232.6209,51.0483,331.3738,31.6483,0.8612,66.9584,76.4892,34.3943,62.2169,35.7451,107.7343,87.4868,43.898,28.6906,248.3833,5.4949,639.5632,22.5653,40.4945,916.6451,191.6699,0.6959,0.0686,3.6501,0.46,1.191,5.2673,0.1917,0.2193,0.0702,2.9157,3.8527,0.7618,23.8283,6.9606,1.0486,1.0139,0.1587,0.3607,0.0
MEX_C17_18,79.1153,0.5949,9.6911,6.5929,96.3706,906.7668,254.817,32.3823,3023.3308,13.5406,128.1719,106.9267,140.1595,166.6128,23.1802,189.5463,392.88,136.6264,69.717,402.6558,11.1953,370.5563,5.2741,15.6186,43.9949,1451.7472,59.5472,3.8836,6.4443,35.205,13.3708,294.1416,10.6155,13.3862,14.478,426.5934,264.0729,118.9039,518.005,656.9541,309.1255,147.4901,27.7442,16.8906,0.0
MEX_C19,551.8518,254.4504,568.7424,497.9621,355.0346,578.6099,61.8586,60.1683,96.617,7142.2833,1317.6989,37.1609,75.9918,253.3892,405.8068,155.8241,47.322,90.0365,47.7376,192.469,14.968,105.2441,2286.0763,70.5375,1226.7768,1363.9798,8343.3473,82.1439,1863.3638,166.5093,208.4065,108.8472,26.3973,13.6704,4.7409,92.053,115.0556,218.1036,317.8642,749.327,49.7749,189.1708,15.0794,208.1795,0.0
MEX_C20,1521.7544,4.7844,1179.2216,262.5903,40.7622,1622.7593,488.8884,81.7606,565.7907,1064.4778,5029.5293,949.1837,2851.1125,511.0092,303.6634,251.644,315.9614,433.4898,123.8492,1463.2199,18.9623,474.7525,561.7422,69.4914,357.3477,359.589,667.0679,5.1422,4.7964,50.5752,7.4394,326.0365,79.5892,10.6491,4.9084,16.2838,201.496,227.4476,340.1532,284.7415,96.942,516.5065,89.8645,109.5916,0.0
MEX_C21,104.7832,0.1927,8.5009,2.1497,1.1389,137.812,5.0172,2.5637,6.6089,6.7133,39.1895,1278.9849,18.9687,5.3847,2.1795,4.9078,10.9353,3.2929,6.6476,11.7236,0.18,85.9035,3.1603,0.4842,5.6662,17.4361,5.4462,0.124,0.9575,4.8172,0.2568,4.2377,1.3391,0.8885,0.2482,13.6844,11.706,59.8481,16.7109,185.755,10.2217,2061.0366,5.5282,8.2269,0.0
MEX_C22,91.8506,0.2444,10.8578,4.1034,10.2887,832.3029,151.713,6.0313,176.3969,17.2627,180.9014,30.7484,313.7524,60.9594,31.6111,139.3405,577.4211,290.1267,156.3073,4077.3653,57.5782,462.2478,10.3295,29.8907,912.7674,1412.9025,293.7741,5.5264,82.6185,78.9059,16.9528,192.6141,2.8601,2.2211,0.4249,12.4314,14.6247,9.4525,39.4908,86.81,8.4136,152.0363,21.2721,36.6686,0.0
MEX_C23,48.5579,7.7388,17.9972,27.2232,117.1568,921.7131,9.7227,1.9527,10.2136,21.999,129.5193,7.7766,96.8106,2068.6088,85.3687,132.5256,117.9232,154.6982,47.4161,1884.7339,9.0541,96.3195,28.7865,17.5868,7421.0643,240.3356,50.3659,0.6265,5.9088,13.2915,1.1721,177.1283,1.91,1.9573,0.9543,9.0313,22.1797,19.1416,19.1701,52.6436,5.2732,42.9797,2.9685,14.2906,0.0
MEX_C24,78.7974,0.5021,36.8093,19.2627,50.2387,48.1068,12.0605,2.207,27.7854,17.8674,28.9979,4.7191,78.2333,92.8922,4234.77,3855.2918,481.3719,2173.6831,1652.9806,6687.2105,559.87,523.6032,64.1787,22.7856,2742.421,221.311,19.3602,1.909,30.5145,39.3462,4.8068,31.8229,18.2842,8.1694,12.1681,22.1904,17.6206,23.4574,41.9849,52.7153,6.6199,11.4327,5.8847,15.1339,0.0
MEX_C25,125.8694,0.1589,196.9994,85.3603,111.9917,399.4883,30.1004,6.3944,12.3643,97.4499,63.8556,2.4342,116.4557,59.6077,828.4736,1327.9903,508.8925,583.1224,563.9375,4648.9762,107.0877,226.4328,26.9336,70.5185,2838.3692,287.1931,36.2518,0.7971,6.4412,68.7298,1.483,52.6302,56.3695,27.3571,1.6642,11.4835,31.7746,12.7445,82.9654,56.5805,46.0399,33.31,10.4848,40.5847,0.0
MEX_C26,14.8827,2.066,28.1443,56.4344,25.7913,81.2431,42.5019,10.6308,80.6113,34.6265,71.9034,22.7425,68.3435,47.1704,116.6658,167.625,332.5997,953.2173,332.1526,3891.4113,59.9809,706.5299,79.6508,38.7274,544.9531,527.2563,43.7813,1.6582,23.5206,495.977,5.8186,108.2108,179.3555,1549.194,151.9971,34.5074,139.2698,159.4696,187.7205,242.2046,113.1359,98.9915,23.1818,24.0642,0.0
MEX_C27,30.041,1.5167,33.6522,44.9326,14.2293,36.5523,12.141,11.0071,7.7868,12.91,12.3496,2.2914,42.7974,20.3735,122.615,144.5742,982.1904,1024.8541,283.6852,1888.0739,47.6667,128.4174,188.1116,6.8524,715.0436,191.1619,88.2364,1.5581,9.866,18.9974,2.7635,15.1908,25.9772,79.1249,2.6502,3.1242,58.3737,10.0779,17.7801,18.5839,9.1803,11.241,3.5426,7.4932,0.0
