V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,2262.7592,48.087,127.3461,0.0,16.0746,6869.7331,508.7643,4.7386,54.0022,0.0102,21.9004,0.7583,126.8843,0.0,0.0,0.0,0.0,0.0,0.0,0.1923,0.0,6.119,6.2568,0.115,4.905,819.4159,0.0,0.8442,0.0,0.1473,0.4984,3520.7159,9.402,2.4544,0.0016,0.1933,25.4021,0.3051,2.9902,0.1504,63.889,82.8608,5.2827,1.8785,0.0
SAU_A03,60.8132,14.7906,0.0,0.0,0.0,3.3934,0.0,0.0,0.0,0.0,0.0505,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,7.0968,0.149,0.0,0.0,0.0,0.0,0.0,436.6726,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,8.9513,0.3157,9.1175,0.0,0.2268,0.0
SAU_B05_06,0.0,0.0,43.2676,0.4994,0.6451,1365.984,508.1041,97.8322,368.3531,28686.8493,13899.0277,273.8107,438.6754,630.7528,479.8689,369.1979,18.1422,332.496,150.0726,55.57,27.1151,278.4053,1137.1428,10.6178,31.2066,0.0,2.1396,0.0241,8.0615,2.318,0.2683,14.8691,44.0982,94.3398,3.3803,0.0452,2.1181,3.6407,35.5838,7.503,2.5129,12.5995,8.8443,2.136,0.0
SAU_B07_08,0.0126,0.035,0.4995,7.5192,0.0128,6.9326,0.2578,0.0189,16.7137,0.0,155.0511,0.8251,0.9747,1053.8355,385.5218,16.3936,0.0,12.8091,0.0,0.0932,0.0,5.6802,41.3948,2.9787,986.0687,18.4046,0.0,0.0,0.0,0.0017,0.0004,2.4123,0.2399,6.5964,0.1608,0.0028,3.2751,0.686,0.2476,11.5116,2.5312,1.3464,2.7839,0.3995,0.0
SAU_B09,5.7418,2.841,682.263,10.1868,17.2,86.7255,25.9034,4.3531,16.2664,0.0001,0.0,0.0,20.1119,27.5672,20.9046,16.891,1.0857,15.3511,7.7464,2.929,0.8379,7.2885,22.8053,1.3894,3.1922,0.0,0.7012,0.0079,2.6419,0.7596,0.0879,3.9323,0.4768,0.0,0.293,0.0,0.0,0.061,7.7042,0.0,0.0,3.9734,0.2011,0.2935,0.0
SAU_C10T12,165.6335,93.1,59.9151,0.0,8.2527,991.4946,246.5543,0.0239,7.2314,0.0,10.2646,0.3231,0.0,0.0177,0.0,0.0084,0.0022,0.0,0.0,0.0,0.0,0.106,6.9682,6.4908,8.9451,40.3008,0.4621,30.6269,338.4051,0.0004,0.0746,1729.9081,37.442,99.6046,3.5974,18.1661,16.2795,3.9386,13.9547,121.998,236.7646,394.4434,68.0111,96.7869,0.0
SAU_C13T15,2.0618,3.4279,0.2402,0.0003,0.0063,5.2469,345.6332,0.6723,15.4266,0.0032,5.3448,0.1232,15.2785,3.3851,4.8937,1.3525,0.2197,3.9244,2.8893,4.751,0.5224,18.9173,0.0625,2.3216,210.2091,56.7667,0.1009,0.0913,7.8076,1.6662,0.5835,85.1638,2.8342,25.3805,0.6953,0.349,1.1504,6.0181,6.3982,19.4175,3.5099,20.5362,2.7505,4.6578,0.0
SAU_C16,0.7196,1.5693,0.031,0.0046,0.0012,26.5369,33.1165,168.7315,81.4257,0.0029,2.8835,0.0403,5.2743,16.195,5.4957,19.7789,0.2478,15.3355,2.5215,0.904,1.1951,170.9431,0.115,1.639,1029.444,87.1686,0.9703,0.035,2.8085,74.7396,0.4366,83.0467,3.7325,1.1939,0.0144,0.0828,1.5833,0.7898,0.4687,0.3995,3.4664,5.9025,21.9903,5.9113,0.0
SAU_C17_18,1.2207,1.1741,0.9838,0.0025,0.0258,12.6834,4.5981,1.2394,100.5041,0.0586,5.8107,0.2261,3.2871,3.4755,0.8974,1.3515,0.1429,3.3253,0.7867,0.3423,0.1765,2.3662,2.5136,5.7664,19.246,1440.7518,6.2634,0.0887,28.9676,48.5442,31.5869,18.8614,959.8828,152.0618,13.7095,4.6206,2.9483,79.7507,66.367,21.7018,54.7226,107.1289,28.5008,9.4665,0.0
SAU_C19,377.7674,147.8072,260.1325,18.729,8.103,267.3657,292.8847,145.1258,308.6656,1670.4587,4290.4453,30.1153,403.0329,983.9734,590.103,234.0629,3.2166,157.152,131.5956,16.8475,19.5733,80.9393,1585.3643,234.3518,1733.0657,1196.1235,820.4788,10.358,3295.6488,111.9053,8.7779,211.1926,22.4083,268.5417,1.232,21.5652,7.4876,104.2026,351.4602,87.6925,84.1003,272.274,62.4597,93.0058,0.0
SAU_C20,209.7404,51.066,194.9492,33.9015,5.7254,230.3495,537.7497,75.5194,795.7249,2.54,2346.7424,22.4043,1332.4364,437.6067,558.154,355.2758,5.9801,406.8885,71.4887,37.2775,25.5163,145.1643,122.0467,151.4557,1829.2051,1037.5323,16.0558,0.2304,61.0189,13.0867,0.2898,255.0717,127.8968,49.0973,9.0803,1.8457,3.412,26.6664,214.2565,36.2229,61.8731,196.3666,44.2871,203.0583,0.0
SAU_C21,13.8752,9.8005,7.6308,0.1217,0.2289,14.6207,12.8669,2.5988,21.467,0.0855,268.8009,113.7608,30.5009,13.0918,5.0314,12.4282,0.2152,7.802,2.7305,1.59,0.0862,5.833,7.1745,4.6559,44.8826,72.4793,1.0242,0.0206,6.4259,0.8209,0.0356,17.2751,3.1837,4.4619,0.5681,0.1933,0.1,2.9372,10.9482,9.397,9.2271,206.3695,3.1192,13.818,0.0
SAU_C22,187.7737,302.9044,5.2047,0.4956,0.1934,142.6994,379.5088,6.1446,42.021,0.0812,76.8401,1.8733,575.1343,28.2165,13.6226,51.2877,4.412,228.2298,41.6795,62.0249,26.5814,81.9557,0.3419,66.0503,1451.092,1828.6213,84.4445,0.0098,26.2841,150.9637,6.8492,30.9824,8.7585,12.625,0.0781,1.0509,0.0047,39.3417,32.7026,35.0137,6.9493,77.9817,14.9818,89.8323,0.0
