V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,400812.8774,16936.4493,670.7524,132.5983,0.2403,585854.3488,118235.8776,48568.7849,34292.7562,12.9105,18298.3798,58619.3328,15587.5138,420.9899,72.7066,199.0389,7.6866,111.6605,188.0884,39.2737,27.5587,11580.3602,147.6074,991.846,32656.668,169.0831,122.5908,5.219,1134.2426,84.3946,2.4023,45988.1987,70.4684,610.5375,1.4508,53.1326,150.15,8917.6386,1939.2866,15.881,735.203,1058.5745,152.2012,1333.8134,0
CHN_A03,737.1027,19512.7481,0.0,2.0145,0.0227,70656.9925,363.0185,401.5015,420.3643,0.1574,1125.6193,70.6319,16.0315,12.5648,7.1441,0.0,0.0,0.0,17.1013,4.9241,1.911,53.1791,11.1431,177.6986,0.0,12.9213,0.0,2.506,0.0,0.0,0.2237,39347.4897,12.1639,56.8612,0.0,4.9484,13.478,1647.9136,236.7584,1.8102,125.1633,44.5842,2.6912,126.1349,0
CHN_B05_06,1292.1852,77.9658,74389.209,4088.1069,131.5065,3013.5636,2540.3667,383.0081,4541.1963,199848.1877,53423.2457,540.9806,2306.7845,45559.6795,41778.0644,2067.2386,53.2823,357.6148,2079.6213,701.3592,314.6825,208.5272,157083.3937,466.321,1047.9868,539.2176,88.97,78.8765,43.2415,291.4345,32.6794,413.1731,8.8292,0.0,1473.6518,210.3642,30.7004,439.7495,169.1715,647.0628,677.4081,371.7503,11.444,167.7775,0
CHN_B07_08,5.1242,2.1038,314.1549,17647.8061,128.8217,83.0765,24.8744,9.1474,962.0289,115.5392,17886.8237,207.3522,699.3845,77483.1885,144175.0008,4027.1647,259.5528,2618.1383,2557.8341,755.0768,85.3803,182.5759,295.4501,129.7806,32164.7981,173.931,107.8924,1.9126,1.0739,63.1792,0.6255,6.2556,1.316,0.0,0.0435,186.4055,0.1819,264.4203,44.8798,25.35,3.5186,2.2435,1.5822,23.0397,0
CHN_B09,0.0,0.0,25403.4061,676.7216,87.3168,221.0611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,82.3606,0.0,1063.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,180196.6273,27240.4366,1441.9698,3481.0762,29.0222,291315.1287,16703.0161,1342.748,1821.5511,2370.7793,34729.5334,8942.2669,1115.6404,2669.9311,18510.4765,5609.9739,14798.1893,6795.5228,10794.4815,2710.2384,2006.387,1762.7148,9230.2023,3916.7796,7010.7106,25262.6326,3824.0736,112.46,6635.6611,2858.5009,1097.3986,160672.0446,1483.9591,2371.2049,2354.5189,2094.4018,2321.0194,17707.7585,1955.2908,7403.0846,13976.7109,7040.2365,2551.5467,2693.5802,0
CHN_C13T15,882.3288,46.1262,6722.4235,2423.1688,908.6106,7523.3441,669022.4748,1722.9784,13687.3799,905.3081,8940.1319,9769.6974,8866.4523,9411.9141,2981.6921,6039.6851,6730.207,6352.1398,7362.1888,11494.4284,3401.2872,40106.2437,2073.167,6027.0493,8198.8137,16170.5287,5829.5363,403.4675,1596.7447,1895.4681,2325.218,9349.8306,4131.9185,1230.044,221.947,4603.2175,1240.3785,17486.9872,3280.0089,37801.3712,3306.991,13432.4751,1236.6405,1766.689,0
CHN_C16,34.3014,11.4305,7489.1021,778.8121,8.0924,808.1817,833.261,63426.3712,4787.0269,60.8806,1635.4564,126.0341,992.0579,2781.6469,335.1049,6001.4977,1126.3565,1111.1862,1710.058,818.6019,192.2188,47746.4747,159.7824,395.0072,69890.6741,389.997,141.9885,5.8192,8.9226,69.4818,10.9557,46.0376,3.1059,30.4337,0.3187,3.8784,0.0905,16.3634,5.7938,43.003,127.9145,51.1576,88.2643,5.1462,0
CHN_C17_18,429.3938,136.653,104.4385,790.6646,37.1849,18335.1271,4242.0845,1883.7984,125068.0061,97.8335,6392.4007,6234.3816,2955.9782,14131.8105,716.4872,2746.0395,7197.9235,7792.9059,4445.6102,1416.0167,382.8331,12859.2466,156.5451,469.9281,3301.631,21702.7557,477.8642,10.4242,157.4119,352.5865,4841.0254,2412.4362,9528.17,1136.7663,16835.9802,9188.3149,2012.4918,71718.9696,3799.6179,15244.7194,10608.7105,103.1253,222.4939,468.0416,0
CHN_C19,9119.6451,3413.9026,4218.1148,24686.6625,1685.8239,1526.0587,1534.9555,1049.8285,926.3565,23697.4328,90545.7742,637.9484,3451.9839,29658.3161,88017.2551,5063.9123,1782.3257,1552.8309,4671.1388,1524.024,827.622,1769.6674,15612.0335,2117.9064,42746.2112,8933.6807,68073.3513,36955.9653,18918.7645,28835.6975,2104.6128,1595.5886,294.206,531.3465,334.9642,1706.1606,685.9122,20436.7944,3346.5359,3992.457,2653.0962,326.0399,100.5114,527.6626,0
