V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_K,176.4414,5.3533,4.9653,58.4105,1.6028,135.7408,58.7592,12.3922,20.2355,39.6356,28.2406,15.5177,30.3758,23.8856,122.1139,47.9586,15.7433,35.6251,46.2065,34.9125,9.2544,45.3717,80.2339,19.9945,502.4021,515.5665,265.8351,15.058,23.7268,159.162,12.5185,79.8133,14.6052,43.4998,67.0348,727.9047,576.2241,95.6358,87.6957,48.2798,45.7226,65.385,56.0416,22.1416,0.0
BGR_L,24.8759,0.1476,0.1034,8.0353,1.1114,12.5066,13.8894,1.1577,0.8019,1.5127,0.699,1.3295,0.8889,1.9484,17.9456,5.777,1.3367,3.0635,6.199,1.9272,0.9282,7.6311,16.0417,12.2382,186.6647,414.2212,31.8139,3.0124,5.5567,145.5865,8.1242,54.2283,13.2184,115.2035,265.6427,58.731,141.6486,107.6413,138.209,43.2691,17.6507,37.677,94.0726,41.255,0.0
BGR_M,171.8532,0.2014,0.2186,7.1086,3.9333,106.9666,16.5487,2.4306,7.9364,4.7117,4.9837,24.2992,2.4975,3.8594,30.92,15.4378,8.7815,20.9799,23.3867,12.4285,3.3395,17.9094,10.7557,10.7397,313.9405,287.4636,41.2642,1.1156,8.1472,63.7374,12.0521,39.0518,18.8948,33.9893,168.5371,96.6335,52.4373,677.5286,103.6749,39.4585,39.8506,119.8709,113.6586,33.869,0.0
BGR_N,67.4715,1.2392,0.1645,2.6755,2.8524,21.6696,5.1113,1.3887,2.7305,4.7392,2.3846,3.3891,1.5395,3.2889,17.1943,8.3711,6.9146,8.1971,13.7063,6.9574,2.0639,8.4016,7.6854,9.1534,216.1866,226.0298,62.3404,1.1846,10.8297,69.667,5.7302,34.5851,12.6504,21.2343,62.4006,59.6163,68.9911,126.2009,272.9956,46.6683,11.0792,43.8806,56.0869,20.0188,0.0
BGR_O,4.665,0.0394,0.0258,0.3045,0.1301,2.9382,0.0967,0.1305,0.3998,0.25,0.1757,1.4718,0.0963,0.1526,1.2139,0.3753,0.2018,0.204,0.4493,0.1173,0.0284,0.4294,1.7655,0.9818,66.3754,94.9105,7.4442,0.4771,5.0504,17.7267,0.4326,0.8959,2.0323,2.7724,4.1726,17.6626,6.492,8.5501,17.1679,62.2372,23.0379,28.2973,16.3837,4.2965,0.0
BGR_P,1.838,0.0078,0.0043,0.0637,0.0834,3.0507,0.1463,0.0547,0.9162,0.5954,0.0667,0.5464,0.057,0.1396,1.1764,0.2359,0.3485,0.319,0.4068,0.3682,0.081,0.6622,0.6771,0.3914,7.9944,8.4134,28.1532,0.023,3.4342,3.4879,0.5786,5.5295,12.0079,3.2178,9.6023,18.9226,15.2289,13.3676,22.2673,51.2222,87.9718,56.1935,32.1042,2.783,0.0
BGR_Q,2.4212,0.0018,0.0404,0.6006,0.0519,16.2497,0.7617,0.0519,0.9802,1.0813,1.3298,20.0194,0.9311,0.7478,1.9079,1.222,0.3573,0.3271,0.575,0.0667,0.0292,3.7682,8.4224,0.1921,1.353,7.7019,18.096,0.0094,21.5515,13.6993,0.0512,1.9627,1.4966,0.3046,3.1353,70.7737,5.1995,9.8404,16.4456,181.4544,17.64,113.9026,53.6345,1.1178,0.0
BGR_R,1.1972,0.0298,0.0216,0.4245,0.0517,10.7323,1.8863,0.1716,1.0169,0.614,0.264,1.1224,0.1951,0.3502,1.9315,1.2113,1.4226,1.0643,1.2426,0.5702,0.202,1.9717,1.5671,0.5332,6.9203,9.4012,2.6132,0.0714,1.0152,4.7449,1.3254,58.1795,16.275,5.1596,13.2466,4.9029,26.6411,28.2075,7.5657,7.6012,19.7654,66.7585,716.1893,66.0003,0.0
BGR_S,6.4384,0.041,0.3184,4.5999,0.1654,7.0349,2.6974,0.4879,0.5183,1.4543,1.3527,1.4443,0.4222,1.9212,11.4444,2.0561,2.1231,1.7314,2.5732,0.6023,0.5733,1.8911,1.8012,3.8073,9.9347,55.2153,27.9253,0.0624,4.5185,29.0123,2.3537,87.2139,0.6794,6.3118,10.4071,25.7335,12.8177,12.8765,13.4162,3.475,13.074,103.3571,73.7536,97.1066,0.0
BGR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
