V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_A01_02,4605.6015,13.3864,0.001,0.673,0.045,25176.9048,178.8281,164.7924,23.4626,0.0002,216.173,118.5281,4145.8681,0.4134,0.3679,0.1396,0.0,0.0,0.0244,0.0,0.5165,18.2302,7.5517,0.0049,69.1746,0.2915,0.0313,0.0009,68.2399,0.0882,0.0083,2622.4956,0.0361,0.0138,1.0753,25.4476,13.5154,4.3226,2.7866,59.2565,252.7028,316.6203,27.3353,49.6222,0.0
THA_A03,106.8496,351.4573,0.0,0.0,0.0001,2771.1278,0.0,0.0,0.0,0.0,0.0322,133.8495,0.0,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3305,0.0,1325.9617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1193,23.0603,48.9988,1.3739,0.0,0.0
THA_B05_06,0.0,0.0,208.2117,0.0,3.5296,2.9154,0.9573,0.0,7.7133,9752.7763,120.0999,0.0,0.0,99.4097,184.6029,0.0469,0.0,0.0,0.3623,0.8212,0.0,0.0512,4460.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_B07_08,8.5711,0.4307,2.0751,1.7608,2.683,60.2123,0.8554,0.0,7.4552,0.0709,131.4081,8.9547,2.1845,1202.2304,114.5518,3.9993,0.8269,7.4543,10.3595,19.2,1.7481,117.0152,0.2788,0.3144,1308.7115,0.0,0.4952,0.0,0.0,0.0,0.0,0.1053,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0537,0.2793,0.7238,0.0371,0.0
THA_B09,7.2679,5.3227,316.6313,69.5748,42.8807,6.2697,0.5474,0.1138,3.6982,385.7087,29.4585,0.2122,2.821,60.2924,55.1148,2.6723,0.2587,0.2121,1.2929,0.1835,0.2055,0.3971,66.0315,1.8547,93.5195,2.0115,6.3701,0.4538,0.9889,0.112,0.0219,0.3333,0.0029,0.0,0.0013,0.0006,0.7392,0.6094,0.1406,1.6948,0.1288,0.2076,0.0455,0.077,0.0
THA_C10T12,3207.6551,753.3352,0.0,0.0,0.3583,13231.0926,401.6997,20.422,55.6608,2.9925,434.9461,153.3584,30.1873,23.8827,0.0018,0.0,0.0,1.9391,0.0,0.0,0.1942,60.0153,37.5783,0.0,0.0,141.1353,21.2004,0.2008,354.951,0.0,0.0403,11363.0196,8.9141,0.0594,7.3059,29.8319,1.6766,12.0032,23.6237,146.0364,253.5766,228.5992,63.1723,194.7378,0.0
THA_C13T15,17.1976,18.3013,0.0138,1.3392,2.1767,27.4287,10512.2135,0.1252,8.5388,0.4196,264.5067,12.9057,271.4131,28.9563,3.3303,0.5338,75.5319,99.9298,9.7853,69.6646,91.5452,346.1222,7.1357,2.1006,11.7539,728.6069,23.0847,47.8758,28.1478,5.7693,0.3384,522.2997,40.8629,0.4753,30.5522,179.5894,3.169,29.1659,59.7489,250.0791,14.6865,110.3309,10.1346,110.5214,0.0
THA_C16,92.6623,2.9803,0.0,4.2979,0.2274,2.6738,3.9985,621.5622,1.8777,0.2905,13.0539,0.235,6.5571,12.5716,0.6584,17.3766,16.8791,11.6338,26.9084,32.5538,45.012,292.9072,1.0372,2.378,317.801,58.5511,0.2016,0.0151,0.1379,1.2553,0.0,5.7597,1.2101,0.0,1.3698,6.3103,0.1569,2.0391,12.5758,0.3783,0.042,0.8867,0.0135,3.921,0.0
THA_C17_18,11.7636,0.2565,1.7527,1.1777,0.3763,155.2152,82.6277,3.5752,1911.6917,3.4936,80.402,48.0406,41.7678,67.2041,9.8883,24.8221,58.9096,42.3846,6.3065,155.224,6.81,74.3528,10.0409,2.6048,20.0488,260.3321,16.3971,5.2094,4.6331,0.9483,4.8519,63.6544,298.0195,7.456,182.2477,313.6828,7.8278,246.544,176.5807,161.9285,517.9458,27.8247,11.7418,27.9259,0.0
THA_C19,1023.9969,858.3056,1203.1551,265.7638,28.9042,572.0878,369.5949,63.1145,67.4296,662.1995,2021.9008,11.5231,336.3661,547.717,540.2461,139.4398,209.7197,129.6165,361.5912,776.8891,101.6243,127.5572,1481.1344,73.1636,792.993,759.2435,4152.9716,1844.6108,2134.6444,3.9828,51.9014,480.7744,47.0361,53.4695,86.206,150.0553,29.8087,137.0066,382.827,822.6475,326.7502,76.2819,18.2889,298.3083,0.0
