V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_H51,1.3509,0.1609,0.0352,0.0428,0.0251,6.0541,1.1842,0.4551,0.6621,1.2332,1.5746,0.8576,0.5427,0.0222,0.4345,0.8663,0.5776,0.3785,0.8264,1.2078,0.1616,0.7843,1.2078,0.0957,1.9505,0.2838,0.0217,0.0202,0.0171,0.017,0.0221,0.3132,0.1153,0.0241,0.0202,0.0516,0.0488,0.1105,0.0849,0.0207,0.0202,0.0224,0.0389,0.0261,0.0
TUN_H52,2.2934,0.3719,54.2059,6.6704,3.1561,16.402,31.9948,1.3995,1.9501,0.1222,3.4985,1.4107,1.2805,43.4977,4.1179,8.6091,8.2414,5.2941,7.8048,8.6337,2.5317,1.7636,1.1096,0.1575,28.4413,106.622,137.3916,68.3995,74.6694,130.7436,2.3308,6.9754,1.2119,1.3431,4.147,3.3471,2.0962,7.9325,10.0648,10.8174,0.1742,0.2309,0.4515,0.6639,0.0
TUN_H53,0.7448,0.1142,4.8242,0.3739,0.202,3.1372,30.1648,0.1874,0.438,0.0069,0.502,0.2322,0.237,1.8054,1.2999,4.8667,6.5644,2.6831,4.9454,3.4341,1.8789,0.445,0.7931,0.0687,5.0276,18.3731,0.9735,0.2039,0.2209,0.9098,4.6258,0.5697,1.2289,2.0352,5.5707,10.4282,3.1342,13.9057,7.0131,26.0214,0.4033,0.5515,0.7992,1.2574,0.0
TUN_I,0.0,0.0,0.1277,0.3356,0.8253,0.3725,3.2659,0.066,0.1175,0.0253,0.0106,0.0049,0.0527,0.1855,0.11,0.394,0.2758,0.2041,0.303,0.0,0.0,0.0,14.6959,0.027,1.2608,1.8644,11.5518,1.733,9.914,5.2413,0.0,0.0502,0.5943,0.0,0.1752,20.8477,0.0633,0.2935,0.2689,18.6844,0.4117,0.6939,0.7163,0.7127,0.0
TUN_J58T60,0.3479,0.0562,0.5374,0.3937,0.2774,5.7938,10.258,1.9194,5.954,0.007,0.6118,0.3104,1.2546,0.651,0.3919,1.4264,2.7717,1.4188,1.3831,1.525,1.0215,2.0618,0.1037,0.8573,2.6486,8.7763,1.0062,0.2333,0.5395,0.8774,0.2611,0.2122,28.9564,0.6138,4.2401,5.6432,1.1966,12.7527,2.9345,7.0674,0.4973,0.1693,0.852,0.3511,0.0
TUN_J61,2.3808,0.3341,17.4801,1.1072,0.7967,7.9347,73.5991,0.5584,1.0495,0.0184,1.1734,0.5105,0.7224,5.322,3.5964,13.383,16.8003,7.034,12.4661,8.346,4.3688,1.4702,1.6924,0.1695,18.6314,34.3597,3.5869,0.5825,0.8561,2.0936,0.3545,2.2488,5.5421,6.119,26.299,23.6455,10.202,36.4764,17.29,72.352,1.1607,2.1005,4.1687,2.7271,0.0
TUN_J62_63,1.5632,0.2668,4.6974,1.5779,0.7187,6.4526,18.0585,0.386,1.0408,1.269,0.316,0.1404,0.5309,1.1695,0.7955,2.8092,6.4584,2.1802,2.9241,3.3016,1.4389,1.1859,1.7448,0.1689,13.6258,2.2733,3.441,0.7609,1.9447,2.7633,1.8286,0.534,2.9109,7.5588,14.6142,10.257,1.4585,6.1327,2.3272,12.8971,0.1938,0.3312,0.8334,0.4572,0.0
TUN_K,97.6844,7.1866,34.6917,11.1486,5.3205,74.381,82.5649,6.1308,11.046,1.1792,13.4002,4.3099,8.0376,22.5502,12.6969,28.9029,34.6948,17.8631,24.3854,26.9088,11.2806,10.285,5.2128,5.3664,94.4112,79.4767,54.5373,13.9782,16.0127,26.4346,4.5675,41.8473,8.0934,11.4682,38.1207,58.2247,94.3331,83.4021,69.4149,57.5294,1.0911,1.8302,3.5454,2.6803,0.0
TUN_L,3.3777,0.417,4.0413,1.6982,0.8887,12.2984,23.0586,0.9358,1.9587,1.3163,0.3689,0.1423,1.2965,1.8349,1.3908,6.2684,5.0724,3.004,4.1869,3.4007,1.7306,4.0518,1.2306,0.1666,28.1268,6.6937,5.4874,0.7279,1.1112,5.2596,2.2519,1.6152,2.3976,6.9413,4.4422,8.486,12.845,13.673,6.4616,22.6422,0.8268,1.3496,2.2131,1.6675,0.0
TUN_M,11.1826,1.357,16.763,6.1122,11.9073,47.3186,51.5664,2.4279,5.206,5.7717,2.4531,1.6879,3.6225,5.485,4.3909,12.0056,23.318,12.9942,14.3693,17.6865,5.9825,6.9959,4.1998,0.6251,79.5056,9.889,10.3613,2.8631,3.9986,8.0285,3.0833,1.7929,9.7184,13.1728,15.0573,23.8316,10.0743,72.6117,14.0603,41.5546,1.0375,1.5736,5.307,3.1921,0.0
TUN_N,6.4341,0.8409,8.8076,4.0945,11.0715,20.7857,29.0769,1.5854,3.0149,3.0811,1.0042,0.4766,2.0623,3.8914,2.5384,9.2834,11.5154,5.7547,7.5082,8.068,3.8878,5.577,3.0194,0.557,54.1877,6.5691,13.2133,3.4973,5.4102,9.5824,5.41,1.5261,5.1189,10.9877,11.7977,13.8584,12.311,25.656,21.1253,37.1493,1.0052,2.0265,3.7742,1.9851,0.0
TUN_O,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_P,0.0,0.0,0.0,0.0,0.0038,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0002,0.0002,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0004,0.0004,0.0001,0.0007,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0
TUN_Q,0.0,0.0,0.0,0.0001,0.0028,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0001,0.0002,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0002,0.0003,0.0002,0.0009,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0
TUN_R,0.0,0.0,0.0005,0.0014,0.0287,0.0047,0.0068,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0003,0.0131,0.0035,0.0056,0.0037,0.002,0.0045,0.0018,0.0016,0.0009,0.003,0.0077,0.0081,0.0039,0.0307,0.0176,0.0022,0.0001,0.0001,0.0042,0.0003,0.0
TUN_S,0.0,0.0,0.0008,0.0033,2.449,0.0071,0.0115,0.0001,0.0002,0.0002,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0004,0.0242,0.0079,0.0086,0.002,0.0035,0.0058,0.0037,0.0018,0.0002,0.0065,0.0192,0.0188,0.0112,0.0346,0.0159,0.0033,0.0001,0.0002,0.0002,0.0006,0.0
TUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
