V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_C26,32.6785,7.9994,1.1909,5.371,5.8163,131.0049,21.8541,5.9604,9.3326,19.893,271.4043,9.55,20.4933,4.3638,18.2368,10.4462,2929.2192,465.0206,54.4943,307.3797,253.7028,46.9283,98.8741,36.4048,590.9511,813.2178,213.1894,117.0491,209.095,94.6296,10.8152,301.4533,143.9032,483.2564,63.2407,177.0334,266.4889,171.6412,240.9484,23.1186,15.9212,79.485,79.1547,118.8512,0
PHL_C27,11.2212,2.7872,1.0068,3.5129,1.403,64.7868,16.1629,2.6535,7.2275,7.4294,12.4191,2.1494,6.2529,3.7818,13.7687,6.6988,405.1793,283.1269,14.2567,142.9097,62.5236,12.6989,56.424,13.9979,157.0909,139.8547,114.8326,68.1125,120.1147,51.0431,2.7924,104.7655,12.3886,140.0937,18.9937,111.1896,75.8577,40.6775,36.6432,10.9699,4.9893,10.9138,10.8206,12.3337,0
PHL_C28,2.9923,0.5463,0.6694,9.1232,1.5842,15.3052,2.4309,0.6423,1.4393,2.4538,3.5254,0.7758,3.8328,0.6352,3.6172,1.8284,53.9084,11.5472,7.7466,4.263,1.9846,3.6306,2.1579,1.771,28.6627,40.4792,5.6231,6.5152,4.0004,2.5353,0.3367,5.3237,1.0518,5.2807,1.454,6.8957,9.3337,2.6666,5.8985,1.8096,0.9691,2.1214,2.5799,3.1607,0
PHL_C29,5.6096,1.4778,0.5395,1.0029,0.5275,34.8477,6.494,1.3481,3.8835,3.7643,5.2282,1.056,1.6022,2.2479,7.5378,4.1732,72.2329,9.9066,5.467,8.417,8.1238,7.2625,4.3976,1.7621,32.7887,146.2683,7.5169,8.4589,4.5465,2.7667,0.6569,9.8007,1.79,7.1279,3.3685,18.9562,16.6899,6.9929,17.3455,5.899,2.7385,4.2237,3.8047,4.0211,0
PHL_C30,2.4533,0.6586,0.2724,0.4566,0.1051,16.7792,2.8202,0.6275,1.9005,1.5325,2.2013,0.5441,0.557,1.0971,3.7514,1.6289,41.3335,3.1231,1.6622,4.3118,30.0396,3.3312,2.1641,0.7647,11.6356,114.5728,3.7557,17.8509,2.2856,1.3438,0.3511,4.9327,0.9717,3.6407,1.6885,9.3197,17.1852,9.9608,8.9493,2.8917,1.3682,2.139,2.275,1.9893,0
PHL_C31T33,9.3039,1.7706,7.0785,1.1922,2.6376,57.8481,32.0986,47.1443,20.242,29.0841,73.2258,37.1043,14.388,2.4828,15.7637,19.4796,775.4508,46.983,135.9538,18.1736,64.6495,221.6807,8.4579,4.0982,241.9035,320.6415,66.7079,39.3198,65.0987,33.2594,1.909,42.191,6.3045,56.3107,10.4226,70.3631,59.1048,18.9317,36.1996,16.7201,5.0492,12.9479,32.4584,28.975,0
PHL_D,274.1878,79.5997,30.2687,33.0209,5.5368,1709.6776,215.3829,49.4855,181.2053,193.011,153.9471,23.825,34.6257,123.1616,362.2048,110.98,398.6215,54.3546,27.9575,144.8521,30.1571,107.6641,227.0775,64.1429,493.3652,1020.0512,199.4261,102.8976,88.8976,63.904,12.3342,248.0953,39.7941,181.7501,101.4402,652.8736,333.3358,103.6539,454.6447,128.1421,107.091,115.4077,54.771,95.9413,0
PHL_E,35.7408,8.4306,0.8304,3.3173,1.2524,395.8233,22.8613,5.2761,19.328,15.5908,16.6398,2.5499,3.746,12.9704,16.3369,11.8742,42.4907,5.7739,2.979,15.4713,3.2822,11.5131,214.7316,29.6442,52.6075,108.386,21.2868,11.013,9.472,6.8602,1.3313,26.6665,4.309,19.5745,10.9552,63.726,41.1483,11.2852,32.6036,31.8167,11.4614,12.4595,5.9091,10.3596,0
PHL_F,12.1898,2.484,0.644,3.7072,3.4784,70.6337,9.12,3.3111,4.7022,11.6357,9.1225,1.5859,2.7022,6.6954,9.209,8.3103,40.6882,14.1937,6.4648,6.3684,3.5489,8.692,7.6247,1.7966,90.7083,106.3379,17.9546,50.5139,5.6434,7.7236,0.9174,23.2145,43.5591,11.5273,14.2982,50.1393,22.4292,122.1644,21.9783,7.8762,4.5159,14.9526,4.6584,9.5953,0
PHL_G,2864.6854,922.3678,14.7573,57.4222,7.9435,9434.6935,1459.166,150.3062,249.5451,649.135,779.9913,103.4969,156.4881,257.5247,315.319,101.6612,1979.5061,364.2325,155.3372,279.5966,171.294,334.0063,358.4061,42.0001,1242.9735,2482.3912,599.9341,288.3473,398.4667,162.3782,26.5884,1370.3096,179.6869,298.3469,100.4443,520.5022,278.6385,262.1968,341.4276,318.6817,125.1203,157.6781,102.9356,199.1064,0
