V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_A01_02,9391.8706,1008.6611,52.7252,156.7437,2.264,20907.7049,726.4017,2147.0408,8.1676,11.2494,93.7912,138.8429,233.5207,13.5551,4.3566,9.5721,0.9342,0.9242,2.39,1.9799,3.6885,15.2916,12.7504,27.3176,1228.314,1962.5812,58.6662,22.0343,7.49,35.4232,15.389,1106.4177,30.1471,25.2516,20.6638,22.8493,117.401,108.2711,169.7792,142.7546,179.0274,342.6651,210.933,219.5315,0
AUS_A03,102.3694,141.3063,0.0,0.0,0.0,2044.9021,25.3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8338,0.0,0.0,0.0,1713.2844,0.0,0.0,0.0,0.0,0.0,705.9702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0009,0.0,0.0,21.6904,0.0,0
AUS_B05_06,137.0141,10.2366,2228.9058,2093.9241,131.0919,611.3872,13.0053,87.2825,265.0681,5023.6991,1782.9196,128.0321,203.3442,436.7035,1507.7412,195.3639,7.8365,6.9441,20.6362,13.3613,37.5701,24.0018,4266.3541,23.2368,1178.5221,2027.9479,250.2802,33.8063,13.8918,79.6417,138.2283,492.1724,36.831,38.909,17.4612,25.7549,142.1148,172.0534,158.8199,195.2781,117.0571,217.9655,17.9283,37.9728,0
AUS_B07_08,110.0708,10.5158,433.7916,589.5001,16.4587,227.9341,10.2164,26.8651,28.5826,23.0648,346.4711,221.6872,26.9671,1954.6347,26594.7908,65.683,6.0016,5.9464,15.0485,9.4039,13.4264,52.3179,383.4947,69.199,3154.9948,534.557,224.7415,32.9841,9.0676,106.8481,59.9681,59.7084,18.1396,40.2418,36.2682,27.9025,138.6988,75.0751,107.7945,136.2747,37.6488,68.3845,26.0267,12.2134,0
AUS_B09,29.4722,2.4425,3672.2109,4676.6424,40.8013,27.7301,1.2993,3.0482,8.8908,5.5738,7.0343,6.1615,5.1717,7.827,4.4917,15.9363,1.624,1.1672,2.78,2.7101,4.5534,4.0991,30.7042,12.7288,389.3062,116.409,22.8429,10.0221,29.4272,59.1311,5.5919,7.9066,2.5746,24.1615,14.5974,13.7194,20.6458,26.8339,28.8364,30.0153,15.0245,19.6146,3.4505,3.3661,0
AUS_C10T12,992.6808,144.6995,104.5636,133.4914,25.9591,8092.2494,152.9024,11.4628,18.9087,39.2105,94.0419,93.9687,38.6308,25.1197,12.2055,24.4107,10.952,7.4592,20.129,10.1539,20.4621,38.9542,52.6251,70.0077,400.1093,1571.4125,47.2332,13.0542,22.4292,22.1266,24.2739,7074.1775,19.3985,17.4389,33.315,45.4124,35.6245,157.8316,170.8377,283.1181,393.657,1586.0262,372.9446,109.3228,0
AUS_C13T15,13.6063,15.2272,22.854,22.3665,0.8539,60.6997,109.8561,3.2,12.9144,1.0694,8.4275,12.6788,23.8614,25.4105,4.353,25.8594,3.7534,2.1949,6.5475,13.8016,28.3474,55.8943,6.6109,16.4289,226.2011,133.5342,25.0779,5.3079,2.9804,1.0564,7.424,17.8146,1.6532,8.3309,0.0,0.4655,2.603,21.5779,32.8446,75.1077,97.574,236.6233,16.718,39.004,0
AUS_C16,27.4611,6.5605,15.785,39.7614,2.5706,17.2578,3.4978,952.7293,166.0471,11.5315,2.8154,1.8505,19.0546,23.6398,6.223,62.8152,3.9298,4.6306,11.8528,14.732,36.9549,417.1008,11.3987,22.3367,7290.0809,116.9984,19.6942,2.0703,1.8505,11.4518,3.8872,10.8794,2.2157,1.8824,1.4723,2.2559,6.9497,4.3627,6.9747,20.8287,127.3546,15.2484,16.8455,9.1996,0
AUS_C17_18,87.3671,12.1651,96.6293,109.9914,19.2899,798.7049,16.7715,37.0812,983.0814,24.6975,79.6874,112.9997,84.8254,107.8326,12.8302,44.9943,15.5061,14.0919,26.7381,13.6175,24.5026,42.7253,63.7636,40.9382,699.0874,1181.7957,71.0989,21.3435,20.8609,29.1054,43.3091,182.6718,634.2603,53.4174,102.3187,235.3436,39.5129,139.5958,180.6,273.3457,236.3112,270.9175,59.8503,76.1858,0
AUS_C19,912.8616,319.6557,919.8499,1332.7778,59.5962,105.6897,6.685,12.8772,12.3406,526.5181,106.5446,37.1607,61.6932,38.7705,147.5638,55.8991,4.658,4.1975,9.7157,12.6186,25.0284,19.8364,68.9419,176.9916,1487.0962,438.8215,1386.5785,380.715,1171.2929,133.2987,192.5725,63.86,31.2874,239.7601,2.635,177.2292,16.7863,144.876,80.0412,208.0885,30.5396,89.8578,21.9188,24.7188,0
