V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_F,441.7274,42.5773,6.8425,2.4904,11.9766,61.7426,5.8988,23.5726,15.7991,3.3528,67.8273,242.1592,31.2459,56.6196,6.3663,198.9696,170.8407,20.803,335.4359,7.5525,0.73,84.2823,275.3507,221.8445,6525.6056,255.2102,402.4056,389.1949,59.7688,134.0978,41.4605,30.6484,20.6852,47.5349,102.2973,373.4516,5045.7621,1006.4049,358.7185,587.9851,112.5409,357.1469,89.9345,108.2516,0.0
DNK_G,1013.9582,55.3748,32.5343,9.4908,23.1341,3057.2811,338.9694,226.2316,242.5926,85.1778,712.0986,715.1102,263.97,285.471,116.2568,486.3682,460.028,254.0345,2006.3445,144.1852,76.3458,887.8629,114.5141,195.1617,3254.3791,3788.1604,1256.2901,557.6555,84.9675,201.2458,65.6743,581.1737,209.0574,103.7371,219.2805,156.4385,70.2255,453.9272,468.3617,406.1616,271.2996,1000.684,163.2332,147.5283,0.0
DNK_H49,109.4823,9.404,34.2726,9.0076,9.251,767.4827,31.6685,48.6639,56.667,21.017,117.0602,90.2975,61.3128,160.3795,34.6907,92.4357,57.0676,36.5002,282.7557,23.6434,11.1666,149.2308,32.3321,130.745,521.3491,1874.8279,838.434,77.9445,11.7575,189.0749,24.2119,56.1289,37.8411,58.6097,43.0576,26.3613,11.4207,106.8107,85.6471,123.1343,177.4733,423.9396,57.2157,45.0305,0.0
DNK_H50,7.0757,0.5067,15.9272,4.0814,0.7003,121.3099,5.5534,2.6627,2.2291,9.4595,15.5039,38.5933,4.6902,26.0076,2.9053,9.7028,12.0334,4.5991,95.9822,5.2182,2.7612,10.6514,4.4793,8.3301,29.1964,248.8622,843.8726,535.2616,2.0933,70.9255,33.4278,8.7958,8.9632,49.0861,27.9497,6.5859,6.6766,62.6966,121.1658,21.5119,44.077,55.5506,10.8974,10.2338,0.0
DNK_H51,5.8477,0.4333,0.0968,0.0363,0.0293,7.7901,0.8763,0.8784,1.0709,3.113,1.1394,0.2083,1.1163,1.5188,1.0632,3.275,0.6436,0.3404,4.8454,0.6121,0.3163,2.6402,2.0955,0.141,18.4511,1.6091,2.296,5.3024,0.1646,0.1387,0.0959,1.3701,0.3095,0.1552,0.7207,0.3805,0.2069,0.6336,0.35,0.4504,0.3865,1.9375,0.1152,0.2123,0.0
DNK_H52,19.2479,1.4733,0.7613,0.271,0.4946,50.5944,4.4147,6.0188,4.8367,2.5221,9.4104,12.7182,5.5469,8.2602,3.6067,12.8157,8.4224,5.2136,43.4555,2.8083,1.7836,18.1149,4.2194,3.7606,96.5149,70.5894,15.7301,270.4527,18.1435,10.2725,2.3747,10.9407,5.2668,3.7872,13.3656,5.9443,3.2918,13.8002,9.4951,11.8899,8.6782,16.5044,3.8305,3.7855,0.0
DNK_H53,4.2668,0.1227,0.2939,0.0618,0.3743,42.9631,0.8899,5.2059,18.0115,2.7921,23.3251,29.0546,0.8864,2.0754,0.0856,2.3656,1.191,1.5961,5.7782,1.9867,0.4101,11.9859,38.0462,40.9859,10.5528,317.4506,35.1707,12.8241,2.2867,167.4754,72.3317,28.4798,127.7182,11.2751,59.6455,62.0593,20.3441,180.756,169.4278,85.8834,61.4675,213.5665,48.8072,25.8458,0.0
DNK_I,4.8922,1.6676,0.9064,0.1226,2.2867,27.5451,2.7508,2.7433,2.8956,0.8711,25.3278,245.0005,6.0224,6.6649,1.0803,11.6507,18.9801,7.2207,31.2653,2.765,1.8392,13.5325,6.5528,22.0965,14.3114,458.7124,156.513,41.6973,43.2935,65.2671,15.5977,266.3267,37.8357,13.385,92.5045,81.761,23.5856,307.0837,236.8648,109.5954,85.6107,205.9168,90.0143,68.8765,0.0
DNK_J58T60,4.0548,0.561,1.0761,0.425,0.4271,45.0114,1.2677,1.1814,8.9078,0.6961,9.3085,67.3344,0.9322,2.9136,0.0948,2.9208,19.8122,4.1092,23.6411,0.9545,0.7288,13.5994,7.4348,21.8402,14.4316,419.0147,13.1941,21.1734,2.1008,25.5783,32.6705,54.0423,710.2125,252.3204,283.5197,203.45,55.7883,678.1832,102.3422,182.2581,159.0657,98.642,175.2011,56.9721,0.0
DNK_J61,2.9908,4.0537,2.2432,0.3452,1.7291,15.8228,0.9739,1.9978,2.9139,0.9783,14.8861,57.8412,2.7904,4.7277,1.001,5.6844,13.8415,3.3882,38.2447,1.177,0.7712,29.5278,7.3274,41.8324,24.2943,296.2085,47.0625,23.4927,3.048,51.4129,133.8821,35.6168,39.3334,362.8775,184.7882,121.2378,20.5221,448.3072,289.9276,154.7669,132.8358,152.0466,48.4952,44.2434,0.0
DNK_J62_63,24.6589,3.1226,6.1318,1.7991,1.5273,54.5455,1.9983,3.1543,9.0234,4.0449,31.1151,195.0132,2.5049,5.3016,0.5341,6.9009,38.5994,23.1914,80.3196,2.887,2.3293,31.5183,39.2012,112.4078,79.4498,833.2854,38.9856,151.8491,11.7621,147.6523,153.4217,136.7989,349.9473,247.5551,1333.1634,627.8038,340.1933,992.8789,447.0851,788.5742,651.4544,500.7882,134.8779,180.4221,0.0
DNK_K,1009.4109,32.19,12.5423,2.9956,14.9714,148.1497,16.7141,13.5002,23.9558,3.5763,29.5825,111.1828,21.8556,27.8025,10.728,38.4307,48.0458,13.0729,117.7785,6.4128,15.2059,77.3313,158.4948,57.2379,384.3036,813.1876,208.9316,370.3244,14.2568,121.8857,32.2846,113.6472,57.9721,56.9193,186.4683,6154.7542,4332.298,551.7423,367.7866,387.5209,100.0667,168.8514,54.8046,91.4433,0.0
DNK_L,21.7462,7.3578,7.9878,1.4079,3.9825,192.03,22.6038,39.9978,98.0749,1.1362,41.2572,146.9254,69.1932,34.7927,12.501,167.1719,111.6918,54.7492,305.526,3.2351,3.204,224.5623,11.045,58.2596,187.1817,4787.6087,168.9736,17.478,37.4726,273.0957,48.7826,1184.5079,194.3544,132.3192,370.1328,852.9698,484.5481,1184.873,508.7249,1179.5081,420.3302,612.4495,251.4185,356.717,0.0
DNK_M,461.5493,4.9204,32.5482,6.2905,25.1849,432.9528,13.3339,19.3436,54.3907,13.3959,122.9105,1126.3918,21.4047,30.6981,1.1753,42.2528,79.7192,36.2274,1128.4439,17.6326,5.245,221.948,355.6459,726.2384,4037.46,3112.5751,219.9371,146.5175,9.1077,632.9158,148.0283,272.5286,332.2627,230.4332,1123.7509,528.0736,947.8294,3794.4419,1956.3079,789.2466,560.0962,640.28,446.5245,301.6608,0.0
DNK_N,112.9752,1.8387,6.6377,1.8264,19.0569,215.4311,9.4704,11.1512,32.0255,16.2147,89.0153,847.1923,15.8036,28.5061,1.6117,38.1055,140.8903,20.6008,155.0577,9.0366,5.2104,271.5188,74.3887,311.4399,860.9341,2211.9617,341.8279,63.7138,30.9028,666.8482,55.2333,287.6401,308.1199,174.9738,626.6383,294.0519,267.1933,1393.545,1040.5422,459.9677,461.5917,1180.6392,343.9057,201.444,0.0
DNK_O,10.2855,1.8861,1.3188,0.3895,1.1173,25.0247,0.8438,1.7391,2.2168,1.4799,15.4573,67.4498,0.7419,2.7816,1.4715,3.6613,10.9208,3.2136,102.4481,1.1671,1.1908,7.0169,16.4062,37.5627,15.6753,216.4514,76.5193,15.6634,4.0981,46.5175,21.0779,41.0804,26.0212,33.3722,120.5977,106.9051,38.0012,230.5264,209.8555,239.2058,75.2191,568.6017,22.1118,36.0266,0.0
DNK_P,3.2181,0.1901,0.2676,0.0606,1.0405,4.7363,0.3719,0.424,0.9908,0.3256,3.8163,117.7497,0.6306,1.0274,0.0382,1.5749,6.9641,1.5014,310.9279,0.4703,0.373,4.9923,1.8776,4.8379,5.8206,158.8279,16.4948,2.9886,0.1901,12.1218,9.2446,14.3237,11.2342,9.9639,36.7022,72.2612,8.1909,340.8682,93.5436,159.9393,345.8914,126.7921,17.0686,32.8218,0.0
DNK_Q,0.4194,0.0338,0.0822,0.0197,0.4293,1.0617,0.0494,0.0767,0.078,0.0385,0.529,350.9339,0.0681,0.1854,0.0092,0.1442,1.1532,0.1746,61.3572,0.0527,0.0249,0.7543,0.4357,1.3427,2.5149,27.0156,0.7226,1.0836,0.1165,2.013,0.8696,1.8855,5.3753,1.4744,75.6097,3.6889,1.8005,95.6799,4.1702,49.2865,113.3638,427.2782,1.4017,4.5641,0.0
DNK_R,0.4272,1.0587,0.0915,0.0244,0.1092,2.0652,0.0729,0.122,0.2492,0.0586,0.8778,4.3467,0.1073,0.3006,0.0476,0.3073,0.8835,0.2432,15.6223,0.1002,0.0582,1.0085,0.6164,1.8135,2.3014,37.9725,0.8801,5.5732,0.1089,2.2261,0.8527,11.628,156.5221,1.5498,41.1613,4.5916,2.0088,111.272,46.1944,17.1395,175.9025,295.4196,291.9165,11.7622,0.0
DNK_S,29.289,2.7486,1.8818,0.6655,1.2902,41.4619,1.8166,3.4,3.6122,1.34,12.1251,54.1182,5.4178,8.7481,1.6082,7.8152,18.4296,4.5173,25.0626,1.5735,1.2372,15.2391,21.2798,46.9523,26.5303,152.8155,36.5603,42.7721,3.7494,45.41,18.3164,81.7811,19.3837,26.0236,96.723,73.024,319.566,195.5714,909.4741,53.4958,17.7866,180.7268,21.9844,26.692,0.0
DNK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
