V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_C26,0.3199,0.2851,0.0166,1.9491,0.0112,0.2555,0.0324,0.0211,0.2784,0.0111,0.079,0.0283,0.0759,0.0305,0.0191,0.0885,0.0877,0.0652,0.2486,0,0.0323,0.1157,0.1641,0.0669,0.8311,5.6374,0.5815,0.0189,0.0802,0.3336,0.1031,0.3545,0.2156,4.4279,6.5205,4.4845,0.6153,1.807,0.7524,2.6977,0.869,0.2941,0.085,0.7271,0
CHL_C27,5.2552,1.1134,0.2406,12.8243,0.0443,7.7305,0.9144,1.2493,2.8438,0.4415,2.4373,1.1581,1.0577,0.9428,3.1443,2.9819,1.2538,10.4908,6.7458,0,3.2612,3.8189,9.8317,0.8935,45.947,44.61,11.4527,0.4857,0.9307,1.5792,0.0413,3.2926,1.8754,12.495,2.0124,11.8971,2.2711,4.2722,15.1417,7.7391,2.9939,31.3552,1.8249,6.4896,0
CHL_C28,20.5092,8.2436,1.9697,205.0129,0.582,35.8984,3.036,10.871,17.4723,3.0003,11.6141,2.4824,8.568,6.7145,13.5369,15.6504,1.5117,7.7893,29.7068,0,8.153,45.2912,42.9514,4.0546,112.1745,84.8522,48.3918,3.0187,12.5053,8.9199,0.2685,10.0095,2.4403,29.7306,18.1807,10.3743,9.7273,30.5229,43.2547,37.9417,8.4867,24.2619,2.7641,9.6842,0
CHL_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHL_C30,8.0056,0.1177,0.302,19.4214,0.0,0.0272,0.0001,0.0039,0.0436,0.0006,0.0071,0.0,0.9949,0.0,0.0,0.8704,0.6072,1.5997,2.4454,0,15.8521,5.6347,1.0544,0.7672,7.314,103.6648,78.4358,1.4767,20.2308,3.0092,0.0507,1.4354,0.0002,0.1616,0.8222,0.8092,0.7773,3.8166,20.6475,227.8278,0.009,0.8128,0.3362,3.1819,0
CHL_C31T33,16.9792,4.2768,1.7033,279.0543,1.2728,39.5551,15.1322,17.3003,43.0003,0.8454,15.3721,4.914,10.3416,15.1099,61.6399,5.5274,2.4526,6.1068,19.5819,0,1.2939,8.7229,129.3572,43.8566,73.8517,144.9694,158.7916,11.4148,18.4018,33.5341,1.2382,20.8853,6.8396,135.4202,7.3762,22.1556,24.3992,33.5205,112.2254,27.2703,23.829,69.7492,6.7732,16.3927,0
CHL_D,135.3945,32.8024,2.8549,2965.8698,3.1077,368.6072,33.934,176.3795,651.1594,213.8119,283.5331,12.0729,85.5108,157.3557,70.2637,97.7757,3.4079,10.3672,37.4023,0,8.463,43.8997,6052.4047,110.6017,129.137,706.4531,150.9806,1.4257,13.5312,129.2133,1.9,148.4518,22.0446,144.483,29.9387,95.1719,244.1858,127.7335,116.2614,279.2156,257.5655,265.9622,33.28,20.3576,0
CHL_E,2.7812,2.3384,0.3297,82.9809,0.6378,68.4773,6.3142,5.5492,240.0691,4.1514,22.2263,2.7061,53.5093,11.0238,7.2453,6.58,0.4778,1.5807,13.9941,0,1.755,10.1693,16.4973,224.9275,33.6057,70.2496,13.4583,0.1584,0.5438,12.8079,0.3992,28.5284,2.4209,2.3302,4.3992,10.2287,31.84,31.1098,11.4397,508.5986,78.5782,60.6931,9.7074,22.1973,0
CHL_F,49.0022,9.1536,2.0472,34.7598,0.6656,32.1174,6.6287,5.8789,12.4181,4.7607,3.9422,4.2635,4.1986,15.7008,5.5209,6.136,1.5777,3.9557,7.1854,0,2.4664,6.7136,72.8887,133.5663,6650.1196,641.9207,83.5317,0.6897,25.6331,217.8973,2.4487,76.2988,14.4598,45.2428,30.0249,42.3287,2541.7661,87.6999,95.8534,583.7751,482.2199,192.6582,33.8192,137.3041,0
CHL_G,1427.1969,434.3368,10.9724,1285.8648,4.5151,3230.7776,325.0573,195.2965,404.6371,102.8945,437.6924,174.4724,264.7402,174.3807,196.8358,152.0124,16.4107,80.7953,162.2327,0,106.8899,170.3736,602.5029,146.0919,1399.3762,2299.2016,2158.7886,60.4974,323.0647,161.0695,15.3059,855.646,77.2825,337.4481,113.6901,316.8826,117.0889,398.7794,759.9012,433.5452,187.0979,1183.3986,62.897,143.2207,0
