V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,2193.2785,5.063,0.2887,0.7179,0.1221,3262.859,9.7979,133.1722,12.2811,11.2484,123.9987,17.1889,71.6271,7.6344,5.776,11.2775,6.9159,6.2284,11.9678,31.3585,1.195,18.5831,48.3493,14.8064,82.4818,662.7098,19.6907,1.2423,6.8349,15.0959,1.3645,104.3637,10.303,4.1239,3.5974,5.3246,34.698,26.8529,56.7967,23.3409,8.6953,23.0446,9.9533,16.0821,0.0
HUN_A03,1.0161,3.937,0.0002,0.0011,0.0003,1.869,0.007,0.0021,0.0036,0.0097,0.0249,0.0643,0.0221,0.0055,0.0057,0.0129,0.0153,0.0098,0.0229,0.1332,0.0013,0.0088,0.0147,0.0102,0.2568,0.2621,0.029,0.0251,0.0011,0.023,0.0026,8.0822,0.0344,0.0118,0.0331,0.0246,0.1079,0.1334,0.1577,0.0755,0.0142,0.0426,0.4192,0.0464,0.0
HUN_B05_06,1.031,0.0023,0.0359,0.0422,0.0019,0.8997,0.1028,0.0384,0.3164,41.0172,2.5091,0.356,0.2982,0.958,2.2019,0.2312,0.1529,0.1349,0.2887,0.5315,0.0659,0.0577,7.9926,0.3262,3.0739,1.6902,0.4675,0.0084,0.0069,0.5837,0.0584,0.84,0.0484,0.074,0.0757,0.1732,1.1974,0.6064,0.4891,2.2596,1.218,1.2652,0.4372,0.1745,0.0
HUN_B07_08,8.5556,0.0204,0.0646,0.6649,0.2423,1.3121,0.8887,0.9736,1.6738,0.3665,19.0843,0.6554,3.1347,49.4955,11.977,1.3014,0.8535,3.8173,2.4259,3.6793,0.3334,1.8823,1.909,1.6666,87.5901,4.8716,2.1736,0.1455,0.0142,1.3844,0.0086,0.207,0.0832,0.0412,0.9041,0.0198,22.1607,6.1219,1.8216,3.6067,3.6847,2.5746,1.7338,1.2113,0.0
HUN_B09,0.539,0.0009,4.2207,0.0716,0.4477,0.4813,0.047,0.3506,0.1857,77.162,1.2369,0.2593,1.1092,0.5623,3.3827,0.2058,0.1803,0.1981,0.8164,2.8964,0.111,1.2466,4.5409,0.3496,11.7856,1.2202,0.3283,0.0163,0.0697,0.2557,0.0291,0.3912,0.0955,0.0475,0.1154,0.1082,0.4421,1.1508,0.5915,0.6735,0.4428,0.9387,0.3764,0.1259,0.0
HUN_C10T12,588.6764,1.7323,0.2589,0.3438,0.1269,1009.3065,4.9006,2.7235,13.4678,12.0493,81.7986,17.8962,16.4775,5.3509,5.3702,8.0676,5.0283,5.5623,7.2618,21.4087,0.9931,7.9615,10.6277,6.9549,19.9362,175.7467,7.2296,1.9014,6.0385,3.4732,0.6641,970.1535,7.0506,1.1029,2.4213,3.4285,19.6945,34.6903,43.723,23.6309,5.8663,94.9492,10.8124,11.4437,0.0
HUN_C13T15,2.5,0.0151,0.2724,0.1928,0.032,4.7162,141.5215,0.6418,5.1024,0.5286,1.4377,1.9571,41.0784,3.6565,1.5376,2.0856,5.626,4.166,14.8541,80.0592,0.4083,26.1722,1.2988,3.8036,23.6901,16.7132,2.9161,0.1954,0.3347,3.9167,0.7858,4.1461,0.403,0.5279,1.4,0.7689,2.974,5.4993,5.7699,5.05,1.497,13.6602,26.9331,24.5536,0.0
HUN_C16,21.0556,0.023,0.0505,0.1198,0.0224,15.4607,2.0784,123.0632,2.9685,0.8112,11.133,1.0055,11.5105,16.8614,3.7344,18.0523,2.7636,11.0973,11.9645,25.9466,0.7076,77.0214,41.9667,2.1021,191.6793,48.587,5.9224,0.4346,0.9285,2.0463,0.1931,1.3894,0.2605,0.7874,0.3654,0.5018,21.2199,13.7154,8.183,2.824,0.9202,2.8811,2.0053,5.2374,0.0
HUN_C17_18,12.2372,0.0351,0.1133,0.2934,0.0154,116.9185,3.9883,8.0958,414.687,1.1582,34.4427,28.2956,36.8289,11.559,2.7815,9.5915,12.8794,23.8808,10.6635,15.2814,1.2452,15.3115,1.4456,1.8278,8.1844,256.4617,10.0739,0.6356,0.627,4.9031,5.3392,7.9804,180.2688,1.8571,10.1536,53.327,51.0923,40.7922,39.7316,68.633,23.7248,7.1125,18.6223,10.1695,0.0
HUN_C19,236.8896,1.3453,1.0167,9.0263,1.6961,58.6886,5.449,7.5389,10.8562,352.703,439.8145,17.5359,46.9156,56.1818,104.1809,18.051,7.4897,16.3094,17.433,35.11,1.8165,14.3684,47.9568,40.6934,175.0342,294.3477,796.3068,51.8793,370.3826,88.4892,8.8018,13.1585,3.3295,5.3958,9.1435,17.563,42.2205,56.1046,62.6649,51.882,18.725,35.1574,17.9027,17.8807,0.0
