V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_A01_02,211.7439,1.1548,4.8312,0.0006,1.2011,762.2173,17.6484,70.3316,0.0166,0.0,1.8751,0.4717,0.0105,0.2295,0.5261,0.0505,0.0183,0.1717,0.2849,1.3665,0.1564,50.3726,0.0002,2.5261,361.0334,4.4975,0.0556,0.0364,0.0186,0.0957,0.0124,181.5533,2.7854,2.1433,2.6331,0.0134,6.4116,5.0557,6.3881,2.8827,0.3495,10.8306,5.4705,44.7912,0.0
CMR_A03,3.1357,1.2379,0.0262,0.0,0.0065,93.4085,0.1121,1.26,0.0001,0.0,0.009,0.0024,0.0001,0.0051,0.0113,0.0011,0.0,0.0,0.0,0.0,0.0,1.0989,0.0,0.0136,7.6327,8.9255,0.0004,0.0003,0.0002,0.0005,0.0001,32.7833,0.0259,0.019,0.0262,0.0001,0.14,0.0172,0.0036,0.052,0.0022,0.0699,0.0517,0.2733,0.0
CMR_B05_06,71.6215,0.0,229.2983,1.7198,3.4739,5.693,9.4776,0.2456,1.9339,442.4026,4.263,0.0007,0.0,41.6282,11.8377,0.0018,0.0878,0.0044,0.0083,0.0,0.0,0.1372,196.3055,1.5867,2.0959,50.0597,7.5234,1.9193,1.8703,3.5943,2.9176,1.1504,1.5201,1.5969,1.934,0.1156,0.1213,1.6549,0.0,0.0,0.3416,0.0211,0.0825,0.0029,0.0
CMR_B07_08,0.5784,0.0286,11.6302,10.0906,3.0574,1.7055,0.0178,0.1214,0.0,0.0,0.0893,0.0056,0.0033,3.7976,8.7777,0.3476,0.7849,0.0,0.0,0.0,0.0,0.0159,0.0,0.0035,31.1216,0.1062,0.0877,0.0126,0.0398,0.1105,0.0271,0.4806,0.0003,0.0006,0.0004,0.0,0.0023,0.1249,2.3622,0.0035,0.8539,0.0011,0.0018,0.0059,0.0
CMR_B09,0.5326,0.0,81.2101,0.0366,14.4069,2.0968,0.0454,0.3542,0.1465,3.3481,0.0352,0.0007,0.0,1.5605,0.0235,0.0015,0.0752,0.003,0.0053,0.0,0.0,0.0322,15.9732,0.1111,7.2781,51.4995,8.5132,1.0626,0.8908,4.4349,5.2792,0.8631,0.0939,0.0,0.2523,0.1354,0.1554,1.0402,0.0,0.0,0.3338,0.0208,0.0276,0.0021,0.0
CMR_C10T12,76.8864,0.4335,0.5344,0.0173,0.1353,317.1165,1.941,0.8481,0.1088,0.002,22.2909,3.7897,0.0833,0.0042,0.0712,0.007,0.0052,0.0037,0.0097,0.0026,0.0002,0.0621,0.0048,0.5511,1.5822,13.5279,0.1314,0.0579,0.1009,0.1761,0.0338,584.5068,1.8789,1.2442,1.1241,0.0289,0.0054,0.6597,13.3343,9.8025,0.9474,1.1923,0.744,2.1006,0.0
CMR_C13T15,0.3564,0.4172,5.1805,0.0398,1.085,1.1822,216.6616,0.4704,0.1938,0.0014,0.2519,0.0655,0.0938,0.2877,0.0041,0.0007,0.1171,0.0037,0.0039,0.0054,0.0001,2.9122,0.0099,0.0165,2.0673,1.227,0.3973,0.0296,0.0552,0.1466,0.048,0.5956,0.0372,0.0329,0.0339,0.0192,0.0021,1.4852,0.6669,11.2852,0.7395,0.2424,6.1751,45.8776,0.0
CMR_C16,75.8807,0.0862,0.0913,0.0078,0.0247,61.7403,5.0157,60.8458,0.1083,0.0002,0.5813,0.0531,0.0021,0.3151,0.0768,0.01,0.1412,1.3244,2.1973,10.5591,1.2086,9.9221,0.001,0.1192,165.3775,0.2965,0.1237,0.042,0.0312,0.323,0.0295,4.1516,0.032,0.0263,0.0231,0.001,1.3772,14.8948,47.6516,6.1223,0.7716,1.9272,21.7472,3.207,0.0
CMR_C17_18,3.8934,0.0212,0.3775,0.0109,0.0855,3.2554,1.5797,0.3715,13.7478,0.0198,0.4851,0.1233,0.2983,0.2463,0.0121,0.0024,0.0007,0.0112,0.013,0.0163,0.0011,0.2632,0.5341,0.0246,0.6323,2.4545,0.3925,0.0801,0.1713,0.9193,0.3155,0.3477,5.2713,1.6338,1.7574,1.1476,0.1406,4.7347,0.3556,31.3359,6.0525,5.1981,0.5422,0.8627,0.0
CMR_C19,24.412,29.2906,45.9777,0.9149,8.5312,36.1297,10.618,18.6199,2.5188,22.0301,2.7817,0.1486,0.262,1.2256,2.4993,0.1891,0.0003,0.0605,0.0968,0.0025,0.0002,11.0819,6.5921,0.4979,39.5751,50.67,128.345,38.9464,77.0143,36.8002,12.6862,10.3509,1.9037,3.6104,2.5258,4.4497,0.3365,22.4336,1.5582,31.3216,10.2827,5.9936,1.9061,9.6587,0.0
CMR_C20,18.078,0.0191,3.0819,1.0642,0.6708,29.0659,9.0907,1.565,5.7715,0.0567,17.6425,1.2354,6.0767,0.6535,1.0015,0.1175,0.0056,0.99,0.8528,0.0041,0.0003,5.3501,0.0457,4.0731,5.4376,3.5398,1.229,0.315,0.4864,2.0837,0.251,0.1552,2.8777,0.7822,1.3602,0.0607,0.0387,2.3372,1.1654,0.3974,1.7324,1.5466,1.6821,3.0735,0.0
CMR_C21,1.7921,0.0079,0.1624,0.0916,0.0283,5.0585,0.513,0.135,0.328,0.0059,2.6252,9.5561,0.2432,0.0366,0.089,0.009,0.0004,0.0502,0.0997,0.0002,0.0,0.3802,0.006,0.2641,0.2907,0.2471,0.1557,0.1196,0.1062,0.3459,0.1109,0.022,0.1621,0.1632,0.1978,0.0142,0.003,0.7037,0.1352,0.2283,0.572,3.2185,0.2619,0.4983,0.0
CMR_C22,2.7915,0.0941,10.881,0.183,2.7718,14.2995,1.588,0.3088,0.3967,0.0349,0.8293,0.1646,0.2798,0.1122,0.0245,0.0054,0.1479,0.0024,0.0033,0.062,0.0037,0.5371,0.0547,0.3556,1.8459,4.4193,2.156,0.1518,0.2403,1.4426,0.3254,0.745,0.9669,0.9089,0.875,0.0998,0.1126,0.7629,0.4439,1.0143,0.3843,0.1269,0.1903,0.1835,0.0
CMR_C23,14.0299,0.064,13.1096,1.024,3.1925,3.4187,0.0785,3.5406,0.0691,0.0175,0.1499,0.0354,0.5905,81.2553,0.6358,0.0751,0.0023,0.0026,0.0027,0.0677,0.0046,0.6048,0.1496,2.1848,162.5192,2.1039,2.3188,0.739,1.0973,4.0897,0.521,1.3305,1.37,1.7573,1.1939,0.2231,0.6324,1.4176,0.0814,1.4644,0.7542,0.0694,0.8873,9.3033,0.0
CMR_C24,1.1979,0.0173,7.3237,0.0987,1.8354,4.0203,1.2679,0.6697,0.2391,0.019,0.3278,0.0199,0.1957,0.3794,22.016,2.2557,0.4582,0.1138,0.1141,0.1049,0.0062,2.0883,0.201,2.3154,20.1017,1.4646,0.5689,0.2204,0.2397,0.833,0.014,1.1595,0.7318,0.5183,0.3383,0.0615,0.1607,3.3577,0.6236,0.0038,0.3592,0.027,0.0367,0.3415,0.0
CMR_C25,0.575,0.0056,1.526,0.0297,0.3531,1.2569,0.4075,0.1988,0.0262,0.004,0.0378,0.0047,0.0247,0.0509,0.2916,0.1146,0.0427,0.0052,0.0136,0.0239,0.0018,0.2259,0.0325,0.3463,4.8147,0.4017,0.1312,0.0446,0.0354,0.2993,0.0253,0.3829,0.1249,0.1826,0.113,0.0174,0.0554,0.8124,0.2469,0.0027,0.1351,0.0118,0.0196,0.1079,0.0
CMR_C26,0.0016,0.0,0.0464,0.1723,0.0128,0.0182,0.003,0.0004,0.0015,0.0002,0.0023,0.0005,0.0003,0.005,0.0004,0.0001,0.1156,0.0,0.0,0.0,0.0,0.2089,0.0529,0.0031,0.0094,0.0012,0.0029,0.0008,0.0022,0.0065,0.0016,0.0002,0.1197,0.4163,0.3026,0.0333,0.0001,0.0442,0.0107,0.1566,0.0123,0.0478,0.003,0.0268,0.0
CMR_C27,0.288,0.0001,0.3099,0.0285,0.0598,0.8142,0.0132,0.0231,0.0416,0.0007,0.0204,0.0029,0.0099,0.1416,0.0105,0.0018,0.0017,0.0153,0.0079,0.0,0.0,0.0613,0.2423,0.0796,0.9816,0.06,0.123,0.0259,0.0315,0.1678,0.0182,0.0065,0.1051,0.3653,0.1526,0.2214,0.0057,0.361,0.1501,0.2966,0.0074,0.0438,0.013,0.0455,0.0
CMR_C28,0.3489,0.0001,0.361,0.0437,0.0665,0.6562,0.0126,0.0204,0.0353,0.0006,0.0141,0.0024,0.0065,0.1121,0.0044,0.0009,0.0002,0.0008,0.007,0.0,0.0,0.0281,0.0505,0.0449,0.2122,0.0173,0.0357,0.0163,0.0191,0.0686,0.01,0.0015,0.034,0.0465,0.0403,0.0652,0.0011,0.105,0.0841,0.1008,0.0022,0.014,0.0029,0.0116,0.0
CMR_C29,0.009,0.0015,0.0012,0.0014,0.0003,0.1828,0.0,0.0033,0.0004,0.0,0.0044,0.0007,0.0011,0.002,0.0052,0.001,0.0,0.0,0.0001,0.4116,0.0,0.0,0.0001,0.029,0.188,0.2329,0.301,0.0109,0.0323,0.1341,0.0199,0.0001,0.0002,0.0004,0.0003,0.0002,0.0,0.0349,0.0001,0.0205,0.0054,0.0005,0.0,0.0002,0.0
CMR_C30,0.0024,0.002,0.0007,0.0008,0.0001,0.041,0.0,0.001,0.0002,0.0,0.0012,0.0002,0.0003,0.0005,0.0007,0.0002,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0067,0.0536,0.0,0.0518,0.0669,0.0991,0.048,0.0084,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0124,0.0,0.0178,0.0023,0.0002,0.0,0.0001,0.0
CMR_C31T33,6.3107,0.0433,0.5442,0.1666,0.1065,6.6169,1.1889,5.0382,0.1108,0.0267,0.1144,0.0137,0.0777,0.2338,0.0549,0.005,0.0171,0.1112,0.1851,0.8928,0.0996,0.7948,0.4353,0.2487,10.9405,3.7561,1.9711,0.1343,0.3854,0.6991,0.1372,0.5617,0.4076,0.9943,0.3909,0.1195,0.2063,1.6115,4.4571,4.8959,1.5523,0.9803,1.9162,0.3519,0.0
