V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_A01_02,3443.6077,67.0016,0.016,0.011,0.0189,5163.1072,82.5192,619.1298,128.6362,1.926,2.9587,0.3245,1.6901,2.4927,0.4335,0.1102,0.8575,0.9991,1.3987,0.7027,0.4024,128.8151,1.6591,0.9049,69.6435,213.595,9.1914,0.4806,0.2977,1.8047,0.0018,41.1812,0.4292,0.0217,2.5841,0.999,0.03,51.099,13.8972,0.4242,0.7799,2.6957,2.2441,9.3352,0.0
ROU_A03,0.0002,41.6334,0.0006,0.0001,0.0,290.8873,0.0,0.0179,0.0,0.0,0.0008,0.0001,0.0,0.0231,0.0,0.0947,0.0004,0.0,0.0,0.0,0.002,0.0,0.0002,0.0142,0.1019,19.7439,0.0005,0.0,0.0,0.0,0.0,21.001,0.0104,0.0002,0.0,0.0,0.0,0.1753,0.0,0.0,0.0,0.0382,0.0743,0.361,0.0
ROU_B05_06,0.0024,0.0,0.1778,0.0,1.7443,0.0026,0.0013,0.0328,0.0,1557.6014,0.0394,0.0005,0.0858,0.0009,0.5596,0.0273,0.0,0.0,0.0,0.0023,0.374,0.0163,734.2849,4.1926,0.0001,0.4503,105.0106,0.0,0.0,0.0,0.0008,6.4184,0.9671,0.0065,0.0002,0.0,0.0003,1.3365,0.0003,0.0001,12.1289,0.3825,9.2568,4.0063,0.0
ROU_B07_08,0.3211,0.1435,7.0556,27.4241,1.8249,0.1019,1.0307,0.064,0.3319,49.9473,1.667,0.0195,3.0914,127.8212,22.8039,3.5449,0.0013,0.0225,0.0021,2.7888,0.1677,0.1588,49.7495,0.6973,19.5581,27.4088,3.1309,0.0255,0.0008,0.0,0.0,0.6482,0.1189,0.0,0.0,0.0,0.0127,5.8051,0.0144,0.0023,0.0,0.0023,0.6888,0.8534,0.0
ROU_B09,1.7208,0.3004,47.1905,6.7493,14.9186,1.8154,0.088,0.0422,0.4607,90.2534,2.0757,0.022,0.408,8.4411,17.0304,0.6368,0.0112,0.066,0.2315,0.0539,0.0264,0.1471,19.2452,0.6562,48.6826,0.8095,4.2995,0.0225,0.0523,0.5248,0.0071,0.0637,0.001,0.0,0.0025,0.0001,0.6853,1.0449,0.2671,0.4717,0.045,0.1573,0.1241,0.0419,0.0
ROU_C10T12,300.021,1.2704,10.5281,1.8449,0.1207,2880.7687,58.9143,23.8486,11.1137,7.6288,20.4748,15.5754,6.2737,16.7963,13.834,18.857,15.7021,40.6312,19.6705,61.6733,5.4493,18.0193,10.4889,31.6252,138.6993,697.2305,43.1675,3.7212,9.7123,55.4575,10.6794,1229.6692,14.3268,27.0958,51.4034,16.4348,13.7181,190.9991,68.0505,60.0165,118.7393,408.5305,59.3979,148.6181,0.0
ROU_C13T15,11.9976,0.1544,7.2787,0.2147,0.4741,19.3601,446.7178,14.3098,5.5061,4.3939,8.7621,0.5393,54.6801,13.9836,12.209,7.5653,11.8971,22.9516,21.7148,67.0438,4.6057,94.6397,18.4337,5.5318,57.6946,250.4214,34.8938,0.3633,0.6778,9.1747,1.7639,8.1962,21.6351,4.4417,7.6951,1.6955,3.8555,45.0042,12.7117,35.6129,2.933,90.6787,4.6402,22.5208,0.0
ROU_C16,23.8268,0.8356,0.3917,2.7936,0.2246,17.5444,8.1367,388.5383,35.772,3.4703,6.5162,0.8015,7.1795,33.0544,29.5572,9.2192,10.5803,24.8314,33.7053,29.7323,13.5352,375.9338,8.6173,7.7246,686.2552,295.4845,45.2313,0.3086,1.419,13.7008,2.6351,2.7942,3.4948,6.7516,13.3944,3.2794,33.3914,47.6407,16.2838,0.6645,0.6378,2.7551,14.7964,11.8072,0.0
ROU_C17_18,21.3389,0.932,4.2058,0.5355,0.2009,28.5308,21.0636,22.0602,118.561,2.308,16.0849,2.0177,6.1199,26.2154,18.5383,15.1975,21.784,56.508,18.8749,60.0613,3.6816,38.4634,20.8175,12.1864,40.3118,411.7871,18.6048,0.2833,9.912,11.9818,14.4673,10.8073,74.8516,33.5116,11.7744,39.8202,37.0692,59.2091,14.3094,77.0498,149.2158,49.8968,63.8223,15.3725,0.0
ROU_C19,546.4693,0.9015,22.312,11.7164,13.7067,95.8867,28.1058,30.3898,15.6108,26.4403,132.1424,1.7919,38.0277,66.6122,516.7034,29.8765,3.2951,18.3297,25.7598,78.558,11.6303,16.719,285.3979,17.5746,402.4775,1269.9413,984.4001,14.0998,43.0462,28.8982,5.5532,11.8531,7.4184,14.76,28.4413,13.436,14.3227,116.4311,34.6505,35.9362,2.6893,15.3432,20.2935,56.1027,0.0
ROU_C20,298.0168,5.0011,5.2705,0.5426,2.0572,48.9222,97.0845,29.3378,28.3046,20.4005,284.4436,15.0551,334.3707,36.8438,33.502,33.8512,26.1751,58.825,31.5022,126.755,8.9248,71.372,26.7619,54.4047,191.616,394.6038,66.3414,2.0982,1.8858,3.8248,1.471,12.8709,18.8834,0.9245,21.2079,4.1056,83.445,42.5127,52.1552,14.5532,12.525,82.2881,5.1227,6.4691,0.0
ROU_C21,5.3979,0.0449,0.0771,0.0127,0.0069,2.1358,0.7102,0.0,0.0,0.0,0.0,5.4324,0.0,0.0,0.2461,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0475,0.0065,0.0,0.0,0.0,0.0,0.0,0.0367,0.0,0.381,0.0028,0.0,0.1689,0.0,0.0,8.3206,0.1961,0.0,0.1013,192.8681,0.0253,0.0196,0.0
ROU_C22,13.5598,0.766,21.2967,1.6209,1.4901,82.6373,80.6854,22.3469,14.5175,8.1907,34.0377,3.7873,582.0127,33.3933,56.1167,84.505,78.7738,196.9833,136.7456,873.0628,15.7599,49.5905,53.5717,12.2689,417.6772,309.8883,676.2948,0.4498,2.3249,19.8744,4.1545,6.1198,11.5851,74.4986,19.5403,4.934,37.9768,95.168,23.5774,6.012,1.0589,7.5962,18.4721,15.9608,0.0
