V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_A01_02,77520.6885,7.5766,72.6193,42.2025,27.0253,172694.1225,854.814,9027.1251,4403.0442,17.1324,6070.7695,65.3838,1132.5005,1.1535,0.6674,0.7689,0.1045,0.0931,0.4765,0.47,0.1599,341.2744,4.2169,0.5671,2361.0027,3594.3682,26.2881,71.4188,0.1942,4.4381,0.2315,495.7213,146.347,4.5685,6.6412,16.3777,66.4608,931.3579,1536.5952,4560.3153,351.5197,7.4406,669.0881,58.4043,0.0
USA_A03,4.5078,25.5785,0.0,0.0,0.0,1185.5756,0.0,0.0,0.0,0.0,2.1706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.9672,0.0,0.7563,0.0,0.0,0.0,849.8329,0.0,0.0,0.0,0.0,0.0,18.3435,0.0,81.7982,16.7716,0.0,33.4608,26.5826,0.0
USA_B05_06,814.4231,5.8282,30173.1994,550.3639,418.7867,655.8336,44.1081,43.9798,654.0711,194929.6259,2774.8381,22.0735,124.7519,835.0467,2082.2676,52.4544,12.5986,72.9821,69.1654,51.9353,17.9955,42.3001,28140.1094,59.9834,1951.2243,483.2271,1838.1042,151.8871,925.612,236.946,501.3493,408.0151,28.3568,35.2324,69.9707,610.338,617.2898,255.1049,325.943,21024.5504,1505.6813,299.4211,64.8631,109.1515,0.0
USA_B07_08,957.5496,0.0334,677.9007,2670.058,71.963,216.6449,30.8995,11.0724,300.3369,88.6588,3370.8945,30.2502,218.137,8127.7334,9467.8831,360.9228,13.2252,76.6887,107.8159,77.0242,112.6766,120.7962,981.6539,500.9194,13797.2617,68.1264,122.9083,0.5578,1.8374,19.2001,3.493,80.1708,56.7831,135.4553,231.482,27.0185,623.3175,777.1221,332.4392,1665.1648,199.8689,129.0632,548.8648,509.0058,0.0
USA_B09,34.0936,0.2318,10265.6075,656.0051,525.2813,133.3289,7.7688,25.0004,57.207,85.731,88.0822,6.5623,55.593,42.5559,85.3479,333.7014,41.36,62.0173,169.6001,544.2992,85.489,65.7423,52.5914,19.5906,1742.7099,118.2677,43.8269,15.2894,8.1966,20.1921,13.2202,49.35,14.6969,54.0389,27.5663,33.9759,555.045,91.8491,39.8438,454.5366,52.8897,44.2677,8.0117,29.0889,0.0
USA_C10T12,32762.8127,0.137,40.9141,10.6526,9.9366,120329.2193,320.908,55.9389,1748.2265,446.1065,2609.1609,910.1605,303.14,254.5942,56.686,76.7066,30.9343,29.1892,83.3748,137.5547,40.2334,62.8442,28.8404,9.9686,294.0623,6870.1397,70.8021,491.7031,682.2726,15.8595,10.2283,49813.5306,78.7543,33.5753,82.486,22.2762,70.8837,4060.1279,73.6947,31198.9542,17538.8957,17781.6596,5462.5955,2083.2025,0.0
USA_C13T15,208.1187,3.7468,47.2759,10.8078,8.2772,138.7727,3205.3205,238.969,1485.9463,65.0385,711.7868,47.1456,1159.9364,255.5762,18.634,125.53,20.0583,17.8036,416.0416,1743.4707,508.857,1599.3175,16.5817,52.6934,1292.2622,3749.9073,13.7026,46.1325,2.0579,18.7407,32.4254,945.2363,92.8135,81.2766,21.5157,13.4845,202.8919,256.4045,219.1786,1514.4729,298.1755,1677.2771,165.6695,605.9864,0.0
USA_C16,370.2581,29.211,8.0365,220.9102,213.9787,663.4539,48.6841,19838.7325,4584.9802,8.1738,253.0422,17.1006,1110.5951,209.2677,722.4376,783.9873,68.9631,439.6449,665.33,2269.6535,156.9302,5862.2468,8.6264,18.6674,36473.6524,5260.9363,1752.7335,0.9956,2.2804,242.4616,60.3361,1402.533,146.674,754.152,1047.6086,120.9897,4911.681,556.0202,773.6947,746.0019,1995.8773,1005.1154,122.843,422.6834,0.0
USA_C17_18,358.2566,0.2225,180.1781,149.6054,78.9755,24060.0762,495.9395,627.5064,37929.0061,212.1662,5238.5874,842.74,3385.6621,1368.281,1769.3349,2164.4473,455.2559,844.4681,1847.6236,2346.1484,628.3155,2309.3527,154.896,307.7401,3553.242,26644.2002,1936.5838,83.2892,56.4708,2287.1732,916.3447,7469.9255,8819.2972,1381.9129,6019.3399,7479.2999,2232.5037,12466.0382,7532.1347,9679.7598,10470.273,8972.6455,1182.3935,3155.7837,0.0
USA_C19,8508.6019,118.943,6866.9445,2553.9224,2417.2246,3166.5424,513.359,834.6106,2830.731,9199.4549,15079.4663,586.1352,3508.6178,5914.804,2061.0181,1094.5756,257.1343,1470.8164,1082.1057,801.7304,278.5204,960.4298,22546.1613,1186.9823,27509.5539,8991.1444,37348.5763,3101.0739,18923.7009,4752.7842,10226.6384,3814.718,536.2001,541.5882,1309.2864,12080.2722,6546.6677,3486.414,6797.287,64119.687,27304.4727,5611.1779,1179.6321,2117.2951,0.0
