V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_C25,96.86,17.3274,574.9715,3.2972,7.8339,339.4057,26.8899,27.5075,13.6239,19.5426,104.102,67.5079,40.2856,20.4812,65.9359,242.4265,28.7151,101.2999,417.5998,921.8452,36.2113,78.9578,47.1107,14.6052,768.8479,109.9751,80.2921,0.9187,23.1388,73.2945,21.5711,25.5215,10.4798,53.3986,19.7763,10.6862,163.6671,25.3849,127.3361,31.0332,5.9968,10.1377,24.1567,14.7768,0.0
ARG_C26,7.0537,0.7354,6.0843,1.894,5.3097,21.113,3.1363,0.9897,19.1905,5.917,8.6866,7.6005,4.2426,3.0878,2.0938,9.0982,600.7466,15.5138,21.7126,51.7627,0.8407,4.8709,9.2169,3.2552,96.8712,93.835,10.9156,0.2102,6.9097,9.5679,0.7159,14.626,286.7951,179.0665,31.0475,22.3057,13.2562,32.5397,23.1563,72.7353,23.8476,113.6008,10.3368,33.4425,0.0
ARG_C27,40.1413,5.2704,31.0097,2.0135,5.1101,160.8452,11.8964,7.7305,13.1747,29.572,20.5977,22.0535,9.9509,23.3517,39.9319,34.1502,238.8418,201.6218,107.2289,147.2238,4.4161,17.2324,93.6368,3.5117,259.5072,229.5488,17.6432,0.1584,1.771,19.7087,0.5402,33.1017,17.6925,272.2164,35.3662,6.2785,32.2159,57.262,43.5437,34.3851,13.0718,6.5502,14.5232,24.016,0.0
ARG_C28,128.1942,9.9931,74.5674,3.6525,19.0335,122.5449,21.2117,6.3387,19.4225,41.1717,30.5004,49.4672,9.083,23.0978,14.152,44.7929,30.0571,56.465,343.9311,825.6862,13.9604,14.1301,67.2048,27.4782,370.8767,98.1654,167.2286,2.2508,2.4787,13.0989,0.8675,15.9435,6.9015,19.0959,6.1689,4.4115,28.62,16.1068,30.1045,27.1327,4.7344,12.5384,6.1833,4.2448,0.0
ARG_C29,162.8278,12.4599,57.5678,4.7402,12.1843,209.5287,26.6855,8.3473,35.6888,43.3277,33.652,49.6102,18.7808,22.0318,39.917,39.1186,23.2104,29.1585,241.8365,1723.4998,6.7503,23.3704,57.0824,72.3816,226.7476,346.2665,581.9601,1.7002,17.4329,88.3396,2.1426,39.8351,14.2456,61.4526,8.8146,42.4718,30.1635,29.0506,38.9364,120.6451,20.7953,32.4902,17.4255,28.6525,0.0
ARG_C30,13.747,0.5421,5.2801,0.4481,1.2031,19.3969,2.4855,0.7424,2.2276,3.7651,3.6784,4.3966,2.1359,1.6634,1.2455,2.5463,7.7302,2.4529,12.7753,35.4616,61.2464,1.5823,3.208,1.5861,19.9848,15.3117,18.2018,0.8277,3.1058,18.7307,0.2,4.5651,4.6009,8.2483,2.4085,1.6926,2.343,2.7692,2.5991,6.6251,1.5441,3.3842,2.6122,1.2796,0.0
ARG_C31T33,21.2583,1.4183,184.5565,3.6644,2.708,69.5326,37.6889,6.6531,43.5672,5.3364,21.7114,16.4606,13.6892,5.5037,25.6393,16.281,13.6617,11.4703,29.7715,334.3281,2.3937,43.1446,12.0284,40.4096,222.9654,101.2625,25.5176,0.2153,12.4301,14.3335,2.0681,23.6495,20.8757,20.5503,5.375,31.3132,23.6166,25.4527,31.1095,108.1419,62.0594,45.3283,6.4487,62.8239,0.0
ARG_D,195.9076,62.1248,390.0846,307.8592,270.785,926.4843,120.1321,30.0281,113.7125,152.5917,233.8651,139.4853,144.1838,301.5573,334.7983,78.008,80.5541,24.8888,35.6247,83.9056,7.9541,30.1933,5907.6397,281.0325,359.6402,1819.053,388.0344,1.6242,232.3754,366.3958,9.6271,530.1926,39.781,253.6732,47.2088,290.5163,17.2067,122.4387,57.9182,577.1318,302.9376,267.8032,94.9172,129.2251,0.0
ARG_E,23.9314,0.0742,4.6386,22.1336,1.0809,235.4648,11.0217,0.6122,175.2022,13.8401,54.9144,153.5051,9.9326,8.6421,285.3079,78.917,0.8525,18.1558,2.717,27.4457,0.4292,99.4523,1.3213,260.1705,21.2177,183.7347,44.2814,1.2173,95.2972,55.5411,0.2605,77.2642,8.1523,2.739,1.5902,71.4505,0.0595,96.6849,169.4427,1074.5386,176.9829,88.2589,18.0084,57.1397,0.0
ARG_F,15.0946,0.0005,40.373,72.8188,0.0,79.0742,9.5388,3.8799,11.3006,47.0979,15.1814,33.5096,15.3117,2.8889,15.6568,3.9919,5.3896,0.3845,13.0798,19.8018,1.773,4.0594,247.8996,86.0242,2530.8657,460.1272,383.4851,3.3825,10.5989,160.9634,7.43,212.7754,11.4511,228.9336,19.4595,54.7861,1207.9362,146.2308,475.5924,522.1316,188.1046,281.4459,0.1403,39.9245,0.0
ARG_G,5628.854,129.9186,543.0678,176.8771,138.2433,9877.9333,1001.907,201.742,655.6917,897.593,1028.63,1479.1435,801.9825,439.4436,256.6815,296.3618,655.8896,246.7037,513.9884,1845.5573,56.6691,258.8399,760.2766,230.4824,2219.9382,3609.6964,1492.0739,9.2053,366.6649,318.3378,45.5421,3383.3404,656.3801,1911.5119,403.5513,779.4769,500.5482,765.1876,516.1037,946.7098,373.725,1400.9237,498.701,650.718,0.0
ARG_H49,4140.143,15.4998,75.0695,120.1757,165.6947,1708.6158,97.5631,86.2354,185.1359,625.1908,274.6522,223.9013,175.3892,245.6014,139.0559,114.5871,84.6841,63.8782,97.3463,209.4127,12.1078,53.0482,697.6593,25.0461,479.4182,719.1786,73.1076,1.3658,28.7938,12.7541,129.6199,150.2419,56.109,14.8166,28.197,126.1613,463.7329,93.3884,68.2587,28.9729,205.3959,86.5291,37.6655,79.9652,0.0
ARG_H50,0.2386,0.0001,0.0,0.0088,0.0132,0.3667,0.0837,0.0138,0.0662,0.0022,0.1599,0.1386,0.1464,0.0392,0.0961,0.0753,0.1469,0.0676,0.1179,0.386,0.0201,0.0284,0.0,0.0191,0.2458,0.0746,0.1845,0.0,0.0247,0.0001,0.0,0.0764,0.042,0.0122,0.0003,0.0382,0.0037,0.0181,0.0308,0.0541,0.0156,0.1095,0.0,0.0001,0.0
ARG_H51,43.0272,2.1864,24.4577,4.9103,14.2002,97.8908,19.7761,4.0816,18.5727,42.903,37.4798,74.0658,36.9248,13.4118,20.6168,23.1932,42.2596,16.5836,30.7992,72.2926,4.6941,9.3715,30.9449,4.4041,43.8775,51.3384,31.2887,0.2032,91.1242,9.6828,6.3754,18.3626,29.8186,18.5901,25.4521,28.2096,35.3698,63.58,35.902,197.4782,28.0487,19.7419,18.7631,17.651,0.0
ARG_H52,112.3313,50.6119,46.2982,25.4003,63.5766,163.6931,13.947,4.0878,10.8004,68.9357,22.0634,31.7398,15.103,9.0931,20.4295,43.9238,7.9902,8.0994,27.5026,45.681,1.5412,4.072,39.0156,7.1407,37.1875,496.8532,3010.6727,35.4464,771.1154,407.4356,48.7318,59.02,12.1549,23.0914,26.9527,187.171,47.2759,19.4192,14.6192,19.0359,32.7413,13.0186,6.3085,29.3301,0.0
ARG_H53,5.8384,0.6429,18.9874,1.0504,46.9338,16.5284,2.1027,0.5396,3.9292,0.9003,4.097,9.0375,4.7926,1.5197,1.1298,3.4932,2.7236,1.3565,3.2052,9.6204,0.4418,1.582,12.1034,6.6938,7.9574,145.1497,33.2399,0.0647,10.0277,53.4197,7.1098,5.5473,15.2732,28.3911,22.9293,355.5,11.2358,87.2,29.9691,113.7935,47.6036,16.2432,6.3129,87.2014,0.0
ARG_I,184.9213,29.9697,218.5665,4.8714,219.3315,692.4915,83.4428,25.1717,113.6212,36.13,86.927,550.5374,100.6536,86.8793,35.0274,141.0453,84.4415,54.5911,118.3271,182.8417,32.2391,36.7385,13.1932,5.7749,28.8659,303.0429,85.5672,7.0319,65.9497,7.8497,4.2809,401.4961,112.9819,47.1432,65.3647,229.0947,9.4202,142.0847,72.6923,680.1037,235.4302,350.7826,83.0397,116.0085,0.0
ARG_J58T60,26.9142,0.4503,8.4011,10.4603,12.3799,330.2818,17.7727,1.9646,32.4354,6.4146,78.7369,172.9254,24.1715,20.562,13.7552,19.7448,49.9229,9.6024,15.8212,42.6157,2.3243,7.2812,32.7519,6.1434,4.7238,641.7269,53.1542,0.3161,24.0774,21.6356,5.136,95.6135,1249.1849,161.2697,263.304,445.3982,21.1839,393.2797,61.1871,120.0824,72.9684,61.7033,152.2096,91.4498,0.0
