V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1815.799,1.6171,1.9241,0.5026,0.365,3384.6406,53.0889,189.1417,20.8935,1.9986,69.407,6.9547,14.8235,2.9445,2.7296,1.4272,1.3404,1.2252,3.3486,1.6279,0.4485,7.8421,5.3585,1.2521,19.1765,25.5815,3.8904,4.1821,3.2855,1.5998,0.2442,93.705,1.8964,2.582,1.763,2.5469,2.1235,4.3005,4.7385,14.7437,5.4868,10.4363,3.9901,5.8632,0
BLR_A03,0.7542,1.732,0.0237,0.0056,0.0048,31.6521,0.0873,0.0628,0.0304,0.0254,0.2306,0.028,0.0253,0.0278,0.0288,0.0153,0.018,0.0155,0.0428,0.0171,0.0051,0.0584,0.0236,0.0089,0.1058,0.2067,0.0412,0.0678,0.0469,0.0136,0.0021,3.2832,0.0271,0.0295,0.0207,0.018,0.011,0.0371,0.0221,0.133,0.043,0.1054,0.0409,0.0457,0
BLR_B05_06,1.9186,0.023,7.0212,0.6978,0.553,4.9184,0.7507,0.5111,1.2387,192.8266,20.1943,0.2802,0.6499,4.4877,8.3325,0.4939,0.1917,0.2042,0.6893,0.2076,0.0977,0.3571,52.797,0.2665,3.9069,1.3544,1.048,0.5231,0.4266,0.2343,0.0499,0.5441,0.1199,0.1967,0.083,0.1363,0.2746,0.3855,0.2097,0.7328,0.3894,0.4088,0.1875,0.3637,0
BLR_B07_08,1.633,0.011,0.4517,1.5184,0.2062,1.4294,0.172,0.1545,0.4291,0.9155,12.226,0.1677,0.245,26.971,14.0509,0.3314,0.0975,0.2024,0.2964,0.0962,0.0287,0.3799,1.0942,0.1678,21.8682,0.3319,0.1876,0.0456,0.0378,0.0732,0.0052,0.0806,0.0242,0.0392,0.0204,0.0225,0.1177,0.0907,0.0594,0.3407,0.048,0.0589,0.0378,0.077,0
BLR_B09,1.0859,0.0944,22.5842,3.7225,4.1215,0.7497,0.06,0.0554,0.5769,23.5186,4.4615,0.0449,0.1763,5.2245,8.2251,0.2391,0.0155,0.0261,0.2062,0.0161,0.0175,0.0702,4.3141,0.2217,13.8941,0.1463,0.6192,0.1326,0.1307,0.1154,0.0043,0.0347,0.0102,0.0144,0.0102,0.0134,0.1389,0.2619,0.0701,0.2589,0.0263,0.0512,0.0292,0.0295,0
BLR_C10T12,859.0556,6.9033,0.6493,0.3036,0.1316,1755.7551,19.1726,3.3846,6.5881,1.5213,109.0191,12.1228,3.5966,2.6743,2.8156,1.5096,1.5388,1.4515,4.2528,1.2842,0.3976,4.3463,2.7944,1.3006,6.9605,31.2749,3.2022,10.8314,5.3253,1.8584,0.176,478.3355,3.3577,2.5811,2.2021,2.7993,1.3824,4.8338,3.551,24.9161,17.3324,32.8085,10.5478,11.6402,0
BLR_C13T15,16.2056,0.9967,1.6107,0.4071,0.31,20.0065,887.253,7.3098,11.6235,0.9663,15.2131,2.8018,15.4497,5.1142,3.5739,3.4753,3.2239,2.9772,9.0169,11.3765,1.9224,41.3131,2.6181,2.3473,17.2003,23.3316,3.821,3.4948,3.01,1.5552,0.591,9.0789,2.6616,2.6425,1.3251,1.8593,0.954,6.1466,5.2175,26.7008,5.1028,17.9338,6.0355,20.7274,0
BLR_C16,5.7361,0.0586,0.2018,0.1171,0.0397,7.1527,2.1364,122.1451,6.7863,0.2347,3.9896,0.4421,2.0301,2.8905,1.4614,1.6338,0.7028,1.0841,2.437,1.8584,0.7993,29.6265,1.7655,0.3832,42.0728,3.8863,0.7492,0.5452,0.449,0.396,0.0434,0.7877,0.4785,0.4523,0.279,0.3556,1.0124,0.831,0.5112,1.0877,0.5641,1.1601,0.442,1.6987,0
BLR_C17_18,25.3247,0.512,0.7429,0.4859,0.1352,213.8823,23.807,32.1291,529.9835,1.0017,67.438,16.0585,23.7471,23.1949,5.8132,6.4151,8.1895,10.896,14.1789,4.7875,1.1264,24.3479,4.2571,2.6684,13.1958,55.2666,4.8495,3.1364,2.6131,3.9207,2.3212,12.8815,102.2714,10.7517,11.9742,22.8086,3.4844,37.9366,13.5557,42.6862,26.7376,17.7662,11.2598,20.0818,0
BLR_C19,130.4902,4.0929,7.5102,4.9179,2.4535,50.6317,13.7971,16.6131,9.0445,117.1415,150.5439,4.4399,11.6812,34.3187,30.6517,5.6578,4.9214,5.7929,10.2777,5.6631,1.4114,11.2399,29.7651,6.6143,54.3032,38.3329,144.778,131.0972,154.5487,8.5686,1.9293,8.9997,2.92,5.463,3.0405,5.6303,2.5666,9.1243,6.9372,23.7185,5.6952,10.1913,3.4101,10.6975,0
