V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_A01_02,14455.0481,0.0,1.1983,6.2591,0.0147,26902.564,210.5941,6780.986,775.7933,0.0,145.2467,0.0,136.5167,0.0,0.0,0.0,0.0,0.0,8.4141,0.0,0.0,9.9635,244.8482,9.8078,3600.5923,9.6391,0.0,0.0,0.0,0.0,0.0,1064.2066,47.0627,0.0,0.0,25.408,0.0,25.8835,31.3437,2222.384,156.0989,19.673,201.5197,128.8534,0.0
FRA_A03,0.2777,35.187,0.0,0.0,0.0,737.5042,5.7214,0.0,0.0,0.0,3.3898,4.4019,4.9576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2796,10.9047,1.7578,58.0138,0.0,0.0,19.5388,0.0,0.0,0.0,468.4497,2.9792,0.3654,0.0,0.0,0.0,0.8146,1.2449,0.3971,0.0,59.2569,4.3078,12.6742,0.0
FRA_B05_06,0.375,0.0149,0.0854,0.0214,0.0137,1.1775,0.0711,0.0021,0.0689,189.8713,3.7983,0.0608,0.0136,0.0594,4.4307,0.0227,0.0116,0.0089,0.0212,0.0834,0.055,0.1157,141.9337,0.0925,0.3721,1.1078,1.0596,0.2824,0.6416,0.1602,0.0127,0.2668,0.0643,0.0712,0.0707,0.0494,0.0256,0.3031,0.3346,10.1533,1.4255,0.1056,0.0731,0.0756,0.0
FRA_B07_08,169.2517,33.4772,0.0,30.5123,0.4811,233.2517,12.6883,0.8506,64.8461,8.4078,679.5368,11.0926,26.9801,667.5336,1011.0218,67.6144,13.3611,12.4454,14.9172,10.5184,11.6758,27.1383,47.7132,16.5841,934.1048,31.7136,0.8278,0.4864,1.7274,1.5935,0.9215,53.8843,1.0263,3.7208,1.9476,8.339,0.3338,24.7747,24.7701,0.0,0.0,13.9411,3.3761,8.7949,0.0
FRA_B09,0.7044,0.1287,0.3525,6.7842,0.3082,0.9335,0.0312,0.0031,0.5691,36.9879,3.7431,0.0996,0.2098,5.408,9.668,0.6287,0.011,0.0209,0.1755,0.0169,0.1238,0.3408,14.7964,0.7618,40.0031,0.693,1.9834,0.0692,0.1194,0.7038,0.0083,0.0818,0.0016,0.0,0.0023,0.0004,1.727,1.685,0.6599,0.7939,0.0645,0.2806,0.1101,0.0371,0.0
FRA_C10T12,4799.3794,59.2268,1.0719,21.9373,0.0273,20877.3194,294.7024,6.2603,95.1196,43.9998,1484.3005,304.4202,56.6865,34.2515,75.4203,65.4354,42.3234,29.4767,52.3304,90.0094,16.0046,146.0186,39.2388,105.0782,329.7449,2166.9596,75.6421,88.4129,212.5596,133.2272,35.2768,19011.9198,357.4987,192.1103,209.8237,62.4745,110.3624,1712.6241,993.7311,462.0158,2427.1003,2726.9445,1205.635,217.8495,0.0
FRA_C13T15,55.5577,2.5761,0.3393,0.8442,0.0397,191.7507,4067.6973,8.5592,286.9627,10.8771,78.2919,41.004,73.6423,16.2769,26.5664,39.7098,60.155,29.2545,71.3649,285.153,73.6554,282.1769,13.7756,32.8019,284.1888,1016.2149,11.8289,40.1956,12.3031,35.6941,8.1122,175.943,352.3812,66.7588,9.6195,21.9128,47.5937,142.9563,151.6461,83.2353,66.3509,265.5549,110.6654,84.8743,0.0
FRA_C16,494.7268,30.8902,0.0,33.9773,0.0426,368.3221,11.1506,469.6035,235.0566,1.3729,56.7044,58.2633,69.922,272.9044,85.2536,113.9648,53.2334,33.2228,86.0134,456.776,127.9161,883.4339,2.8814,91.0499,4007.699,369.9457,3.9763,18.0118,4.5781,96.558,1.1808,71.2084,268.1961,102.4685,15.8881,5.7767,238.013,41.7814,184.5799,6.6305,37.846,35.6164,129.5154,97.0355,0.0
FRA_C17_18,109.2461,8.1548,0.0,18.5116,0.0494,1089.6196,143.7042,10.9965,2918.8203,18.5449,424.6843,345.0539,194.249,140.6849,21.5974,56.5671,98.3322,74.8194,71.723,75.0861,39.1609,179.8476,24.225,192.2766,288.1756,1940.1079,33.6388,31.8956,7.2809,153.1143,8.5475,138.1756,3703.4138,285.8489,244.9522,1494.5714,264.9179,2669.6446,1131.072,883.7563,588.7382,424.3322,572.3768,308.2449,0.0
FRA_C19,1307.5728,51.8755,0.5714,74.5802,1.5894,420.9492,54.0508,7.2696,93.5998,1130.235,2656.8987,41.1302,47.283,197.1737,176.1485,79.3512,40.6042,30.9691,74.0263,129.4967,12.4441,130.1467,360.2675,236.3298,1281.0237,2984.5188,3683.9836,977.6134,2211.6346,534.2556,29.168,106.2015,208.6953,191.1033,216.4809,172.4432,84.0501,933.7319,785.5816,412.0002,126.0058,141.3111,201.4282,124.0379,0.0
