V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_F,38.4479,0.2569,1.8949,0.6683,0.0176,7.1246,2.4638,37.1929,2.2521,1.5968,5.856,0.0956,11.8881,33.2093,1.6752,35.3413,2.4194,8.6396,2.7892,0.8618,0.5022,7.5688,22.1985,8.2947,499.0621,54.0788,9.8206,3.8397,1.8051,56.3925,2.35,15.7501,0.7902,14.8115,8.2155,7.4296,339.7473,28.9878,13.5698,118.3689,26.3284,19.8716,19.9076,5.6702,0.0
EST_G,137.018,4.4256,14.7619,5.4598,0.1373,160.5514,49.5546,177.7389,32.1487,11.3788,40.8664,2.5654,31.4321,38.9125,2.4807,69.9544,44.9319,33.9171,25.1883,39.0395,7.9589,88.9092,59.8629,10.8806,251.1042,211.1965,264.8035,30.5065,13.0738,79.2254,5.9545,67.766,11.8141,5.8759,21.7596,18.1026,39.2324,66.8841,39.776,36.6937,28.4809,63.1898,22.5135,16.0079,0.0
EST_H49,46.086,0.8766,7.9739,3.1467,0.0443,58.739,9.3092,76.6516,14.1871,14.9273,9.0228,0.3619,8.293,27.1198,0.7932,25.6611,14.0193,11.1314,9.1898,7.8236,2.3979,28.1008,13.3009,5.4295,107.4373,114.2166,72.8764,8.5221,3.1759,140.5815,3.4413,8.3191,1.397,0.4983,3.5692,2.4248,6.2848,10.4318,11.5698,7.5443,7.3497,6.4397,5.6515,4.8537,0.0
EST_H50,10.3458,0.1656,0.826,0.2942,0.006,4.3436,1.2641,4.9617,2.3617,0.8186,1.8316,0.1225,1.4519,1.3633,0.1481,3.3104,1.966,1.3149,0.9153,0.7981,0.3234,2.7059,1.5485,0.3177,6.1135,8.6239,4.5659,1.3514,0.3232,31.61,0.0644,2.0242,0.3952,0.3033,1.9237,0.8844,1.0765,4.0081,3.2534,4.597,0.7754,1.7061,0.9352,0.5216,0.0
EST_H51,0.4397,0.0283,0.0717,0.0258,0.0006,0.5849,0.1695,0.3848,0.098,0.0987,0.2576,0.0111,0.1387,0.1124,0.0458,0.6062,0.3275,0.1717,0.15,0.2426,0.0312,0.1393,0.3844,0.0284,0.8034,0.2727,0.4249,0.3323,0.095,0.6128,0.0155,0.1402,0.0191,0.0192,0.0423,0.0565,0.0896,0.1045,0.1355,0.0333,0.0326,0.1724,0.0486,0.0447,0.0
EST_H52,64.6566,4.4393,5.6156,1.8963,0.0314,18.0402,4.5957,34.0978,7.1969,4.6285,8.5135,0.1409,4.1523,8.9557,0.7021,11.4815,14.2313,4.4658,4.0249,6.3885,0.9256,24.6327,7.6299,7.6688,24.2721,188.3365,155.1417,98.9718,35.4344,698.0883,5.3169,6.2889,1.6023,1.0504,4.9028,3.8636,10.2284,10.9393,29.8526,14.06,6.6001,3.1376,3.6337,4.1915,0.0
EST_H53,0.6047,0.0147,0.04,0.0125,0.0003,0.6243,0.4552,0.8718,0.2643,0.0708,0.1643,0.0123,0.312,0.1426,0.007,0.2045,0.3559,0.1344,0.1193,0.0759,0.1544,1.1852,2.1706,0.557,1.0739,10.9294,1.1419,0.433,0.2443,3.4056,26.7372,0.5127,4.0877,0.8306,1.6313,3.4932,2.3095,4.6973,10.5012,2.5872,0.6463,0.5564,1.9677,2.6188,0.0
EST_I,1.5841,0.1972,0.1109,0.0174,0.0012,0.9734,0.1857,1.177,0.2783,0.0228,0.2297,0.0212,0.1963,0.362,0.0239,1.2398,1.1411,0.6592,0.3647,0.3977,0.1386,2.7296,0.2681,0.0812,4.3356,7.3948,3.8703,0.4175,7.1365,2.7943,0.1234,5.8559,1.1802,0.6615,9.1534,4.865,0.9635,8.4362,41.1679,18.0181,25.9183,6.7151,9.6618,2.4429,0.0
EST_J58T60,2.5674,0.0598,0.0294,0.0132,0.0002,1.5086,0.4005,1.1123,2.0493,0.4967,0.1845,0.0666,0.1459,0.1833,0.0058,0.4691,1.2111,0.3011,0.554,0.0587,0.0597,0.6182,1.0177,0.1714,2.5958,20.314,0.8122,0.9004,0.236,2.8899,0.9155,5.7407,33.2794,9.8665,5.9037,5.0151,1.5231,35.5634,6.2145,6.3007,10.9361,1.9141,10.1545,6.4582,0.0
EST_J61,7.5011,0.2257,0.5061,0.1035,0.0037,3.7889,1.3077,6.71,2.0977,0.1285,0.4624,0.0981,1.9492,2.4562,0.0148,3.062,19.0091,1.843,1.8531,0.4816,0.2852,2.6276,3.0084,0.779,14.7471,26.2349,4.9223,1.783,0.796,11.194,0.5316,3.1145,7.0148,117.2777,27.8888,10.3021,11.3963,18.6881,7.4767,6.1448,3.3848,2.8455,4.3434,3.1069,0.0
EST_J62_63,7.0076,0.0617,0.9621,0.3534,0.0088,5.6926,1.4128,4.9783,1.9894,0.6752,1.9993,0.1174,1.653,1.5715,0.051,4.0731,13.8241,3.3928,1.1848,1.3218,0.5129,3.4103,16.4478,0.6936,8.9459,69.2276,7.358,1.6829,2.6089,11.5702,2.3679,4.5311,8.197,30.1213,171.6372,25.1631,6.5698,47.476,11.0054,31.5275,9.8875,8.0253,4.8344,6.2782,0.0
EST_K,27.4645,1.79,2.4257,0.7545,0.0131,11.554,5.0433,15.2095,5.3724,1.6573,2.6713,0.169,2.5139,3.9001,0.3582,7.2817,8.9958,4.7343,2.9285,1.9188,1.1141,10.1778,14.586,1.9316,50.3255,110.4793,26.518,9.0347,4.4949,26.2616,3.0471,15.0365,3.7781,4.8337,14.7352,265.4264,196.7311,44.1902,21.2139,18.4105,4.1719,8.1054,7.7138,6.4986,0.0
EST_L,22.2458,0.5086,2.1146,0.4955,0.0152,28.0759,16.0963,39.6074,9.6779,0.4423,2.3026,0.3627,13.7253,7.7342,1.3814,32.0204,16.1679,15.6147,9.4471,8.2526,2.1019,48.9209,15.892,10.5728,34.5605,544.9201,17.9042,4.1093,1.6818,130.7252,3.0095,145.8177,7.7164,12.0797,58.7332,46.9731,114.0598,123.051,50.7095,48.8132,40.2165,29.9657,70.2539,31.0703,0.0
EST_M,49.0771,3.11,4.5806,0.8711,0.0434,44.2415,9.1297,21.7639,12.9753,7.7412,11.9466,3.8646,7.9709,10.8158,0.8575,13.9913,17.3655,12.8874,15.433,7.5993,1.9314,50.0583,29.1205,6.9378,253.5687,216.4522,24.2917,18.2221,14.1054,39.7151,2.9052,23.2228,18.6512,22.2319,63.1606,39.3492,46.9319,301.5538,70.6507,36.0922,13.5533,14.717,31.7258,21.9783,0.0
EST_N,10.73,0.9482,1.0844,0.3556,0.0098,11.456,3.4032,15.3862,3.3026,5.595,3.1615,0.4144,2.5462,9.5534,0.3452,26.2869,18.1976,14.0853,6.2928,3.319,0.2604,17.0497,13.9425,5.6001,74.1079,101.1657,28.2789,72.0461,23.0902,60.9373,4.3634,11.7805,2.6316,4.8757,22.9147,24.5229,101.0808,84.2344,83.9008,60.6741,34.9186,21.7345,32.9145,13.0161,0.0
EST_O,3.4435,1.1204,0.5948,0.2076,0.0049,4.0507,0.7918,4.285,0.7873,0.3195,0.4973,0.0743,0.7936,0.9277,0.1123,1.7422,1.3188,1.2624,0.6307,0.5414,0.2173,2.6727,4.3118,1.0877,13.2123,29.5681,14.8418,1.5692,0.6658,14.3478,0.5348,4.4187,6.8186,6.8809,5.8653,2.2086,9.2464,19.4834,4.9506,20.9143,1.8926,3.3956,3.3478,4.8383,0.0
EST_P,0.9331,0.0236,0.3086,0.087,0.0029,1.9782,0.5498,1.1396,0.3346,0.3435,0.3091,0.0378,0.3361,0.7867,0.1369,1.1113,1.6037,1.9605,0.3899,0.1986,0.0537,1.6516,3.0117,0.3343,3.5782,8.483,2.8437,0.3794,3.5319,3.185,0.1943,1.9054,0.7064,2.1805,6.1934,11.1345,1.1658,11.4384,2.8612,34.7015,32.6654,7.2739,3.6628,6.3461,0.0
EST_Q,0.6992,0.0494,0.3021,0.0593,0.005,0.7242,0.2331,0.7115,0.3203,0.3093,0.1366,0.0042,0.1821,0.2408,0.0188,0.4847,0.5398,0.4092,0.8191,0.2569,0.1099,0.8623,1.0129,0.1753,2.9326,7.4328,0.6945,0.3695,0.3032,1.8247,0.4836,3.2053,0.1662,0.1754,2.3502,2.4577,0.8123,5.3688,3.0568,24.1152,21.7087,76.4193,2.942,1.0857,0.0
EST_R,0.8339,0.0068,0.019,0.0076,0.0002,1.2479,0.1227,0.8654,0.1206,0.0128,0.1011,0.0191,0.1107,0.3831,0.0073,0.2469,0.2596,0.1411,0.1699,0.1059,0.0318,0.4592,0.1828,0.0878,0.6248,8.9335,0.2436,7.2932,0.1367,0.8966,0.073,6.6603,3.9085,0.4644,2.2852,0.7162,0.9906,4.6458,4.7353,8.9695,14.4628,0.8604,101.8098,1.9335,0.0
EST_S,4.2702,0.127,0.1302,0.0511,0.0015,8.667,0.7674,1.5777,0.6328,0.3978,0.3502,0.0153,0.4826,1.3165,0.0397,1.1001,4.0002,2.4383,1.0156,0.3342,0.3211,1.8837,1.6846,0.9185,2.7241,11.085,5.595,0.5123,0.2094,2.1098,0.1565,3.3729,1.4108,3.2545,8.5969,2.5469,2.9043,5.7417,4.4106,12.8166,4.1986,5.2353,3.2225,8.2789,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
