V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_A01_02,5181.3686,29.0216,0.3258,1.4991,0.2969,13472.7352,223.7104,776.8936,388.6195,0.4967,0.9217,5.1187,15.7589,2.2726,0.3872,1.9146,0.8505,0.5469,7.0099,0.879,0.4007,3.0565,2.844,1.2964,101.8239,159.4075,15.3171,3.1554,3.7495,9.1527,0.3959,175.6668,3.6648,0.9242,3.5778,23.8024,21.9605,55.9681,127.3988,340.6932,7.2283,94.5532,112.6558,15.5693,0.0
NZL_A03,163.3985,211.0941,0.7493,0.4051,0.3704,265.5699,0.2906,1.8852,4.0642,0.8458,1.0125,2.0657,0.6964,0.5061,0.2985,1.8943,0.0112,1.2472,0.5455,0.2403,0.1198,1.1773,0.7477,0.7978,3.9354,82.8636,2.9187,0.2217,2.4179,2.9808,0.534,64.327,6.9584,1.1828,2.5438,63.0288,30.7584,8.7102,9.929,11.3801,1.609,12.6018,1.6841,1.8831,0.0
NZL_B05_06,18.8518,3.3671,102.1669,7.2585,7.3302,56.8047,5.0247,2.8082,5.2694,525.2068,54.4411,1.2416,2.6468,18.6745,42.0692,12.4523,0.1198,0.3245,2.359,0.8984,0.1563,2.2371,161.1061,4.6466,174.2477,239.6005,7.5245,1.2933,6.4304,3.5825,0.1626,4.2246,1.6113,1.5521,0.6251,4.2793,32.8855,20.0399,8.5943,18.9473,18.8567,28.9153,1.1203,2.0614,0.0
NZL_B07_08,82.8078,0.9174,11.4421,9.7551,1.6699,45.1713,9.4108,3.4307,3.8896,4.0418,40.5907,1.3428,7.7468,89.063,26.2837,3.4984,5.8097,5.8475,2.2497,0.3754,0.5133,10.8861,0.4997,17.2772,303.4382,14.6866,15.3497,0.5408,0.145,0.6047,0.0955,5.1605,0.8853,0.2413,0.3236,7.1778,8.3839,5.5095,4.5411,4.1907,3.6044,3.7721,0.5901,1.7379,0.0
NZL_B09,1.6903,0.294,89.746,9.1374,9.4062,18.8782,4.3023,0.9006,0.7756,14.3442,3.2212,0.7174,1.3541,1.2858,21.0996,13.4172,0.1622,0.188,2.4381,1.4031,0.064,1.4157,1.9184,0.5435,11.7427,51.5354,0.7272,0.0315,0.535,0.4901,0.0709,1.0394,0.7397,0.2658,0.5112,2.0517,4.7397,12.0345,7.2077,12.7886,6.4655,2.5391,0.5518,0.7337,0.0
NZL_C10T12,557.846,302.4194,20.5577,7.7668,3.3977,2468.74,21.2567,47.0154,102.5312,16.3926,58.2549,50.3361,64.8385,22.7667,24.4549,24.5992,18.2223,28.8478,8.8034,9.4291,9.5255,9.14,8.016,31.3097,79.5548,521.9596,8.7044,3.8193,17.2357,24.5235,5.8389,869.3179,76.4042,4.3423,12.2987,25.7625,127.2327,88.0985,75.9399,54.2074,17.3132,221.4619,37.7959,10.0442,0.0
NZL_C13T15,14.5533,3.6869,0.8466,0.4472,0.4649,7.8255,55.5061,1.1477,4.1402,0.4497,0.3156,2.7173,2.2976,0.783,0.9953,1.3585,8.1761,0.7202,0.5808,0.3796,0.5073,7.6452,1.9139,0.5336,60.935,77.1014,1.9769,0.1226,1.3918,1.0526,0.076,2.1645,1.4133,0.4446,0.444,1.2296,40.0228,5.3907,5.4685,13.515,6.5657,7.8552,1.4618,9.0477,0.0
NZL_C16,215.4331,1.0414,1.7536,0.9176,0.1444,41.8495,0.4839,797.6806,155.3593,1.7369,1.2998,0.872,12.7525,37.3317,3.4695,14.4233,0.6635,3.4812,6.5191,1.4224,6.5146,85.1983,1.7679,0.2908,1407.1826,437.356,2.238,0.5029,1.5874,5.0374,0.1264,1.5808,2.0011,0.5959,0.3201,0.9755,96.4635,33.51,14.2101,8.8979,16.3487,9.1436,2.9193,17.4748,0.0
NZL_C17_18,249.8324,29.2987,0.9117,8.5543,0.3741,180.6258,14.6221,78.7052,255.9067,6.9367,75.3396,31.9418,112.8737,36.1034,6.4489,12.8536,36.1291,13.3263,3.1969,4.5117,10.2294,17.4833,2.7344,8.0813,166.6453,153.1645,9.115,0.9631,17.5084,13.3616,6.9182,36.2105,114.9614,5.4678,10.3809,35.3516,163.3127,387.1091,51.76,52.6007,52.3008,67.5697,15.2317,12.5344,0.0
NZL_C19,167.985,80.147,65.2794,19.3835,5.1777,83.5308,6.2218,12.5259,11.7729,42.577,7.0958,2.3428,7.2281,22.4866,31.3965,23.1209,4.3115,2.999,5.9461,3.3511,7.8042,20.0619,30.0178,16.9984,458.7487,120.4571,358.7117,44.5381,439.263,50.6658,0.5348,11.1858,4.4895,3.7169,2.0579,2.872,43.8835,25.0735,42.3502,44.0114,15.7835,33.4164,13.6765,11.061,0.0
NZL_C20,258.0354,3.3992,14.6984,9.2521,1.758,52.2817,13.0249,37.0054,87.6908,4.659,103.6183,19.2121,141.2757,45.8724,11.4956,8.1172,27.6224,18.0242,3.0409,5.7593,9.9485,7.5385,2.2059,8.6646,124.0822,76.9602,12.7258,0.8467,8.7164,5.2541,1.9424,12.8352,16.882,1.0148,1.8432,2.3191,40.5219,27.0985,25.7326,28.5518,12.1472,39.3691,5.1399,6.3805,0.0
NZL_C21,107.63,0.5385,2.1114,1.9338,0.2846,22.8768,3.1476,9.181,21.3882,0.9062,25.4385,19.3614,36.1603,10.1905,2.4111,2.3862,19.3986,4.3372,0.6825,1.3906,2.7567,1.6534,1.0092,1.9526,28.9799,35.4146,1.4228,0.0939,0.9097,1.1051,0.3778,3.0442,4.005,0.3439,0.582,1.4153,9.9204,7.3955,6.4867,7.2234,3.3698,86.1999,1.3602,1.6552,0.0
NZL_C22,296.4805,9.0157,21.5704,12.0753,2.5891,339.3198,12.4748,42.7356,63.0626,43.7555,55.6856,29.926,148.2067,26.5751,13.5357,14.2394,18.6317,30.7102,33.6289,23.4281,13.3289,39.6468,2.3215,15.186,382.3115,224.4991,89.9103,0.7416,11.7424,18.3987,25.0307,23.007,10.778,2.5872,1.5795,3.2818,59.3961,35.2852,33.6282,20.3791,12.7335,37.7595,6.4109,14.4301,0.0
NZL_C23,89.8025,0.6619,6.234,4.1252,1.757,102.9035,3.8475,37.7028,25.6794,7.3115,33.8712,5.7892,42.7226,148.4078,7.6262,61.0961,26.0496,8.3781,2.2826,5.085,9.8156,10.8195,0.8707,15.131,1187.4395,30.8583,11.5453,0.1438,1.6469,1.5886,0.6323,5.221,4.6871,0.7591,0.4921,2.1071,64.564,31.7226,34.6622,8.2588,12.2828,12.8976,1.4926,6.0129,0.0
NZL_C24,44.5058,0.0,7.1804,1.0202,0.9862,25.1353,0.4246,1.8313,7.3409,70.067,7.659,1.003,5.0985,20.6436,422.4939,810.7424,12.5543,62.5727,345.7304,3.314,5.2607,28.7761,0.0,3.6114,229.8077,3.1083,1.4888,0.0511,0.0,0.1558,0.0,3.8959,1.6606,0.0,0.0,0.7695,14.1776,2.9423,0.0,7.7862,4.7697,1.1797,0.0,3.3612,0.0
