V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_C22,11.2728,0.001,5.7445,1.5266,0.0159,83.1313,2.5078,17.5622,14.6496,6.692,81.5535,85.0016,128.0225,33.0565,1.6216,29.0379,288.3228,61.1666,145.2493,11.8475,9.2861,57.9814,25.3554,7.3203,395.2054,335.3722,70.798,25.6623,6.2723,17.8211,2.1063,6.9886,3.0345,3.6127,0.9724,4.2728,12.0977,51.0971,22.7667,43.9563,2.4982,21.1287,3.0264,11.3292,0.0
CHE_C23,22.7249,0.0016,38.6599,16.1776,0.1255,67.7453,1.0764,28.2107,3.268,20.429,184.0714,159.4175,4.2208,453.6079,14.3016,25.8002,189.0732,86.3159,56.6332,11.0816,4.9091,48.0658,27.9269,30.5021,2833.4879,175.0719,40.0303,44.3058,11.4099,27.7145,1.9946,5.1092,0.6405,17.1547,1.1298,1.5251,4.1804,65.8693,30.5553,119.4584,3.2284,20.8223,15.1637,22.7666,0.0
CHE_C24,0.3538,0.0,6.3722,1.4798,0.0219,2.146,0.6766,3.1527,1.3826,2.5623,19.6124,7.1754,2.2813,8.8835,389.2033,511.1265,121.9477,293.8806,417.6216,15.4925,30.1012,145.1861,19.6154,38.3723,220.7586,66.2482,8.3428,13.0646,1.5608,12.6978,0.0375,0.0329,0.0234,1.8209,0.4966,0.0103,0.1036,32.9604,5.5672,18.6945,0.2118,0.5462,0.0304,3.0172,0.0
CHE_C25,42.5525,0.0002,44.5411,13.1466,0.1452,155.7548,9.0777,106.5549,24.5181,7.3231,66.4377,60.2106,62.5966,44.8637,34.6959,1661.6242,1537.8322,970.8588,1804.1882,139.3406,313.4492,542.915,68.4611,55.2267,1986.6332,575.7362,73.8783,75.9607,15.1399,196.1582,9.2668,59.1306,11.8262,14.6614,7.343,16.0653,50.0757,177.259,54.0127,181.8981,16.9171,33.7903,5.8287,50.7441,0.0
CHE_C26,13.4796,0.0055,7.1249,2.1219,0.0223,57.4207,6.0894,22.6266,9.5232,8.8374,66.9804,161.9528,15.9495,7.9793,7.6421,132.7903,7387.8684,1506.0719,624.766,16.7953,87.2868,321.7412,171.7859,19.617,252.8111,2617.2569,94.8774,121.6475,35.6063,60.8608,29.4473,16.0983,32.6391,594.0568,309.431,124.0203,6.8455,868.1946,171.5835,512.4648,42.6368,94.5419,108.15,174.1942,0.0
CHE_C27,32.0053,0.0013,10.5853,2.3437,0.0175,26.578,0.9762,4.4919,3.4256,4.4102,32.0049,37.1098,3.6697,2.1091,9.5513,32.6745,1617.5499,1188.5108,507.3467,29.7055,31.1858,190.7126,552.7574,6.7137,1001.0509,442.2997,115.6979,80.186,19.3203,64.7276,7.4432,4.2444,0.6659,28.5301,8.9763,6.902,10.6788,72.6843,14.6345,55.3257,2.7873,15.0432,7.0426,59.5974,0.0
CHE_C28,36.6445,0.0026,22.4641,6.8288,0.0622,46.2103,2.4261,14.1393,12.1836,3.0813,22.4377,63.3481,8.5146,9.9729,3.9399,25.3258,636.7736,136.5451,1196.8218,13.4713,25.4042,83.3366,15.8448,13.202,211.6211,303.0058,18.1936,24.363,5.9588,10.3132,1.9011,9.7588,1.4759,5.4118,3.597,6.3359,22.967,35.2291,9.1342,34.9296,2.2886,23.6526,5.2582,9.9042,0.0
CHE_C29,0.0084,0.0,0.16,0.0626,0.0004,1.4227,0.1775,1.2377,0.3684,0.1052,0.7033,2.2765,0.0904,0.0944,0.0397,3.3294,1.3501,10.9181,46.8922,8.8705,1.0402,4.8377,0.2348,7.963,0.0898,57.4449,23.4819,3.2093,2.1031,11.878,0.089,0.0482,0.0062,0.0149,0.0041,0.0059,0.0009,18.0822,0.9179,2.049,0.0733,0.0264,0.6238,0.0166,0.0
CHE_C30,0.0221,0.0,2.1013,0.2586,0.0038,0.452,0.0909,0.3616,0.1389,0.1282,0.948,3.193,0.0036,0.0874,0.0516,0.2598,68.4305,1.1406,0.0891,3.6789,314.9915,77.9816,0.5839,7.8168,0.6094,18.815,114.6446,51.1409,128.4824,0.8976,0.0129,0.0306,0.0008,0.0,0.0171,0.0,0.0073,29.2477,19.0427,310.3855,0.3516,1.0766,10.0946,1.7695,0.0
CHE_C31T33,92.7708,0.0021,70.9982,15.462,0.1703,73.0753,6.9428,51.473,64.5343,4.0271,32.7703,185.9256,28.9933,24.93,71.1737,101.563,1299.1195,427.1931,294.4736,5.4457,338.0962,326.7143,718.0105,31.2,153.5304,362.2781,216.6847,226.8583,90.7628,17.6859,1.7665,14.9838,12.575,106.5366,1.3946,14.1313,73.7007,246.3553,27.5744,253.4363,4.849,320.0423,32.6922,17.025,0.0
