V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_A01_02,658.4052,0.5859,0.004,1.169,0.0264,408.7468,0.9492,520.0673,0.4584,0.023,50.4939,0.7786,0.4131,1.2671,0.1245,0.8767,0.4545,0.4385,0.9237,0.4223,0.4866,27.6415,9.3361,1.0738,10.4635,19.1875,10.5841,0.1589,2.1762,1.0291,0.1764,5.1383,0.2349,0.8748,0.7694,0.529,5.504,1.7049,5.2043,4.6102,5.0086,3.0726,1.4882,2.6521,0.0
LVA_A03,1.5082,11.1003,0.0005,0.2192,0.0007,29.4216,0.0697,1.1271,0.2276,0.0054,0.202,0.1118,0.0792,0.257,0.0335,0.4316,0.1646,0.0881,0.082,0.1402,0.0279,0.213,0.3484,0.0791,1.413,4.7936,0.5313,0.0133,0.41,0.4914,0.0112,0.8202,0.0275,0.0282,0.0857,0.0322,0.1338,0.2184,0.3808,0.2452,0.1179,0.3633,0.0541,3.0795,0.0
LVA_B05_06,0.168,0.0003,0.0031,0.2663,0.0002,0.0031,0.0006,0.0704,0.0094,0.0,0.0038,0.0,0.0001,0.0002,0.0109,0.0002,0.0007,0.0001,0.0013,0.0013,0.0001,0.0003,0.3452,0.004,0.005,0.0026,0.0054,0.0,0.0006,0.0003,0.0,0.0003,0.0005,0.0018,0.0063,0.001,0.0019,0.0075,0.02,0.0846,0.0355,0.0007,0.0006,0.003,0.0
LVA_B07_08,1.9576,0.0697,0.0412,59.3187,0.1342,1.6282,0.0194,2.8642,0.0248,0.0025,2.2349,0.0146,0.0425,66.2651,6.9026,0.9142,0.0806,0.0331,0.0206,0.0191,0.3427,0.5363,3.997,0.8842,167.1874,0.4654,2.7079,0.0003,0.0004,0.1674,0.0126,0.1487,1.049,0.0701,0.056,0.0116,1.1545,3.5987,10.3741,0.34,0.6563,0.4334,0.3943,0.3587,0.0
LVA_B09,0.0195,0.013,0.0008,0.5459,0.0098,0.0141,0.0001,0.0039,0.0055,0.0067,0.0264,0.0017,0.0015,0.0985,0.0158,0.0279,0.0001,0.0004,0.0006,0.0,0.0,0.0007,0.06,0.0057,0.4614,0.0028,0.0579,0.0005,0.0099,0.0585,0.0001,0.0005,0.0002,0.0,0.0,0.0003,0.0163,0.0154,0.0062,0.0061,0.0011,0.0007,0.001,0.0004,0.0
LVA_C10T12,37.1642,3.2318,0.0006,0.1718,0.0,285.2468,0.0276,0.1439,0.0484,0.0007,9.1972,0.9091,0.0313,0.3739,0.0144,0.0882,0.1123,0.1089,0.014,0.0977,0.0169,0.0703,0.2007,0.0749,0.4809,26.1344,0.6087,0.0795,1.4081,0.4125,0.0294,92.795,0.1667,0.0614,0.6373,0.089,1.5748,0.3502,0.5166,5.3968,28.0671,8.3152,5.4008,0.67,0.0
LVA_C13T15,1.4804,0.0614,0.0018,0.4052,0.0006,1.6218,24.6144,0.6364,1.0061,0.0026,0.3495,0.1173,0.2612,0.2768,0.019,0.8278,0.0663,0.2972,4.48,0.3793,0.1315,4.2161,0.2588,0.4224,3.0438,2.5774,0.8724,0.0112,0.2743,0.6561,0.1324,0.3891,0.2098,0.1034,0.1407,0.0276,0.3317,0.5424,2.3871,5.3397,1.3092,2.3352,1.3179,1.8277,0.0
LVA_C16,58.8535,0.2571,0.0236,5.4182,0.0236,11.3362,0.1784,441.1169,1.9788,0.012,0.8302,0.4215,1.4886,5.0559,0.1684,3.6604,0.3814,0.6445,0.7962,1.039,0.7568,23.8436,45.8224,1.5885,32.9899,32.2665,5.1361,0.1451,1.8663,1.7464,0.1278,0.7326,0.1872,0.5046,0.7409,0.4336,53.4791,1.9042,4.4293,4.3256,3.3602,2.1844,1.1639,1.1996,0.0
LVA_C17_18,2.2173,0.1816,0.0004,0.2554,0.0018,11.4044,0.3637,3.0045,45.1005,0.0263,1.0266,0.9752,1.0103,0.3894,0.072,0.3935,0.1238,0.6623,0.5528,0.0677,0.0839,2.7317,0.3054,0.8699,1.5762,11.6473,1.3827,0.038,0.5699,0.8214,8.9621,0.6751,25.393,1.6054,3.2549,42.0581,1.6201,13.6741,2.7227,13.7296,9.028,2.4042,9.2113,3.5474,0.0
LVA_C19,0.8464,0.0194,0.0003,0.1325,0.0005,0.2182,0.0098,0.2874,0.0198,0.0073,0.0256,0.0104,0.0124,0.0869,0.0063,0.0582,0.0156,0.0115,0.0147,0.0103,0.0237,0.1132,0.066,0.0648,0.7041,0.9158,2.7314,0.0272,0.3809,0.8366,0.0252,0.0263,0.0095,0.009,0.0142,0.0115,0.0357,0.0936,0.1673,0.1995,0.0606,0.0792,0.0247,0.025,0.0
LVA_C20,41.9815,0.0162,0.0072,2.7675,0.0183,11.2411,1.8895,15.7693,3.0146,0.2308,27.2205,6.6129,8.7665,5.9345,1.2855,1.5406,0.5335,4.5927,0.6403,1.4987,0.2515,5.9286,0.2418,1.5667,9.3575,9.6467,2.6553,0.2209,1.8725,24.8966,0.0135,1.0027,0.0402,0.0323,0.0995,0.1217,2.5421,0.8116,1.9259,1.2717,0.6828,5.7751,0.348,1.8183,0.0
LVA_C21,4.0441,0.037,0.0008,0.8811,0.011,2.271,0.4224,2.5806,0.4586,0.0396,1.2118,5.0059,0.4506,0.8022,0.1271,0.8085,0.6819,0.3305,0.1765,0.5358,0.1526,0.5681,0.4575,0.1731,5.3344,1.3997,1.1644,0.0314,0.4502,0.1489,0.032,0.4375,0.0705,0.0927,0.1433,0.0997,0.3171,1.6297,0.8132,2.0199,1.2739,31.2914,0.2623,0.2534,0.0
LVA_C22,3.7485,0.432,0.0074,2.1014,0.0083,29.2478,0.3728,3.2293,3.7391,0.0221,1.4613,0.7881,13.6842,1.2792,0.8023,0.9449,0.7369,1.7823,3.0714,0.7672,0.884,2.6652,0.2798,8.6885,16.5383,8.2838,3.5722,0.0263,0.4005,0.5297,0.0864,0.4895,0.0811,0.1581,2.0371,0.4191,5.053,2.3751,1.4159,0.8459,1.7435,0.4695,0.4215,0.4656,0.0
LVA_C23,2.139,0.0736,0.0031,3.22,0.0099,15.7736,1.8026,3.4828,0.2821,0.0295,0.5083,0.5001,1.33,28.7753,0.8714,1.0483,3.1406,2.988,2.0116,0.3898,0.3519,1.8596,0.4962,1.0687,316.6646,7.5179,1.8402,0.0441,0.5665,0.3783,0.168,1.2423,0.2297,0.1427,0.239,0.5268,7.2941,2.3793,2.6486,1.6156,0.9957,1.0393,0.7009,0.7575,0.0
LVA_C24,0.3902,0.0529,0.0,0.0014,0.0004,2.929,0.013,0.3212,0.0252,0.0003,0.0054,0.0797,0.5251,0.9442,2.1492,25.7637,0.0128,0.8999,2.7479,8.8708,0.2043,0.8165,0.0237,0.0112,6.0106,2.5537,0.227,0.0,0.0005,0.0706,0.0069,0.0022,0.0,0.006,0.009,0.0722,0.3706,0.3401,0.0844,0.0029,0.0048,0.0253,0.0545,0.0093,0.0
LVA_C25,1.8232,0.1711,0.0009,0.3051,0.0047,10.7991,0.2756,9.5613,0.9108,0.0132,0.9077,0.2927,1.3802,14.8902,3.1317,90.1484,4.5659,7.0673,22.3806,22.0818,1.6654,23.7794,0.6783,3.0394,165.6656,20.2851,5.7969,0.0488,0.6523,0.8729,0.1044,0.4442,0.3176,0.3903,0.3255,0.6235,5.3896,11.2438,8.2827,35.7358,1.4766,1.5131,1.0067,1.0212,0.0
LVA_C26,0.3152,0.0487,0.0003,0.1195,0.0004,0.5359,0.0407,0.3382,0.2792,0.0012,0.0376,0.1359,0.1126,0.2494,0.0226,0.1037,61.8321,12.8152,0.6903,0.0936,1.5123,0.455,0.9379,0.175,4.7722,6.734,1.9848,0.0667,1.3438,1.0162,0.0769,0.189,0.9038,4.0164,11.8934,0.2998,0.6634,4.8548,2.3574,3.0164,2.1572,1.9456,1.61,3.4966,0.0
LVA_C27,0.4472,0.2832,0.0003,0.1153,0.0019,0.5569,0.0777,0.5931,0.0789,0.0025,0.0559,0.1724,0.1271,0.3314,0.0249,0.1773,6.443,25.7197,2.5612,0.6673,0.3252,3.3426,0.5685,0.2137,25.5337,4.6164,1.4343,0.0841,0.5674,0.2833,0.0403,0.2081,0.2441,1.5235,1.152,0.3076,0.6117,2.7726,2.9077,2.3956,1.7854,1.933,1.4255,0.3578,0.0
LVA_C28,4.7972,0.089,0.0013,0.4526,0.0105,1.6198,0.1051,3.7821,0.2442,0.0151,0.1161,0.2225,0.6567,0.7553,0.0543,1.1488,1.2938,2.9239,5.5543,1.9655,0.1079,3.5893,0.8047,0.4324,5.9313,5.9885,2.0407,0.0626,0.7862,0.9513,0.0411,0.2031,0.1083,0.1731,0.3636,0.1771,1.6597,0.5966,1.52,1.9177,0.2641,0.8466,0.2575,0.1322,0.0
LVA_C29,2.5832,0.0235,0.0008,0.2864,0.0014,0.5419,0.1343,1.2447,0.0449,0.0022,0.0209,0.0683,0.0665,0.2121,0.0224,0.6694,0.1389,0.2161,0.7841,2.4806,0.0667,0.6676,0.1038,0.7109,4.055,22.2588,14.1993,0.2247,0.2681,1.556,0.0463,0.0663,0.034,0.0667,0.0891,0.1238,0.257,0.4114,3.5452,2.7067,0.7961,0.6385,0.4074,0.1417,0.0
