V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_H49,829.8311,45.9031,107.3556,26.0313,9.1247,457.9392,384.9147,44.5013,96.4489,153.9111,137.4293,31.5253,57.3783,156.5623,94.9561,57.3452,45.4629,37.8535,45.3732,79.0141,13.9694,90.2385,227.1375,46.7473,222.7307,982.2149,802.8708,58.0884,48.1214,165.473,43.6547,105.5288,45.7621,44.3911,11.2072,62.1638,22.2339,81.347,62.5559,190.5489,112.6337,97.2359,26.1781,96.4947,0.0
PAK_H50,90.1748,14.9289,110.2024,4.0593,1.8635,46.8354,68.8007,8.7001,18.8069,75.0639,37.1213,4.8384,11.5841,30.5294,31.9713,13.7938,13.5505,10.724,14.8613,17.1158,3.914,15.1581,38.5438,5.1056,24.3503,364.0955,83.0111,1054.3784,14.5246,168.9969,4.8827,10.4578,6.8347,9.5444,2.9596,7.786,2.8627,17.3221,17.4888,51.2028,7.5353,13.9176,4.6238,10.5188,0.0
PAK_H51,60.233,4.113,22.9579,1.2112,1.0479,26.4843,42.7,2.3436,7.9977,29.7881,16.8097,6.261,8.5861,9.4884,9.7168,7.1321,12.0392,7.2311,7.5761,8.6651,2.4684,12.5819,33.0268,4.3793,21.2728,76.8672,20.994,10.1663,90.5694,34.7496,9.7773,11.1095,9.7352,11.6854,7.9115,28.417,5.8483,35.4049,49.1249,82.5223,23.1105,18.207,8.2389,18.0391,0.0
PAK_H52,152.3912,24.1317,33.9336,6.7537,2.7309,102.3471,118.8444,9.5844,29.1009,32.9422,37.6466,11.949,14.6949,41.3386,24.7203,18.7525,15.4839,11.3803,12.7769,31.9459,5.176,24.1917,43.5195,15.503,35.0617,658.1797,407.9273,268.5188,273.7108,315.4192,18.7251,20.8453,13.0067,19.1193,4.719,9.0423,5.4968,27.7847,23.2484,66.1639,11.32,17.825,7.0353,21.0443,0.0
PAK_H53,10.6896,0.7664,3.546,0.3495,0.2335,4.041,15.2989,0.5931,3.2149,0.7909,3.3764,1.8357,1.5369,2.0851,1.0267,1.6699,2.5314,1.361,1.8252,1.4822,0.5872,3.8617,14.0883,3.8072,4.9347,114.4643,11.6097,2.2287,2.8862,10.6365,53.9867,6.77,21.6634,36.5775,5.186,68.6542,5.7431,26.8242,15.2778,72.3773,15.5986,17.2613,6.9246,21.8844,0.0
PAK_I,22.8714,3.9091,13.2832,1.2141,1.1536,15.3308,45.0026,1.8736,6.0241,3.0793,9.3123,8.4346,5.5707,6.9593,5.0921,5.5026,7.9724,4.5774,6.1182,6.0156,2.1134,11.0757,23.799,11.6329,25.1909,161.5908,41.7116,12.0043,42.0481,22.7876,3.6588,46.0011,20.5815,34.8415,13.9148,93.7725,12.2114,79.323,59.7404,195.4038,89.3556,134.712,32.1073,64.485,0.0
PAK_J58T60,12.012,1.553,4.5123,0.6436,0.4592,22.6163,33.7954,1.2168,15.5613,1.4715,7.7873,7.9471,3.1309,3.8894,2.28,2.7852,7.7514,3.2688,3.6969,3.2638,1.324,7.8812,13.2614,5.0114,8.5908,165.3046,11.5124,3.7919,5.4981,6.3406,2.6534,18.1008,410.8413,121.6741,24.8771,65.3706,9.5158,184.2999,27.9636,97.6856,104.7886,34.0874,44.2946,48.5198,0.0
PAK_J61,34.4315,6.5975,19.975,1.5694,1.2651,17.7565,59.3877,2.5393,9.3209,2.5501,9.6748,6.0733,5.5719,8.9167,4.7503,8.4121,16.3123,5.9808,8.7172,8.6059,2.1318,16.7837,32.6375,10.7977,33.1355,288.8085,51.1763,13.5143,9.4826,22.2239,9.0394,33.7593,65.9018,1322.6509,39.4564,207.2829,30.3106,98.7476,56.6925,276.8345,64.3857,92.7541,26.5683,78.116,0.0
PAK_J62_63,9.8008,0.934,5.7811,0.5884,0.3337,9.4274,20.4479,0.9759,4.9881,2.248,4.8648,5.0027,2.6126,4.0395,2.0862,2.4966,7.6014,3.234,4.0757,5.6024,1.224,6.3916,23.4089,6.1671,12.6506,87.2655,16.2544,4.6761,7.6746,9.0879,4.0228,7.0213,29.8301,81.8519,82.832,96.441,9.13,52.8729,21.5227,95.34,23.935,29.9941,9.4134,23.1267,0.0
PAK_K,391.9093,40.9283,154.2316,10.5413,7.5505,88.857,278.9992,13.0394,50.0307,28.1944,55.7914,27.4259,29.0854,55.0369,36.3208,34.3295,38.843,25.7218,34.3147,40.2143,12.9753,59.6572,230.7141,53.8677,146.6462,813.4,200.3862,62.4651,64.3188,80.8019,13.1769,86.653,56.7983,161.107,34.7308,2051.819,828.0477,249.6806,139.6605,498.1522,90.1555,137.0293,53.2062,130.7541,0.0
PAK_L,25.3955,3.6893,17.4396,1.9624,1.1694,31.3998,143.3979,4.1339,15.7332,2.9832,10.705,8.2494,10.9518,14.1118,6.5972,14.4138,14.2585,7.0118,10.1182,11.7541,5.4687,32.4849,48.8735,19.1246,59.3372,898.9614,66.2951,17.7435,15.0056,61.5639,13.1339,184.4655,51.9604,163.8737,36.4671,209.3455,177.4736,172.0446,91.048,248.3977,134.7178,155.3883,66.0636,176.4401,0.0
PAK_M,214.3581,16.2227,142.8397,13.763,18.1533,159.3861,318.7124,10.6933,46.8323,22.6653,75.1226,87.774,35.4232,58.0163,33.7701,39.8298,90.5131,38.2772,44.2697,74.5097,20.6471,74.3613,210.4065,83.9284,439.8325,1090.4734,115.8201,51.9947,41.5029,83.8678,13.6545,90.4093,170.3168,340.9853,109.2976,479.7158,169.0473,959.201,196.3826,589.9107,159.9994,252.8384,97.5492,187.5041,0.0
PAK_N,109.1777,13.6895,120.2655,9.5421,10.6914,94.588,245.2059,10.5406,43.7551,16.1146,46.1396,43.2579,34.7102,45.6556,22.9967,37.9478,48.6365,26.8886,37.5929,54.4415,12.9883,67.0421,136.3383,60.5461,182.5773,756.0848,189.0986,95.4487,96.904,128.2851,26.3133,114.0813,110.5585,312.635,81.1552,338.2612,134.8062,290.7479,387.7181,464.8422,186.5136,287.0724,78.9539,170.1231,0.0
PAK_O,41.0611,3.5586,10.431,2.0787,0.8565,18.0226,35.4251,2.6323,8.7214,4.354,9.8086,6.994,4.7586,7.3373,21.4262,6.0237,4.5098,3.122,4.6396,7.8355,2.1917,8.9028,31.722,24.1663,34.8364,101.2421,46.0766,12.8741,11.1534,20.6477,2.7995,16.382,11.26,30.6308,8.318,49.3216,25.6615,41.3872,22.6022,252.2886,31.7167,47.6209,12.9649,27.734,0.0
PAK_P,6.6947,1.0355,5.1091,0.4204,0.2702,4.0512,8.8925,0.4916,1.5614,0.9557,2.4246,4.0926,1.3269,2.0042,1.9539,1.4274,3.2736,1.7992,1.7785,2.1863,0.7704,2.5079,9.2046,2.9767,5.6905,28.3576,9.1095,1.9097,4.6857,5.0066,1.0037,2.912,5.7834,19.47,7.0331,28.4012,3.9773,28.4116,11.3322,97.3743,157.8845,25.3572,5.3224,20.4079,0.0
PAK_Q,10.1342,1.8,2.7857,0.2304,0.2448,4.8668,9.3463,0.4436,1.483,0.6877,1.6803,3.1376,1.1807,2.0176,0.8714,1.4897,1.893,1.0334,1.1428,1.3101,0.5245,2.6944,4.2619,1.9918,4.8929,22.7708,6.5267,1.7467,1.3654,2.0816,0.5754,3.9154,2.3385,4.7532,2.8026,13.8553,1.9593,8.7441,5.0723,59.4382,21.8916,829.9608,4.6371,10.3003,0.0
PAK_R,3.2406,0.3142,1.0011,0.105,0.0647,2.6312,3.8487,0.3065,0.7086,0.2612,0.6581,0.6117,0.4326,0.6501,0.3083,0.4283,0.5927,0.3161,0.42,0.5238,0.1724,1.0874,1.7111,1.1729,2.0937,13.3941,2.2983,1.1913,0.8493,1.378,0.2813,6.4715,37.456,7.7079,1.4948,6.6138,2.4742,9.6118,5.5213,25.4205,13.2407,5.0373,97.8556,24.2495,0.0
PAK_S,22.8846,2.7451,4.6011,0.8937,0.6002,10.8723,25.6822,1.7212,4.2856,1.8552,4.0985,2.7384,2.7456,4.6872,3.159,2.6923,4.5503,2.0394,2.6998,3.0266,0.8663,6.4711,11.6475,6.4416,10.5985,78.2678,20.8552,4.565,4.7851,6.5784,1.678,23.2386,11.3031,16.6789,8.3331,37.694,8.4211,32.1119,18.6605,48.0213,24.7401,81.3088,15.1014,126.2562,0.0
PAK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
