V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_A01_02,11698.2177,3.3735,0.2263,1.9353,0.1313,35104.1868,115.9273,2028.4519,29.864,2.4878,258.564,111.6251,642.6258,8.1168,13.8761,30.2938,36.3465,25.0225,27.4557,42.2967,10.6307,380.5169,9.3502,7.6311,448.467,3568.4152,15.3776,14.5469,2.3574,24.7762,8.3331,5160.6778,13.5814,7.8646,6.4598,58.9421,11.7486,155.1857,110.7991,52.4416,387.9349,1525.6229,223.6482,226.5729,0
JPN_A03,4.5342,533.7996,0.0298,0.3805,0.0001,5453.0887,0.7903,0.138,0.7839,0.6364,6.8819,4.6778,6.2339,0.5889,2.1363,3.3844,10.1211,6.4526,3.3012,10.3462,3.1161,1234.8858,2.1517,1.4463,10.8122,100.9866,6.1768,5.668,0.5277,4.5844,1.7872,1283.7019,3.1542,1.7803,4.2473,13.5446,2.5569,4.6207,2.4905,7.8492,15.2745,361.2111,6.6662,26.2771,0
JPN_B05_06,0.7852,0.0458,0.0339,0.0651,0.1238,3.0071,0.473,0.1411,8.8218,479.0667,14.4895,0.419,1.2081,7.0233,10.4306,0.445,0.3716,1.1497,0.7619,1.5145,0.1643,0.7747,461.7978,0.9825,6.7112,2.3235,0.7583,0.0879,0.0698,0.1105,0.0083,0.9528,0.0595,0.1353,0.095,0.1927,0.1799,0.396,0.2698,0.5441,0.2875,0.8301,0.1669,0.2286,0
JPN_B07_08,0.5503,0.0004,0.0,14.6432,3.3956,1.1413,1.2106,0.148,21.1625,24.3225,113.7661,7.3614,12.3915,441.4651,3547.8581,13.6948,44.0453,23.1535,7.0817,14.0513,0.7777,47.8547,0.0352,0.0002,42.6109,0.731,1.7287,0.0,0.0,0.0,0.0,0.0,0.0282,0.2256,0.0,0.0002,0.0011,13.6507,0.0,0.2384,0.0012,0.0133,1.09,1.3292,0
JPN_B09,5.0323,7.5229,10.7687,41.4905,43.3918,4.6544,0.0428,0.1633,9.481,518.2815,56.6743,1.2179,3.062,38.0309,135.7429,11.1892,0.0868,0.7337,2.4716,0.1987,0.1378,0.6468,67.8494,9.8928,232.3392,2.3675,22.5612,1.0979,2.4187,9.225,0.0262,0.7838,0.2093,0.0,0.0067,0.4793,12.2749,12.9391,4.8286,3.9296,0.5021,1.0194,0.523,0.1042,0
JPN_C10T12,4633.0082,645.7621,0.7361,9.5674,0.4393,25684.1673,112.0411,21.5673,116.0148,18.8275,663.9209,187.052,58.4435,28.7064,46.9702,41.8112,89.1138,73.7882,104.8678,104.8519,20.5031,264.8425,51.8068,47.2779,273.9882,4557.7075,115.5717,119.3156,12.9198,144.5569,44.0637,27509.4976,49.0613,246.1752,83.7732,269.9621,107.6159,265.2882,169.5513,321.6516,798.6463,3883.5051,125.358,370.2539,0
JPN_C13T15,148.174,201.5666,0.7226,4.0163,1.1808,184.7953,3957.1249,20.1739,356.1452,3.312,46.208,15.971,442.8335,153.1943,41.2107,60.7054,92.0229,151.885,155.7848,313.8328,59.6974,2075.9854,23.204,29.9767,667.4237,1397.2679,135.4585,269.0669,22.4344,129.1356,26.7767,146.0986,48.9656,113.7689,136.7609,198.7223,20.2857,308.4926,231.0077,406.0132,79.4696,566.451,289.6548,268.8117,0
JPN_C16,93.9655,9.7413,0.1879,0.244,0.5475,62.8065,6.0049,2133.2397,1244.5586,0.1204,23.9665,3.7595,37.5518,88.7414,34.8039,75.1348,24.6582,20.2353,45.4763,53.7808,39.2545,4910.2388,193.0212,0.8463,8841.3954,535.5222,4.5615,2.4694,0.246,352.8986,1.302,93.869,8.272,4.6495,2.6049,20.7798,1.9805,34.0814,28.8769,12.0326,5.9807,11.478,31.027,27.7058,0
JPN_C17_18,2790.2826,31.6508,0.7599,9.6343,1.7218,5096.9339,181.2324,241.0075,20469.9569,20.4941,1750.5068,748.6646,784.6352,613.784,181.3589,419.7148,1292.5104,1211.8641,822.0985,821.4943,172.5059,3622.278,382.5091,233.2275,1656.4887,13342.0833,699.6466,279.0072,87.5364,1784.0195,347.9386,818.6703,5196.1573,1862.7003,2489.5481,5619.8218,258.2791,3700.098,1679.4746,3623.2762,2652.4341,4409.8435,345.3709,619.7544,0
JPN_C19,1394.7839,485.205,8.0176,263.5296,41.7028,646.9367,135.5868,74.8073,278.0312,3888.4922,6202.1865,590.3411,189.8272,442.3446,1078.1136,243.2031,96.5947,177.1104,181.0006,412.4098,91.7636,719.8299,4363.64,436.4079,6611.3677,8633.998,7129.0829,4135.5267,2766.7816,369.7089,104.4858,759.1681,245.1264,233.5345,501.9616,731.4103,558.2699,2299.2252,2990.5599,3841.5509,614.4426,1423.3728,784.2331,696.4655,0
JPN_C20,5014.9994,91.5527,1.5718,112.3532,28.4569,1868.8105,783.3864,731.6136,2743.1302,175.3255,34887.431,4155.6011,12437.1696,1120.4686,1214.9882,787.4775,1477.9222,1750.9699,1441.2729,3123.8163,470.308,4586.9471,143.466,661.5251,2659.8858,25418.1297,164.3897,73.381,14.8836,143.4858,40.8785,597.4685,432.3189,77.6765,200.553,165.1061,74.1559,1700.1706,924.1896,304.3216,134.7141,8502.8316,313.0461,1778.9977,0
JPN_C21,293.7004,21.9573,0.0522,6.683,0.3738,240.6292,23.2872,39.5585,91.7612,10.5539,1269.5551,7367.8357,293.965,36.6398,17.3291,38.8773,88.6889,58.0787,86.8478,111.2054,1.9299,342.3132,2.5227,26.6508,85.8153,2784.1496,10.7457,9.5194,1.9704,10.801,7.6016,49.8856,11.5477,9.7529,22.5154,22.39,3.3693,329.0,123.04,109.6402,28.0707,27287.5339,30.5687,73.042,0
JPN_C22,1000.6928,199.1924,4.4204,34.5352,5.8009,4294.4527,374.9349,193.9962,2712.6869,10.5522,2191.8603,710.428,17079.1701,294.4621,455.3706,674.4854,4329.5252,3275.0225,3773.3766,11214.4726,738.6292,10150.5156,2.2137,1428.3506,6442.9126,7047.5386,412.8856,169.7065,38.4159,454.1642,20.5402,364.1911,197.2155,67.8334,1815.3983,1184.677,590.7298,1695.6332,1142.6748,793.3858,188.2059,1430.078,599.9004,991.5533,0
JPN_C23,297.2262,1.064,1.4266,3.1645,10.132,596.5407,16.1081,4.4429,41.2092,17.6233,689.212,265.3048,329.2438,3125.7346,1061.3763,289.4479,598.7303,2161.7667,1352.6958,1766.9165,227.6259,2093.788,10.0813,110.4634,25381.7202,481.1879,57.5688,23.0298,2.9649,7.4408,3.2,404.0037,10.3689,7.6821,8.093,32.0024,80.8805,59.0203,33.3197,94.9285,326.152,652.0496,98.7636,192.4389,0
JPN_C24,7.9135,3.2318,9.0572,15.815,19.4627,244.1875,30.1626,64.9959,56.8631,5.324,650.3524,59.0432,983.5322,648.6328,99159.2307,23492.0098,5736.566,8301.7792,25868.7664,25010.623,6240.0595,8471.0661,36.2257,12.0137,18388.4166,166.4846,105.9936,7.7086,0.1071,177.4992,0.2877,65.1491,20.3769,1.2802,0.7831,2.2316,0.3857,7.7541,1.3022,78.8604,2.691,749.192,1.2226,79.8175,0
JPN_C25,190.8681,19.4808,17.7516,19.0979,26.8617,3006.2428,70.4587,214.7869,104.0396,39.7807,1231.1708,241.059,652.55,399.4842,232.4801,4700.7532,2824.2418,2647.7457,6728.0689,2975.897,942.7442,6410.6936,86.7086,43.539,45971.1881,4122.7674,329.445,181.7606,6.0169,398.9396,2.635,551.9491,29.669,128.663,50.8241,77.4716,308.1181,152.8521,112.6832,1943.8166,66.4937,263.691,19.9591,546.4793,0
JPN_C26,2.5827,1.8091,0.1001,1.1729,2.1904,11.8973,1.7612,1.1223,6.0068,2.0774,11.8628,4.4149,9.3065,2.3958,11.4021,15.0013,1796.2053,50.5902,121.1914,1561.8474,128.9411,133.093,8.9082,6.137,949.3327,640.2404,72.9746,22.8049,3.4048,18.7419,4.8905,49.751,41.2426,12.4941,95.8636,118.1602,79.1228,420.7146,157.3882,879.4076,16.961,34.4586,28.5787,49.2248,0
JPN_C27,5.2821,12.0013,0.0963,6.9839,2.506,15.7543,9.4445,2.8302,21.3701,2.6548,98.3915,23.3352,189.3234,1.4358,358.3995,403.1258,18149.4206,17775.4254,6552.6507,10891.6184,434.1805,3535.9714,7.2463,8.2888,2251.3861,3654.9664,76.0482,27.9892,4.2515,40.6056,7.8092,26.6429,472.1077,55.1387,106.9662,67.023,16.4128,66.8692,34.2375,1276.6656,82.364,78.8443,36.9773,37.3468,0
JPN_C28,8.2876,0.464,2.7454,8.4514,49.6539,15.8656,11.3659,4.5022,3.7769,2.5933,51.0028,14.8789,429.5863,155.9116,190.9834,606.0254,1649.0133,2264.0784,38122.3668,4288.7025,1271.8052,5916.6569,1.6501,165.0629,4534.5487,8726.5259,103.2936,19.953,10.877,66.9406,7.1466,10.3587,96.9175,23.1882,41.1763,53.1035,20.9527,242.0953,197.4235,2358.5751,19.5523,5551.1172,204.3295,163.9521,0
JPN_C29,1.0331,0.1019,0.0056,0.2373,2.4082,0.1495,29.7561,2.0094,0.2468,0.2066,47.4262,12.5757,128.1788,3.2272,56.8357,318.0278,3970.3502,1163.0844,1747.416,157496.6137,1008.5957,4495.8899,1.8785,0.253,0.9586,8100.6989,145.7844,0.0858,0.1072,0.8308,0.1288,0.2724,0.0278,120.6889,77.5513,0.2191,3.3761,16.1615,24.4589,159.5794,1.2143,2.6687,0.3093,1909.3884,0
JPN_C30,0.1884,921.219,0.0,0.3067,0.0927,0.6387,0.2808,0.4755,0.5274,0.0526,3.2643,0.902,12.7926,2.534,4.7804,45.2206,375.6797,91.0271,385.2188,377.8548,11474.7884,125.4899,0.0,0.0175,0.0,211.4367,1882.5699,2467.911,2827.6705,161.9991,0.0652,2.154,0.7681,0.0,0.1548,0.0709,0.0,3.038,1.7711,1691.1816,29.0187,0.0,2.2788,28.9416,0
JPN_C31T33,1595.3748,323.5813,20.3711,194.723,33.3802,1549.3122,757.8336,378.7637,603.4728,255.5203,1568.3708,485.4288,989.4589,608.2019,1454.8456,794.3259,2472.1692,1786.248,2147.135,2668.8674,456.0446,20436.3603,2995.6944,1315.1586,20061.003,10530.1425,3571.9279,628.1956,415.9515,1413.9295,174.3915,3970.5311,2509.4955,3228.8608,8357.5488,4665.8313,1722.1229,15093.9653,11177.0875,7182.7103,4759.7498,9366.242,3366.8727,4859.7784,0
JPN_D,859.8694,78.7111,40.0988,244.7824,24.9761,2542.6725,462.8734,363.5305,2716.8141,693.559,4090.715,477.313,2312.3293,1475.5932,7159.2983,1492.6918,727.2568,1895.2879,1686.7213,3324.684,634.9902,907.5019,23553.1777,2248.6234,1432.8844,16549.9163,3642.542,6.6313,119.0866,1342.3801,67.4316,6844.9456,357.4258,1187.5054,204.4136,1333.3524,2423.7432,3763.966,2594.5367,4661.9747,3019.408,5802.4976,1994.2527,1855.4721,0
JPN_E,154.5297,5.9625,6.5526,27.9804,6.4355,747.7938,61.766,26.835,333.0308,88.1653,957.4159,203.5755,182.742,141.9723,372.087,107.1966,282.9484,353.5049,314.4523,421.9433,182.4711,191.7296,1352.2822,9602.4625,1260.9173,2808.0744,2001.6389,21.4495,33.9365,676.9492,25.3528,5544.0485,382.7648,1760.067,45.003,1186.5923,452.9249,899.3374,604.5622,9488.2684,2548.4492,5641.7116,975.6274,1281.3012,0
