V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_C30,0.0,0,0,0.0,0,0.0004,0.0,0.0,0.0,0,0.0002,0.0,0.0057,0.0005,0.0051,0.009,0.0015,0.0006,0.0175,0.01,0.0682,0.0467,0.0001,0.0,0.0001,0.0194,0.049,0.0073,0.7092,0.0058,0.0006,0.0,0.0001,0.0,0.0009,0.0139,0.0003,0.0138,0.0253,0.004,0.0001,0.0008,0.0001,0.0017,0.0
LUX_C31T33,0.0205,0,0,0.0005,0,0.2126,0.0005,0.0092,0.0863,0,0.2077,0.0933,2.0275,0.5083,2.2875,0.6571,0.1607,0.0774,1.3359,0.1489,0.0651,1.1766,0.0367,0.0016,0.1401,2.3228,0.0229,0.0465,1.4552,0.1627,0.097,0.0007,0.0792,0.0012,6.9429,4.5863,0.8703,1.6427,1.838,0.0759,0.0595,16.2096,0.0309,0.0315,0.0
LUX_D,1.9833,0,0,0.3111,0,7.3741,14.703,8.4197,2.6566,0,10.8634,0.8579,84.3077,30.092,181.5011,13.5098,1.0162,0.9171,14.2861,1.2103,0.2663,1.2206,91.8314,5.0974,23.9335,26.2549,9.3482,0.1388,2.4804,2.6993,0.9174,4.0584,0.9678,5.5068,10.479,20.5263,26.0386,11.8428,8.8078,13.8493,5.6467,32.9913,5.7365,3.4191,0.0
LUX_E,2.0969,0,0,0.5275,0,7.0776,5.1694,3.3276,0.969,0,1.8437,0.2411,18.6423,5.7214,204.5023,7.3752,0.1769,0.1792,3.0665,0.2087,0.0575,0.2759,10.5255,19.3007,45.4068,23.7553,4.3998,0.0848,1.0571,0.8317,0.324,5.8269,0.7863,1.3132,6.5172,18.9887,12.0308,7.2863,3.0206,16.4711,1.6852,8.9005,1.1768,2.0415,0.0
LUX_F,3.3731,0,0,0.4295,0,10.0464,23.7887,4.4335,1.143,0,3.4123,0.6703,38.5449,13.4936,39.45,13.643,0.7602,0.7928,11.5712,0.8133,0.3592,2.9168,84.2624,14.3534,1283.8484,63.6183,118.3362,0.4381,8.3347,11.591,2.7509,6.1423,3.5082,14.3355,94.6546,114.6992,302.6217,46.6936,22.3935,177.8118,15.5208,72.7185,10.7279,19.4962,0.0
LUX_G,32.5976,0,0,1.2123,0,118.4041,61.6721,5.767,6.8397,0,28.0458,7.3768,279.0207,43.7885,151.0502,38.9235,6.193,4.8345,61.0561,16.8585,1.0897,7.236,11.5673,6.4927,135.222,205.0348,100.8752,2.0181,71.1505,9.5024,8.2157,115.4503,6.4066,17.6217,313.2439,80.1155,23.437,357.913,156.9164,22.3623,5.4538,78.5153,5.7828,5.7435,0.0
LUX_H49,4.8188,0,0,0.6181,0,14.8576,5.757,1.3696,1.0412,0,3.9462,0.6891,33.8215,9.4656,29.0094,7.0142,0.7124,0.6707,9.2785,2.0466,0.1612,1.0009,4.7631,0.9186,50.7824,19.5697,9.3978,0.2166,7.2708,1.8242,1.1603,9.1743,2.5787,4.0371,21.7533,10.6618,10.7271,21.147,5.2782,6.7923,0.9504,8.5539,1.1389,1.0767,0.0
LUX_H50,0.2838,0,0,0.0098,0,2.1455,0.2616,0.0782,0.3382,0,1.8565,0.0894,7.7943,5.1556,30.3017,2.8306,0.2569,0.2936,4.7107,0.3483,0.0513,0.3284,0.1962,0.0146,0.5058,40.9258,0.104,15.5687,2.4167,8.4024,0.5619,0.4642,0.1512,0.3541,6.3872,0.1728,0.2294,1.6636,3.0705,0.0573,0.0188,0.352,0.075,0.0225,0.0
LUX_H51,1.517,0,0,0.0537,0,5.315,2.0361,0.3922,0.4642,0,1.5233,0.4626,19.1851,3.9457,16.4666,3.9197,0.6743,0.5244,5.9897,0.8156,0.0992,0.7904,0.7549,0.1179,6.337,16.8698,3.2724,0.1943,94.4994,3.674,2.8377,3.0528,0.5455,1.2749,50.7306,7.5307,2.3259,18.5601,24.2621,0.6176,0.1474,1.927,0.3452,0.4239,0.0
LUX_H52,0.2546,0,0,0.0019,0,1.3459,0.077,0.0149,0.1999,0,0.8102,0.1273,6.1254,2.5469,7.4505,1.7592,0.1517,0.128,1.5766,0.3037,0.0341,0.1611,0.0209,0.0027,0.2577,27.054,6.0567,1.3672,47.3419,5.7744,0.8618,0.1463,2.6902,0.0126,3.9908,0.0174,0.1993,3.073,1.8463,2.0911,0.014,0.0898,0.3047,0.1704,0.0
LUX_H53,0.0078,0,0,0.0087,0,0.2119,0.0089,0.0098,0.1415,0,0.2547,0.0622,2.3318,0.417,1.1501,0.5624,0.0853,0.0565,0.8279,0.0414,0.0156,0.1111,0.2285,0.0412,0.4843,13.9404,0.2299,0.0273,1.2208,0.5342,7.4399,0.0271,0.2202,0.9724,15.618,26.9907,0.9968,4.2884,3.7409,3.0875,0.0529,1.1128,0.0375,0.3,0.0
LUX_I,0.0578,0,0,0.0319,0,0.9773,0.1838,0.1131,0.268,0,0.8941,0.373,11.0738,1.8457,8.0012,2.3926,0.3437,0.2438,3.5434,0.228,0.0574,0.4109,0.168,0.5106,6.5874,15.0344,3.1797,0.2209,26.3184,1.474,0.6007,3.2632,0.4884,2.3519,28.6546,12.9748,2.784,29.5721,17.8556,8.2042,1.9302,43.5465,1.1765,3.6439,0.0
LUX_J58T60,0.4056,0,0,0.0227,0,2.4598,0.9273,0.1441,0.21,0,0.4154,0.1354,6.3426,0.8384,3.4926,1.1217,0.1525,0.1128,1.6138,0.1273,0.0295,0.1701,0.3702,0.2573,2.0331,19.3839,0.4673,0.041,1.3249,0.1976,0.1464,0.9465,7.9401,18.1882,53.385,8.0639,1.2339,38.9673,3.7156,1.6877,0.3407,1.151,4.8853,0.5457,0.0
LUX_J61,0.3243,0,0,0.0909,0,2.5619,0.7558,0.284,0.3907,0,0.7935,0.2417,9.4028,2.0108,6.0662,2.9851,0.4216,0.2475,3.9231,0.2725,0.056,0.5421,1.3416,1.5944,17.6326,30.9495,3.8487,0.1931,4.6019,1.2651,1.1166,1.5765,1.9721,286.4927,1081.158,44.2547,7.6505,64.1819,14.155,10.0795,1.519,6.8576,1.4087,1.4524,0.0
LUX_J62_63,6.7696,0,0,0.5642,0,55.3862,14.5212,3.9201,5.618,0,9.6784,3.7373,124.9583,19.6086,74.3328,23.8097,4.8502,2.9939,42.218,3.5066,0.6499,4.4016,21.8722,10.5732,180.9974,542.7326,26.9127,1.0622,57.3797,7.2391,8.0309,15.1339,44.2569,79.4396,2896.413,535.9966,29.0724,3306.9073,97.22,90.0138,17.3726,40.3019,18.6351,18.0815,0.0
LUX_K,5.1976,0,0,0.3234,0,13.0733,3.1361,1.4844,2.6194,0,7.7905,1.6387,78.2661,19.8299,65.5072,18.9736,2.1546,1.9853,27.855,1.9972,0.5829,2.9056,4.2479,1.3741,45.2583,140.1001,22.9684,2.0048,59.1353,7.4559,3.6867,5.8833,8.6693,11.1224,175.1459,40447.1841,161.8753,153.3424,73.9549,37.6587,1.3143,19.4736,1.3873,4.4194,0.0
LUX_L,1.0832,0,0,0.4784,0,8.6896,5.8821,1.6223,2.7122,0,3.2915,1.1427,69.998,12.2202,31.812,20.5266,1.9891,1.2139,18.925,1.4351,0.7057,4.3594,8.3128,0.9538,139.1169,445.7506,44.4434,1.0051,27.6218,13.0534,7.2326,48.9451,8.8289,39.4793,452.4682,255.6873,141.2288,327.9761,101.3821,144.0858,6.814,110.0494,7.6409,42.2775,0.0
LUX_M,9.4606,0,0,2.0062,0,76.8509,27.6712,8.1201,10.4287,0,36.9344,21.0288,354.9302,71.4548,272.3321,83.2946,19.0573,10.2222,115.863,12.8531,2.1574,14.6809,28.6118,47.1459,819.7529,1038.2924,113.0012,5.1326,125.336,28.693,12.8056,34.7806,58.7134,148.4822,1961.7347,5091.2741,215.231,3345.8645,329.6139,197.4367,78.4479,134.3801,26.5853,42.4887,0.0
LUX_N,1.06,0,0,1.1974,0,18.3646,13.4344,2.2262,2.8237,0,7.2457,3.2286,120.9544,18.6158,63.5738,29.8259,4.0275,2.7367,41.4599,4.0933,0.8416,4.8245,8.6475,14.4355,321.4971,229.6429,22.2546,2.7344,89.8827,12.8423,6.7037,5.7231,5.2133,37.9357,614.4293,54.163,31.1612,559.1129,262.8743,36.1596,7.904,15.3869,5.7187,9.763,0.0
LUX_O,0.1368,0,0,0.0189,0,0.7186,0.3549,0.2318,0.6361,0,1.79,0.6613,18.7468,2.6329,12.9467,4.5974,0.3461,0.3056,5.266,0.5916,0.1744,0.7476,1.1088,0.2704,12.8613,15.894,2.4741,0.371,9.2016,2.5398,1.0669,1.6145,0.4863,1.5277,19.8362,67.7284,16.9183,21.1906,16.5365,6.8982,0.4736,4.4979,0.6136,1.5765,0.0
LUX_P,0.0865,0,0,0.023,0,1.1927,1.4012,0.1794,0.1862,0,0.7136,0.4863,7.9379,1.7488,9.0985,2.0627,0.4233,0.2803,3.2404,0.1934,0.0653,0.3936,1.2633,2.0265,9.6326,23.2124,9.3473,0.1044,9.263,1.1722,0.6141,1.2241,3.4546,9.1187,60.5242,19.1326,4.2267,78.6946,14.3463,21.1334,6.2904,26.2036,2.3672,5.1277,0.0
LUX_Q,0.2108,0,0,0.0177,0,0.935,0.4061,0.0997,0.1583,0,0.3778,0.2626,5.3047,1.1886,2.9018,1.4674,0.174,0.1184,1.4495,0.1051,0.0402,0.2465,0.3802,0.4741,4.8025,9.973,0.8586,0.0621,1.4523,0.3691,0.2571,1.2326,0.2119,1.5344,19.4742,5.0328,2.4614,18.4138,4.4298,34.157,2.1132,129.3569,0.4124,2.4619,0.0
LUX_R,0.0392,0,0,0.013,0,0.8979,0.3065,0.0626,0.1121,0,0.1564,0.0604,2.356,0.4886,1.0688,0.5085,0.0635,0.045,0.6452,0.0513,0.0199,0.1157,0.0591,0.3662,3.2274,15.7684,0.3377,0.0527,0.8629,0.2732,0.1424,0.2424,8.6068,10.7909,26.1305,4.7196,1.9736,12.3595,5.3847,1.6139,0.3583,0.9406,6.436,0.5298,0.0
LUX_S,0.2017,0,0,0.0985,0,17.972,1.8375,0.2828,0.2461,0,0.7188,0.2728,8.0855,2.0875,6.6348,1.6724,0.2375,0.1776,2.6573,0.1876,0.0475,0.3813,1.025,8.8801,37.533,63.1513,3.3724,0.1231,4.0839,0.7204,0.4132,1.08,1.1276,4.2435,152.2501,68.9464,3.6715,42.7976,9.4327,3.0345,1.3518,15.7324,0.6935,4.0085,0.0
LUX_T,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
