V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,15146.0895,49.4261,0.2667,1.4449,0.992,28184.9345,1071.3779,2491.6678,44.5995,0.4103,1302.3876,67.1596,950.9916,6.9125,2.7503,0.2737,0.3302,4.5186,0.0785,0.1039,0.3685,962.8791,0.0892,1.746,42.4272,213.2887,0.1505,0.0944,0.0014,4.8475,0.0005,1355.0766,1.7139,0.1362,2.7656,7.7279,27.722,161.3003,53.4042,7.3706,101.837,7.2368,8.0358,3.7269,0.0
VNM_A03,14.0026,4248.1562,0.0039,0.0026,0.0004,10815.4283,0.2075,2.3795,0.0365,0.0024,1.534,15.2917,0.1733,0.0107,0.0045,0.004,0.0053,0.0072,0.0003,0.0021,0.0016,0.8709,0.0001,0.001,0.0426,6.4949,0.0003,0.0087,0.0,40.8287,0.0,481.6543,0.0004,0.0001,0.0005,0.0482,0.5057,10.9136,0.2146,0.0021,17.3708,2.5749,0.2606,1.1118,0.0
VNM_B05_06,69.238,0.2159,3691.3501,5.2928,11.9435,67.643,82.3425,2.5063,63.5723,6917.6965,892.7361,8.0016,63.0988,1765.9585,221.1285,88.3646,29.788,39.2153,2.2752,11.6641,12.3006,50.8233,923.8867,5.5947,65.2733,44.521,2.1869,0.2596,0.0,0.4801,0.0,89.5253,0.012,0.0019,0.2856,0.0416,15.8425,7.1585,6.9321,0.4659,5.7444,1.459,1.4591,10.793,0.0
VNM_B07_08,1.4616,0.3584,6.3958,26.4596,0.0654,23.2027,0.8202,0.0012,3.4328,7.0241,564.4367,0.3288,15.9361,461.8859,89.5023,8.2,3.1236,0.0338,0.0009,0.0417,0.4817,9.9445,5.2878,0.6021,132.2868,16.443,0.0032,2.5004,0.0001,0.6048,0.0,0.2293,0.0001,0.003,0.0,0.3883,10.0933,10.3951,0.7671,0.4693,0.0154,0.2618,0.0144,12.1679,0.0
VNM_B09,0.0017,0.8604,755.6898,16.8285,0.369,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1756,0.002,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0499,0.0004,0.0,0.0,0.0,0.0,1.3002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,8142.0938,5887.5557,19.1692,1.8789,0.6539,25818.2992,18.4804,0.9918,107.4333,44.5041,28.9673,108.3225,15.4571,38.1114,2.3159,3.7346,0.6879,0.0723,0.0336,0.1254,0.0637,124.273,2.0423,1.3754,3.6814,349.0937,6.7016,4.7375,24.4623,4.3132,0.0018,3978.0826,1.2324,1.403,2.7102,2.8857,19.0896,42.4807,6.3354,6.4707,104.5305,25.1943,1.8022,17.297,0.0
VNM_C13T15,52.9745,61.4877,49.488,4.5474,0.6879,17.3926,10821.4833,18.1596,60.1776,14.6707,9.8939,1.4989,31.6443,59.3298,4.1998,6.814,11.92,3.1634,1.7252,28.4989,12.2649,214.8536,10.5666,13.1198,41.5177,124.5127,11.4016,2.1215,4.864,10.9451,5.3537,42.3391,2.5428,7.6816,1.0256,20.3436,29.1302,15.8213,23.1719,38.0605,36.8625,13.221,16.419,98.0468,0.0
VNM_C16,107.2654,26.9617,0.2053,0.9769,0.0004,45.4145,78.8542,2291.4296,411.7115,0.145,66.5508,0.837,21.9082,37.4409,4.5448,10.6787,11.8222,8.5564,6.0459,0.6528,3.2552,3117.2696,0.9735,1.3225,402.8234,77.0219,0.6274,4.1399,0.1482,3.1702,0.1293,6.0363,0.2329,5.1597,0.0068,2.8633,26.718,13.6829,1.3552,11.8765,4.6887,0.6632,1.5899,16.377,0.0
VNM_C17_18,147.8324,8.4927,10.8843,1.1269,1.1802,628.9676,845.5564,72.0961,3378.4244,0.6216,107.344,50.094,221.4663,225.2217,5.9485,33.6134,273.0915,324.1152,8.6027,12.1074,8.0417,646.2017,10.2967,3.2162,48.7242,718.5026,14.8047,1.9143,0.8238,13.7864,18.9146,109.5942,343.6947,32.2554,11.8777,150.5237,52.4999,208.4581,17.1031,230.5835,130.6284,22.8845,523.0545,33.3428,0.0
VNM_C19,713.6618,1843.8252,2675.4804,265.8063,5.7801,232.7095,181.8634,93.2335,61.9583,3872.4954,94.9962,13.2761,206.7173,592.6699,153.0351,67.9137,32.8072,55.7326,18.2253,22.2884,80.5227,246.8132,141.6221,102.944,1534.7015,1257.6387,2580.2302,826.6359,795.4319,271.6359,33.1153,1045.8159,25.6555,88.2458,5.4997,189.1608,77.3798,68.4578,90.8811,204.1929,162.5727,15.5991,18.3772,37.3595,0.0
VNM_C20,3661.6566,76.3675,272.8079,101.9131,10.8578,233.221,1376.9697,185.2419,481.5197,162.5258,3001.3707,92.2955,1277.0304,550.5743,139.8389,261.0614,361.4684,202.3612,18.8833,148.5454,87.7812,1139.1678,6.1153,47.43,385.0058,143.6295,18.5415,5.5661,1.2531,2.8136,0.2676,57.1789,12.4934,6.0207,2.7686,24.8108,60.8792,96.7992,42.7201,48.8806,27.6706,43.1685,22.6908,126.353,0.0
VNM_C21,221.9352,23.858,5.0647,0.6794,0.0471,147.1465,3.5507,0.8389,0.266,0.0566,2.9675,963.5128,4.3409,9.5381,0.2313,0.5984,0.065,0.4012,0.0459,0.0209,0.014,0.734,0.1206,0.5672,3.1374,19.4433,1.0632,0.0609,0.0312,0.1187,0.0,0.4731,0.2207,3.6701,0.0097,3.096,0.8831,7.4358,0.4273,5.4653,97.7319,1572.0714,11.9965,2.9421,0.0
VNM_C22,108.6138,19.2768,184.9919,35.5394,0.0678,178.8428,1136.031,32.6441,145.0499,14.0608,115.4197,21.4032,3615.4657,30.6983,8.3617,27.781,369.5368,1064.6745,51.2917,156.7597,112.9243,256.522,3.6283,7.9782,132.7111,138.4076,157.5825,11.3203,0.0902,7.7316,0.1146,7.7556,1.3195,0.6152,4.2895,7.4862,3.1322,21.1597,3.6653,16.9223,8.8358,5.1643,2.0691,8.9534,0.0
