V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_A01_02,758.3848,0.0018,0,1.9493,0.0051,5509.082,22.6989,139.9009,37.4308,3.4635,115.6104,15.4584,11.886,6.7355,14.6033,11.2241,0.7948,0.7735,2.0024,1.6764,0.3501,6.1718,26.1569,9.7823,40.6843,179.4117,8.5941,0.0489,0.2091,3.906,0.3312,195.6933,3.128,1.5446,7.9878,3.2379,4.3603,21.0326,114.6254,16.1804,4.7521,74.7013,2.7821,15.9358,0.0
BEL_A03,0.003,1.4192,0,0.001,0.0,9.4133,0.0017,0.0027,0.0039,0.0162,0.1133,0.0291,0.0063,0.0247,0.0219,0.0926,0.0039,0.0056,0.0069,0.0162,0.0007,0.0071,0.0052,0.002,0.0375,3.0276,0.4072,0.0326,0.0773,0.6628,0.0424,20.8738,0.0726,0.0113,0.0201,0.0339,0.0058,0.147,3.9568,0.0087,0.0313,0.3434,0.0214,0.1091,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,1.0051,0.0292,0,11.2421,0.0515,1.8016,0.2568,0.2715,2.8512,18.3338,16.6549,0.3724,0.1901,141.1598,55.2946,0.0404,0.0358,0.2475,0.3008,1.0113,0.0087,48.9902,0.1611,4.0214,240.3091,94.914,7.8291,0.0141,0.0521,4.0138,0.0168,20.221,0.0374,0.0506,0.2677,0.0699,2.7049,0.282,1.3089,1.4893,0.022,0.1008,0.3274,0.7102,0.0
BEL_B09,0.0004,0.0001,0,0.0035,0.0002,0.0004,0.0,0.0,0.0005,0.0657,0.0077,0.0005,0.0002,0.0039,0.0106,0.0012,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0022,0.0007,0.0234,0.0001,0.0017,0.0001,0.0002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.001,0.0008,0.0003,0.0001,0.0,0.0,0.0,0.0
BEL_C10T12,1983.1924,0.0643,0,0.0768,0.0063,8558.9574,1.4242,2.4731,33.366,48.6956,568.0108,13.6695,7.2919,1.6345,2.732,26.4965,0.6398,1.2006,5.1934,4.8385,0.1131,5.9296,16.4606,65.4314,54.1393,442.3303,11.4999,0.156,1.5409,64.4158,1.83,2562.4076,19.4575,6.5324,16.8095,11.3032,0.7432,74.7652,59.2382,258.3699,61.8099,648.1089,118.0216,41.7045,0.0
BEL_C13T15,3.1323,4.1369,0,0.6418,0.008,32.4401,450.7995,2.1663,41.5428,4.7333,32.8068,4.2139,34.904,6.0918,6.8265,6.4128,2.3003,1.6293,5.1499,90.8975,1.1817,109.3556,1.1803,5.3096,116.5055,55.5108,1.9821,0.0724,0.2959,6.2478,0.3415,12.3943,2.739,1.6085,4.4456,2.3867,7.7893,21.3053,32.0194,9.7375,3.7343,51.5636,4.7645,25.3656,0.0
BEL_C16,9.5764,0.113,0,1.606,0.0076,77.0307,2.5848,504.8686,38.0212,4.0531,44.811,4.2601,20.2776,36.3306,23.6259,27.3271,4.0701,7.4758,41.186,14.7814,1.9795,142.3894,81.6586,12.1977,1022.2292,57.1381,14.339,0.1971,0.3181,10.0466,0.3193,6.7959,1.7175,0.812,3.4999,3.3984,172.5933,28.0658,44.3374,7.8818,7.4336,21.5282,17.0604,20.1759,0.0
BEL_C17_18,8.1681,0.1248,0,0.5931,0.0107,427.5231,20.7344,33.9298,683.0303,8.9259,93.4366,49.7909,77.9584,41.6255,46.4835,17.1404,9.6755,12.6406,11.4089,16.9384,1.3454,49.3551,4.6904,14.7576,56.681,649.049,14.0516,0.1369,5.9327,105.9576,6.2641,28.583,335.5127,8.6627,17.7109,78.9665,16.4667,275.0352,211.8881,221.3842,59.9995,102.0313,22.5577,74.9129,0.0
BEL_C19,137.1761,8.2176,0,9.084,0.1663,130.6611,27.1921,19.9666,36.5261,1287.5165,1019.1007,45.174,106.98,65.1844,86.5437,37.6643,13.7931,12.6237,22.8677,23.7878,2.5305,49.147,22.08,56.2509,305.045,335.1417,396.7708,56.7292,279.7054,129.592,19.3461,35.5727,12.0229,9.2916,52.7546,75.5496,37.2016,220.4834,234.1495,166.1269,30.9855,136.7278,11.8605,30.7585,0.0
BEL_C20,207.0438,0.6292,0,7.2848,0.1003,390.0323,173.7809,83.9893,206.7098,472.2958,2902.6616,210.7214,888.4409,120.1678,216.7739,92.8164,33.8013,48.8029,39.5464,70.6259,4.6375,77.3758,72.142,42.1453,383.4085,280.0579,32.462,5.7319,17.8637,42.8382,3.4895,25.1313,23.8087,13.3315,82.3422,73.6489,56.9813,193.7249,117.6393,54.7072,19.0562,226.3698,8.0287,45.8839,0.0
BEL_C21,82.3822,0.0728,0,1.2455,0.0421,305.9927,9.5324,8.9741,11.919,33.5289,214.1082,2022.8765,43.1628,11.0951,55.2075,17.8811,10.7393,7.8194,17.2099,14.0823,3.6505,20.4104,9.925,11.5279,109.3961,239.7029,15.8941,4.8406,23.4125,22.3807,4.6779,20.1229,28.832,31.6918,65.8513,44.3935,8.6555,677.6941,126.5632,69.8244,225.1973,2232.3698,10.6792,14.4409,0.0
BEL_C22,17.05,0.2111,0,2.4846,0.0344,343.5704,31.3843,28.0445,126.0046,26.8274,287.2354,60.28,273.9765,48.5406,155.6563,86.9212,32.84,36.1124,80.9138,232.5495,14.188,107.1952,12.607,102.5385,909.3622,182.9076,21.2087,0.6135,2.646,22.4435,1.6066,26.4917,6.4881,5.0366,11.8011,9.9498,76.5296,41.9434,61.5522,42.5416,4.1523,54.8089,3.2309,23.128,0.0
BEL_C23,12.9098,0.0693,0,12.1348,0.0932,149.7533,7.6693,10.0836,12.4173,22.7882,51.9065,77.5141,33.4923,533.3524,150.7489,35.595,23.0183,19.17,10.4694,97.3303,1.848,56.5226,12.174,19.1857,3518.688,325.7788,17.4883,0.0894,0.9459,16.4113,1.5896,23.449,1.3436,1.3477,8.6901,5.2675,371.3127,32.0013,156.8095,12.3115,21.0411,15.1543,2.0822,11.3584,0.0
BEL_C24,0.0,0.0,0,0.052,0.0534,4.3211,1.8733,5.5633,3.0339,1.2595,113.9943,0.4723,43.2387,65.4122,3459.7908,1002.8704,94.5189,215.7186,344.0464,98.5415,14.5318,61.0762,23.8441,7.3983,521.1908,95.8488,14.8962,0.0007,0.027,12.8455,0.0,0.0917,0.2821,1.3089,0.1298,0.0,23.9399,21.3432,5.1679,8.733,17.1202,9.4718,0.0,0.4221,0.0
BEL_C25,52.29,4.0222,0,7.8725,0.2017,226.8528,37.7787,49.9252,58.25,33.1222,192.2566,34.0699,60.8073,69.2635,457.0746,981.8017,123.5458,59.4984,294.7958,302.8988,33.6328,369.9037,39.2921,109.0591,1612.7011,247.4755,57.3324,17.9163,55.8697,97.1366,8.6383,33.4118,6.647,23.0267,26.8555,22.5023,115.8092,147.4298,118.0348,127.2436,16.8821,66.7355,21.4574,24.3117,0.0
BEL_C26,7.6241,0.3164,0,0.7111,0.014,12.8765,2.8028,4.8476,6.3329,5.6917,19.4017,43.8084,5.0086,3.466,24.612,16.4252,222.0043,35.0613,41.8869,101.6395,4.1105,44.9145,10.565,15.9436,85.8964,80.5619,8.9423,2.6419,9.3371,8.6214,1.9345,3.0182,3.3691,47.8234,70.2751,38.3993,4.855,69.2989,50.7247,27.0273,4.6857,17.214,5.5618,10.2084,0.0
BEL_C27,3.464,0.3364,0,0.2669,0.0115,15.5567,1.6687,2.0952,4.3806,4.6618,13.9135,23.0508,8.8779,2.4464,11.0146,13.6232,55.2139,99.273,73.1264,156.6566,1.0055,88.0444,2.1295,4.1577,333.9252,39.1779,3.2945,0.5678,2.3247,5.3445,2.6991,2.6275,1.4505,8.7215,10.7379,3.9279,11.9084,28.3435,11.6938,9.7331,2.2413,4.5842,1.4203,2.9192,0.0
BEL_C28,38.1849,0.6565,0,1.6803,0.0981,73.5464,5.4486,11.2938,12.0957,22.4398,74.8047,32.8743,8.831,8.0125,47.4064,51.3083,15.8574,6.8375,611.8443,203.8363,3.7147,127.7519,21.1065,23.2591,307.2228,87.8712,20.1425,2.6742,10.1959,29.7845,4.0376,9.5113,3.631,6.734,22.983,14.2483,19.7878,115.3227,28.0275,24.0037,7.1187,33.2452,5.4851,7.4925,0.0
BEL_C29,2.7697,0.0924,0,0.3206,0.0119,13.5225,3.6074,1.4928,2.562,4.1852,11.0148,34.4148,16.3206,3.2324,11.4025,14.7321,5.1764,7.5925,17.807,1337.8838,3.2564,12.6904,2.9039,9.0629,60.998,102.7352,46.778,1.4437,5.2053,29.105,3.9388,2.9548,2.8064,4.9467,19.044,12.701,5.199,68.3601,89.2503,12.3381,2.6878,12.1153,1.7671,5.2637,0.0
BEL_C30,0.0,0.647,0,0.0,0.0006,0.1546,0.0,0.0,0.0,0.0461,0.2921,0.0,0.3861,0.4714,0.0,0.352,0.6045,0.0,0.0019,3.7222,124.3183,93.45,0.0004,0.0,0.8738,10.8135,29.7639,2.8657,18.8009,2.3489,0.0,0.0,0.1334,0.0,0.1088,0.0,0.0,1.4648,98.2424,35.3734,0.0,0.775,0.3238,0.0102,0.0
BEL_C31T33,132.4976,5.5574,0,10.6339,0.1293,203.855,44.234,74.3016,126.4169,28.1249,121.2609,67.1511,68.3425,56.9288,437.2529,174.7988,56.1031,30.2656,114.0941,116.0955,34.8738,440.7911,80.1943,240.7799,375.9483,282.2294,139.8769,48.2285,167.1352,92.2684,20.9788,36.0838,23.6419,53.796,35.1958,20.2621,32.5806,299.251,192.7968,114.6045,38.7358,314.4134,67.743,47.2144,0.0
BEL_D,202.0279,0.074,0,23.6546,0.1971,527.134,71.1889,72.3352,140.3344,124.8322,1046.8496,86.1355,126.2313,206.3554,888.4625,112.5736,45.067,35.0406,70.9283,87.185,18.1127,56.2197,1530.9322,207.0074,176.492,579.1803,252.3941,0.4071,2.3382,166.7936,19.2298,113.9994,26.1257,81.4882,157.5434,191.9015,176.2318,330.8645,113.7629,177.564,120.6769,400.5631,76.5292,89.522,0.0
BEL_E,16.3382,0.7545,0,5.0009,0.0609,97.9432,14.9992,168.9554,225.2399,43.6302,193.7294,49.8329,103.3474,61.5496,2430.8159,574.1585,21.5951,5.5873,19.1819,20.2577,236.6414,137.1443,25.6644,3887.6829,360.1589,243.5527,37.3553,4.6292,2.1573,49.6012,21.554,51.222,7.598,6.3219,22.757,26.1211,125.7982,140.8757,153.0007,384.8531,25.7967,111.3784,21.5667,72.785,0.0
BEL_F,171.3506,1.7098,0,25.4672,0.2894,198.1551,21.8088,41.7932,74.9272,55.2311,342.2563,348.6635,49.9001,99.2693,205.8157,601.5452,43.2602,39.6396,76.5689,132.2638,20.3911,518.9859,1146.5969,465.7697,31709.7506,920.3148,244.6102,18.9696,68.729,394.304,18.583,110.7022,44.0061,70.4959,173.1456,358.8712,1911.3085,812.7543,311.755,503.8955,260.0784,388.1043,113.3735,292.8407,0.0
BEL_G,1138.6893,8.8658,0,24.6691,0.353,5650.3096,483.6716,265.63,456.661,1142.7179,1654.4715,715.6191,479.8447,416.1803,853.1788,416.7682,352.801,180.427,461.0328,1055.7199,57.6447,494.5406,293.4747,256.6104,3121.3576,1913.3365,1162.1655,41.8048,203.1086,819.8645,174.5546,1032.9741,211.342,87.3393,268.2139,280.4379,301.9034,1177.2816,1841.8972,457.3781,224.2287,1524.8285,111.4914,201.901,0.0
BEL_H49,128.3291,1.182,0,21.8539,0.1426,961.3032,64.6081,102.0999,151.88,280.8043,373.1282,204.0683,153.115,248.1365,392.2101,162.8343,37.2548,47.9503,119.27,170.3177,11.2773,128.0618,219.5359,142.4814,627.1984,1491.2079,1403.652,18.9255,39.6601,685.6612,313.6435,91.9169,47.0113,17.1545,61.7602,53.1208,48.2596,182.3543,195.661,91.2256,44.7604,196.0877,19.9047,75.3222,0.0
BEL_H50,3.5431,0.0514,0,0.4726,0.0043,25.918,2.3375,1.7473,2.6705,23.1579,16.5558,13.3069,3.7329,6.3165,21.0907,8.3849,2.2454,1.2547,4.3269,9.4211,0.5273,4.1651,3.3718,3.0637,23.3787,58.4964,6.8272,28.3538,2.4146,19.5542,0.9014,3.6606,1.7308,2.7846,1.8467,1.3116,2.0277,7.7767,14.5665,1.8379,1.1709,7.7689,0.6966,0.7506,0.0
BEL_H51,3.4748,0.0441,0,0.1337,0.0007,12.4168,0.6671,0.7829,0.6593,17.8534,4.0196,0.2309,0.6709,2.4269,5.1039,1.0861,0.086,0.2943,0.7463,3.2853,0.0271,1.1796,2.6825,0.1943,7.0142,1.4746,2.0085,0.1306,0.286,2.4084,0.1703,1.9904,0.139,0.1493,0.9361,0.3957,0.4451,0.5704,0.6556,0.1559,0.0409,6.5085,0.056,0.2649,0.0
BEL_H52,34.6043,6.7018,0,8.8778,0.1018,348.9383,12.9662,22.5638,33.8564,127.5727,367.5977,49.5062,36.5012,62.8895,171.4457,49.4686,13.9466,12.3338,46.7673,99.1344,2.4343,40.2439,49.2973,20.1828,238.3069,2498.0355,3150.8805,258.1095,558.7563,4966.6991,337.558,24.2849,16.715,5.4428,45.3189,14.3205,21.1944,122.6938,187.9456,17.9209,19.8188,49.3426,3.8849,19.9397,0.0
BEL_H53,1.8907,0.0737,0,0.3289,0.0131,39.1844,10.0037,3.2142,20.5193,1.8481,23.8547,12.1899,16.7788,6.229,14.2144,8.5057,2.5453,4.2282,26.3177,9.4431,0.8869,10.2833,26.3822,28.4324,65.107,595.545,31.403,0.4479,2.8658,155.8302,411.3329,8.2084,167.0114,131.2686,61.2711,250.3259,45.9066,681.8934,326.5455,685.8134,64.0737,182.5717,35.1182,80.9802,0.0
BEL_I,5.4132,0.0451,0,0.7661,0.0364,30.8969,7.868,4.1368,5.2224,11.4245,34.5235,17.0683,14.8856,12.7555,11.7691,26.9545,19.014,9.7544,29.0689,16.4734,3.5357,15.7841,10.0071,7.3409,80.36,395.3495,29.3261,2.7666,156.2872,342.2427,6.7672,38.1326,116.5877,9.519,113.0566,386.3221,20.5478,354.3307,371.9859,175.3748,250.6188,373.341,138.2463,236.8244,0.0
BEL_J58T60,2.1217,0.0079,0,0.425,0.0066,107.4584,8.5643,10.5268,30.9991,6.5385,23.3249,47.8035,6.5692,6.8892,5.8523,13.4659,5.7893,5.7771,6.5143,10.4101,0.9024,14.3005,5.4892,4.171,45.573,418.2245,9.1241,0.6351,9.11,12.6211,4.1808,12.7364,637.2215,62.9669,81.4024,58.1385,13.1715,658.3141,106.5933,54.7253,48.7105,18.1777,38.7675,27.7215,0.0
BEL_J61,1.4115,0.1826,0,0.6569,0.0455,19.2497,3.4839,2.8536,5.8992,9.8219,32.2356,39.8199,10.5792,8.6237,14.3829,20.4329,12.0327,5.5498,13.8258,5.7448,1.7227,11.7953,25.8742,27.0533,129.1617,325.6873,64.6208,0.9875,7.2582,54.4685,12.1985,29.8473,82.1502,1835.7065,380.3619,1105.3207,59.5226,355.6629,113.6992,150.446,68.0724,179.5167,29.6813,48.0144,0.0
BEL_J62_63,13.5348,0.0593,0,5.5628,0.0429,111.3196,12.8152,7.176,22.2518,46.782,139.2071,296.7165,27.3426,16.9293,73.0419,86.2989,87.9823,21.2308,63.9396,71.1169,6.7344,41.871,168.5017,38.89,198.5772,1287.3769,186.9325,1.8086,17.6208,197.8979,44.4059,27.556,94.3571,639.235,4320.1992,1692.9796,30.716,1854.5971,719.9903,575.0856,52.7935,349.5423,115.7145,101.8205,0.0
BEL_K,252.1165,5.0535,0,33.6443,0.3422,757.4491,62.634,116.0612,86.653,203.2484,576.1509,404.9706,115.5454,124.1272,320.6529,227.1515,86.21,59.254,179.8303,199.7404,24.5689,130.0662,791.0426,320.6107,1406.0712,2114.3668,429.7254,77.4834,40.238,472.3042,76.2073,237.4682,92.5219,315.3384,500.452,10619.1801,4561.018,3846.9133,1071.6567,927.0352,100.4349,637.7048,117.7025,176.4907,0.0
