V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_C23,0.1024,0.0019,0.333,0.7927,0.1378,1.9004,0.0,0.0001,0.0,0.0822,0.2415,0.0459,0.0922,3.5048,0.1738,0.4976,0.1841,0.2254,0.0032,0.0693,0.0256,0.4189,0.1192,0.8443,160.9994,0.4578,0.116,0.004,0.0014,0.0014,0.2198,0.2552,0.198,1.6728,0.078,0.0,2.1427,0.324,0.135,2.2467,0.0,0.0001,0.23,0.447,0.0
LAO_C24,0.2634,0.0098,0.5662,0.888,0.1753,2.0634,0.022,0.0607,0.0113,0.0069,0.0282,0.0016,0.0085,0.0634,0.4524,1.4005,0.3729,0.7882,0.0039,0.0448,0.0164,0.1632,0.7201,0.2119,9.6019,2.7799,0.8212,0.0745,0.0268,0.0233,0.0292,0.0643,0.0141,0.229,0.015,0.1041,0.0793,0.0676,0.0203,0.9148,0.0415,0.0212,0.0113,0.4987,0.0
LAO_C25,0.4543,0.0111,0.3813,0.6599,0.1472,1.9867,0.0292,0.0776,0.008,0.0066,0.0176,0.0019,0.0048,0.0294,0.0267,0.2726,0.1611,0.2315,0.0016,0.0344,0.0184,0.0538,0.5636,0.1116,7.2178,3.5922,0.8322,0.0564,0.0243,0.0252,0.035,0.1121,0.0185,0.3299,0.0184,0.1259,0.1124,0.064,0.0366,1.819,0.0607,0.0278,0.0195,0.2707,0.0
LAO_C26,0.0248,0.0008,0.0379,0.0536,0.017,0.1519,0.0022,0.0052,0.0008,0.0005,0.003,0.0005,0.0008,0.004,0.0045,0.041,0.114,0.0217,0.0002,0.0042,0.003,0.0113,0.0704,0.0097,0.3382,0.3221,0.0604,0.0067,0.002,0.0028,0.0011,0.0055,0.0058,0.0365,0.0072,0.0121,0.0062,0.0089,0.0026,0.1329,0.0035,0.0054,0.0022,0.0519,0.0
LAO_C27,0.0434,0.002,0.0853,0.113,0.018,0.21,0.003,0.0091,0.0009,0.0006,0.003,0.0003,0.0012,0.0076,0.0141,0.07,0.0563,0.1238,0.0005,0.0097,0.0049,0.0153,0.1498,0.0116,1.7329,0.341,0.1266,0.0098,0.0018,0.0027,0.0007,0.008,0.0044,0.0206,0.0026,0.0065,0.0118,0.0073,0.0028,0.0826,0.002,0.0028,0.0018,0.0297,0.0
LAO_C28,0.0063,0.0002,0.0024,0.0038,0.0006,0.009,0.0004,0.0012,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0009,0.0047,0.0009,0.0011,0.0001,0.0022,0.0012,0.0023,0.0039,0.0008,0.0246,0.0131,0.0026,0.0005,0.0001,0.0005,0.0006,0.0021,0.0,0.0029,0.0,0.0016,0.0005,0.0001,0.0002,0.0077,0.001,0.0001,0.0,0.0009,0.0
LAO_C29,0.0072,0.0002,0.0081,0.0158,0.0023,0.0359,0.0006,0.0012,0.0002,0.0001,0.0004,0.0,0.0001,0.001,0.0018,0.0106,0.0081,0.008,0.0001,0.0074,0.0007,0.0032,0.0147,0.0041,0.183,0.0687,0.0183,0.0017,0.0008,0.0006,0.0018,0.0014,0.0005,0.0042,0.0002,0.0028,0.0015,0.0008,0.0008,0.0182,0.0007,0.0004,0.0006,0.003,0.0
LAO_C30,0.0041,0.0004,0.0087,0.014,0.0021,0.0106,0.0003,0.0005,0.0001,0.0001,0.0001,0.0,0.0,0.0004,0.0003,0.0017,0.004,0.0029,0.0,0.0041,0.0063,0.0014,0.0056,0.0017,0.0792,0.0316,0.006,0.003,0.0022,0.0003,0.0006,0.0006,0.0004,0.001,0.0001,0.0015,0.0005,0.0005,0.0004,0.0194,0.0003,0.0002,0.0004,0.0046,0.0
LAO_C31T33,11.3773,4.553,4.1644,7.637,0.9652,2.9399,0.467,0.6132,0.1025,0.0488,0.2849,0.0458,0.0569,0.3152,0.1012,0.3644,0.193,0.3034,0.0024,0.0303,0.0579,0.3389,10.9504,0.8037,6.2365,7.5037,3.2618,0.6825,0.3198,0.1696,0.0845,0.9441,0.0796,0.5389,0.0991,2.1632,0.8592,1.015,0.2062,5.9818,0.5012,0.7166,0.1913,0.4282,0.0
LAO_D,2.6564,0.0411,9.8244,20.4375,1.3413,5.9534,0.4358,0.5066,0.0904,0.0604,0.2107,0.0159,0.0712,0.5859,0.0672,0.1068,0.0904,0.106,0.0036,0.0223,0.0117,0.2481,19.1081,1.3173,1.9449,17.5203,0.157,0.0034,0.0033,0.0057,0.0516,6.3233,0.5013,0.8284,0.0685,3.0465,0.5249,0.3514,0.0514,12.2804,0.9235,0.4667,0.5217,0.7682,0.0
