V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,4008.0623,12.537,0.5961,4.2737,4.0074,25206.6539,336.4697,785.497,16.6045,0.0549,112.4639,55.8483,350.4698,46.9938,1.6052,1.2523,17.0164,0.6346,0.3209,3.2765,0.2206,28.0122,2.7342,4.4512,191.4262,898.8402,5.5326,0.3672,0.1265,2.2704,0.5408,269.0763,0.4384,0.0434,0.1112,3.7249,29.5265,2.6758,1.7925,11.8307,24.6237,13.6215,0.5908,1.4121,0.0
MEX_A03,0.1446,21.8496,0.0197,0.0411,0.1771,440.3622,0.611,0.0426,0.1506,0.0013,0.1386,0.5865,0.0373,0.02,0.0377,0.0262,0.0231,0.0177,0.025,0.1285,0.0042,1.122,0.0073,0.0122,0.4959,14.2239,0.0532,0.0106,0.0769,0.0236,0.0279,15.0008,0.0177,0.0267,0.016,0.0591,0.0811,0.061,0.0299,0.2309,0.0269,1.4852,0.2292,0.0205,0.0
MEX_B05_06,0.001,0.0,662.7262,0.0522,52.8097,0.0074,0.0014,0.0001,0.0008,5422.0023,2338.3188,741.6496,0.003,0.3213,207.4391,0.0059,0.0012,1.7729,0.0049,0.0117,0.0027,33.7326,185.1753,0.0002,0.031,0.027,0.0023,0.0005,0.0041,0.001,0.0014,0.0019,0.0009,0.0014,0.0008,0.0028,0.0014,0.0032,0.0014,0.0056,0.0009,0.0008,0.0006,0.001,0.0
MEX_B07_08,81.9309,28.8172,5.7282,255.1341,4.754,348.1639,4.2031,0.0199,15.2148,4.8907,595.9366,23.2493,29.4715,2848.8135,7205.9862,13.3542,27.0094,19.6713,26.5214,48.9984,2.2582,5.9583,249.6706,2.6186,1677.4801,5.0733,1.517,0.03,0.1923,2.0491,0.0772,0.8109,0.0471,0.1098,0.081,0.1856,0.6398,0.5547,0.7552,2.6143,0.2189,2.0099,0.1434,0.0782,0.0
MEX_B09,2.5034,0.1072,1132.6291,52.0896,219.8039,22.6341,2.0157,0.2109,2.6576,0.22,6.0196,2.9105,3.2779,3.2377,2.1342,4.481,4.0737,3.0952,3.3609,23.0414,0.7187,2.789,0.4246,0.752,120.3348,67.2305,8.0633,1.8501,14.3535,3.6377,5.0393,6.7189,3.1637,4.9888,2.9541,9.7816,4.7753,10.4929,5.0116,19.7054,3.0373,2.9237,1.9964,3.4795,0.0
MEX_C10T12,4081.157,49.0346,17.7269,15.5302,4.9719,12305.3246,184.1372,0.9908,94.3021,9.687,161.4584,141.9478,13.2379,16.1415,11.6676,15.3107,8.6777,4.6463,5.8118,25.1181,1.9083,7.4534,3.4361,1.7019,31.4068,235.3568,53.1818,0.6134,6.1597,14.3779,1.2565,2033.7218,5.3696,9.7575,2.0693,73.5302,19.5251,74.4869,60.0724,551.5823,56.1636,154.1517,19.1016,9.95,0.0
MEX_C13T15,35.2394,5.0443,7.9297,1.8985,1.1298,23.9974,1100.1266,1.421,190.8585,4.9997,18.4439,0.5132,48.5122,5.8344,4.7951,15.1376,30.12,7.508,9.812,1096.0023,7.7266,185.6707,0.5773,1.6986,17.8017,77.7044,47.6256,9.0348,2.7445,2.9786,1.9045,57.2376,3.0274,1.7048,0.0584,1.3256,19.4662,1.3913,12.6541,53.9795,16.9764,56.997,1.1144,18.3037,0.0
MEX_C16,34.133,3.964,3.0913,40.3343,60.249,226.4769,35.4575,288.0753,28.2243,0.5174,54.7284,84.7518,31.444,48.6217,33.2243,95.587,93.4443,43.9685,28.8616,223.9816,4.7923,552.7299,19.6472,40.4257,708.4104,165.4487,0.5551,0.0617,2.1676,0.4064,1.3493,3.6409,0.1143,0.2055,0.0594,2.4078,3.9486,0.6464,18.6187,5.6883,0.857,1.0276,0.0687,0.259,0.0
MEX_C17_18,79.3838,0.5074,5.791,7.0042,112.8199,867.4752,178.0611,25.9905,2771.4766,7.9299,104.2685,119.4134,127.7063,130.5268,21.4687,162.1544,412.6616,135.6584,67.8618,362.0422,9.6602,316.6115,4.0285,15.3178,32.1989,1222.2416,46.6406,3.2104,3.6713,29.1956,13.7482,195.0116,6.3491,12.1518,12.3245,318.3771,226.1106,101.2649,458.0078,486.5143,245.984,144.3549,12.9306,12.5053,0.0
MEX_C19,354.3129,142.1771,244.5863,350.2362,284.6512,360.2409,27.9832,33.6994,57.3883,2841.2432,693.1326,26.4126,44.14,127.2795,242.9452,89.1174,32.4804,58.0651,30.9774,111.5912,8.4119,58.4815,1282.292,45.5499,610.5044,763.138,4455.4239,49.1947,687.4542,97.6056,138.1724,48.361,10.7553,8.848,2.7302,52.4622,72.6599,126.1808,180.8803,406.3612,27.3245,127.9741,4.3466,100.0116,0.0
