V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_A01_02,5208.8271,1.501,1.3188,5.4424,0.3577,2297.2531,12.0795,3087.5958,2523.1691,2.4338,79.091,23.906,9.5504,11.2194,15.8876,9.9543,2.3772,3.4833,11.3103,13.0161,2.5593,13.5396,389.2,11.0823,218.3386,90.6125,22.4461,2.657,1.0647,79.4979,2.3142,176.1873,117.1711,5.4966,24.4681,16.6728,193.2181,68.3569,57.4286,51.5595,51.6737,233.8404,109.6944,41.1075,0.0
SWE_A03,0.612,9.7446,0.0057,0.0293,0.0023,31.418,0.0416,0.1013,0.1653,0.0361,3.1933,3.8901,0.0483,0.1034,0.0583,0.1,0.0458,0.055,0.1399,0.2114,0.0268,0.124,0.1043,0.0782,1.1802,3.1109,0.1738,0.5138,0.0349,0.5657,0.0205,39.7781,0.117,0.052,0.2907,0.1541,0.5666,0.7612,0.5662,0.8012,0.5899,2.4958,0.6028,0.0492,0.0
SWE_B05_06,84.6486,0.0011,7.9434,0.9538,0.0553,0.3333,0.0111,1.3132,8.5511,66.3551,4.3698,0.1821,0.17,54.2314,69.9573,0.0665,0.0065,0.0081,0.0621,0.6688,0.0218,2.5535,5.9157,2.7542,25.8559,0.7317,1.997,0.0099,0.0115,11.6755,0.7104,0.0858,0.0406,0.0278,0.0688,0.0376,2.9122,0.1967,0.0973,0.1751,0.1246,0.2055,0.3375,0.0471,0.0
SWE_B07_08,1.9865,0.0672,21.7069,741.2924,20.616,8.2027,0.0681,1.0703,15.0483,0.0202,129.3526,1.7795,0.8344,29.6751,2433.6752,1.1017,0.0515,2.3286,0.0924,0.0501,0.0563,0.2658,14.9719,53.9802,264.7189,0.0734,56.9374,0.0245,0.0,39.6327,0.5214,0.1059,0.0,0.0,0.1769,0.0,16.3151,2.7022,1.5568,0.57,0.0319,0.1952,7.8053,0.7308,0.0
SWE_B09,0.0056,0.0004,0.0076,0.1069,0.0133,0.0024,0.0,0.0045,0.0804,0.0,0.0259,0.0004,0.0036,0.094,0.5376,0.0016,0.0,0.0004,0.0002,0.0001,0.0,0.0,0.0649,0.0196,0.6118,0.0002,0.0114,0.0001,0.0,0.0212,0.0,0.0005,0.0,0.0,0.0005,0.0,0.0033,0.0021,0.002,0.0032,0.0001,0.001,0.0016,0.0015,0.0
SWE_C10T12,386.6447,10.3873,0.0,0.0,0.0,2016.4825,18.1199,0.0,49.0826,0.4416,297.2807,88.9819,1.5929,0.2209,0.0877,0.0429,0.0521,0.6828,0.045,0.9728,0.0837,0.198,7.3011,3.5985,0.8119,87.3383,14.6925,11.6324,4.1906,1.1373,0.1186,1865.2038,0.147,0.0,1.0361,11.7908,1.9035,66.0553,15.8473,116.0246,193.8422,703.5512,154.2767,2.0681,0.0
SWE_C13T15,2.5612,0.7657,0.6282,5.0128,0.3621,15.7861,78.9827,9.6248,35.4154,1.258,2.7389,6.9009,7.6029,6.2919,4.6998,14.1585,3.0365,3.286,9.9273,14.8729,1.8857,28.9751,2.7723,1.3013,20.0233,20.138,6.4917,0.4448,0.3208,6.0086,0.8924,9.1971,1.6305,2.6763,14.2619,1.3901,3.2699,43.421,24.156,25.9162,5.1363,62.2815,6.9795,3.6438,0.0
SWE_C16,184.1876,4.2671,1.4649,2.144,0.1499,24.7187,1.9095,1446.648,527.7909,2.4342,13.3629,9.1286,14.4912,106.9179,38.6807,51.4372,3.9455,16.1634,35.0709,15.1555,7.0319,231.1057,338.2102,11.7801,3159.6392,94.4329,18.0965,0.6366,0.6475,29.1766,2.6001,6.1348,4.3928,2.352,12.4404,4.8754,320.3645,30.5088,40.4672,20.573,15.2648,21.4403,19.2347,24.0977,0.0
SWE_C17_18,263.3517,1.1442,1.1978,11.3014,0.5873,283.2186,11.575,195.7928,1434.7591,13.3142,56.0394,185.5049,89.9859,29.0807,37.4222,45.2417,23.3094,17.8907,74.9709,64.1899,6.9965,82.3741,65.1654,50.1166,125.8646,413.6349,43.6034,6.6753,7.3514,55.145,11.7811,33.2262,395.9172,49.6153,159.7836,81.4242,129.4365,411.9957,93.718,132.3222,134.1261,259.024,95.7649,49.9408,0.0
SWE_C19,198.2676,9.5344,8.5461,35.6035,1.9466,47.5797,5.4211,39.7488,93.1427,8.8751,59.9611,18.4728,12.6371,122.0085,56.7803,20.4546,2.7077,7.3494,28.2711,33.7019,7.8931,82.8931,38.4448,97.5333,488.0435,225.2183,1300.6149,109.8333,172.7662,121.0743,22.0179,14.774,9.6493,14.0459,8.8408,12.6552,105.6109,46.9248,46.7795,70.9012,21.3273,49.2666,35.2527,15.9437,0.0
SWE_C20,130.3933,0.6951,4.7357,26.3329,1.3552,66.9901,30.3045,44.8304,274.0803,9.6239,505.5753,526.6881,303.7654,58.6745,48.5504,77.2762,29.4557,43.4591,33.6873,151.2325,5.1344,52.3251,105.9156,45.3702,173.7502,102.3092,41.4961,1.8059,4.0652,28.1843,1.5665,17.9646,10.6004,7.043,20.454,7.4395,55.2588,64.1808,94.0412,25.4612,15.8729,85.0978,19.4239,49.3936,0.0
SWE_C21,47.511,0.9594,1.3982,12.6696,0.751,100.0712,18.6256,27.8398,65.8024,31.6184,91.0859,954.7824,52.119,25.3151,60.5489,50.3493,28.2652,21.2068,62.5209,83.828,13.4495,33.6847,26.5856,24.7332,165.1124,181.4711,54.1987,7.7084,16.6574,38.1211,2.9939,43.6374,40.0835,16.5574,47.8048,11.6656,25.6805,119.2729,52.2741,29.282,17.7893,476.0288,24.1856,18.0361,0.0
SWE_C22,10.7576,0.3482,3.5405,2.7518,0.1875,93.6147,12.9444,32.4409,39.4491,3.7927,46.5906,98.0687,138.5411,21.3366,11.8621,33.1256,36.7632,23.7086,114.0276,284.7319,9.5459,59.9116,9.5297,39.4647,329.4241,94.3786,57.247,1.0898,1.0525,20.3939,0.7949,16.3505,5.9361,8.5874,39.6449,15.5363,45.1659,60.8178,22.3356,55.7186,16.2832,111.1208,11.1195,10.4201,0.0
