V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_H52,11.3766,0.0039,7.3402,2.9545,0.3687,7.0309,6.3628,0.3484,1.5991,2.6494,1.4078,0.4873,2.0454,1.6297,0.4233,0.8436,0.634,2.5752,0.6786,0.7414,0.1023,1.0143,0.6788,6.611,3.599,14.185,4.3963,16.6144,79.8376,57.805,9.5565,0.6363,14.8662,31.8702,5.1477,18.0956,28.7656,4.5436,42.4253,81.4691,84.3196,19.0465,3.7569,0.3621,0.0
JOR_H53,0.3519,0.0,0.1348,0.0022,0.0004,0.0543,0.0348,0.0044,0.0272,0.0433,0.2489,0.1781,0.105,0.0036,0.0002,0.0006,0.0101,0.0248,0.0093,0.0066,0.0018,0.0133,0.1153,0.7912,0.0627,0.4173,0.0254,0.093,18.9597,1.2645,1.094,0.2316,1.7188,4.7821,0.5373,9.5944,5.2556,0.6355,0.197,0.0,7.8354,2.7443,0.6906,0.0317,0.0
JOR_I,0.1469,0.0001,0.0381,0.0026,0.0005,5.8558,2.7757,0.3477,0.9693,0.3117,4.134,2.6284,2.3042,2.7968,1.0474,2.0873,0.8699,1.7264,0.6449,0.5417,0.1089,1.2821,0.4919,0.3642,5.6489,34.8323,0.6102,0.0186,1.8138,1.1025,0.0564,6.3586,0.3825,0.7702,0.1836,8.1862,2.5745,2.9315,7.9499,8.5632,7.2648,5.1873,2.9977,7.9011,0.0
JOR_J58T60,0.5605,0.0004,0.0295,0.0073,0.0006,5.8667,2.3916,0.0471,1.5855,0.5959,2.8938,2.0005,1.1041,1.4202,0.0795,0.4645,0.314,1.0338,0.2065,0.2097,0.0608,0.4425,0.5656,0.6575,1.9208,36.0653,0.1938,0.0066,1.1892,0.9563,0.0936,3.1237,1.7633,1.0811,0.1812,9.5054,2.0599,1.8269,0.9234,6.8254,8.5872,6.5252,1.8751,3.3397,0.0
JOR_J61,2.4815,0.003,0.0738,0.0034,0.0007,14.7975,12.3478,0.836,2.6877,1.9163,7.9801,4.5778,5.1578,6.5543,0.9575,2.8023,1.5118,3.7611,1.2639,0.8708,0.1821,2.0091,3.4552,3.517,13.1783,149.3477,1.5048,0.0113,4.399,4.8088,0.7957,12.1303,0.4724,7.8022,0.2497,55.0243,10.3581,3.694,3.377,29.7581,13.5961,37.1031,2.8179,12.0651,0.0
JOR_J62_63,0.7315,0.0,0.0311,0.0002,0.0,5.4144,5.6082,0.1811,1.5363,0.7361,4.6713,2.8948,2.0316,2.7685,0.2734,1.1622,1.0648,2.0523,0.5573,0.652,0.1248,0.6311,1.8388,1.7867,4.3825,48.3714,0.6383,0.0011,2.3418,2.1587,0.2977,2.5035,0.4357,1.1863,0.7513,41.3412,3.2048,2.6104,1.6596,14.5395,7.613,15.3148,1.786,5.1079,0.0
JOR_K,17.1805,0.0359,2.4226,0.2194,0.0295,32.8361,13.0143,0.7244,5.1791,110.1722,32.9361,37.4318,11.2009,11.5062,4.034,8.6775,4.174,15.3704,3.558,3.9919,0.62,5.3328,191.0998,7.0256,91.6704,297.2732,10.6453,0.2225,43.8214,4.9067,0.7891,23.2281,3.72,14.0023,2.6797,103.1548,203.2878,4.0316,4.2786,183.4892,27.0993,28.0557,47.7636,67.9308,0.0
JOR_L,11.2217,0.0042,0.0314,0.0003,0.0001,27.2123,24.5006,1.5905,1.3848,0.0482,5.777,2.2558,3.1038,5.9653,3.0905,7.46,3.052,9.8332,3.0144,2.4785,0.5964,6.4825,0.1618,4.9354,6.0815,325.6648,0.6459,0.0039,3.8814,2.6711,0.1417,19.1256,2.6694,10.6656,1.9039,28.3652,5.0622,8.8077,4.2232,14.8373,31.7676,18.6343,26.2999,46.5211,0.0
JOR_M,9.3837,0.0044,0.039,0.0049,0.0009,21.3403,2.4151,0.0569,3.9198,1.1292,7.2199,8.2746,2.8424,3.3352,0.6791,1.6302,0.9178,2.958,0.8342,0.8286,0.1595,1.0418,0.7929,9.4569,18.9968,51.5908,0.5806,0.0736,6.1338,1.4217,0.1422,4.1352,5.0293,11.7693,2.6086,45.7416,31.475,2.273,1.8015,35.5052,12.8337,11.1371,1.5335,0.6329,0.0
JOR_N,3.7714,0.0,0.8061,0.0743,0.0222,11.026,16.3537,0.0998,6.292,16.0153,15.8769,14.0347,7.8375,4.2007,0.8362,2.2038,1.5766,4.8387,1.2317,1.3355,0.2846,1.7331,4.112,7.0088,12.7809,17.8589,18.2658,0.8834,73.6728,3.9454,0.3947,2.1697,0.3319,0.8918,0.2101,20.2493,9.7558,0.2555,12.041,20.7704,24.4681,2.1833,1.7277,0.7978,0.0
JOR_O,4.5575,0.0067,2.6665,5.2904,0.8103,17.7855,4.0491,0.621,0.3267,9.7566,6.1048,3.9242,3.7383,4.8101,4.037,3.6265,0.6098,2.4529,0.7342,0.5693,0.1615,0.9645,2.2793,3.7967,14.9916,16.0899,1.482,1.6578,0.0,0.1795,0.0,1.3,0.353,1.164,0.2259,3.4739,1.3143,0.2589,0.0271,234.362,1.1776,0.0139,0.0762,0.0854,0.0
JOR_P,1.9566,0.003,0.0308,0.0494,0.0096,5.6402,3.5028,0.2315,0.3594,0.1151,1.8738,20.4125,0.7072,0.7646,0.8774,0.8656,0.2737,0.9284,0.8158,0.2038,0.3597,2.8418,6.2566,0.7708,4.0806,44.9179,0.4236,0.0055,7.3885,0.6939,0.0183,1.8097,0.8084,3.0999,0.1627,2.6573,0.7262,0.9196,0.9525,47.3448,47.6556,23.873,3.271,5.1422,0.0
JOR_Q,0.8719,0.0045,7.7183,16.0663,5.3573,4.5886,7.0321,0.0637,1.1857,33.2483,8.3827,0.6205,1.2793,0.4052,0.7219,1.169,0.6076,1.8128,0.3927,0.4456,0.1956,1.0601,0.1414,0.2846,1.8317,11.9003,0.2362,0.0003,0.1089,0.0595,0.002,0.7013,0.0618,0.1546,0.0393,0.8396,0.453,0.2151,0.1413,94.0205,17.6507,2.3138,0.3006,0.4709,0.0
JOR_R,0.0001,0.0013,0.1247,0.2546,0.0869,0.2096,0.2118,0.0037,0.3665,0.0,0.0,0.0,0.0,0.0,0.0626,0.1987,0.0323,0.0999,0.1217,0.0196,0.0281,0.0485,0.0,0.1493,0.0,0.5608,0.0,0.0668,0.2721,0.145,0.0077,0.0963,0.2022,0.3253,0.1066,3.0873,0.152,0.1236,0.1718,1.5232,0.9709,0.0415,0.2876,0.1635,0.0
JOR_S,0.5366,0.0013,0.0423,0.0343,0.0088,5.2998,2.3522,0.0015,0.9904,0.221,1.6609,1.609,1.3613,1.8348,0.2923,0.3114,0.4046,0.9284,0.2855,0.2056,0.0398,0.4618,1.0296,0.6693,2.9151,8.8237,0.6266,0.0115,0.4784,0.1331,0.0318,2.7133,0.8532,2.97,0.6783,7.7899,4.3624,0.4777,0.7565,13.93,8.0976,4.3793,0.8716,3.2367,0.0
JOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
