V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_A01_02,7978.7107,88.043,24.1935,24.7624,2.5136,23342.1885,10.3945,5892.6272,661.0993,12.0395,854.5206,18.4192,291.7986,9.991,19.5514,8.4992,1.5222,3.031,5.8478,9.1909,2.0559,20.1131,52.7074,4.2573,1282.0581,147.5734,67.7474,1.3609,0.2968,20.2785,7.0507,1596.7124,17.0185,3.3005,6.6425,15.2977,14.9838,57.5273,17.0908,228.5043,57.7301,108.9253,22.0182,51.5155,0.0
CAN_A03,51.2715,8.1355,0.0189,0.0089,0.0004,1861.7468,0.0031,1.5795,0.0877,0.0009,0.3649,8.9164,0.1151,0.0006,0.0006,0.001,0.0009,0.001,0.0016,0.0008,0.0014,0.0054,0.0204,0.0046,0.534,0.5672,0.0113,0.0005,0.0006,0.003,0.0038,188.5757,0.0232,0.0193,0.1053,0.0993,0.0127,0.0621,0.015,2.6535,0.0196,0.0322,0.0108,0.0231,0.0
CAN_B05_06,145.6571,6.076,1047.3361,152.1917,64.1271,80.2946,3.1632,28.9004,53.777,8477.2817,154.0562,8.2098,17.9839,151.586,653.0545,23.3341,4.3688,3.6705,12.537,11.7613,14.6552,26.0523,820.4448,19.5485,573.9096,410.0519,219.6552,12.6098,32.0044,25.0523,18.922,22.7683,30.5295,14.9396,21.4134,143.4874,241.8038,77.3728,97.0191,185.2578,135.7047,136.7694,13.5752,62.5068,0.0
CAN_B07_08,492.0745,7.7723,1104.9653,409.6108,119.1327,179.4833,24.9525,60.1861,164.498,48.0347,632.5865,94.958,350.3309,1191.7345,6473.4944,51.3502,25.4487,17.2201,46.8231,58.5323,64.2239,941.1959,332.1157,25.2279,2287.4151,1377.4437,107.1105,3.1707,5.9269,73.5158,16.0302,67.2365,100.0058,50.4964,129.2073,608.3919,366.3104,305.9523,307.3123,621.1739,128.3994,456.8072,41.2692,174.8822,0.0
CAN_B09,7.1155,0.0644,5270.146,1229.7772,456.5607,7.0112,0.2858,1.5194,1.8963,0.7215,2.4731,0.985,1.3754,1.9154,2.0729,1.2293,0.8575,0.3666,1.4588,1.213,2.7108,1.7858,6.237,0.9974,5643.5966,58.1157,4.1249,0.0441,0.2614,1.2003,0.6498,2.7313,4.1228,2.9794,9.1821,29.4958,17.8671,13.0796,12.2072,20.1415,4.6468,13.0267,1.9622,6.022,0.0
CAN_C10T12,6234.293,96.3084,108.3682,41.2886,19.069,11514.4841,26.8088,45.933,88.9884,14.1694,118.3428,74.5403,36.6659,34.2196,54.2937,58.5938,14.3616,8.2523,46.1011,26.3594,43.8076,67.6806,56.8199,19.9925,306.8621,883.2066,39.7595,3.7693,12.4897,38.8847,9.995,8028.5539,86.6268,61.7056,83.6576,207.9372,197.4322,231.0207,171.1413,349.5554,357.8946,883.9483,272.7237,142.6787,0.0
CAN_C13T15,50.4445,11.7672,6.7042,14.0397,1.5581,32.1927,172.8532,9.2627,36.7584,2.6624,24.0052,3.3343,61.7094,12.7626,10.7186,16.7778,2.5978,2.0619,11.6009,51.5581,7.7,115.7196,2.5137,2.5788,360.3401,34.3408,7.4747,1.1838,2.4956,5.2802,2.4899,39.6041,9.4122,3.8084,5.8384,7.6419,8.1908,24.9789,9.7874,74.7245,53.0754,128.1554,15.2603,40.8198,0.0
CAN_C16,152.0881,8.0686,46.9854,30.9656,9.4589,137.2079,12.3844,3660.8763,1970.7857,28.8805,36.8455,11.2512,80.3499,60.9799,49.8728,92.1835,8.4244,6.0606,46.127,29.3713,34.3684,1058.7813,39.6098,7.6537,10921.1608,239.5767,74.7589,3.0344,15.9099,10.9412,13.3113,11.9253,9.9697,9.3695,15.0047,47.1833,40.0297,36.249,44.0178,103.3008,23.7804,57.6528,8.1253,121.4374,0.0
CAN_C17_18,130.5561,23.4018,83.3189,27.381,12.5629,1269.4537,25.5412,102.4795,3190.8416,13.3151,176.7116,57.0483,172.1268,78.2288,58.4609,107.9762,49.8142,44.2727,66.585,35.8349,31.7356,191.2645,33.2244,40.4293,544.3576,1674.8171,38.7005,5.2921,6.7171,89.2296,63.7771,157.0686,672.6658,110.0745,184.0712,472.1313,222.1925,688.6369,312.071,433.6986,594.7886,612.6221,180.9084,448.2669,0.0
CAN_C19,1301.5656,88.1913,970.0924,480.5251,273.2282,147.2747,9.7251,118.0319,65.3322,1225.2939,645.0105,23.6175,96.709,581.1454,260.8618,75.7494,8.3727,12.8992,35.3017,49.4346,16.2384,183.3259,183.493,177.9619,1643.4199,1311.8901,3165.7562,148.1177,499.0098,137.1346,256.2364,112.9864,47.6813,125.2723,48.0515,271.3636,436.8278,232.1875,700.9302,776.3644,584.3557,583.7099,46.5566,306.8468,0.0
