V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_C25,1.3208,0.1121,3.0535,0.2964,0.0817,12.5822,0.299,2.2448,0.6234,25.7411,13.1051,53.2796,23.6116,3.6529,4.5889,25.1809,68.4318,17.0628,43.571,8.5231,20.8809,53.3602,2.0911,0.4373,303.6519,57.8371,1.0619,0.2361,0.5989,0.061,0.1525,0.2838,1.1573,1.6275,5.909,1.9332,0.9901,5.7009,15.2445,14.1975,6.4215,2.4107,0.181,0.3683,0.0
IRL_C26,21.2282,16.0458,1.284,21.0353,0.0709,79.001,0.423,1.2405,0.3229,40.116,76.5005,83.394,3.2907,1.4777,15.4031,7.7296,2392.2085,179.5775,97.9629,33.9324,16.9739,1522.9802,0.7062,2.6705,542.6351,139.5979,6.8648,0.1911,14.021,2.5103,8.8281,11.9446,84.0744,404.5179,466.503,86.8015,8.0184,175.7721,440.4426,112.1133,37.0097,725.4293,13.4607,13.7099,0.0
IRL_C27,0.3481,0.0779,0.5096,0.0246,0.007,4.7244,0.0163,0.0676,0.1018,2.0497,70.4795,12.7362,0.2187,0.2097,0.0566,0.5599,81.152,3.0267,16.8565,2.887,0.4914,61.7579,0.0873,0.2687,99.1167,35.0581,0.3715,0.0536,1.33,0.033,0.0768,0.0631,0.1754,1.2797,3.2021,0.3958,0.5345,12.742,35.8788,2.7946,0.1168,9.2185,0.3577,0.1516,0.0
IRL_C28,3.0433,0.3141,1.1057,2.5551,0.1043,4.7983,0.1635,0.7681,0.1626,5.1666,2.8694,26.3787,2.3215,2.1174,0.5382,33.7941,172.4994,2.3075,58.8438,3.3449,10.9183,26.5399,0.7321,0.1712,71.9902,16.5051,1.2554,0.151,3.5047,0.2351,0.4118,0.5947,3.0687,2.3934,3.2302,1.9364,0.2328,5.271,27.2719,13.6184,0.4319,13.3497,0.5575,1.0079,0.0
IRL_C29,0.1275,0.0023,0.0119,0.1718,0.0012,0.0364,0.0014,0.0114,0.0023,0.0997,0.0578,0.2049,0.0531,0.0132,0.0089,0.0775,2.0713,1.3385,0.3052,0.6554,0.0527,10.8336,0.0786,0.004,1.5905,14.0525,1.4894,0.2158,0.0914,0.1794,0.6509,0.0278,0.0166,0.291,0.8159,0.8957,0.029,0.4723,0.4222,0.3398,0.0271,0.0868,0.126,0.0546,0.0
IRL_C30,1.3379,3.0546,0.498,0.267,0.0002,0.0688,0.0068,0.1053,0.0122,0.0025,0.3249,0.7033,0.0766,0.0518,0.0002,0.0146,0.2126,0.0048,0.1029,9.1548,71.1989,100.944,0.0,0.4707,3.9265,2.8604,1.0616,1.2625,27.7279,0.565,0.5215,0.1379,0.0061,0.764,2.0516,0.8803,1.6875,9.9226,52.92,3.2109,0.0486,1.7172,0.1738,0.1852,0.0
IRL_C31T33,58.2823,10.4141,0.9148,2.1881,0.3075,24.9372,0.1611,2.5892,0.8167,33.8794,14.8736,87.938,18.8051,10.5906,4.8046,41.4204,287.5211,29.7871,63.6118,9.062,12.0304,1982.3908,4.4887,5.2964,341.0569,218.7887,39.4617,2.909,170.3363,6.182,10.3495,3.9267,30.0915,44.7799,50.8094,24.6537,2.1204,59.1256,130.0788,172.6317,8.3443,411.3476,8.1623,13.9806,0.0
IRL_D,114.2428,23.4002,3.4282,89.7128,0.2138,532.061,9.0184,54.1667,14.2961,59.2918,172.5812,440.6705,97.332,121.5379,16.5067,33.5597,120.2613,7.4253,48.3243,11.061,34.3918,51.9491,405.7987,186.4718,127.5854,1955.9691,96.2818,4.3258,20.3522,48.7271,38.2781,115.0579,95.1778,174.1679,106.5219,126.4622,76.8245,420.7379,154.1453,1.3376,70.5718,164.5255,71.1204,51.1514,0.0
IRL_E,2.0709,6.3404,0.863,2.464,0.0813,46.5497,0.8792,1.6507,1.053,9.3616,31.7375,77.9392,22.1365,2.1181,93.469,3.7387,28.5245,0.3875,9.3655,3.1966,0.4919,29.0971,0.3409,168.4419,118.7312,479.9832,10.6544,2.3304,0.9323,6.2529,11.1807,14.5748,13.8926,2.6253,13.4504,23.6931,18.5071,101.858,62.7466,538.0015,2.0295,141.1034,22.5972,14.4828,0.0
IRL_F,75.63,10.5353,5.0383,8.7253,0.1157,185.7875,1.1528,5.2996,1.6402,147.6815,18.6482,101.1133,5.0262,7.427,10.4104,8.175,139.1466,1.5299,125.1636,1.4515,0.6625,109.2969,10.1943,13.4164,6033.2592,0.642,0.0046,0.1936,3.2779,0.0001,0.0015,0.0108,0.0028,0.2575,0.0012,32.0766,41.925,0.422,38.5473,89.8175,42.3477,70.1808,0.5239,21.3132,0.0
IRL_G,396.7236,26.0371,3.8835,17.303,0.1872,1607.3934,12.8348,12.8392,18.2732,254.5755,201.4725,401.1672,46.9891,33.201,25.6037,77.9088,559.6856,17.465,104.8158,12.8151,22.6936,517.3186,139.2217,37.1089,160.091,1081.8901,60.0691,5.5381,76.2757,13.1614,24.0315,114.5796,746.1057,28.5498,117.2356,149.3568,21.2438,170.6146,133.1102,160.2653,37.277,289.2668,29.6799,77.6496,0.0
