V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,28553.8298,83.7475,945.8934,0.0,0.0076,13781.4872,135.4335,67.4555,1.8813,0.008,158.1238,46.2568,1.8108,0.029,0.0041,0.0036,0.0001,0.0001,0.0003,0.0017,0.0001,2.7844,0.0097,0.0043,11249.6401,29308.6651,0.0092,0.0007,0.0204,0.0023,0.0,1589.9961,0.055,0.0239,0.0217,0.001,0.2832,72.272,0.0048,0.0193,0.5524,0.0898,0.0108,0.1968,0.0
NGA_A03,2.4794,106.2239,0.0,0.0,0.0,9.1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,0.0001,107.3373,0.0004,0.0013,0.0012,0.0035,0.0001,45.4522,0.0006,0.0,0.0,0.0017,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,16.0417,0.1618,356.5697,0.5958,0.6489,15.8576,17.4096,4.1201,2.1376,3040.3467,0.5082,0.0794,1401.8861,1790.2135,27.2323,10.7915,0.0132,0.0238,0.2875,0.5189,0.0265,5.5937,3.3427,0.6681,28.2631,7947.8913,7.3949,0.1294,0.974,0.1459,0.0822,2.352,3.7356,11.7996,6.6226,0.4513,2.0154,1.3095,0.2788,10.0702,23.4517,3.1851,0.5545,9.992,0.0
NGA_B07_08,0.0,0.0,0.75,17.7263,1.8827,6.7326,6.3017,0.0066,18.0275,0.0053,62.164,3.0227,0.1056,556.6446,14.6562,5.887,0.0791,0.1689,0.4025,77.8486,5.0608,2.3449,121.4362,0.272,141.3376,8.1532,0.0377,0.001,0.0014,0.0416,0.0002,0.0001,0.0048,0.8742,0.6682,0.0005,0.0107,0.0008,0.0002,19.1577,0.0018,0.1635,0.0003,0.0012,0.0
NGA_B09,0.0195,0.0035,57.5743,0.0104,0.005,0.0028,0.0009,0.0002,0.0008,0.0,0.0008,0.0,0.0002,0.0317,0.0013,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0002,0.0092,0.0013,0.0159,0.0001,0.0012,0.0005,0.0,0.0001,0.0022,0.0,0.0,0.0006,0.0718,0.0094,0.0001,0.0005,0.0009,0.0001,0.0001,0.0023,0.0
NGA_C10T12,3.1352,11.031,188.0161,0.0222,0.0112,3507.6663,0.423,4.9012,28.8786,0.0,82.4251,19.8066,0.1553,23.1632,0.0152,0.0135,0.0149,0.0064,0.0152,5.7252,0.3311,1.5229,6.3131,1.0189,0.7749,7970.2375,1.5893,19.0489,5.4353,13.5083,0.7349,820.7493,210.7981,27.0417,12.3343,24.6058,59.8811,26.7929,13.3867,103.6743,105.733,353.6807,24.8955,826.2642,0.0
NGA_C13T15,0.0114,0.0056,1.0459,0.1632,0.0112,0.2633,1408.452,2.4853,0.4339,0.0006,0.0855,0.0206,0.2118,1.269,0.5109,0.659,0.0037,0.0077,0.0952,0.3391,0.0244,2.4961,0.1912,0.894,0.1558,104.131,11.0577,0.167,0.0759,0.4855,0.0102,0.5812,0.2636,0.1439,0.0977,0.4335,0.5564,2.4196,0.4583,0.5518,0.2141,9.4414,0.0772,3.7066,0.0
NGA_C16,8.5632,0.0007,0.3241,0.365,0.0369,1.5899,8.8805,162.5845,34.5284,0.0012,2.525,0.2862,6.2621,20.2828,4.4867,6.0829,0.1731,0.3692,1.5652,3.8472,0.1696,67.2769,20.6941,1.2268,293.9546,38.6076,0.1977,0.0314,0.5051,0.8456,0.0475,0.0226,3.2859,2.2061,1.6082,1.4382,84.5368,17.8043,4.5395,147.9461,45.4234,1.2145,2.2111,35.2533,0.0
NGA_C17_18,0.0181,0.1415,0.222,0.0039,0.0031,1.8964,0.6377,0.5699,3.2123,0.0004,0.5354,0.1564,0.1104,4.9658,0.6601,0.9877,0.0178,0.0245,0.0742,0.3252,0.015,0.3559,1.399,0.4176,0.1064,28.5611,1.8554,0.0631,0.2474,1.3193,4.0235,0.1083,54.7212,14.5764,10.3534,2.7865,4.42,7.6865,1.187,9.0434,8.1393,17.1507,1.7824,25.2576,0.0
NGA_C19,0.0047,0.0096,152.0366,0.3975,0.0951,1.6261,32.6213,1.5582,2.3592,24.7991,0.09,0.005,0.2156,3.8624,3.8288,1.9813,0.1272,0.0296,0.0838,0.03,0.0014,1.4971,20.7684,10.0436,1.2971,112.1191,177.8865,4.8023,6.7927,0.3121,0.7634,0.2776,22.4535,257.2733,144.5397,2.5757,50.5734,3.6627,0.7304,2.0909,8.5146,10.8086,1.4426,5.4386,0.0
NGA_C20,6.0611,0.2021,32.1552,0.0204,0.0262,3.3997,25.8858,6.3307,15.4603,0.012,0.673,0.0554,1.4078,9.379,1.7814,1.5723,0.0194,0.0319,0.0928,0.2655,0.0088,2.3121,4.3037,1.8828,0.3022,27.211,4.107,0.0047,9.0272,0.8563,0.0035,0.7153,13.0078,10.2338,9.3402,0.3188,0.3813,6.9567,1.4555,0.2494,240.3017,14.7425,3.647,32.4585,0.0
NGA_C21,0.0011,0.0,0.5374,0.0,0.0,0.0012,0.0,0.0,0.0,0.0001,0.0001,0.0004,0.0,0.0,0.0001,0.0,0.0005,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852,0.8176,0.0,0.0,0.0035,0.0,0.0022,0.0565,1.0084,0.0,0.0,0.0
NGA_C22,0.3731,0.0586,4.5568,0.0001,0.0608,38.5506,13.9728,1.6382,0.004,0.0023,0.0002,0.0,1.2726,130.2203,0.0005,0.0004,0.0422,0.0,0.0,0.0001,0.0,16.3304,4.5013,2.9934,58.933,544.698,180.4567,0.2329,1.9275,13.8073,0.3902,0.3218,28.6786,95.8378,58.5546,9.0957,26.7189,4.5699,0.8178,93.3127,134.0722,23.3308,6.7245,268.1816,0.0
NGA_C23,0.0039,2.2,143.2402,29.6366,1.0018,238.0659,227.967,107.7167,0.0201,0.0869,1.0977,0.3564,11.3627,1305.459,197.3787,154.5031,2.5074,5.3758,37.575,36.9266,1.2129,151.0005,161.9068,27.6189,2413.5262,1521.6683,0.0317,0.0007,0.0085,0.1398,0.6697,0.8492,4.6067,2.6247,1.5578,4.922,0.1418,6.8258,11.0975,2298.2234,26.7537,39.9409,2.8193,230.0973,0.0
NGA_C24,0.0001,0.0,300.1622,0.5503,0.1301,0.0399,79.3832,18.2095,1.1389,0.0109,0.7365,0.0522,2.3123,13.2296,33.8276,25.1487,0.0,0.7043,0.0355,0.033,0.001,162.9152,0.0701,3.1789,3.1344,42.4619,0.0,0.0,0.0,0.0002,0.0,0.0001,0.3529,0.0014,0.0009,0.0015,0.0005,0.0003,0.0,0.0001,0.001,0.0016,0.0,0.0017,0.0
NGA_C25,6.5629,0.0,5.1256,7.3398,0.1181,0.3435,0.239,2.7758,0.0009,0.0121,0.0027,0.0004,0.5249,4.6132,1.0491,2.6254,0.0606,0.0743,0.9402,0.644,0.029,8.8322,0.2907,1.4138,12.0717,73.3131,0.4237,0.0008,0.0145,0.7299,0.0018,0.0304,0.3078,58.9605,34.6641,0.2335,0.1314,0.5792,0.365,0.3414,7.3044,0.068,0.1951,11.4114,0.0
NGA_C26,0.0002,0.0,0.0506,0.0,0.0,0.0001,0.0009,0.0002,0.0005,0.0,0.0001,0.0,0.0001,0.0003,0.0011,0.002,0.0001,0.0,0.0008,0.0005,0.0,0.0142,0.0005,0.0007,0.0016,0.0956,0.006,0.0,0.0007,0.0027,0.0017,0.0,0.0183,0.146,0.0646,0.0259,0.0008,0.0547,0.0006,0.0062,0.0098,0.0384,0.0041,0.0034,0.0
NGA_C27,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0012,0.0016,0.0,0.0,0.0003,0.0008,0.0,0.008,0.0027,0.0012,0.0013,0.1561,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0133,0.0047,0.0003,0.0,0.0007,0.0005,0.0001,0.0011,0.0016,0.0002,0.0233,0.0
NGA_C28,0.046,0.0,0.836,0.0171,0.0022,0.0841,0.2043,0.0113,0.0,0.0009,0.0002,0.0,0.0002,0.0034,0.0012,0.0014,0.0001,0.0002,0.0133,0.003,0.0001,0.1137,0.0006,0.0393,0.0919,1.9321,0.0162,0.0,0.0243,0.0106,0.0,0.0,0.0184,0.0723,0.0487,0.0,0.0,0.0474,0.0054,0.0,0.0,0.0,0.0,0.0213,0.0
NGA_C29,0.0001,0.0,115.1002,0.2105,0.0496,0.0155,30.8245,7.0581,0.4421,0.0042,0.2848,0.0201,0.8902,5.1218,13.0995,9.7148,0.0001,0.2735,0.0,0.0014,0.0,63.1085,0.0041,1.2344,1.0132,18.6905,0.261,0.0,0.0,0.0012,0.0002,0.0008,0.1367,0.2359,0.1695,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
NGA_C30,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0031,0.0003,0.001,0.0688,0.0,0.0,0.0063,0.2518,0.0203,0.0,0.0022,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0218,0.0,0.0
NGA_C31T33,20.4262,1.0375,65.5065,0.0891,0.0329,5.6639,24.4825,9.6354,0.5416,0.0003,0.1855,0.0398,0.3077,2.4155,0.0683,0.0986,0.0142,0.0013,0.0311,0.0146,0.0021,36.9034,4.0576,1.8349,2.6185,128.898,11.949,0.8317,2.7047,4.1004,0.2588,2.4882,19.7191,42.7087,24.1243,30.089,22.2748,12.9632,0.3552,3.194,20.1635,30.5285,0.4256,44.3044,0.0
NGA_D,5.8297,0.275,363.2176,0.2855,0.0698,1.8976,4.8156,0.6,0.524,0.0647,0.0834,0.0068,0.2777,0.8051,0.0625,0.0348,0.0222,0.0053,0.0207,0.3468,0.0088,1.9473,119.3847,3.7185,2.0324,83.5952,8.007,0.0,0.8949,1.9168,0.0444,1.7694,39.0059,44.6528,13.7191,7.0583,210.1564,6.8463,0.3541,29.6587,41.0962,15.763,0.0,106.3877,0.0
