V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,166.3691,7.7626,0.0,1.7492,0.0145,2026.0266,26.6592,18.2495,6.8438,0.3128,7.3012,3.5717,2.3565,0.0906,0.0042,0.0174,0.0136,0.0068,0.0147,0.013,0.0099,10.0638,0.0,0.0,0.6788,108.3515,0.0001,0.0,0.0,0.0,0.0,55.3217,0.3194,0.0,1.1225,0.0,1.152,4.3101,2.7367,21.8964,0.5203,1.0361,1.4205,2.9637,0.0
TUN_A03,17.7488,37.2565,0.0,0.2201,0.0,302.636,3.3823,0.4535,0.3504,0.0623,1.0012,0.8671,0.242,0.0066,0.0006,0.0021,0.0016,0.0018,0.002,0.0017,0.0012,0.7304,0.0,0.0,0.0731,7.3538,0.0,0.0,0.0,0.0,0.0,41.3721,0.5613,0.0,0.2661,0.0,0.2498,1.0541,0.609,5.1102,0.1645,0.4023,0.5983,0.9871,0.0
TUN_B05_06,1.4735,0.1964,57.7834,33.7689,2.9874,33.1359,18.6111,1.5162,4.8122,325.4763,5.5904,0.1767,2.0235,7.1614,6.7769,4.3354,3.0553,2.1131,3.1702,3.1698,2.464,2.1646,443.7813,5.5813,7.3543,10.2737,0.1084,0.0185,0.019,0.0289,6.107,23.8164,0.902,27.4918,1.1088,13.3649,1.2461,3.5394,2.3035,3.5163,0.1108,0.1023,0.0662,0.293,0.0
TUN_B07_08,0.0,0.0,0.6276,9.7897,1.8351,2.3805,2.5805,0.0052,0.0288,10.4677,170.2322,15.3404,0.0115,30.642,0.2172,0.1705,0.0752,0.1144,0.1175,0.0808,0.0326,0.0159,0.0,0.0,67.1204,0.0891,0.0093,0.0008,0.0015,0.0045,0.0,1.0609,0.0007,0.0,0.0007,0.0053,0.0008,0.003,0.0011,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,0.719,1.214,166.8973,7.6812,23.11,0.4483,0.0485,0.0101,0.2061,5.5612,2.0123,0.1322,0.0516,3.0836,1.4881,0.7045,0.0028,0.016,0.0495,0.0024,0.0044,0.0134,0.5402,0.2875,6.689,0.0144,0.6492,0.041,0.1035,0.2968,0.0029,0.0406,0.0009,0.0,0.0001,0.0063,0.1313,0.2194,0.0652,0.1859,0.0009,0.0007,0.0025,0.0019,0.0
TUN_C10T12,174.9806,13.7778,0.5902,0.5936,0.2945,449.0437,4.4984,0.0759,0.0982,0.6841,33.4837,12.6585,0.0891,1.218,0.2918,0.3305,0.2815,0.1916,0.3213,0.2558,0.0855,0.1459,0.6087,3.1552,5.296,24.8382,3.5141,0.6395,1.2941,0.3688,0.2621,378.9393,0.3119,0.2806,3.284,2.7212,3.3296,10.8399,6.4581,28.9871,0.7702,1.5899,1.3729,1.5038,0.0
TUN_C13T15,0.3267,0.099,3.8296,1.077,0.2326,4.351,882.5231,0.3813,1.764,0.2925,0.0988,0.0476,1.4778,1.0043,0.02,0.0721,0.1131,0.0504,0.0809,0.1905,0.0395,6.4577,0.1779,2.9124,2.0121,7.6858,0.8122,0.2198,0.3019,0.4049,0.6999,0.7648,1.0937,0.5211,3.0305,0.0215,2.5917,10.3459,7.4069,34.5305,0.7064,1.6389,1.7663,3.2618,0.0
TUN_C16,0.7816,0.0662,0.8935,1.2264,0.1257,12.2232,12.8375,88.5398,13.313,0.0031,0.7325,0.1463,5.0678,2.5543,0.8228,3.8091,2.664,1.5792,2.7863,2.2292,1.5067,54.9009,0.1248,0.5573,99.814,2.2694,0.4334,0.0939,0.0626,0.4151,0.0596,0.0946,1.159,0.0609,0.5946,0.4382,1.2922,1.8854,1.6193,2.2223,0.0713,0.0664,0.2193,0.3762,0.0
TUN_C17_18,0.5132,0.0803,0.8042,0.9846,0.2195,44.1862,39.6773,6.4877,106.1193,0.0046,2.3544,1.4369,3.5033,2.6666,0.7785,3.1416,5.1114,3.0077,3.1859,2.0545,0.7241,6.0303,0.1016,1.0786,4.106,11.2266,1.0237,0.1318,0.273,0.8109,0.6599,0.4395,39.6847,0.8178,3.0072,6.5858,1.8934,11.9464,4.1506,8.4741,0.3346,0.2766,0.6694,0.5088,0.0
TUN_C19,50.4184,8.4664,5.7531,5.6365,2.9008,10.4711,13.5243,0.9662,1.2175,0.0222,2.9992,0.3479,1.1027,13.787,3.1221,3.1399,2.3928,1.7555,2.8235,1.6342,0.4905,1.4504,7.8487,1.3018,43.2191,8.4661,45.1374,8.1446,16.5574,4.6343,1.9828,2.1348,0.4456,1.2361,0.79,0.3305,1.3905,2.6276,3.487,10.5491,0.1336,0.2793,0.332,0.3036,0.0
TUN_C20,18.7004,0.2815,4.2881,2.7586,1.0573,27.9426,71.826,5.9893,12.5206,0.0091,115.3943,17.8129,35.0287,2.3609,3.6699,8.425,10.7002,8.2086,4.5684,7.4598,1.5846,8.3322,0.0403,5.2422,9.181,1.2361,0.1034,0.0168,0.0249,0.0605,0.0162,0.551,1.7517,0.0168,1.6854,0.5651,3.4573,9.2132,5.7187,4.8538,0.1936,0.5869,0.2625,0.7193,0.0
TUN_C21,3.6526,0.2223,0.2311,0.2553,0.0112,6.0929,4.7214,0.342,1.2646,0.001,12.4749,100.3153,0.8622,0.1423,0.2871,0.5164,1.3346,0.412,0.607,0.5449,0.268,1.1583,0.0024,0.3346,0.5366,0.1522,0.0154,0.0078,0.0067,0.0118,0.0047,0.0896,0.1649,0.0046,0.4558,0.1426,0.366,2.955,0.5428,1.9756,0.0578,0.5997,0.0198,0.105,0.0
TUN_C22,0.3751,0.0344,0.5451,0.9253,0.2766,21.3879,25.4538,2.5269,5.1859,0.0037,1.6669,0.7344,19.621,1.6939,0.6854,2.5943,5.7371,4.8906,5.1508,7.1283,1.0389,7.8247,0.0372,0.6795,23.2766,3.0425,0.8072,0.0365,0.057,0.196,0.0976,0.1178,1.8465,0.0965,0.319,0.3907,0.4991,1.3024,0.8247,1.3263,0.031,0.0775,0.0542,0.1108,0.0
TUN_C23,0.2429,0.0155,2.126,1.9692,1.5672,9.1318,2.6577,0.738,0.4334,0.0929,2.0223,1.0019,1.0351,110.1126,1.6886,2.9189,4.2598,2.6099,2.4025,2.9371,0.63,1.0,0.26,0.4143,663.5637,0.7782,0.1299,0.0115,0.0193,0.0801,0.0335,15.6531,0.0879,0.1427,0.1937,0.1342,0.3718,0.4502,0.2634,1.4747,0.0427,0.076,0.0894,0.1145,0.0
TUN_C24,0.1138,0.0193,0.1078,0.1155,0.4932,4.8343,3.3804,0.3523,1.0711,0.0032,0.956,0.1575,1.7021,2.3043,32.7048,56.5889,15.5509,25.1654,25.7793,24.3705,5.6587,4.7437,2.423,0.0092,40.4684,0.2707,0.4649,0.1467,0.09,0.2558,0.1087,0.2022,0.1548,0.2345,0.4295,0.0521,0.931,2.5219,0.528,0.4965,0.0102,0.0118,0.0207,0.0764,0.0
