V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_A01_02,1322.8748,0.1347,0.5064,1.0056,0.0861,2920.2292,7.9232,839.1532,336.0975,1.2799,148.4848,8.3317,13.9868,4.7942,7.2565,9.1567,4.3845,4.9744,10.2,4.0977,2.7844,22.9366,47.7279,7.0942,127.867,79.8576,12.8895,0.8332,1.9154,10.2649,0.8789,197.9618,7.0272,2.2639,7.5037,12.7954,63.1645,21.1248,48.9353,25.1568,10.7344,39.551,4.5092,5.1867,0.0
AUT_A03,0.0,2.7704,0.0,0.0001,0.0,9.4874,0.0002,0.0003,0.0011,0.0,0.005,0.0022,0.0009,0.0007,0.0028,0.0011,0.0048,0.0011,0.0027,0.0052,0.0009,0.8736,0.0008,0.0002,0.0006,0.0051,0.0013,0.0,0.0001,0.0003,0.0,29.6795,0.0001,0.0002,0.003,0.0023,0.0002,0.0358,0.0014,0.0051,0.0004,0.0048,0.0003,0.0011,0.0
AUT_B05_06,0.8642,0.0152,5.4881,0.1884,0.1874,3.0355,0.3999,0.8748,0.715,151.0617,3.4074,0.3699,0.4632,1.0135,53.0231,1.0734,0.5891,1.0302,4.8963,2.4043,0.3934,1.2323,209.6096,1.2189,6.7505,2.6604,10.2063,0.0136,0.1544,1.1246,0.0736,0.9574,0.1333,0.1391,0.1193,0.1697,3.3858,1.5853,1.122,0.6792,0.497,1.6641,0.293,0.3657,0.0
AUT_B07_08,3.7727,0.0684,0.4146,41.5247,1.5294,4.6411,0.0,0.6748,18.7263,0.0009,16.2004,0.134,0.7063,253.6222,359.842,0.619,0.0666,2.3135,0.8242,0.0619,0.0248,1.8061,1.6539,8.4105,201.808,1.8857,2.4229,0.0011,0.0,5.0338,0.0786,0.2009,0.0186,0.0307,0.0,0.0,10.8054,5.2947,5.4727,19.966,0.6102,2.0551,0.3278,0.2397,0.0
AUT_B09,0.6184,0.0172,0.0385,2.7979,0.5076,0.3319,0.0,0.1404,3.2355,0.0002,1.1278,0.0093,0.1138,11.6282,26.0685,0.0751,0.0014,0.0923,0.1189,0.0056,0.0015,0.0023,0.303,0.6817,11.4697,0.2013,0.2155,0.0001,0.0,0.3504,0.0055,0.0135,0.0004,0.0,0.0,0.0,0.7522,0.3689,0.381,4.5258,0.1035,0.1431,0.0228,0.0019,0.0
AUT_C10T12,422.8451,12.9586,0.0321,0.0494,0.0038,2955.6191,55.6193,1.3175,29.2162,0.332,81.5732,57.0362,2.1346,3.0827,3.8645,1.8106,0.7306,1.4008,3.4072,1.4168,0.3314,1.8282,1.6654,0.2883,4.6414,146.1296,48.4664,17.1497,10.8941,1.6341,0.132,2012.5587,9.6632,0.511,1.2444,8.5022,1.0414,7.6918,19.2012,42.1734,74.2121,455.7049,19.6495,21.397,0.0
AUT_C13T15,11.08,0.2351,0.0895,0.1477,0.0105,10.9403,283.1841,3.375,11.9877,0.8336,5.3876,2.2537,27.7092,25.855,5.5661,17.8433,7.9344,7.13,9.9666,22.4411,5.0591,60.2922,3.1696,1.0767,34.3634,49.023,3.6588,0.1169,0.4808,4.6763,0.1009,10.928,0.9733,0.3846,0.7589,10.1584,1.9167,13.4251,10.7502,9.2686,2.9511,38.4314,3.0705,6.872,0.0
AUT_C16,45.8998,0.7544,2.3393,7.6272,0.4981,57.8434,5.278,1568.1186,51.8057,0.724,20.4354,7.7205,30.012,25.0148,30.5535,92.77,14.0526,40.4833,66.1414,19.7652,9.0971,415.3033,35.8618,9.1189,1350.944,150.424,11.3589,0.3289,3.2579,11.7911,1.4561,14.0145,2.5945,2.9586,11.9532,11.4217,36.3528,38.6948,30.914,71.7076,17.1627,48.635,9.3469,6.3717,0.0
AUT_C17_18,8.6999,0.1299,0.2001,2.6634,0.1607,151.6816,6.3077,78.2722,859.7993,0.9347,80.7951,28.4496,26.8636,21.2985,16.0883,29.0083,14.8863,18.937,41.7301,12.6038,8.5488,29.6959,10.6328,6.0785,44.2439,216.696,12.0783,0.5372,2.2953,10.9088,3.1466,28.6104,676.2102,6.8113,49.079,68.4719,35.8974,332.766,69.1931,164.7573,33.7662,75.6174,14.904,69.0494,0.0
AUT_C19,93.5284,0.7597,1.2757,5.567,0.3693,18.2673,3.1528,12.5823,8.711,15.035,82.7338,6.5781,17.6442,27.9577,99.9162,9.4433,8.7226,24.4249,10.8903,9.7812,1.1178,11.6228,25.4596,32.11,167.5351,162.5764,229.7239,4.8468,94.9627,33.9976,4.9623,65.9412,2.9477,3.2258,19.5252,10.7121,35.5509,47.5031,43.322,110.0262,75.0326,160.6466,20.9095,41.8421,0.0
AUT_C20,115.0128,0.1571,3.5941,9.9348,0.8105,134.5325,50.3625,81.6831,131.3479,29.6788,1645.5069,133.8059,371.1625,107.086,155.6908,87.9516,181.5907,108.2117,69.4628,66.9633,10.2094,77.0284,14.137,20.332,208.5663,107.8227,27.0966,0.676,7.7371,12.8711,2.2996,24.4133,6.5087,4.8056,30.5485,21.6733,28.9837,121.6101,62.6773,31.8157,11.2499,104.872,6.5473,25.6194,0.0
AUT_C21,12.5592,0.121,1.1145,3.3305,0.2911,41.5637,12.0299,9.6257,7.327,2.9989,27.6241,188.9028,7.9635,6.5249,31.8708,13.4377,14.934,11.1041,24.5675,12.4489,5.9167,24.7797,14.0222,5.5524,47.7859,60.1231,13.3322,0.4756,6.5976,5.3215,0.7856,19.7077,3.3668,3.8777,17.7115,12.8086,7.0032,88.59,21.357,20.1188,5.2227,435.7391,3.5445,4.7211,0.0
AUT_C22,35.7305,0.3491,0.551,4.8791,0.3827,215.2849,24.4912,51.2689,54.9111,1.8259,43.1902,33.2387,162.3889,32.7582,36.0876,69.2452,30.4091,106.9653,172.7395,113.2275,40.4983,82.9771,11.0974,12.9275,470.7858,265.5155,32.6926,0.4493,3.175,17.669,1.0258,15.4279,20.8191,4.7272,23.2008,45.1409,25.0624,119.3776,44.5552,31.1388,13.4311,150.6843,7.6574,19.5245,0.0
AUT_C23,23.3158,0.9277,0.4991,4.2515,0.3856,77.7187,5.7072,53.6082,5.8713,1.5652,28.3516,25.8033,70.3439,445.0558,49.0584,72.813,30.1642,71.843,61.1607,50.8828,26.8268,65.9857,14.2362,15.5457,2132.468,84.0912,31.9461,0.2681,2.9747,12.5084,1.315,40.2033,4.3236,2.8991,35.2759,17.0572,148.3016,60.5699,30.9748,75.8749,5.5897,43.7807,4.0173,8.6441,0.0
AUT_C24,3.0106,0.0,0.1676,8.4256,1.3212,4.4373,0.0,16.2631,14.101,0.2061,11.6195,3.6907,44.5696,50.0156,2560.568,1603.6693,32.55,346.6161,700.3915,345.6296,71.0128,440.2163,5.4699,12.917,625.8958,15.8532,1.1179,0.0,0.0,2.7498,0.0,0.0045,0.7568,0.0,0.0,0.0,2.9528,6.9771,0.0373,5.5897,3.7028,49.2173,0.0858,2.6062,0.0
AUT_C25,75.9311,0.6082,5.0759,4.9943,0.471,388.2433,11.2276,98.6239,15.7224,2.444,26.1801,16.6647,79.196,66.614,311.0646,1481.9829,103.6439,417.625,1159.8671,342.3623,232.3921,346.0583,30.236,18.4499,1068.3379,422.846,49.55,1.0266,11.0514,27.843,1.7273,74.3194,9.3345,9.235,44.6952,43.3541,62.1192,133.247,33.3224,98.6857,40.2929,85.0632,12.4155,19.6363,0.0
AUT_C26,6.8471,0.0857,0.4004,1.119,0.1337,13.9803,1.5503,4.1668,7.0803,0.7835,6.5026,4.168,4.5392,4.0652,8.4129,24.0075,570.9013,261.7739,106.3019,86.8391,24.8704,112.8516,11.8187,4.8571,90.7009,79.0259,12.4001,0.3172,5.241,4.4441,0.6261,6.4255,23.9492,151.3564,91.9636,21.0498,7.6533,102.6443,27.7515,15.5222,17.3154,88.7153,2.5759,10.3932,0.0
AUT_C27,44.8124,0.5848,1.4921,4.0002,0.3846,29.727,2.9133,11.2775,15.761,2.6162,15.3622,7.6648,15.9441,9.9047,39.6028,74.5047,138.7162,640.868,413.5566,274.0466,100.2053,222.3571,61.154,21.4056,542.8405,160.1407,66.8639,1.7174,34.0309,12.433,1.1713,16.5623,7.0783,35.1711,37.0874,15.3336,18.119,87.0992,32.3647,40.8272,8.9175,50.3745,5.69,19.2294,0.0
AUT_C28,61.0212,1.9266,3.4425,7.1715,0.7228,77.1507,8.42,31.8942,28.7648,4.5712,30.4736,23.5815,24.1981,28.249,67.7355,127.9267,61.0301,214.8104,1627.7071,790.4319,87.4113,247.1376,68.4318,24.4,407.3401,303.5295,89.6817,2.302,43.5631,21.2276,10.7664,28.893,11.9921,18.7951,56.5349,37.2845,36.6236,255.2359,56.1452,51.4681,18.8488,83.9335,11.1648,18.8975,0.0
AUT_C29,5.7145,0.1853,0.8649,2.7887,0.2833,16.2697,4.1185,6.4326,4.5781,1.0656,8.2651,4.3022,6.7663,6.955,12.3271,22.9066,14.3489,36.5872,182.9433,1091.6323,28.4132,21.5252,8.6394,8.7669,75.5317,309.7885,61.5045,0.1862,2.1105,17.9978,1.0171,5.8476,2.7069,2.8916,24.2424,13.958,11.0609,89.3222,15.6719,16.955,4.279,16.1334,2.2077,9.3486,0.0
AUT_C30,0.8403,0.0115,0.0,0.1501,0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3698,0.0,7.8307,1.2006,2.4579,2.7181,7.6864,38.9366,733.0848,164.8684,0.1398,0.0,0.0111,70.0634,22.4134,3.5052,76.5686,2.4604,0.018,0.0,0.0,0.7186,0.0,0.0,0.0,0.0358,5.8432,41.5447,0.3513,0.7272,0.6207,2.3821,0.0
AUT_C31T33,193.7407,1.7228,5.9211,16.3099,1.5036,96.7913,32.9734,52.4517,59.2143,8.7433,63.035,44.0467,24.5725,45.9663,59.8589,147.4376,137.457,226.6614,321.6636,85.5246,24.553,756.3701,197.6566,68.8949,237.7963,359.6208,290.7198,7.5627,154.952,42.6729,3.465,30.3506,14.5685,55.1235,67.4935,31.197,43.2024,109.1206,103.1319,111.6741,26.4312,476.3573,19.8376,19.2331,0.0
AUT_D,193.6728,4.8753,56.7169,241.896,11.0045,478.8263,33.5503,236.1683,405.8492,1.1386,495.5005,97.8691,124.587,348.256,775.458,252.0425,67.93,122.0046,163.8601,109.8857,19.3335,136.7686,18362.1259,284.3962,334.9059,626.9182,666.9233,5.1298,12.0764,241.3509,24.7214,288.0533,29.8388,120.9272,86.4254,101.7043,606.0958,308.1464,148.1271,599.3166,631.5064,1127.6886,216.5255,179.1995,0.0
AUT_E,22.5825,0.451,1.2053,3.4298,0.2486,72.7142,8.591,102.2044,311.57,0.8294,21.5549,12.0111,93.2232,70.6736,1102.4078,28.8094,11.4869,7.8467,47.5087,8.4539,7.1271,36.0579,296.6912,2889.1601,102.3343,261.7143,36.4153,0.4712,2.5281,48.11,2.8328,95.2473,8.2552,9.1063,19.6187,157.7965,2590.4582,124.0559,62.8535,136.2226,49.3881,195.9073,30.4383,29.8975,0.0
AUT_F,158.1004,9.0984,20.23,29.2394,2.2888,340.532,34.106,247.385,133.9191,24.5725,136.1682,83.0735,96.8115,258.8237,232.5813,236.6252,119.1899,153.1407,301.9175,134.0074,24.0325,322.4428,274.2182,427.062,15580.271,1383.1995,197.2001,4.3425,18.5913,959.1228,49.0238,696.8917,37.9459,89.6033,144.9643,271.4882,5761.185,453.4201,154.924,731.6655,513.1863,742.2498,222.0938,151.6139,0.0
AUT_G,763.0412,10.6171,17.9423,48.8265,4.1974,2399.9534,494.808,596.981,435.327,164.3846,912.9576,304.3785,357.6244,379.0038,714.1168,714.5913,489.7562,615.5591,1157.4629,752.5299,206.8453,950.7425,1118.785,231.7985,1946.9044,3032.9654,932.4514,17.5441,178.8526,303.2331,34.4884,1083.0827,236.6738,140.4951,618.9748,400.526,307.1309,1254.9562,485.2347,533.1596,262.6111,1353.349,159.8757,220.881,0.0
AUT_H49,73.6338,0.882,4.4623,17.1983,1.3904,288.7779,30.9879,104.0381,87.6312,92.3991,149.2739,29.4425,51.0071,90.7967,174.1114,116.4675,53.4942,77.2612,160.9292,94.9324,25.7122,92.0971,208.6081,40.0331,311.1991,543.8531,265.7497,2.6691,33.3649,40.4549,8.6343,89.6691,37.5764,15.1576,26.4672,40.1248,60.6076,110.3885,74.5185,73.8251,36.0389,109.4219,11.9499,21.9227,0.0
AUT_H50,0.703,0.0068,0.009,0.0278,0.0053,0.3854,0.1598,0.0682,0.0631,0.6382,0.2432,0.0661,0.0878,0.0713,0.1036,0.2354,0.2303,0.2236,0.1887,0.5202,0.047,0.2408,2.5873,0.0682,1.0115,0.8756,0.4854,0.0356,0.4408,0.7194,0.018,0.6735,0.0746,0.0581,0.0632,0.1619,0.2285,0.4606,0.1364,0.2808,0.1904,1.127,0.062,0.1386,0.0
AUT_H51,4.0825,0.0442,0.207,0.3842,0.0335,9.0778,1.4504,2.9092,2.2312,3.797,5.63,1.2724,1.7546,2.1167,6.0073,4.5055,2.8817,4.1113,7.1158,4.8541,1.3303,5.0526,9.6665,0.8997,11.5185,10.0523,5.6247,0.2683,3.6402,3.6699,0.1913,4.0848,0.7608,0.9796,4.7068,1.5328,1.5769,3.9282,4.3883,3.2786,1.2656,5.3768,0.5428,0.894,0.0
