V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_H51,21.4233,6.7867,0.0424,1.1611,0.0371,131.6015,89.5781,9.6204,19.5904,167.8949,150.3137,220.8606,91.4229,70.1768,172.2118,104.2708,578.1591,287.8311,307.2683,166.9532,62.8936,39.46,121.9289,3.258,101.6341,2231.2606,36.988,3.9304,22.4394,106.7807,142.932,140.0224,320.4745,49.9289,241.236,104.6423,22.9124,512.2739,60.6701,176.8123,34.4038,77.2704,38.16,98.4759,0.0
KOR_H52,161.9419,208.881,1.9507,112.8172,0.1811,1093.2729,282.1825,51.7109,210.8122,271.686,906.3394,120.932,403.8524,673.6255,925.7457,426.4211,698.1131,317.154,474.1755,604.6038,112.7865,115.5576,44.1472,187.3762,396.8901,10409.1641,2838.4059,4240.9658,1062.5005,1165.3536,156.3315,137.2376,78.7298,9.8033,22.1111,65.5424,39.6728,522.8231,312.2776,43.911,39.8297,58.0037,32.8917,69.6346,0.0
KOR_H53,39.1726,4.0747,0.1097,1.1098,0.0211,21.0606,14.6495,3.2512,7.4373,16.6696,29.0488,16.178,19.5579,19.4886,42.9485,25.8347,76.5966,21.5196,25.6639,67.107,13.5177,11.9182,9.5225,199.2019,171.1967,4284.9442,14.0131,3.325,0.2837,520.5028,470.7466,107.2718,24.2708,6.7807,26.8439,46.2358,14.5757,252.3178,276.6213,433.0232,63.0941,126.8543,32.8078,50.9333,0.0
KOR_I,265.0478,133.5194,1.9128,75.4597,0.0825,416.5782,407.9089,78.722,325.6397,476.3334,869.4725,148.2706,463.5422,325.2568,890.1735,766.2321,843.6444,461.3207,820.7697,660.26,177.5339,272.8492,416.4561,280.1917,842.9431,12440.8628,329.947,114.5896,347.2275,806.8221,81.1388,1121.064,813.4017,394.9379,468.7521,3133.3709,717.5919,6202.0475,2063.3455,2178.5495,5907.6206,4317.1498,1159.5664,2387.8154,0.0
KOR_J58T60,29.3757,6.8578,0.2219,8.1019,0.0635,58.1579,36.6589,5.8664,49.1535,162.9041,87.5657,12.2043,67.5556,27.5125,134.2006,90.1096,236.9579,69.8094,104.0392,104.1905,29.5531,25.1217,63.5508,51.15,182.9376,2548.0412,59.67,96.1791,61.1688,174.5527,78.3044,314.2208,3787.8859,436.3423,1588.2066,1594.9903,179.2511,8472.6612,354.3205,945.6217,1253.1306,257.7297,853.5071,250.9795,0.0
KOR_J61,88.209,20.0029,0.5931,7.732,0.0905,91.1272,66.7097,27.4918,65.1731,174.2669,140.2046,24.8783,89.5952,124.0809,138.2092,172.9992,212.8933,136.9639,113.971,119.1952,26.3812,55.1074,72.756,69.4947,211.3649,7721.2821,118.0778,55.7793,8.8343,448.0422,90.4788,586.1357,642.8318,2498.8502,654.8955,2745.2928,234.1271,3048.1858,1097.9341,844.475,659.8525,218.1634,157.9416,291.5508,0.0
KOR_J62_63,16.053,2.8929,0.3049,4.2521,0.0454,67.4803,33.1057,5.1985,48.0551,242.5761,101.0419,9.8015,85.0041,24.9977,171.65,96.7026,329.5933,64.3545,141.1298,150.1373,27.7818,20.1884,74.9162,57.0974,132.6058,1190.16,65.2517,22.0942,10.3861,143.9099,116.7295,73.4206,1554.9584,809.3172,2626.325,2734.804,120.1828,4189.2195,182.7522,1034.2334,652.2412,167.9735,203.9241,102.3779,0.0
KOR_K,929.3825,285.8834,5.7411,133.0535,0.6446,761.891,573.4417,130.3249,451.3327,510.7904,1028.519,253.3774,938.0435,483.6839,1558.5046,1190.2304,1760.0779,880.026,1681.5436,1392.1445,561.2359,243.7377,1380.8228,438.963,4349.7639,9413.5138,752.6004,403.1678,199.0517,797.7804,96.7532,2020.599,643.3773,516.6102,326.9009,20431.2636,19731.8162,3920.3606,649.9825,4387.6956,1428.8033,3123.8885,463.8457,1086.9141,0.0
KOR_L,24.3087,6.1395,0.3115,4.3116,0.0728,155.726,159.908,20.1538,72.9663,147.3741,144.3445,35.6971,82.5116,51.9344,242.6127,157.9814,271.6155,151.4046,110.0533,163.3856,36.3916,85.7722,172.9131,100.9233,447.4749,9683.7086,135.473,29.7691,20.8085,455.4281,46.547,4719.5112,306.9077,168.3333,329.712,3184.3812,2322.8991,3016.9445,653.3151,909.4467,1190.777,1915.0024,343.8589,636.7351,0.0
KOR_M,690.3328,94.3091,30.1406,115.3683,1.7368,3281.9425,890.6047,144.6434,757.0823,5418.9523,7219.7276,1464.4073,1856.3665,1296.6972,4589.5643,1997.8264,4209.9399,2776.5885,2601.7674,4407.8985,1102.1634,721.1296,2273.8732,593.4336,14288.0107,16888.689,519.515,238.5166,53.6275,1766.2676,205.0927,2217.2955,3431.7249,2049.6316,1708.6701,4676.3116,746.31,10728.8052,2612.3138,1861.6762,2164.5176,1080.3312,684.0178,487.1101,0.0
KOR_N,70.4906,74.2212,0.654,111.3667,1.1462,343.9591,273.1491,41.4382,247.9158,692.8184,504.9208,77.8003,391.8784,223.1906,1205.9737,601.949,1007.9638,426.9576,416.6559,936.7202,1060.023,129.2487,945.0182,263.9726,5442.323,8959.755,548.6087,2206.8813,2326.048,2173.2419,422.8644,942.4392,1256.8766,1249.2361,872.749,5764.4958,4408.7037,5507.332,6030.7436,3227.6371,1489.8695,1178.3686,1395.7393,304.7589,0.0
KOR_O,15.5313,69.5729,0.0783,0.8396,0.0181,81.5341,24.2808,2.2033,23.6395,39.2178,37.7323,47.9851,18.0568,10.3989,35.79,18.8826,55.5385,29.6322,21.6497,13.449,8.6009,50.3023,69.7535,18.7395,31.3768,212.9435,17.2855,20.6715,403.7527,10.609,2.021,62.4674,30.0045,27.2329,14.1106,222.4494,28.3562,65.1884,53.2513,1336.5575,21.4779,37.5238,13.8464,16.9156,0.0
KOR_P,14.3111,4.6578,0.1413,3.6651,0.0118,46.4033,30.6832,6.26,24.2106,53.2141,80.5125,10.2987,51.7171,28.0648,98.0342,85.0192,82.4144,59.7572,80.4053,55.4684,19.2864,27.691,43.9377,19.2776,79.3633,1150.3516,21.0088,7.3436,13.4625,57.8376,6.2256,131.0889,57.7768,43.4777,33.7,339.6814,80.6803,459.468,120.3069,93.7945,287.6116,202.8276,56.204,135.5671,0.0
KOR_Q,65.8675,39.671,0.3708,10.4574,0.0106,84.7884,46.5311,17.7223,40.1363,65.1317,93.3861,28.4012,85.336,46.7654,130.6868,140.9234,120.3995,87.5114,153.7998,155.7574,33.5806,37.3923,74.9929,56.9177,347.4537,1370.2977,93.1346,11.6572,8.8538,52.206,16.2984,418.8955,95.2942,39.1314,59.3515,415.2648,90.0761,574.6354,191.9035,115.1093,291.1897,675.7125,107.7305,110.0618,0.0
KOR_R,28.7626,18.1365,0.2957,15.3732,0.0025,53.7757,42.7223,14.2249,34.9069,69.301,79.1627,13.3963,66.9563,34.541,127.0681,108.0461,64.6083,54.4024,88.0784,52.0356,16.265,25.5735,43.6481,33.6989,171.4326,362.4764,37.0226,21.6816,26.4387,116.3171,14.9611,125.9942,784.8251,41.1954,76.1313,321.2511,81.4481,855.4802,162.496,61.6396,429.9401,135.0934,370.9037,161.8531,0.0
KOR_S,37.842,14.7547,0.2962,11.2149,0.079,123.9762,51.6361,16.2327,42.3009,114.0442,109.6958,14.9602,85.7942,90.5282,194.9378,210.3969,195.8404,130.1565,221.6824,97.5587,31.9086,101.9668,21.8758,104.6114,353.4692,1806.5417,873.6274,16.6018,7.0719,281.7465,469.949,232.1423,109.269,184.3446,68.4574,381.5557,248.1723,779.6001,503.4267,254.1716,476.4897,196.1787,176.0427,267.783,0.0
KOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
