V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,2316.4286,1.8465,0.0594,0.4481,0.0018,4263.3188,20.0225,912.3496,435.0781,0.0231,5.0725,1.8009,16.1142,0.0853,0.0518,0.1446,0.0188,0.0428,4.9908,0,0.0204,4.3987,58.8714,0.0281,12.541,9.3695,0.1717,4.1084,0.6359,10.8029,0.0112,182.6174,1.0444,0.8268,2.177,2.3302,0.8661,1.6067,6.6981,40.1084,8.4939,20.2799,0.2407,15.3503,0
CHL_A03,0.0465,399.085,0.0001,0.0296,0.0,3567.2117,0.001,0.0064,0.0139,0.0018,0.3968,12.4372,0.0017,0.0022,0.0016,0.0017,0.0008,0.0016,0.0027,0,0.0013,0.1056,0.0381,0.0041,0.013,0.3052,0.0241,2.0558,0.0468,0.0127,0.0016,10.0553,0.0122,0.1356,0.3511,0.2077,0.0041,0.0746,0.0956,0.3175,0.1267,1.0725,0.0073,0.21,0
CHL_B05_06,0.0744,0.0133,0.3168,1.2973,0.1629,1.1608,0.0465,0.0305,0.3782,64.5422,2.8629,0.653,0.0651,0.6456,0.8044,0.0724,0.0059,0.0286,0.0414,0,0.0063,0.0248,61.5547,0.0259,1.2888,0.4057,0.6951,0.0027,0.0201,0.1129,0.0054,0.1332,0.0248,0.1065,0.154,0.1046,0.0468,0.8989,0.2307,0.0799,0.1027,0.0398,0.0083,0.0696,0
CHL_B07_08,105.4354,7.5333,8.4579,7167.5932,5.7537,102.8347,10.9542,42.3148,63.9616,29.9496,1846.6503,17.9557,94.1836,465.2056,981.6474,39.5605,2.1532,10.4646,37.2401,0,4.3361,84.5781,44.4611,9.1207,279.6012,65.557,8.4492,1.2483,2.0047,5.9873,0.2125,6.5622,3.123,6.2052,10.4957,27.7189,4.3612,25.2928,39.3234,23.347,17.5184,17.1297,13.5122,10.2339,0
CHL_B09,1.2933,0.0318,0.0483,1.128,0.0352,0.7744,0.1242,0.3711,0.4507,0.1298,20.6529,0.1588,0.4609,26.2305,0.4912,0.3363,0.0067,0.0358,0.4447,0,0.0371,0.2104,0.6096,0.0299,9.5844,0.0977,0.0115,0.0011,0.0028,0.0124,0.0001,0.0179,0.0078,0.0048,0.0687,0.0812,0.0307,0.0565,0.0656,0.4908,0.0402,0.0603,0.5987,0.0242,0
CHL_C10T12,881.7129,1035.2546,1.6112,43.4166,0.1443,3387.0462,15.1197,13.1653,27.0864,5.9256,55.8512,14.7259,18.0316,7.4344,3.9109,7.9024,0.5624,2.6436,6.0608,0,2.8901,10.4258,23.5938,3.0467,70.2268,347.2809,19.2382,13.5008,7.4424,7.064,0.3038,1052.1241,5.7087,13.1326,11.7653,24.1453,10.7381,24.3692,38.3285,88.6121,51.4522,77.4391,8.7644,28.4142,0
CHL_C13T15,9.7701,3.6733,0.0342,6.8479,0.0295,24.0881,150.6252,2.688,12.2929,0.381,5.6471,3.9066,11.5927,3.2857,1.6209,3.6447,0.3847,1.3767,2.348,0,1.5245,12.9835,3.5807,0.9092,57.0916,15.1989,4.4751,0.2301,1.202,1.2924,0.1621,6.6121,2.7647,2.3571,1.4072,11.9699,0.683,16.3708,10.6416,9.9469,6.5082,5.4328,1.3521,6.1195,0
CHL_C16,50.4611,2.8404,0.1008,19.1147,0.0158,124.0961,6.7892,847.6232,148.3202,1.0071,6.3009,0.3555,4.8523,13.7644,2.1903,17.8937,0.4774,2.4157,6.2507,0,2.7538,156.0387,21.6981,1.6309,1238.8885,51.8668,1.8673,1.1426,1.017,4.2233,0.2327,2.1673,0.5428,3.0857,3.4115,8.1445,1.733,3.9766,13.7927,6.6183,1.8089,2.3169,1.6931,8.4061,0
CHL_C17_18,26.7229,3.6953,0.3684,68.8151,0.1142,444.5589,6.3047,42.0457,905.996,5.0292,39.7834,26.2931,36.5234,43.7245,5.4901,8.9299,1.0239,3.529,8.411,0,0.6655,13.7018,99.2954,6.3385,26.8436,601.156,13.5619,0.1791,1.2028,18.2296,0.9777,14.3235,43.1475,22.2531,8.3385,25.5472,8.2306,114.7875,26.2722,36.8494,40.4871,29.6145,5.6048,20.2474,0
CHL_C19,101.4609,25.2233,0.8434,184.9437,0.7885,86.5741,4.4006,12.0634,38.0789,16.9745,26.793,1.0865,4.7851,24.5645,3.2826,10.0138,0.2402,1.4089,6.7204,0,2.0284,9.9949,56.7399,11.1679,117.6838,186.762,873.0084,36.4113,156.202,15.1896,1.5614,22.7516,0.8184,1.0834,1.1123,2.2416,2.6566,11.9623,50.2412,32.8281,13.4289,21.926,2.2864,15.6395,0
