V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_C22,19905.1566,438.3888,1882.0668,3124.6908,1524.5425,15799.4061,13964.0407,1546.4748,10033.1279,1964.9763,28625.9433,2224.6872,118011.1233,10136.1089,1493.0739,8867.345,32682.8437,39953.6222,29523.748,34805.5118,8932.6182,17846.5583,133.9645,5553.6715,52003.0471,14307.1613,11189.2251,49.3855,89.6512,2881.7142,1586.3411,1185.8075,152.4119,605.0659,661.4476,65.2024,189.4306,5202.0959,507.2664,281.2937,80.0352,489.9355,50.6123,794.5601,0
CHN_C23,784.6427,463.6698,1799.9079,4572.0162,1163.2187,6118.8283,686.516,686.2492,734.0944,3426.5873,6279.8505,3354.1518,2598.0717,196888.3125,25332.3411,10626.2307,26784.4428,26688.4788,9026.2815,13423.1917,1092.4993,2739.2093,2950.8055,934.5572,623668.0234,783.3161,324.9028,45.946,65.3178,151.04,9.0311,362.1504,1.9477,105.9996,0.6088,44.9323,15.3035,2317.0965,73.069,14.4169,1468.3515,271.6945,0.906,20.2091,0
CHN_C24,460.5633,168.6034,22583.2426,3379.5632,2520.196,479.4401,731.2644,368.0244,12784.0236,285.8544,12472.6922,189.8539,5661.5079,30248.9522,514813.7389,248609.4394,48660.8768,182393.3923,171699.2134,76279.8757,24625.2094,22007.3204,699.8059,1681.8231,425798.388,821.179,780.6795,195.9886,118.9024,81.4574,4.5073,17.6656,19.7589,7.3923,3.9971,29.1214,254.414,808.5834,25.3471,0.2466,89.2972,1.1051,0.4393,27.6127,0
CHN_C25,1706.0372,199.9936,14752.9258,10855.6058,1013.814,3967.6326,2533.3699,2424.5494,1567.8432,530.1053,4610.1898,1347.0043,7354.7438,21634.0508,4852.6385,125672.3903,24785.0347,35721.2901,81553.8472,25506.5202,14198.0876,10839.7151,3106.5736,3432.8997,163296.6011,10705.8704,581.242,434.3939,53.5536,1632.3388,111.1504,322.6502,26.419,235.6131,207.7458,55.1036,478.3182,32163.5617,1553.0772,1012.6823,1276.2124,71.1012,32.759,592.4196,0
CHN_C26,434.6261,102.1279,4337.7235,290.1973,492.7594,620.5176,313.0443,46.3896,530.392,969.207,1108.7053,410.5603,1335.4194,1177.1598,1307.9111,5603.5111,590841.0833,52078.6656,47781.7954,15598.1565,9880.5045,4452.9166,17847.0399,2414.6736,12643.351,35890.3797,2296.1484,451.2135,1000.0183,1826.9663,144.7506,806.6206,892.7561,9370.2209,19360.2505,561.9134,131.7457,56806.9702,903.2771,3474.2416,5258.131,10124.2904,191.2661,1766.1563,0
CHN_C27,367.8816,77.9762,2405.5558,2446.3261,178.2433,686.1031,521.8769,124.6587,295.2584,202.398,1096.8559,138.3712,1650.0366,1823.1954,1242.7655,7785.8192,72470.8251,145431.801,62100.1796,20371.5545,23739.9947,4072.8189,55948.5039,867.1856,114041.4214,33095.3626,2300.9029,77.3092,1690.4107,1506.7486,272.4839,448.2841,360.5112,5291.8942,2932.3132,66.9308,22.791,23502.6988,651.5987,1808.9221,108.7743,361.4316,22.9478,547.665,0
CHN_C28,15825.6841,5390.0214,35361.9529,20316.6435,3247.2408,2056.72,3061.7254,1383.3885,3050.0292,3651.0904,10419.9503,883.7848,3331.9466,18533.6814,25079.2523,33118.3486,39871.7843,31810.3742,227653.3869,29362.6671,12907.4092,4353.0942,1426.1147,1583.8456,47632.6024,1158.5857,2198.2588,3796.6797,2006.2843,4708.1518,302.8582,382.8688,18.4811,413.2721,66.9865,1001.0958,124.4687,1097.2544,178.3987,155.1625,490.1891,135.1212,14.0047,64.4089,0
CHN_C29,2301.8617,643.768,505.3532,2533.777,249.6422,186.5932,241.3171,29.6316,197.498,12.3111,481.9849,38.3563,228.858,2942.7147,369.2377,2777.2228,839.9084,1645.4686,22379.9065,281043.5476,1316.5281,414.646,90.0819,1966.0099,1337.6369,30732.9696,83869.1421,169.4378,97.974,6246.2109,2359.0758,442.1056,45.2595,114.9731,77.4436,175.8403,10.688,21306.2918,2843.1478,2281.9006,131.1214,35.372,17.3429,1007.2608,0
CHN_C30,1278.2431,1709.7534,241.2686,132.9063,6.3597,54.9317,57.8481,57.5318,10.5763,38.086,160.8385,36.4795,27.5737,62.2833,48.5979,67.6315,285.2245,408.007,4857.1117,8886.4958,31807.5313,2526.5009,20.7245,244.1344,1399.3175,13449.6036,8415.9491,12317.8706,2844.5809,519.5821,2667.93,3.6989,0.9881,75.9264,3.9315,16.5122,11.8974,532.0492,163.4865,381.7966,18.0595,124.3771,3.6799,470.7777,0
CHN_C31T33,2485.0676,555.2129,2746.3942,857.9612,242.7089,1653.8771,1819.9058,843.3025,1286.5707,942.501,1490.127,931.3967,544.4008,2410.9488,1939.5482,2376.3895,3766.0793,1865.2087,3543.6958,8736.1841,1938.4564,15046.0854,5628.1804,987.9765,15823.7147,6726.717,1333.894,205.9551,739.4544,355.8219,625.0464,551.8616,506.4905,793.2888,2375.2424,6234.1074,1322.7352,20281.0238,1196.642,11309.9074,5864.0629,559.9192,338.1922,1418.8697,0
