V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1711.3961,3.7377,0.1156,0.9624,0.1184,2957.5303,6.644,92.4219,9.6616,8.9907,140.278,15.4729,58.1103,9.0876,4.4718,7.46,5.7629,5.7272,7.6713,22.5076,0.869,12.1676,76.277,9.6197,64.3246,516.8662,13.4806,0.9676,5.025,11.2325,1.1976,111.3531,6.6358,2.7806,2.8847,3.4184,24.6227,25.5382,39.7013,13.7278,5.0607,24.2398,6.5899,12.9534,0.0
HUN_A03,1.3942,3.9658,0.0001,0.0007,0.0002,2.6379,0.0078,0.0018,0.007,0.0149,0.068,0.0332,0.0133,0.0037,0.0044,0.004,0.0086,0.0042,0.009,0.04,0.0005,0.006,0.0131,0.0078,0.1834,0.2943,0.0109,0.0191,0.0021,0.0097,0.0015,6.7731,0.0098,0.0074,0.0127,0.005,0.0832,0.0775,0.0488,0.0328,0.0074,0.0821,0.0643,0.0131,0.0
HUN_B05_06,1.659,0.0025,0.277,0.084,0.0247,1.7944,0.1516,0.0768,0.3246,33.5727,2.2889,0.5467,0.4546,1.6036,1.1494,0.3465,0.1953,0.3362,0.3696,0.5749,0.1092,0.2205,8.2778,0.2468,2.5372,2.0927,0.3228,0.012,0.0069,0.2737,0.0527,0.21,0.0324,0.0448,0.0655,0.1328,0.5511,0.4894,0.1921,0.8576,0.5814,0.5951,0.0819,0.1256,0.0
HUN_B07_08,6.9201,0.0224,0.3493,1.9298,0.7805,3.4307,0.319,0.3658,0.0965,0.8789,17.0147,1.0329,1.954,71.3411,5.8053,1.69,0.1468,8.8383,1.2257,2.079,0.0795,0.1712,2.0695,6.4565,153.651,11.6842,1.7203,0.2281,0.0201,0.6889,0.0083,0.2563,0.0482,0.0517,0.0445,0.0347,9.894,4.259,6.0759,1.8812,3.6079,0.7724,0.1134,0.466,0.0
HUN_B09,0.6975,0.0011,6.7496,0.0985,0.5703,0.7482,0.0598,0.2495,0.1492,34.4667,0.9036,0.3046,0.8774,0.6859,2.3498,0.2088,0.1821,0.2419,0.6134,2.0983,0.0956,2.0263,3.513,1.477,9.15,1.1507,0.2033,0.0124,0.0536,0.1236,0.0224,0.098,0.0764,0.0301,0.0953,0.0679,0.2402,0.7523,0.2732,0.3487,0.2281,0.5258,0.122,0.0855,0.0
HUN_C10T12,559.5305,1.4562,0.3143,0.6469,0.2737,1034.7491,6.1934,2.6132,13.1364,30.3529,79.6682,23.6402,16.2135,5.8057,6.6604,7.7759,6.6983,10.8614,7.9713,28.7556,1.1821,7.603,11.3167,6.8725,24.2589,173.7607,7.1095,2.2198,5.3867,4.378,0.7412,704.067,4.1511,1.1805,3.3511,3.495,18.3469,44.8628,35.9543,19.3752,4.6389,76.2798,7.9647,7.216,0.0
HUN_C13T15,2.5825,0.0214,0.1517,0.1513,0.0256,5.581,64.6692,0.3621,3.2033,0.5082,1.5312,1.7597,20.8242,2.6707,1.1008,1.0492,3.3468,2.8098,7.0715,45.6952,0.2688,12.7219,0.9688,2.4883,20.7665,17.8344,2.4755,0.1284,0.3773,1.6707,0.486,2.8055,0.8307,0.2566,0.8476,0.5587,2.0195,4.113,3.0568,2.6873,1.4156,38.4848,30.1922,9.367,0.0
HUN_C16,19.1092,0.0225,0.0412,0.1757,0.0493,13.8996,1.9359,106.6557,2.7955,0.7687,10.207,1.1761,10.5257,15.5629,3.8823,15.3852,3.4884,13.2011,10.5795,26.0213,0.6695,66.3926,22.8992,1.9639,200.69,46.2807,4.8681,0.3697,0.9945,1.9509,0.2044,1.4096,0.2115,0.5471,0.3766,0.4677,18.6754,14.8367,5.7017,2.1654,0.689,3.3418,1.42,4.7538,0.0
HUN_C17_18,12.5298,0.034,0.1149,0.5337,0.0278,131.5223,3.2649,7.0013,372.5553,1.0879,30.7021,33.3379,33.4384,10.547,2.9072,8.3695,23.2968,26.7864,9.4414,33.4572,1.393,13.8701,1.3893,1.7044,8.6937,230.3403,6.1622,0.5794,0.5891,4.5225,5.3069,5.9899,148.9706,1.3546,9.4212,32.3191,50.618,35.1524,27.9064,54.7003,15.5572,5.6438,12.6538,7.6583,0.0
HUN_C19,167.3288,0.9129,0.7148,7.3082,1.252,36.9918,2.7904,4.3636,6.2955,188.9962,199.2361,13.6183,26.6951,30.7959,68.22,10.2348,8.4908,13.3201,7.7673,49.9313,0.9402,10.263,21.8143,23.5002,109.1202,143.6414,433.5939,33.688,237.5289,48.513,4.7089,5.6895,1.6032,2.8311,5.7563,6.3881,12.333,35.6395,30.3699,17.8348,5.8954,15.8693,6.1571,8.5271,0.0
HUN_C20,204.1202,0.0536,0.097,4.2486,1.8053,99.0986,14.9146,9.8066,29.2012,132.9937,296.6272,100.0122,266.8739,51.3131,19.7372,15.2502,28.9457,119.3197,19.8263,60.6248,1.8249,18.1503,23.2533,10.9596,75.4218,70.9985,13.7679,1.1951,5.2203,4.71,1.5089,8.8164,2.2,0.7606,2.0662,2.3776,20.0391,26.8954,19.1953,7.7921,7.6981,74.8552,8.9171,20.5216,0.0
HUN_C21,24.1507,0.0637,0.1101,0.5757,0.3288,36.0933,1.7401,1.5579,3.1784,10.8735,17.9869,187.8146,18.448,5.8349,6.0968,4.8694,12.3726,9.8136,11.867,41.3971,0.9853,9.8089,3.3901,1.6496,19.9861,33.626,13.1094,1.8936,1.0438,2.0777,0.5607,5.8897,9.2742,1.4435,11.3833,2.5945,4.3312,29.1969,7.706,10.6567,3.2191,278.156,3.8009,4.2909,0.0
HUN_C22,26.0659,0.0844,0.2234,0.8902,0.3962,88.4247,30.8883,12.8115,40.7838,4.7804,35.3044,33.1355,281.9399,16.8652,7.4106,22.0839,93.2936,94.3929,43.667,384.4347,5.9007,55.6193,6.6186,15.6642,198.8943,102.132,40.969,0.4731,1.3143,7.923,1.0897,6.9709,2.3785,0.8229,1.9705,9.0681,27.7217,39.4233,11.8279,12.753,2.7089,60.122,3.5524,3.0995,0.0
HUN_C23,13.9663,0.0651,0.115,8.3697,1.197,39.8481,3.8646,8.1471,1.489,2.9567,12.1681,14.3809,15.6307,203.1029,26.0253,11.3912,20.6688,52.1508,22.6495,167.1389,1.7079,8.4527,6.0501,6.7544,837.1844,49.3296,4.5721,1.4374,0.621,10.6681,0.2005,6.2744,0.7703,1.2742,1.4463,1.2901,52.5622,27.1741,7.3312,1.8375,1.1964,7.247,0.9457,1.3463,0.0
HUN_C24,7.7678,0.0172,0.2745,0.356,1.0831,11.7077,1.041,16.4685,7.4416,4.5034,11.8627,7.6439,35.6765,37.285,480.5143,498.5735,28.9665,270.1864,139.4738,224.7586,21.7063,35.0645,4.5436,12.3788,193.3143,63.2516,8.87,0.2941,0.0276,9.7811,0.0017,0.2187,0.0242,0.0429,0.5989,0.044,12.6204,40.6694,29.1871,0.0052,0.0578,0.608,0.119,2.6336,0.0
HUN_C25,13.5855,0.0527,0.3999,1.5386,0.6792,73.7835,7.3518,11.9363,7.8667,7.1765,21.6723,11.92,77.9254,15.06,34.6115,246.7814,59.9369,98.0893,184.5962,628.4449,11.0301,66.4395,15.8248,9.6908,387.6669,65.0968,14.678,1.7332,12.5397,16.181,0.8422,3.2918,1.5467,2.7689,5.4177,4.0237,38.5118,31.9079,13.63,14.6535,7.1321,10.7494,5.8995,4.1206,0.0
HUN_C26,7.3869,0.0551,0.3301,0.7982,0.612,15.3148,1.6517,1.4319,4.0469,5.8862,8.9534,19.0199,19.4288,4.186,5.2838,13.6956,862.2571,76.2133,47.9764,334.9675,2.9701,35.2132,13.4255,4.9143,59.7156,71.7503,9.1875,1.4627,7.431,7.4529,2.4941,4.0127,4.053,19.2755,23.1911,13.6114,17.6854,40.2391,13.0097,19.2308,6.1226,20.0305,4.8145,9.7279,0.0
HUN_C27,5.579,0.0289,0.1231,0.5114,0.2302,9.7027,1.8304,1.3639,3.1689,3.5246,12.7252,5.4132,12.5044,3.6409,4.361,16.826,148.5634,102.6387,68.1399,214.7017,4.8269,10.3212,10.8466,3.3269,84.3506,24.5925,6.1423,0.9117,4.81,3.9529,0.3384,2.1055,0.9486,2.0109,2.8996,1.7203,12.4978,13.5451,4.5462,6.4076,1.2348,4.1174,1.268,1.8914,0.0
HUN_C28,18.0756,0.0418,0.5207,3.3166,0.6094,21.1831,2.253,1.7664,7.4662,4.4352,9.2415,14.4492,15.5883,8.3283,8.5177,22.3065,52.0731,43.4389,122.434,554.8007,4.0846,17.5844,12.3808,6.4654,70.264,51.0843,8.7432,1.5178,4.8848,6.4006,0.4633,2.8827,2.2314,1.8651,6.4694,4.3057,14.829,28.0156,10.5689,6.428,2.101,3.9543,2.2818,4.2057,0.0
HUN_C29,16.1822,0.0807,0.3874,3.5913,0.81,24.1325,8.9404,2.9615,6.0774,3.3918,10.7957,24.2232,34.2619,33.8672,12.12,36.7513,190.7884,74.3519,106.1676,1865.597,5.7717,22.1675,12.432,10.1265,208.0212,123.37,29.9664,2.1721,2.9753,14.1156,1.7948,3.6011,3.2976,4.1519,11.8,5.2568,26.6601,50.9966,16.8811,13.2473,2.6525,7.0675,3.9396,6.2593,0.0
HUN_C30,0.4617,0.0034,0.0068,0.0078,0.0,0.3464,0.1556,0.0388,0.0129,0.0312,0.0024,0.0124,0.9283,0.0285,0.048,2.5146,0.1383,0.4407,18.4221,5.5909,74.2737,31.2915,0.0353,0.0818,3.5563,6.5233,24.6192,0.0643,5.6867,4.3462,0.0511,0.0404,0.014,0.0,0.1466,0.0,0.3306,3.9251,3.8612,3.6924,0.0993,0.2582,0.3487,0.1906,0.0
HUN_C31T33,4.9474,0.2969,0.5912,2.5277,0.6044,24.1001,6.9727,5.6189,9.1456,31.3101,23.3211,21.8759,19.6452,7.9844,12.5772,13.0223,47.3735,10.1269,64.6082,105.9518,1.98,59.5183,71.2822,11.1403,75.3067,59.918,47.0977,13.7077,130.9969,61.7667,2.3212,2.8058,3.6283,16.2077,16.3287,21.9076,21.3717,22.6101,11.5502,19.629,13.721,146.1309,13.0716,5.8862,0.0
HUN_D,107.2575,0.8186,1.0997,15.427,0.9567,147.9436,8.6846,21.384,42.9973,93.1902,189.6107,50.1759,88.9882,99.8441,104.2769,48.5027,43.3066,29.7549,71.9761,118.1097,4.8202,22.2505,214.4252,67.249,83.3069,356.2055,96.0041,0.7595,1.5352,33.4698,6.7488,88.2956,8.5286,19.3029,19.0344,18.8855,122.3972,65.0358,28.6057,82.8009,64.7318,62.9768,59.2486,23.4324,0.0
HUN_E,30.3308,0.1111,1.0526,2.2827,9.6701,53.3722,3.9791,3.9383,84.27,15.069,22.247,29.63,19.4697,15.4827,166.0903,9.9542,9.2273,5.5546,11.3095,36.494,1.5832,5.3845,26.8229,212.6217,60.348,122.7003,10.32,1.6015,1.6047,10.5732,1.65,23.4498,2.2051,1.683,2.9527,9.1413,43.6807,21.8642,19.8792,239.1089,23.8352,37.8487,27.0599,11.3732,0.0
HUN_F,13.7864,0.5452,0.4494,4.635,0.8658,36.3386,2.04,2.198,6.4922,27.3639,18.9453,11.7964,12.5562,23.5445,9.7266,32.9475,17.5303,28.502,25.8547,68.9957,2.0905,20.3361,110.9405,69.3448,2311.9595,155.1552,19.7301,2.7412,16.3331,124.7874,2.4276,42.4987,8.5826,15.4938,9.6218,14.2924,814.4913,330.9232,26.7593,258.6334,64.268,41.7083,31.9035,19.0549,0.0
HUN_G,713.5424,2.8683,2.1212,16.8458,3.8736,1174.6813,70.8082,80.6767,141.9858,293.841,280.4559,166.1579,228.8638,135.2588,152.7748,172.9906,178.9937,173.7063,168.4163,699.0921,32.3624,119.3563,153.1195,77.4132,612.9644,914.252,440.5246,25.0447,114.0236,119.9575,44.0278,376.6999,54.8352,32.5313,55.9433,79.6342,149.6777,209.9594,211.9414,136.852,57.324,264.8936,86.408,70.2966,0.0
HUN_H49,107.8654,0.5964,1.3756,27.3974,2.8357,211.8318,10.3531,14.6588,29.5508,71.1021,83.2756,19.3747,64.5272,69.7438,44.7741,52.0862,74.4367,52.7211,60.335,229.3413,7.2099,26.6009,99.9107,27.2057,197.5496,719.4879,359.4087,4.7772,18.9258,69.9171,13.0426,26.9783,9.0917,8.1546,10.4522,12.1101,24.6195,41.7491,55.8501,28.1379,61.2341,68.0046,15.68,16.2303,0.0
