V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1690.1912,2.2471,1.5789,0.5129,0.395,3410.8781,64.7666,184.6318,16.2904,2.8317,70.463,5.1397,12.5634,2.7212,2.7693,1.2768,1.238,1.0885,2.7085,1.5915,0.5887,7.5833,7.7092,1.2008,17.6128,21.4638,3.4348,3.924,3.4511,1.4503,0.2149,104.7752,1.7275,2.4094,1.5453,2.1108,1.3591,3.5238,3.3653,9.7687,3.5444,9.0609,3.5494,5.7042,0
BLR_A03,0.5891,1.4444,0.02,0.0055,0.0051,34.8347,0.0732,0.0816,0.0315,0.0346,0.1728,0.0255,0.0253,0.0253,0.0314,0.0137,0.017,0.0143,0.0357,0.0167,0.0069,0.0342,0.0298,0.0075,0.0888,0.1723,0.0375,0.0665,0.0469,0.011,0.0019,3.1916,0.0237,0.0281,0.0217,0.0156,0.0077,0.0312,0.016,0.1218,0.0339,0.0947,0.0323,0.051,0
BLR_B05_06,1.045,0.02,2.5978,0.3401,0.3162,2.437,0.3321,0.3468,0.6261,182.9764,9.842,0.1996,0.4258,2.2605,4.1585,0.2664,0.0994,0.1258,0.3207,0.1173,0.1096,0.1939,45.2068,0.1299,1.7292,0.6521,0.6613,0.4471,0.5621,0.1317,0.0248,0.1847,0.0626,0.0994,0.0511,0.0598,0.0821,0.18,0.0771,0.3799,0.1617,0.191,0.0855,0.1623,0
BLR_B07_08,2.7708,0.0156,0.3552,2.535,0.3444,1.7182,0.2027,0.1721,0.7971,0.8229,13.4226,0.2572,0.2699,45.6938,18.205,0.4044,0.108,0.2916,0.2442,0.1286,0.0471,0.3875,1.6431,0.2981,35.3917,0.3106,0.2006,0.0757,0.0428,0.0655,0.0049,0.09,0.0227,0.0364,0.0172,0.018,0.1396,0.0842,0.0589,0.32,0.0416,0.0455,0.0395,0.0841,0
BLR_B09,1.3139,0.1538,23.4338,3.8378,4.873,0.4657,0.0343,0.0685,0.5298,29.7756,4.6534,0.056,0.1439,3.9042,4.1842,0.4362,0.0091,0.0231,0.0755,0.0119,0.0114,0.0349,2.5338,0.1429,6.8499,0.0773,0.637,0.2025,0.3677,0.1856,0.0032,0.0287,0.0165,0.0132,0.0087,0.0179,0.0873,0.1973,0.0885,0.1134,0.0217,0.0244,0.0215,0.0269,0
BLR_C10T12,702.2522,5.4456,0.3468,0.2899,0.122,1558.2973,19.1275,3.3982,7.9647,1.7071,97.5608,9.5257,3.2295,2.5835,3.0777,1.2573,1.371,1.1668,2.9759,1.0877,0.5019,3.2118,3.3046,1.2286,5.9231,22.4597,2.8294,8.3386,5.3469,1.1483,0.161,429.7617,2.7263,2.2072,1.7364,2.4095,0.9809,3.467,2.6992,18.8172,11.9057,24.2891,7.8496,11.7786,0
BLR_C13T15,17.0665,0.6517,1.0498,0.3632,0.3554,19.4091,857.6384,7.8164,12.0645,1.2752,12.4493,3.178,13.9093,5.705,4.1589,3.2239,2.9452,2.6559,6.7634,12.1787,2.8931,40.5719,3.4196,2.4983,17.3932,23.1574,3.9185,3.5929,5.7042,1.4955,0.6027,8.3097,2.0285,1.957,1.326,1.5752,0.5881,6.4152,5.2957,23.8043,4.1587,20.3216,7.5416,22.3687,0
BLR_C16,4.5596,0.0376,0.1047,0.077,0.0325,5.9261,1.8175,91.7322,5.9957,0.3236,2.8959,0.3595,1.5788,2.1706,1.4574,1.3122,0.5519,0.9173,1.6614,1.336,0.6349,19.4573,1.6868,0.2892,30.3197,2.8489,0.6172,0.5297,0.4718,0.3056,0.0377,0.5941,0.3898,0.3603,0.2474,0.264,0.5591,0.5993,0.3701,0.8085,0.3629,0.8222,0.3519,1.2486,0
BLR_C17_18,23.9903,0.358,0.4036,0.446,0.161,194.6303,22.0762,26.7983,483.589,1.2833,61.7527,14.5324,25.1618,23.0203,5.3298,5.483,8.7134,9.7603,9.8651,4.939,1.821,23.1179,5.7304,2.2584,10.8854,51.9685,4.9868,3.2161,2.7409,3.9293,2.1612,9.1685,96.9289,9.3549,13.9204,19.3372,2.3071,31.4274,12.5954,38.8921,21.5611,15.0381,9.5581,16.8143,0
BLR_C19,316.3049,8.9872,9.8147,10.4058,4.5403,93.5904,22.1561,35.4733,18.7965,331.3317,302.4782,8.392,17.4474,72.4448,78.1707,9.8705,6.2033,12.2893,12.273,10.0146,3.8023,22.7516,90.4026,14.5135,101.904,73.0905,323.686,275.4374,397.4815,21.2018,4.8823,13.5619,4.891,8.0966,5.1954,9.9878,3.2462,16.6731,13.4409,47.601,9.1111,18.667,7.2872,23.8863,0
BLR_C20,128.7539,0.2864,1.5933,1.0749,0.4727,34.5029,31.5859,22.0062,24.2805,15.6701,323.6694,16.1277,95.7969,17.3554,11.8842,5.8954,5.0242,10.1404,8.071,6.7487,2.4086,13.2424,6.2183,2.8719,22.1913,10.4432,4.1242,3.5675,4.1495,1.0282,0.1504,2.8938,2.5781,1.5306,1.2178,1.0026,1.0463,3.3136,2.2444,3.9047,1.4912,12.6819,1.3305,6.1301,0
BLR_C21,12.3763,0.0449,0.1079,0.0526,0.0306,7.1913,1.3503,0.7456,0.7386,0.2883,8.0696,42.0052,1.3282,0.4918,0.7689,0.2653,0.4406,0.3518,0.9691,0.2522,0.1217,1.0363,0.3295,0.1146,1.0152,1.9403,0.3452,0.5042,0.4557,0.1225,0.0285,0.3159,0.2659,0.3231,0.2109,0.249,0.0576,1.5698,0.2156,1.693,0.5244,57.4641,0.3956,0.912,0
BLR_C22,18.0806,0.2229,0.8231,0.4088,0.1822,75.9286,16.9923,10.1989,13.6798,1.6156,35.1162,5.9061,84.1654,9.0704,3.772,6.2714,10.4818,15.1752,18.5342,25.5306,5.8988,21.6421,1.7631,1.9338,56.6539,15.8654,9.5773,1.4341,1.8592,1.4989,0.2458,2.5465,1.7428,1.2728,1.0317,0.8652,0.8708,2.7364,1.6201,2.9524,0.9261,3.5502,0.7989,4.1936,0
BLR_C23,19.0071,0.1153,0.8528,1.6831,0.6656,55.2295,4.4093,18.858,2.441,1.0578,28.9584,4.5086,13.0263,243.9946,22.545,10.9025,7.0143,12.6254,11.2611,15.9363,3.5368,12.1813,5.6891,2.2812,598.2502,8.5651,2.117,1.5875,1.0451,1.016,0.0693,3.5323,0.5657,1.2898,0.5175,0.5669,5.3672,3.7563,1.2876,3.1099,1.4418,3.2896,0.9652,3.5039,0
BLR_C24,3.2913,0.0217,2.1105,0.4051,0.4727,8.1286,2.0345,5.0829,3.3806,0.7619,19.2163,0.8207,11.4442,13.6381,522.9788,181.7247,24.3107,131.3101,128.6592,56.6409,24.6974,52.8034,2.851,3.8432,101.1016,3.717,1.0812,0.8557,0.4386,0.502,0.0114,0.2983,0.2251,0.3723,0.2064,0.2149,0.4479,1.6075,0.3846,0.697,0.2092,0.3941,0.2173,2.0778,0
BLR_C25,12.8814,0.1769,2.4469,0.5964,0.5599,27.8782,5.0807,12.886,3.0541,1.5996,15.4158,1.3082,8.313,7.8981,22.8373,46.1618,7.0105,15.6358,53.3263,24.7658,11.2882,21.2213,3.5429,1.399,85.8912,6.002,2.1716,1.8905,1.4585,1.2583,0.0783,1.2698,0.589,1.3466,0.7327,0.4372,0.8418,2.5288,1.2095,4.5939,0.7754,1.1813,0.7914,4.3547,0
