V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_A01_02,4814.4757,3.9136,6.9324,4.5996,0.6397,18358.3288,846.3528,624.7831,159.3166,23.61,120.5053,95.3355,452.2571,101.8422,181.3039,109.6705,81.2551,62.8009,51.5663,42.6481,23.6922,129.0311,1651.4018,121.4349,140.2069,2491.9809,174.0936,11.5355,6.8762,61.431,11.3111,1971.0525,26.3703,39.6635,22.8806,57.6401,35.9773,308.1914,641.1782,262.8364,65.1497,203.0141,183.5619,127.6607,0.0
ITA_A03,0.6428,5.8218,0.0015,0.0003,0.0,104.5662,0.6226,0.0003,0.003,0.0014,0.6525,0.7425,0.003,0.0029,0.003,0.0556,0.0052,0.0076,0.0556,0.0235,0.0038,2.8077,0.0198,1.6716,0.083,15.4121,0.0277,25.6048,0.0002,0.2989,0.0073,81.5857,2.253,0.0021,0.2489,0.0228,0.3339,0.6009,1.1066,0.574,0.0966,0.4244,0.2192,0.5588,0.0
ITA_B05_06,2.017,0.0233,17.9442,15.4844,0.4814,85.6211,4.9217,0.5883,6.4309,2027.0196,112.1337,17.1727,2.6462,7.955,223.9377,3.9346,1.579,3.0277,31.0877,23.969,5.4857,7.6647,577.2523,20.9238,53.8584,47.6658,3.8456,1.424,2.5988,133.4884,7.6956,69.6861,2.6384,3.4339,7.8058,19.0906,17.9538,32.2239,20.3247,83.4192,26.6354,170.0239,18.5348,4.9077,0.0
ITA_B07_08,13.3356,0.0735,0.0535,0.4807,0.6165,23.8972,2.6337,4.4109,61.3808,1.0477,8.7191,1.8112,9.8555,113.6972,10.0624,13.8273,6.8921,13.4294,23.9727,22.8283,6.157,12.5083,6.5542,30.9823,212.4742,308.3113,152.6171,0.8481,0.1381,1.961,0.0873,3.6575,0.345,0.4983,4.2137,3.2797,8.6996,13.9558,4.4784,0.3345,0.6634,2.7457,1.322,11.5386,0.0
ITA_B09,1.1479,0.2499,38.9591,8.0815,4.764,0.9624,0.0713,0.0335,1.4275,62.2989,5.9417,0.2128,0.4505,11.097,12.5319,3.8107,0.0037,0.0625,0.4134,0.0094,0.021,0.1086,8.0368,1.3416,29.4299,0.2803,4.7191,0.1819,0.291,3.1526,0.0091,0.1159,0.0362,0.0,0.0008,0.0644,1.7757,1.7007,1.1928,0.5336,0.0705,0.1132,0.0978,0.0408,0.0
ITA_C10T12,3452.6863,97.8601,0.0231,66.8996,0.2351,29890.464,1049.3198,3.6527,61.9996,33.8891,841.539,527.8323,81.0435,126.4066,271.2259,2.711,1.5681,1.2421,19.5855,1.3801,0.4649,17.8405,166.6513,31.1429,19.3542,2456.5699,719.3783,393.111,6.1151,92.4453,4.3054,10495.2041,6.3716,0.3121,2.0032,1.1839,69.0584,215.4448,99.9145,47.3428,29.7895,523.7665,86.7004,119.1124,0.0
ITA_C13T15,95.6554,18.8188,0.5334,0.1372,0.568,56.5084,13159.149,157.8548,406.4007,6.1605,145.1727,55.0819,329.5313,49.4176,36.6504,131.5654,20.8315,29.6571,102.7607,379.7619,76.15,580.7822,24.8815,33.5965,96.6185,511.6704,48.8746,3.6671,0.7079,31.6261,8.3382,24.2081,8.969,6.5527,11.6505,9.7817,65.562,127.9446,146.8654,54.4228,21.1033,91.4147,75.7419,126.4852,0.0
ITA_C16,66.1356,2.6734,3.6194,3.4202,0.3215,331.8848,66.6843,1957.0003,694.9546,9.0542,26.6252,46.7289,50.2534,53.1177,61.124,129.7364,26.018,43.7987,125.9339,113.9238,65.0515,2460.6004,81.6264,29.5767,1406.3936,378.4196,84.8888,8.9697,3.3475,51.5925,5.8483,40.8448,10.7471,6.6934,13.554,15.9456,55.5929,133.7448,117.87,140.4998,7.6411,138.6567,22.397,90.721,0.0
ITA_C17_18,83.9062,4.5775,4.1304,3.1161,0.7309,1247.4762,128.6032,167.7144,5681.8598,26.3087,262.3515,150.0925,453.7036,124.6216,304.8342,321.7779,36.1326,226.9629,408.1193,283.2509,55.7264,370.7662,254.3932,238.7969,373.2522,987.0546,660.0404,34.5543,8.6312,683.9976,81.6478,504.8705,476.4673,448.1827,325.4459,1085.9265,252.0113,2861.2128,3369.5899,686.9662,224.1406,454.4188,684.3315,329.0382,0.0
ITA_C19,928.1232,28.1241,23.4752,147.6449,8.2392,145.0924,47.1883,34.1767,38.7345,1793.1591,1872.0562,29.7913,32.6949,146.5968,276.1923,124.5523,10.6965,17.9816,233.4163,44.6174,6.1165,109.8062,461.4258,221.8653,1010.5306,1273.0354,3071.5328,1043.9328,538.6701,174.7339,10.3345,76.7506,7.1953,5.869,26.5308,79.6958,28.4849,122.8937,139.9822,118.7922,70.6709,94.172,40.2367,52.0473,0.0
ITA_C20,1188.0721,5.9321,70.9067,30.7356,5.8228,1290.8951,877.1709,268.845,846.723,528.067,6148.6066,989.4616,4321.9667,543.7853,428.4622,716.1424,484.3573,501.8571,593.6396,614.7288,294.9827,905.0552,200.7988,237.9155,727.4101,952.9397,200.1853,16.2476,4.9542,96.5905,24.8852,68.1038,37.7489,32.4864,125.702,48.3541,175.4055,564.1918,226.6897,44.6109,42.6892,1105.0649,72.365,423.9869,0.0
ITA_C21,162.604,0.7416,11.4432,3.98,0.5716,423.7493,216.322,17.7739,53.7845,37.6739,681.7882,1299.8462,301.0101,55.9784,161.0744,53.0017,41.6974,36.0886,64.9533,104.1187,41.5785,84.1821,26.7927,33.472,87.8924,185.152,27.6435,7.8223,3.1308,17.3219,3.0206,57.5304,13.589,15.0755,38.5933,16.031,14.5156,161.1701,37.0518,19.0918,10.5851,4064.3694,13.5794,29.9517,0.0
ITA_C22,256.5475,8.6878,4.5253,3.8399,2.333,1423.865,947.0,182.0707,556.1785,52.3648,606.5423,745.5942,4730.5327,561.2064,466.1293,1672.1395,240.9398,939.1679,2364.013,2208.4559,294.9689,772.8871,215.7746,188.2753,2469.0147,1283.6013,1205.1049,34.62,10.9238,273.0596,34.525,182.9579,50.7886,169.0508,188.9568,276.7187,170.1366,1209.5626,1093.4961,70.5188,41.522,607.7725,141.6716,197.0904,0.0
ITA_C23,310.8534,3.5152,3.7532,21.0326,3.5249,1111.8029,94.9367,123.4136,49.8066,27.7749,485.0375,96.4605,270.3047,4099.0752,491.7727,624.7539,227.0134,433.7476,362.3324,895.2577,301.9957,448.6662,318.8516,248.0045,6035.8794,912.653,122.3568,36.8278,4.2461,104.7003,5.0035,169.6741,15.5565,12.0099,72.6683,30.8157,434.2007,324.1451,233.4027,35.5501,37.9376,151.9446,71.2529,86.484,0.0
ITA_C24,24.3903,3.2104,31.4892,2.1655,4.0377,249.7983,68.3351,37.8627,60.7594,10.7058,875.6502,146.4077,363.5641,674.1694,11141.7007,6656.2035,399.0394,1933.649,3359.876,1803.4821,523.0157,1209.8648,34.4727,231.6638,1135.3798,462.7692,373.6539,0.9457,0.3213,178.675,0.4154,5.6355,0.2025,1.2266,91.5866,8.4877,220.4561,585.4098,137.0451,0.0574,0.8254,914.6592,11.0451,46.6412,0.0
ITA_C25,292.3332,11.8213,12.9507,5.3932,10.0261,498.0287,315.69,128.4489,330.3234,27.1119,418.6356,87.3236,859.1252,496.6489,1230.9654,15969.0254,822.452,1952.9966,17052.0587,6455.7914,851.0923,1686.944,643.6373,612.6147,5218.5916,1238.2399,898.7719,298.4667,10.1425,416.3704,28.2492,128.499,36.667,261.0093,338.4591,111.1175,458.8953,1028.9308,733.9486,107.8605,31.7414,339.5955,165.4839,149.7005,0.0
ITA_C26,43.3327,4.1603,5.936,2.4726,0.8092,89.5097,55.3221,7.5617,29.7595,7.6082,35.4196,71.2285,49.2169,41.9899,52.5292,183.7838,921.3628,344.1632,392.7965,533.3904,374.9039,290.1853,166.22,52.602,408.8959,395.3629,110.2844,9.1395,21.8937,88.8736,13.9319,47.0708,97.5471,181.2949,863.6918,124.7316,55.1854,479.5281,156.9727,170.2686,34.5738,464.0281,80.5813,61.9112,0.0
ITA_C27,104.7206,8.6238,10.6395,7.2224,2.1097,182.947,116.5233,17.9076,78.1235,27.1748,112.6982,47.4991,170.7611,126.4907,252.9435,675.2341,772.9538,3391.8278,1382.7294,1148.7467,613.6583,438.9333,346.4734,147.2026,1140.4443,815.658,206.6188,35.0843,33.9677,245.0088,17.6238,125.9834,77.2934,228.903,231.9423,65.2564,110.3591,571.3153,358.2604,197.9649,36.8283,262.335,108.9009,101.1302,0.0
ITA_C28,204.2183,4.4976,34.6195,29.4835,13.1731,634.4974,373.1986,43.3664,395.6525,54.0501,276.5532,358.3234,654.8108,246.4578,912.1889,1918.5487,422.9223,927.6008,12551.0947,2913.6795,1720.506,1119.1456,334.6734,439.6678,2191.1533,1636.2507,638.0797,125.8956,65.7332,449.5923,60.0023,225.1674,148.637,196.33,361.7694,196.2884,178.0814,1087.4345,917.2751,190.4421,42.9009,565.4159,115.9964,173.0449,0.0
