V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_A01_02,5331.1676,50.6349,5.142,15.6076,0.6636,37175.6323,854.0833,399.8293,952.2673,18.0941,2511.6029,6.6428,239.9064,24.7905,306.3458,2.1347,0.5295,0.2547,0.8149,18.0575,0.3702,25.8673,14.3707,14.8408,289.0178,1108.1825,1.0584,0.0988,0.0724,2.8124,0.5593,1148.6817,175.5972,6.5036,1.9384,2.8179,7.2803,4.5946,22.7729,202.0244,79.7322,91.0195,23.7599,458.5867,0.0
BRA_A03,37.2986,78.8899,0.0071,0.4115,0.0001,719.655,0.0,2.0537,9.6932,0.0,0.0,0.0,0.0,0.0,0.1786,0.0,0.0,0.0,0.0,0.0,0.0,3.8162,0.145,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.7103,1.8236,0.0,0.0,0.0,0.0,0.0,0.0,25.4797,20.9103,21.6754,0.3212,5.1672,0.0
BRA_B05_06,18.0639,0.2401,588.9459,87.5194,10.8168,80.2773,8.4104,3.4206,52.4633,13591.906,119.0329,2.6609,8.0406,33.5525,547.5822,25.1339,1.1876,2.0784,2.1314,21.1706,0.7826,0.8873,959.7152,147.7681,571.9342,33.1313,52.3369,1.2165,7.9018,14.6173,3.0482,13.0843,1.8173,31.998,9.1346,12.5341,30.0134,16.8964,30.4284,154.766,20.5171,29.7347,2.8951,8.9618,0.0
BRA_B07_08,205.384,1.5999,181.6642,635.822,26.5361,187.867,17.269,8.6495,6.2148,85.5291,1028.7138,9.5573,11.5184,1557.5962,2145.4097,11.3547,0.9853,27.2785,93.5328,26.204,4.0221,23.7081,3.5688,92.2653,1929.01,22.4707,2.1538,0.1639,0.2559,1.8004,0.5602,13.1044,1.0324,1.5586,0.7476,1.0385,148.7602,1.8042,4.0667,28.0047,6.2779,4.2482,0.7756,22.5805,0.0
BRA_B09,11.0382,1.3111,893.374,418.2711,80.6736,4.139,0.1167,0.0713,5.0847,807.5,36.998,0.4817,1.117,22.299,53.9774,4.0247,0.0141,0.1152,0.3778,0.0413,0.0179,0.2463,25.8855,0.661,68.3013,0.4861,11.905,0.2757,1.0533,3.0289,0.0172,0.342,0.0637,0.0,0.0016,0.1808,16.8058,1.7361,5.535,2.199,0.3702,0.1704,0.0815,0.4198,0.0
BRA_C10T12,4203.1394,70.4854,114.1476,103.5003,3.5873,20487.1246,339.7499,45.2735,271.2333,542.8436,2569.3226,70.8926,430.41,73.0927,85.7921,66.4015,12.4966,58.227,36.746,50.9251,3.0997,94.3597,86.9385,26.1201,194.8888,561.9569,28.3413,0.6989,5.444,10.3106,2.9012,11168.6453,188.9945,7.3239,5.5878,37.0427,31.807,41.6619,76.1836,661.5143,464.9606,668.8442,20.6163,276.5419,0.0
BRA_C13T15,191.0322,0.9034,46.9655,62.9088,2.8613,133.8554,6456.1887,47.8069,47.7591,28.3448,39.4735,22.2342,124.788,10.5499,10.6784,29.852,17.1339,9.677,17.7435,326.0277,10.1039,252.763,39.6062,19.3826,133.4526,100.4527,57.4082,4.5333,31.5179,15.0684,7.1204,154.4817,25.5706,17.9051,2.451,90.1002,15.2167,46.5386,76.3871,121.958,114.4302,38.4104,25.2812,528.2324,0.0
BRA_C16,193.3422,1.5595,2.6166,1.4203,1.0606,98.8186,9.6354,693.8046,122.0224,1.6862,10.1136,11.0972,16.3605,5.8859,5.815,47.5672,43.9465,0.8301,45.2161,49.3721,4.6897,1053.203,51.8134,0.9582,991.5844,308.1185,1.479,0.1403,0.1544,11.9031,3.2263,6.8745,16.4045,3.1221,2.0664,4.3942,95.825,6.1116,26.6998,14.2931,8.627,5.4089,3.5586,62.3124,0.0
BRA_C17_18,191.5375,1.7029,15.9814,56.1657,2.5943,2270.011,350.7063,230.0859,3882.076,58.157,412.7954,198.0039,503.7746,337.9602,29.523,300.0018,188.5066,89.7687,34.5178,284.3005,5.8595,213.9557,15.482,12.8126,97.069,1942.3484,55.7129,10.8928,11.0999,51.6289,28.0812,347.6757,436.0918,97.6224,218.2605,502.843,106.8729,1085.9273,836.1346,343.546,264.3141,157.5459,92.3831,297.3104,0.0
BRA_C19,3683.5077,50.3256,653.6653,2003.6118,77.0525,2302.8179,121.2436,47.9531,447.4689,40044.577,3125.6755,35.2042,397.604,716.0,1634.9127,95.7395,38.2759,174.9107,94.5543,305.2698,7.9144,118.4534,497.9807,158.6391,1303.8167,2452.2646,11963.1982,273.7781,1916.8013,248.3602,92.019,567.4987,12.9078,14.3953,28.7577,111.3405,16.1708,192.6432,231.4718,544.5925,94.9356,59.391,22.306,208.4351,0.0
